Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,スーパー（店長）,販売量の動き,・５月以降、新店との競合により売上が低迷していたが、今月、競合店の一社が倒産し、その客が当店に流れてきている。特に生鮮部門で客の増加が目立っており、販売量も大幅に伸びている。
,,◎,観光型ホテル（経営者）,来客数の動き,・オンシーズンを過ぎたが道外観光客が堅調に推移している。消費単価もまずまずで、緩やかな景気上昇が実感できる。
,,○,商店街（代表者）,競争相手の様子,・今月は暖かかったので冬物商戦は多少出遅れていたものの、地元球団のリーグ優勝、日本シリーズ制覇があり、大手百貨店など、優勝セールをきちんと準備し、対応したところでは売上がかなり増加している。
,,○,コンビニ（エリア担当）,単価の動き,・男性客の来店が多く、特にたばこの売上が大きく増加した。たばこはカートンで売れることが多く、客単価も前年を上回っている。
,,○,家電量販店（地区統括部長）,販売量の動き,・引き続き薄型テレビが順調な売上をみせていることに加えて、番号ポータビリティの開始に伴い携帯電話の需要が活性化している。
,,○,一般レストラン（スタッフ）,来客数の動き,・ビジネス客、一般客の利用が伸びている。特に建設業、住設関連企業の利用が目立つ。
,,○,観光型ホテル（経営者）,単価の動き,・前年あるいは前々年と比べて、単価が数パーセント上昇している。来客数も多少増えており、売上を押し上げている。10月の売上としては過去10年間で２番目に高い水準となっている。
,,○,観光型ホテル（スタッフ）,来客数の動き,・依然として、道外客、海外客、観光客、ビジネス客とそれぞれ順調に推移している。相変わらず札幌圏や富良野圏が好調である。しかしながら航空運賃がオフ料金に変わるのに伴い、宿泊料金も単価が低下してきているので、客数確保に同業他社も躍起になってきている。
,,○,旅行代理店（従業員）,販売量の動き,・客単価は低めであるものの、個人客向けの国内パッケージ旅行の間際申込が増加している。ただし法人による団体需要は低調に推移している。
,,○,タクシー運転手,お客様の様子,・タクシー１台当たりの平均運賃収入が微増ながら上向き傾向にある。
,,○,美容室（経営者）,それ以外,・商圏内で競合店の出店が相次いでいる。不景気感が薄らいでいることで出店への意欲が高まってきているように感じられる。
,,○,その他サービスの動向を把握できる者,来客数の動き,・離島観光客が前年比で２か月連続のプラスとなった。
,,□,商店街（代表者）,お客様の様子,・婦人衣料専門店については天候的な影響もなく、軽衣料を中心に秋冬物に動きがみられる。飲食店については夏期こそ好調であったものの、ここにきて例年と同様の傾向に戻っている。
,,□,商店街（代表者）,単価の動き,・コートやスーツ類など、秋冬物の季節商材の動きが鈍いことに加えて、低単価商品の売上が目立っている。
,,□,商店街（代表者）,お客様の様子,・最近、業界の大型倒産や客筋が一致している宝石店の倒産等があり、客の購買意欲に水をさされている。客は今まで以上に慎重な買い方になってきている。
,,□,商店街（代表者）,来客数の動き,・前年と同様に観光客の入込が多くみられる。
,,□,百貨店（売場主任）,お客様の様子,・月末にかけて行われた地元球団の優勝セールや食品の大型催事には多くの客が来店したが、それまでは来客数の少ない状況が続いていたことから、客の低価格志向は依然として強く、売上面で買物への慎重さが感じられる。また当店の周りには飲食店が多く、当店の前が待ち合わせに使われることが多いが、週末夕刻に待ち合わせしている人が少ないことも、消費への慎重さを感じさせる。
,,□,百貨店（販売促進担当）,それ以外,・多くの小売業で地元球団の優勝セールを行い、需要を喚起したものの、この上積み的な売上は一過性のものであり、長くは続かない。道民意識を高揚させる第２、第３の起爆剤が出てこないと厳しい。
,,□,スーパー（店長）,販売量の動き,・地元球団の優勝セールが寄与したことで、北海道全体での売上高は前月から3.1％の増加となった。特に衣料品については、気温低下の追い風も受けて前年を５％ほど上回った。また住居用品や食品についても前年を上回っており、専門店を除いた全ての部門で全国平均を上回る伸びをみせている。
,,□,コンビニ（エリア担当）,競争相手の様子,・前月は個人商店の閉店がみられたが、今月は同一業態の店舗の閉店がみられており、周辺の食品小売店の新旧交代が急速に進んでいる。
,,□,コンビニ（エリア担当）,来客数の動き,・工事現場労働者による需要増加に伴い、国道沿線の店舗では売上が回復傾向にある。しかしながら周辺では小規模スーパー等の倒産が相次いでおり、決して景気が良くなっているわけではない。
,,□,家電量販店（経営者）,販売量の動き,・相変わらず景気を上向かせるような活発な消費行動がみられない。不景気感が漂っており、非常に厳しい状態が続いている。
,,□,家電量販店（店員）,お客様の様子,・例年、商店街で行っているカードセールがあるため、商店街の盛り上がりがみられるものの、客単価が前年よりも低下している。
,,□,乗用車販売店（従業員）,販売量の動き,・今月新型車が出たが、その効果は薄く、来場者も少ない。前年に比べて２割ほど成約台数が減少している。
,,□,乗用車販売店（営業担当）,販売量の動き,・販売量が前年並みになってきた。
,,□,高級レストラン（スタッフ）,販売量の動き,・昼食については、天候には恵まれたものの、道内企業のビジネスマンが減少したことで、売上は前年比85％となった。夕食については、プロ野球のプレーオフや日本シリーズのあった日の売上が前年を15％ほど下回った。ただ、例年、来客数の少ない時期であるため、それほど大きな影響とはならなかった。個室については、本州系企業の利用があり、前年並みの売上となった。観楓会代わりの食事会はみられなくなった。全体の売上は前年並みとなったが、一部の企業に助けられる格好であった。
,,□,スナック（経営者）,来客数の動き,・旭川の場合、飲食店に関しては、観光客の動きも落ち着いており、また市長選や日本シリーズがあったため、あまり良い結果は生まれなかった。
,,□,タクシー運転手,来客数の動き,・プロ野球で地元球団が優勝し、プレーオフや日本シリーズの試合が札幌ドームで開催されたことで、例年よりもタクシーの利用客が多かった。10月は数年ぶりに売上が前年を上回った。ただ、この効果も一時的なものである。
,,□,設計事務所（職員）,お客様の様子,・大規模ショッピングセンターを開店した大手流通業の取引先によると、プレセールの売上は首都圏にそん色ないものとなったとのことであるが、その一方で隣接したショッピングセンター等への客の入込は全くみられず、消費力が全体として高まったとは考えられない。
,,□,住宅販売会社（従業員）,販売量の動き,・来客数の増加など、回復の兆しもみられるが、販売実績には結び付いていない状況である。
,,▲,衣料品専門店（店長）,お客様の様子,・客に高齢者が多いため、今月からの医療費の負担増を受けて困っている客が多い。また寒い季節を迎えて、燃料の高騰も消費に影響を与えている。
,,▲,乗用車販売店（従業員）,販売量の動き,・今月、新型車が出たが、現状に全く変化がみられない。
,,▲,住関連専門店（経営者）,販売量の動き,・商店街からの退店、閉店が続いている。
,,▲,高級レストラン（スタッフ）,来客数の動き,・イベント時の集客はあるが、通常時の客足が鈍っており、予算、前年実績とも達成できない状況にある。
,,▲,旅行代理店（従業員）,来客数の動き,・10月中旬以降、来客数が目に見えて減少しており、受注額は前年実績を１割以上下回っている。
,,▲,観光名所（役員）,来客数の動き,・10月に入り、函館への観光入込客、当社ロープウェイの利用人員とも、前年比で１割減少している。
,,▲,住宅販売会社（経営者）,来客数の動き,・相変わらずモデルハウス、マイホームセンター等への来場者数が少ないままである。
,,×,一般小売店［酒］（経営者）,販売量の動き,・連日のように報道されている飲酒運転事故が、主力商品の酒類にとって大きなダメージとなっている。本来、飲酒運転はしないのは当たり前であるが、これだけ飲酒事故があると、酒そのものが悪者になるような社会的風潮が出てくるのではないかと危惧している。
"企業
動向
関連

(北海道)",,◎,－,－,－
,,○,家具製造業（経営者）,受注量や販売量の動き,・首都圏マンション物件と、東海地区の請負物件の需要が増加している。
,,○,輸送業（経営者）,取引先の様子,・運輸関係では、燃料の多少の値下がりが生じていることに加えて、リストラやセールスの強化があり、多少好転している感じがある。
,,○,通信業（営業担当）,取引先の様子,・多くの客から企業業績だけでなく、個人の景況感も回復傾向にあるとの話を聞く機会が増えた。
,,□,食料品製造業（団体役員）,それ以外,・台風並みの低気圧が通過した影響により、道内水産業では大きな被害が生じている。盛漁期の漁獲減少による価格高騰がみられ、関連する食品製造業は生産コストの上昇が業況を悪くしている。
