Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,＊,＊,＊
,,○,スーパー（店長）,販売量の動き,・販売量が前年比103％と前年を上回っており、来客数も伸びている。
,,○,家電量販店（地区統括部長）,お客様の様子,・新型ゲーム機や携帯型ゲーム機用のソフト等の需要が予想以上に多かった。またインターネット関連の商品に対する客の関心が非常に高い。
,,○,観光型ホテル（経営者）,来客数の動き,・地元客が不調であるものの、本州からのツアー客、海外客が好調である。
,,○,旅行代理店（従業員）,販売量の動き,・８月以降、前年実績を下回り続けていた総受注額が、ようやく上向きになってきた。
,,○,タクシー運転手,お客様の様子,・年末にかけて若干の人出がみられ、３か月前よりは良くなっている。ただ、数年前ほどの繁忙状態とはなっていない。
,,○,その他レジャー施設（職員）,来客数の動き,・11月に施設の無料開放を実施したが、その効果がいまだ継続しており、有料利用者数が前年より増えている。
,,○,設計事務所（所長）,競争相手の様子,・前年や前々年の暮れと比べて取引業者の動き方に違いがある。ちょっとした仕事を年内までにと頼んでも、仕事が詰まっているので無理だと言われることが多い。
,,□,商店街（代表者）,お客様の様子,・月間を通じて集客が伸びなかった。客は価格に対して敏感であり、低価格志向が続いている。
,,□,商店街（代表者）,お客様の様子,・客はシビアで無駄な買物をしなくなった。ただ、観光客が若干増えており、全体としては変わらない。
,,□,一般小売店［酒］（経営者）,それ以外,・12月の売上自体は非常に堅調であるが、季節的な要因を割り引くとそれほど良くもない。
,,□,百貨店（売場主任）,お客様の様子,・12月は贈答ギフトの最大の需要期である。お歳暮を中心とする食料品部門は、来客数が微増で推移したものの、売上は微減となった。これは平均単価が縮小しているということだが、近年の減少トレンドを考えると健闘といえる。一方、クリスマスギフト関連部門では大幅に来客数が減少している。若年層は例年と変わらない様子であったが、特に30～50代の層において減少が目立っている。
,,□,コンビニ（エリア担当）,競争相手の様子,・先月と同様に、競合他社の閉店や業績悪化の話が聞こえてきている。
,,□,コンビニ（エリア担当）,単価の動き,・クリスマス商品、年末年始商品は単価の高いものが好調に売れた。来客数は前年割れとなったが、売上は既存店ベースで100％を超えた。
,,□,衣料品専門店（店長）,単価の動き,・前年と同様に今年も雪が少なく、長期予報も暖冬となっていることから、冬物の売行きが落ち込んでいる。
,,□,家電量販店（店員）,来客数の動き,・来客数は前年と変わらないものの、客単価が少し上昇している。
,,□,乗用車販売店（営業担当）,販売量の動き,・販売量が前年実績を上回らない。
,,□,その他専門店［医薬品］（経営者）,単価の動き,・近隣に大型量販店ができたため危機感があったが、顧客対策が効いたようで、それほど大きな影響は出なかった。年末の売上としては横ばいで推移している。
,,□,高級レストラン（スタッフ）,単価の動き,・ディナーの客単価は前年比で８％の増加となったが、ランチはクイックメニューが主となってきたことから、前年比で10％の減少となった。ディナーの客単価はランチのほぼ４倍であるが、来客数の80％を占めるランチの単価が減少していることから売上も厳しくなっている。
,,□,高級レストラン（スタッフ）,販売量の動き,・温暖な日が多く、日中の女性客が増えたことから、ランチの売上は前年比123％となった。ディナーは貸切予約が数件入ったことから、単価もやや上昇し、前年比115％となった。個室は市内の学校や役所関係の団体予約が入り、前年を超えた。クリスマスの家族利用は激減したが、観光客の利用が久しぶりに前年を超えた。また春先から手控え感のあった北海道庁関係のグループ利用はゼロとなった。
,,□,一般レストラン（スタッフ）,来客数の動き,・来客数、売上とも前年実績を大幅に下回っている。例年、12月は20日過ぎから来客数が増えるが、今年は20日を過ぎても前年を10％ほど下回っている。
,,□,スナック（経営者）,来客数の動き,・12月なのに人出があまりない。
,,□,スナック（経営者）,来客数の動き,・ここ２年間、12月は現状維持の状態が続いており、同じくらいの客が入っている。
,,□,旅行代理店（従業員）,お客様の様子,・地方の景気は一向に良くならず、先行きの不透明感からか、個人消費も控え気味である。
,,□,旅行代理店（従業員）,来客数の動き,・更に旅行申込時期が間際化しているため、なかなか先が読みづらい。客足は若干落ちている。
,,□,美容室（経営者）,来客数の動き,・前年と同様の来客数が続いており、動きに変化がみられない。
,,□,設計事務所（職員）,それ以外,・今年のキーワードとして、構造計算偽装、建設業界の不祥事、公正取引委員会、財政再建団体入り、低価格受注などがあったが、どれ一つも改善されていない。北海道において基幹産業である建設業界の深刻な状況は、景気拡大への大きな足かせとなっている。
,,□,住宅販売会社（従業員）,販売量の動き,・注文住宅市場は、ここ数年、来客数の動きが悪い状況が続いているが、最近は単価の動きも厳しくなっている。市場的には一戸建て住宅から賃貸住宅への移行が目立っている。
,,▲,商店街（代表者）,お客様の様子,・暖冬傾向のため、冬物商材の動きが良くない。客の慎重な買い方は依然として変わらないが、特に最近は本当に必要なものしか購入しないという傾向がより強くなっている。
,,▲,商店街（代表者）,お客様の様子,・暖冬も影響してか、防寒物などの高額商品を買い求める客が少なかった。また中旬を過ぎるとバーゲン待ちの客も多く、12月は月間を通して、客の購買意欲が低下していた。
,,▲,百貨店（販売促進担当）,販売量の動き,・クリスマス商戦は気候条件がマイナスに作用し、厳しいものとなった。中旬以降、暖かくなり、冬物衣料の需要が落ち込んだところに、24日の大雪があり、クリスマス商戦の消費を減退させた。北海道経済に好材料が乏しい中、気象条件の悪化が追い打ちをかけた。
,,▲,スーパー（店長）,販売量の動き,・暖冬やクリスマス商戦低迷の影響を受けて、衣料品の売上が前年比92.5％と不振だった。また住居用品、食品、専門店など、衣料品以外の部門の前年比は全国平均値を下回っており、景気回復の遅れもさることながら、競合大型店の新規出店による競争激化の悪影響を受ける結果となっている。
,,▲,観光型ホテル（スタッフ）,販売量の動き,・国内航空運賃の値上げもあって、旅行商品が値上がり傾向にあり、道外客の入込は若干減少している。一方、海外客は前年を上回っている。ただ、全体的に単価が伸びず、売上は前年並み、もしくは若干減少で推移している。
,,▲,旅行代理店（従業員）,販売量の動き,・来客数が前年の90％程度であり、宿泊需要が伸びずに苦労している。消費を控えているためなのか、沖縄や九州方面への旅行が好調な反面、道内の温泉需要が伸びない。
,,▲,旅行代理店（従業員）,販売量の動き,・販売量が前年比で４～５％落ち込んでいる。
,,▲,タクシー運転手,来客数の動き,・12月は一年で一番忙しい月だが、今年は暖かかったせいもあり、前年よりもタクシー利用が少なかった。年末もすすきのでタクシーが拾えなかった日は無く、飲食店も前年より暇だと聞いている。
,,×,＊,＊,＊
"企業
動向
関連

(北海道)",,◎,－,－,－
,,○,家具製造業（経営者）,受注量や販売量の動き,・高級品の売行きに底堅さが見え始めた。
,,○,輸送業（支店長）,取引先の様子,・海運、航運の輸送関係だが、高値安定だが油の価格が少し安定している、あるいは少し下降気味なのが影響している。
,,○,その他サービス業［システムハウス］（経営者）,受注量や販売量の動き,・受注量は増えているが、利益の出にくい環境になっている。
,,□,食料品製造業（団体役員）,受注量や販売量の動き,・原油価格も下がり、暖冬に恵まれるなど、恩恵はあるものの、年末商談の受注量並びに受注価格が減少しており、流通構造や消費者の購買動向が大きく変わってきている。
,,□,輸送業（支店長）,受注価格や販売価格の動き,・ここにきて好況業種と不況業種の差がはっきりとしてきた。本州に基盤を置く鉄工関係等の業者は好調を維持しているものの、道内に基盤を置く業者は、物流量が多くても厳しい状況にさらされている。運賃も低下傾向にあり、この傾向はしばらく続く。
,,□,輸送業（営業担当）,取引先の様子,・農産物の荷動きをみると、でん粉が前年から約７万トンの減少となったほか、ビート糖で６～７万トン、ビートパルプで４～５万トンの減少が予想される。在庫調整もあり、荷動きが悪い状況となっている。
,,□,通信業（営業担当）,受注価格や販売価格の動き,・景況感は良いと感じているが、３か月前との比較では特段の変化もなく同レベルで推移している。
