Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,観光名所（従業員）,来客数の動き,・来客数の動向でみると、前年の８月は0.2％ではあるが、2011年度に入って初めて前年比が前年を上回る好調な月であった。それを今年の８月は、26日時点ですでに前年を約９％上回っている。
,,○,商店街（代表者）,来客数の動き,・当地における夏の最大イベントの期間中は、天候も良く、前年と比べて４万人以上多い人出があった。また、道内及び本州からもこの期間にあわせ、「十勝の食」を味わおうと訪れた客も多く、飲食関係のほか、交通関連及び温泉を含めた観光関連等では前年よりも売上のアップがみられた。
,,○,商店街（代表者）,来客数の動き,・当店は観光土産店だが、前年に比べて８月の売上は10～20％伸びている。地元からの来客は減っているが、観光客の来客が増えているため、売上が伸びている。
,,○,スーパー（店長）,来客数の動き,・来客数が前年を超えて、販売額も増加している。特にお盆商戦の動きが顕著で、その後の残暑も好調要因となっている。衣料の夏物処分も順調で、食品も堅調である。住宅余暇部門は、家電関連こそ依然として悪いが、寝具を中心に伸長している。
,,○,高級レストラン（スタッフ）,来客数の動き,・今年の宿泊数は前年比110％と増客している。首都圏からの客が猛暑を避けて当地に来ているほか、航空機の東京便の機材が大型のものに変更になり、前年比113％となっていることも要因の１つである。
,,○,観光型ホテル（スタッフ）,お客様の様子,・８月は大型の大会やイベントが開催され活況であった。Ｗｅｂを中心とした国内個人旅行、中国本土からのチャーター便による海外旅行ともに好調である。
,,○,旅行代理店（従業員）,販売量の動き,・東京からの来道客は、女満別～東京便の座席供給量を前年比150％に増加したため、前年比135％と伸びている。ただし、当地からの旅行需要はほぼ前年並みで推移しており、相変わらず夏場の旅行需要が伸びてこない。
,,○,タクシー運転手,販売量の動き,・８月に入ってお盆で帰省してくる人や観光客が多く、３か月前に比べると、売上では約117％と伸びているため、やや良くなっている。
,,○,通信会社（社員）,お客様の様子,・客の節約疲れの反動なのか、特に景気に悪影響を及ぼすようなニュースが少ないからなのか、理由がはっきりとはしないが、消費の足かせになるものがないことから、消費に対する抵抗感がなく、必要な物にはお金を使う。
,,○,観光名所（職員）,来客数の動き,・観光も繁忙期に入り、来場者は３か月前と比較して167％と増加したものの、東日本大震災前の同時期と比較すると95.4％とやや減少している。傾向としては、東南アジアからの来場者が戻りつつある。
,,○,住宅販売会社（従業員）,お客様の様子,・計画中の分譲マンションに対する問い合わせが通常よりも多い。また、マンションの在庫があれば売ってほしいと問い合わせてくる客も多い。
,,□,商店街（代表者）,お客様の様子,・今年は猛暑の影響もあり、夏物商材の動きが良い。一方で、秋物商材にはなかなか手が出ていない。また、客との会話のなかで、景気の先行きを不安視する声が多い。
,,□,商店街（代表者）,単価の動き,・気温の高い日が続いており、夏物商材がいまだに動いているものの、底値の価格となっている。また、秋物商材の稼働が遅れているため、客単価はかなり下がっている。
,,□,商店街（代表者）,お客様の様子,・今のところ、客の動きにそれほど変化がなく、新しい変化があるような様子もない。
,,□,一般小売店［土産］（経営者）,販売量の動き,・前月に中国語圏の客が増加したが、尖閣諸島等の報道のせいか、今月は減少している。取扱商品が昆布ということもあり、日本人観光客が増えないと売上につながらない面がある。東日本大震災のあった前年よりは良いが、３～４年前と比べると20％程度の売上の落ち込みがある。
,,□,一般小売店［酒］（経営者）,販売量の動き,・年間のなかでも７～８月は飲料水関係を中心に売上を伸ばすが、今年は非常に厳しい状況となっている。
,,□,百貨店（売場主任）,お客様の様子,８月25日時点の全館売上が前年比97％、買上客数が前年比97.8％、客単価が前年比99.2％となっており、４月以降、売上の前年割れが続いている。買上客数も前年割れの状態が続いている。客単価も６月こそ前年を上回ったものの、７～８月と前年割れとなっている。
,,□,百貨店（販売促進担当）,販売量の動き,・来客数が減少傾向に変わりつつあり、買上客数も減少傾向が続いている。また、月末の残暑で顧客の購買意欲が極端に下がった印象がある。
,,□,百貨店（役員）,お客様の様子,・８月後半に連続して真夏日を記録するなど、観測史上初の暑さで秋物商材の立ち上がりが壊滅状態にある。
,,□,スーパー（店長）,販売量の動き,・販売量は３か月前とほぼ同じだが、前年比でみると95％である。
,,□,スーパー（店長）,販売量の動き,・販売量の動きが多少良くなってきているが、まだ前年よりは少ない。
,,□,スーパー（役員）,来客数の動き,・前年との比較において、来客数が前年比で１～２％の低下、客単価が前年比で１～２％の上昇で推移しており、この数か月は、何とか前年並みの売上を確保できている状況であるが、各業態とも、月を追うごとに来客数の微減傾向が強まっている。客の動員を図るべくチラシの回数を増やしたりしているが、売価競争が激化するなど、非常に厳しい状況になってきている。
,,□,コンビニ（エリア担当）,お客様の様子,・８月前半からお盆にかけては前年ほど気温が上がらず、売上が減少したが、20日以降は気温が上昇したことから、一気に回復した。客の来店動機が発生すれば、消費マインドが向上している。
,,□,衣料品専門店（店長）,お客様の様子,・様々な災害等があるため、景気の回復が遅れている。
,,□,衣料品専門店（店員）,単価の動き,・お祭り、盆踊りとイベントでは街に人があふれるものの、平日は消費者がまばらの状態である。店頭販売の夏物衣料は単価が下がっており、ホテルでの展示会期間中は、気温が上昇したことで前年よりも売上を落とした。
,,□,家電量販店（店員）,来客数の動き,・節電ということで冷蔵庫、エアコンなどがよく売れた。スマートフォンや周辺パーツなども動いた。しかし、売上金額は前年並みまでは届いていない。
,,□,家電量販店（地区統括部長）,販売量の動き,・今年の３月以降、前年のアナログ放送終了の反動が大きく影響している。今月も依然として影響を受けており、全体としてはほぼ横ばいの状況である。
,,□,乗用車販売店（従業員）,販売量の動き,・新規の飛び込み客がめっきりと減り、受注が伸び悩んでいる。受注状況をみると、最近モデルチェンジした車種が１番だが、他の車種の落ち込みから、全体ではプラスとはなっていない。
,,□,自動車備品販売店（店長）,お客様の様子,・前月、前々月ともに新車販売の伸びがプラスに影響している。来月以降は新車特需も終わり、流れが変わりそうである。
,,□,その他専門店［医薬品］（経営者）,お客様の様子,・景品進呈イベントよりも、値引きによるサービスの方が集客が多くなっている。
,,□,その他専門店［造花］（店長）,単価の動き,・売上推移が横ばいである。
,,□,高級レストラン（経営者）,販売量の動き,・観光シーズンで一番の売上となる時期であるが、前年は東日本大震災の影響で良くなかったが、今年も期待したほど良くなっていない。
,,□,高級レストラン（スタッフ）,来客数の動き,・例年にない残暑のなか、真夏日が続いているが、夏休みを過ぎてからも、平日、週末とも観光客の入込が良い。来客数は前年比で５％の増加である。当地域のイベントがたくさん行われていることも寄与している。
,,□,高級レストラン（スタッフ）,販売量の動き,・夏のキャンペーンが好評で前年の売上を超えた。８月中旬まで気温が上がらなかったため、他店では飲物などの売上が伸びなかったようだ。当店は予約客が多いため、あまり影響がなかった。一方、下旬からの暑さにより、この時期としては異例のビール特需となっている。オリンピック期間中は、メダル獲得数に反比例して、予約が少なくなった。
,,□,観光型ホテル（経営者）,来客数の動き,・引き続き本州方面からのツアー客数が回復していない。さらに、前年は堅調だった道内客も節電の影響や夏のボーナス減少などの影響により減少しており、３か月前と比較して景気の悪さは変わっていない。
,,□,タクシー運転手,来客数の動き,・８月は雨の日が少なかったせいか、タクシーの売上は前年よりもマイナスである。前年は東日本大震災の影響で前々年を大きく下回ったが、その前年よりかなり悪くなっている。
,,□,タクシー運転手,来客数の動き,・前月、前々月の状況からは、夏場に向かって受注量が上向きになるという見方をしていたが、今月に入って受注そのものが下降気味になっている。先の予測はまだ見通せないが、今はほぼ横ばい状態で推移している。
,,□,タクシー運転手,来客数の動き,・注文数が概ね前年並みである。観光客による利用が減り、ゴルフでの利用が増えている。
,,□,美容室（経営者）,お客様の様子,・最近は良くもない代わりに悪くもないといった感じで固定化しており、マンネリ状態となっている。
