Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,スーパー（店長）,来客数の動き,・来客数が回復傾向にある。ただし、衣料品を中心とする季節商材は、異常な残暑の影響があり、売上では前年割れとなっている。
,,○,高級レストラン（スタッフ）,来客数の動き,・６月から宿泊稼働率が順調で前年比111％の伸びとなっている。
,,○,旅行代理店（従業員）,販売量の動き,・９月の東京便は中型機投入により供給増となり、販売量もある程度伸びてきている。10月以降は供給が前年並みになるが、下期の立ち上がりは修学旅行需要、団体需要が好調で前年を上回ると予想している。
,,○,タクシー運転手,販売量の動き,・今月は暑い日が続き、タクシーの利用も増えた。観光客の入込も衰えなかった。３か月前の売上より約10％伸びている。また、前年実績からみても、約６％の伸びであることからやや良くなっている。
,,○,通信会社（社員）,お客様の様子,・必要と思われるものには支出を惜しまない言動がみられる。全員とまでは言わないが、そのような客が増えてきている。
,,○,観光名所（従業員）,来客数の動き,・３か月前の６月の利用客数は、東日本大震災前の2010年と比較して98.2％であった。一方、９月の利用客数は、25日現在で、同じく2010年と比較して101.4％となっている。
,,○,設計事務所（所長）,お客様の様子,・北海道の場合、例年この時期は冬前の駆け込み需要がみられるが、今年は前年の東日本大震災の影響からの反動増と消費税増税前の駆け込み需要がすでに始まっている様子であるため、例年より引き合いが多い。
,,○,住宅販売会社（従業員）,お客様の様子,・現在、弊社では分譲マンションの在庫がほとんどない状況であり、「早く次の物件を発売しないのか」といった客からの問い合わせが多い。
,,□,商店街（代表者）,来客数の動き,・例年になく暑い日が続いたため、来客数が減っている。
,,□,商店街（代表者）,お客様の様子,・９月に入っても暑い日が続き、秋物にはなかなか手は出せないという声が非常に多くなっている。その上、観光客が尖閣問題の影響で急に冷え込んでおり、街を歩く姿が急になくなった。ますます消費マインドが下がってきているのが現状である。
,,□,商店街（代表者）,お客様の様子,・気温の高い日が続いており、秋物の動きがかなり遅くなってしまって、客の購買欲がみられない。秋物の立ち上がりの商品について数字的なものは見えてきているが、全体的には、客の買いがかなり遅くなってしまっている。
,,□,商店街（代表者）,お客様の様子,・客の動向をみると、様子見という認識が全体的に感じられる。
,,□,商店街（代表者）,来客数の動き,・８月に比べて来客数が大幅に減少している。前年比でも10％程度悪くなっている。８月が前年比で10％程度良かったため、９月に期待していたが、結局のところ前年と比べて10％程度減少している。尖閣問題による中国人の減少等の影響があるとみられる。
,,□,百貨店（役員）,お客様の様子,・９月の観測史上最高気温を中旬に記録するなど、考えられない猛暑で秋物は全滅、ストーブも前年比３割の状況となっている。しかしながら、店外催事などの企画については順調である。客の消費意欲は落ちていないとみられる。
,,□,スーパー（店長）,販売量の動き,・食料品は良いが、衣料品や生活関連の伸びがあまり良くない。残暑もあり、気温が不安定な状況にあることが影響している。
,,□,衣料品専門店（店員）,お客様の様子,・夏の暑さがお盆を過ぎてから９月25日まで続くなど、例年では考えられない暑さが続いたため、衣料品の購買意欲が減少している。
,,□,家電量販店（店員）,それ以外,・９月の残暑の影響で暖房機のスタートが２週間ほど遅れているが、まだ本格的な遅れではない。
,,□,乗用車販売店（従業員）,来客数の動き,・エコカー補助金終了間際から来客数が激減している｡販売台数､登録台数も前年割れで非常に厳しい｡
,,□,乗用車販売店（従業員）,販売量の動き,・来客数が減少しており、ハイブリット車志向の客がほとんどとなっている。
,,□,乗用車販売店（従業員）,競争相手の様子,・他店との競合や競争に関しては、他も苦しみながら対応している。当業界ではエコカー補助金が終わったことで、上向きにはなっておらず、変わらずそのままの状況にある。
,,□,自動車備品販売店（店長）,競争相手の様子,・夏並みの気温が続いている現状において、秋物商材の動きが１か月ずれているように感じる。自動車用品業界全体でも前年を下回る予測となっている。
,,□,高級レストラン（経営者）,来客数の動き,・来客数が目立って伸びてきている様子はない。
,,□,高級レストラン（スタッフ）,単価の動き,・週末はフリー客、平日は豪華客船の団体客と入込が良く、前年比では５％増となっている。年配客が多く、旅行を楽しんでいることがよく分かる。
,,□,タクシー運転手,来客数の動き,・注文数が概ね前年並みで推移している。観光客が減り、法人関係からの注文が増えている。
,,□,美容室（経営者）,来客数の動き,・季節や天候に左右されることなく、一定の消費生活を送る傾向が出ており、そのため、客の来店周期も固定化されてきている。
,,□,美容室（経営者）,販売量の動き,・今月の売上は、前年同月及び前月よりも伸びているが、一時的なものなのか、景気が上向きなのかは判断しかねる。
,,□,美容室（経営者）,来客数の動き,・残暑も終わりを迎えて、本来の気候に戻りはしたが、ここ数年は季節による変化はあまり感じられないため、大きな変化はみられない。
,,□,住宅販売会社（経営者）,お客様の様子,・客の様子をみると、地価公示の下落、また株式市場の不調により、盛り上がりに欠けている。
,,□,住宅販売会社（従業員）,来客数の動き,・変化はみられない。
,,▲,商店街（代表者）,来客数の動き,・残暑から急激な気温低下により地元客が出控えていることに加えて、全国規模及び全道規模の大きな大会もほぼ終了していることから、来街者が減少している。また、中心部のホテル関係者の話によると、アジアからの観光客も前年より減少している。
,,▲,一般小売店［土産］（経営者）,販売量の動き,・中国人観光客が減少したことで、街全体のにぎわいが減っている。また、道内でも真夏日が続いたことで道外客が減っており、これらの要因が重なって販売量が確実に落ちている。
,,▲,一般小売店［酒］（経営者）,販売量の動き,・今月は飲食店への来店が非常に良くない月であった。例年７～９月の来店動機となる宴会等が非常に少なかったことに加えて、全体的な不安要素も大きく、なかなか飲食に消費が回らない状況にある。
,,▲,百貨店（売場主任）,お客様の様子,・９月は残暑が残り､30度近い気温の日が９月下旬まで続いたため、秋物の動きが非常に厳しかった。ジャケットで前年の７割、コートも前年の５割となっており、秋物の動きが完全に止まってしまった。
,,▲,百貨店（売場主任）,単価の動き,・前月は買上客数が前年割れとなるも、客単価がアップした。しかしながら、今月は買上客数、客単価とも前年割れと苦戦している。
,,▲,百貨店（販売促進担当）,来客数の動き,・尖閣諸島や竹島問題などで、中国や台湾、韓国からの来道者数が激減しており、来客数にも影響が出てきている。特に、高額品を購入する高所得層の中国人観光客が来店しておらず、今後しばらくの間、苦戦が予想される。
,,▲,百貨店（販売促進担当）,来客数の動き,・街なかでの行政イベントが開催されたにもかかわらず、来客数は前年実績を維持できなかった。異常気象に起因する購買意欲の停滞といった影響もあるものの、仕掛けた企画に対する顧客の反応が鈍い。
,,▲,スーパー（店長）,販売量の動き,・当月の販売量は前年比97％、前々年比87％となっている。
,,▲,スーパー（役員）,来客数の動き,・気温が高い関係で、生鮮食料品の相場や生産、漁獲量全てに影響が出ている。また、９月は消費者の食生活が夏型に近く、全体的にバランスが崩れている状況で推移したことが要因で、客単価の低下、来客数の減少が大きく、前年の売上から数字を落としている。
,,▲,スーパー（役員）,お客様の様子,・記録的な残暑により秋物商材が全く売れなかった。夏物商材も売ったが、客は必要な分しか買わないため、前年並みの売上は取れなかった。
,,▲,コンビニ（エリア担当）,お客様の様子,・今月は記録的な残暑の影響で客に動きがみられた。飲料水やアイスクリームがけん引したこともあり、利益も前年を上回っている。
,,▲,コンビニ（エリア担当）,販売量の動き,・例年売れるはずの催事商品が売れなかった。特に生活必需品ではない商品が売れなかったため、客の財布のひもが固いと感じている。
,,▲,衣料品専門店（店長）,お客様の様子,・客が買物をしなくなっている。やや悪くなっているどころではない状況であり、小売店としては状況が悪くなっている。
,,▲,家電量販店（地区統括部長）,販売量の動き,・例年にない残暑の影響で、例年はお盆後から需要が生じる大型暖房機が今年はほとんど売れなかった。逆に、エアコンや扇風機等の夏物家電は若干需要が伸びたが、大型暖房機の需要減を取り戻すまでには至らなかった。
,,▲,乗用車販売店（従業員）,販売量の動き,・エコカー補助金の終了により、景気がやや悪くなっている。
