Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,商店街（代表者）,来客数の動き,・３か月前からみると、相当客の入込が多くなっている。気温も暖かく、郊外のみならず本州方面からも観光客が来ているので９月一杯までは良い状況が続く。
,,◎,観光型ホテル（経営者）,販売量の動き,・道外からの団体ツアー客、個人客ともに、人員数が伸びている。宿泊単価が好調であり、売店等付帯収入も高い水準にある。
,,○,コンビニ（エリア担当）,単価の動き,・夏場は好天に恵まれ買上点数が増加したが、今月は予約商品など、単価の高い商品の販売量が増加しており、全体の売上も前年を上回っている。
,,○,住関連専門店（従業員）,販売量の動き,・お盆以後、好調な売上を維持している。
,,○,観光型ホテル（スタッフ）,来客数の動き,・依然として、旭山動物園人気で札幌・富良野地区の観光客の入込が好調である。客層が団体客から個人客に変化することで、宿泊単価も若干上向いている。飲食部門も好調である。
,,○,旅行代理店（従業員）,販売量の動き,・客単価は相変わらず低いものの、９月に入ってからの秋冬の旅行の先行受注が上向きである。特徴としては京都紅葉の希望が例年になく多い状況である。また間際の申込が相変わらず多い。
,,○,旅行代理店（従業員）,販売量の動き,・来客数が増えている。
,,○,その他サービスの動向を把握できる者,来客数の動き,・台風の影響から３日間フェリーの運行が休止されたが、７～８月の客数激減の反動もあって、９月の離島観光客は13％の増加となっている。
,,□,商店街（代表者）,来客数の動き,・天候が安定して中高年層の来街が増えた感があるが、売上自体は伸び悩んでいる。
,,□,商店街（代表者）,販売量の動き,・個人消費の増加がみられず、販売量、売上とも横ばいのままである。
,,□,商店街（代表者）,単価の動き,・秋物の立ち上がり時は、良い動きをみせていたが、後半に入ってもなかなか気温が下がらないこともあり、従来売れていくはずの単価の高い商品の動きが鈍くなっている。
,,□,商店街（代表者）,お客様の様子,・天候が良くなったので客の動きが良くなっているが、売上には変化がない。
,,□,百貨店（売場主任）,お客様の様子,・消費者からみて、百貨店の価格帯が敬遠されるゾーンなのかもしれないが、例年に比べて集客が弱い。購買単価は上昇しているが、卸売物価の上昇という要因以外に、セール品目当ての客の足も遠のいている。依然として価格志向や購買の慎重さが強く感じられ、地方経済の厳しさはまだまだ続く。
,,□,百貨店（販売促進担当）,販売量の動き,・紳士衣料の浮上のきっかけがつかめない一方で、婦人衣料はスーパーブランドが大幅に伸長しており、全体をけん引している。しかしスーパーブランド以外については、アイテム別、ブランド別の差が大きく、全体が一律に回復している訳でもない。高額品を求める客の購買モチベーションは価格ではなく、希少性などの価値感であり、中所得層の判断基準とは異なっている感がある。
,,□,衣料品専門店（店長）,販売量の動き,・時々、展示会等を行っているが、客の出足も悪く、買う人も少ないので、決して良いとは言えない状況である。
,,□,家電量販店（店員）,お客様の様子,・来客数は前年とあまり変わらない。客は余計な物は買わずに必要最低限の商品しか求めていない。ただ薄型テレビについては、販売台数が前年比130％と伸びている。
,,□,家電量販店（地区統括部長）,販売量の動き,・薄型テレビ、ＤＶＤレコーダー等のデジタル家電の販売量が前年比98.6％とほぼ横ばいで推移している。
,,□,乗用車販売店（従業員）,来客数の動き,・９月は通常上向きになるが、今月は前年と比べても来場が２～３割少なく、成約も厳しい。
,,□,高級レストラン（スタッフ）,来客数の動き,・週末は平日の倍以上の入込が続いている。全体では前年比110％と善戦しているが、ディナーが前年を下回っているので、観光客にパンフレットを配布するなどの対策を行っている。
,,□,高級レストラン（スタッフ）,販売量の動き,・お盆休みが長かった反動のせいか、今月は前半が悪かったが、後半からは来客数が増えて前年並みとなった。部門別では、平日の天候が良く、ランチは来客数の減少がみられなかった。ディナーは後半に団体の予約が入ったことで、どうにか前年並みとなった。４月から道庁職員の利用がなかったが、久しぶりに来店があり、来月の予約も入った。
,,□,一般レストラン（スタッフ）,単価の動き,・今月の来客数は前年を上回ったが、客単価が下がり、売上はほぼ前年並みであった。
,,□,旅行代理店（従業員）,販売量の動き,・国内旅行の動きが盛り返しており、業務性の東京方面も、観光性の九州、沖縄方面も良い販売額になってきたが、前年と比較して海外旅行の動きが極めて悪くなっている。海外旅行はヨーロッパだけでなく、アジアも低調となっている。
,,□,旅行代理店（従業員）,販売量の動き,・観光客の入込は好調のようだが、北海道からの旅行客は相変わらず不調である。
,,□,タクシー運転手,来客数の動き,・９月は暖かい日が多く、雨の日も少なかったので、例年よりもタクシーの利用客が少なかった。特に夜の利用客が少なくなっている。
,,□,美容室（経営者）,お客様の様子,・客の来店周期が固定化してきており、そのため売上も固定化される傾向が出てきている。
,,□,住宅販売会社（従業員）,単価の動き,・やや来客数が増えている傾向もあるが、相変わらず販売量の低迷が続いている状態である。
,,▲,商店街（代表者）,お客様の様子,・業界大手の倒産、クレジット販売に対する規制枠の拡大等、取り巻く環境が非常に悪い。また原油の値上がり、先行き不安が購買意欲をより慎重にしている。
,,▲,一般小売店［酒］（経営者）,販売量の動き,・最近、全国的に高まりつつある飲酒運転への批判から、心理的に酒を飲まないということが一つの流れになってきているような感じがあり、酒類の販売には逆風になっている。
,,▲,スーパー（店長）,来客数の動き,・北海道既存店の売上高は前年比96.9％と８月からは2.2％の増加となっている。部門別では、主力の食品が前年比102.0％とやや回復しているものの、衣料品が前年比95.0％と前年を下回っているほか、専門店も前年比89.0％と低迷している。また北海道既存店の来客数は前年比98.0％と全国の100.5％からは遅れをとっている。
,,▲,スーパー（店長）,来客数の動き,・既存店ベースでの来客数が前年を下回っており、回復の兆しがみられない。
,,▲,コンビニ（エリア担当）,競争相手の様子,・小売店の閉鎖、カテゴリーキラーの弱体化が一層進んでいる。夏という繁忙期が終わり、再編の動きがみられる。
,,▲,コンビニ（エリア担当）,来客数の動き,・一次産業の不調、輸送コストの増加から、通り客の需要が減少傾向にあり、買上点数は維持しているものの、来客数が減少している。
,,▲,乗用車販売店（営業担当）,販売量の動き,・来客数、販売量とも前年を下回っている。競争相手も同様の状況である。
,,▲,観光名所（役員）,来客数の動き,・台湾からの入込が急速に減少している。
,,▲,住宅販売会社（経営者）,販売量の動き,・金利上昇、株価低落の影響からか、客の雰囲気が悪くなっている。
,,×,スーパー（店長）,販売量の動き,・天候に恵まれた８月から一転して、９月は売上、販売量とも減少している。３か月前と比較しても売上は96％という数字にとどまっている。
,,×,その他専門店［医薬品］（経営者）,お客様の様子,・競合店に流れていった様子はないものの、来客数が最盛期の半分以下となっている。
,,×,スナック（経営者）,来客数の動き,・来客数が少なく、前年度、前々年度の売上を下回っている。
"企業
動向
関連

(北海道)",,◎,－,－,－
,,○,家具製造業（経営者）,受注量や販売量の動き,・請負物件の需要が一部ではあるが上向いてきた。
,,○,輸送業（支店長）,受注量や販売量の動き,・本州、特に東京地区のマンション、ビル需要が相変わらず旺盛なこともあり、その余波として道内メーカーにも資材発注が多くきている。また鉄鋼メーカーもフル操業が続いており、その余波として道内の関連メーカーもフル操業の状態となってきている。
,,□,食料品製造業（団体役員）,受注価格や販売価格の動き,・天候が良く、また台風の影響も少なかったので、農産物は前年より増加の見込みとなっているが、その反面、水産物は高水温、海流変化等により、漁獲種類に大きな格差が生じている。末端市場の価格決定権が川下の流通バイヤーに形成されており、食品製造企業はコスト上昇分の転嫁ができず不況にある。
,,□,輸送業（経営者）,取引先の様子,・依然として運輸関係、船舶関係では燃料の高騰が影響しているが、それに対応した取組を行った結果、取扱量はやや増えてきており、全体としては変わらない状況にある。
,,□,輸送業（営業担当）,取引先の様子,・荷動きの状況はほとんど変わっていない。
,,□,通信業（営業担当）,取引先の様子,・客との会話内容や業務量、当社の受注数から、景況感は相変わらずやや良い水準のまま推移している。
