Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・ようやく春を迎え、人と車両の輸送が増加している。また、一部ではあるが観光客も増え始めている。
,,○,商店街（代表者）,来客数の動き,・当市では、今月から高齢者に対して、市内バスの無料券を交付していることもあり、高齢者の買物客の増加がバス停付近で確認できる。買物後はバスを利用せず、タクシーを使っている買物客も多いようにみられる。ただし、買物内容としては日用品等が多く、依然としてぜいたく品及び衣料品等の割合は少ない。また、前年と比較して、歓迎会等の後に２次会に流れる酔客が増加している。
,,○,一般小売店［土産］（経営者）,来客数の動き,・テレビや新聞の報道などで、大阪市長の発言や東京都知事の尖閣諸島に対する発言など、どちらかといえば国民にとって聞こえが良いような報道が多くみられることに加えて、東北の復興景気への期待感が消費に良いムードを与えている。
,,○,スーパー（店長）,販売量の動き,・販売量は前年比96％と相変わらず前年を下回っているが、前月に引き続き、３か月前との比較では右肩上がりとなってきている。
,,○,衣料品専門店（店長）,単価の動き,・商品単価、客単価ともに以前よりも伸びている。前年と比較しても0.1～0.2％の伸びがあり、消費としては上向いている。
,,○,観光型ホテル（スタッフ）,来客数の動き,・東日本大震災の影響で控えられていた、学会、大会、企画旅行が回復傾向に転じている。
,,○,旅行代理店（従業員）,販売量の動き,・北海道からのアウトバウンドは春休みから拡大傾向にあるが、北海道へのインバウンドは、当地では流氷もなくなり、閑散期になっているため、今一つ伸び悩んでいる。
,,○,観光名所（職員）,来客数の動き,・今月に入り、卒業旅行などの国内の来場者が増加傾向にある。また、台湾やマレーシアなど、海外からの来場者についても前々年並みに戻りつつある。
,,○,美容室（経営者）,来客数の動き,・ここ３か月連続して、売上が前年を５％程度上回って推移している状況であるため、景気が良くなってきた感がある。
,,□,商店街（代表者）,来客数の動き,・天候が良く、気温も上がってきたことで、来街者が増え、店舗への来客数が増加している。
,,□,商店街（代表者）,お客様の様子,・気温が上昇し、晴れの日が多くなるにつれて、少しずつ消費マインドが上昇してきている印象を受ける。
,,□,商店街（代表者）,単価の動き,・気温の変化が激しいなかで、春物のコートの出足が非常に遅れている。また、春物をコーディネートして組合せで買う客が少なく、客単価が低下している。
,,□,商店街（代表者）,お客様の様子,・客の様子をみると、入学や進学などの関係でお金がかかるため、出費を抑える傾向にある。
,,□,一般小売店［酒］（経営者）,販売量の動き,・４月半ばまでは販売量があまり良くなかった。後半になり持ち直してきているが、全体ではやや悪い状況である。
,,□,百貨店（販売促進担当）,お客様の様子,・４月も後半に入り、来客数は増加傾向にあるが、買上率や買上単価は横ばいか微減傾向にある。気温が上昇してもすぐに状況は好転しないとみられる。
,,□,百貨店（販売促進担当）,単価の動き,・客単価の上昇傾向は引き続き維持しているものの、来客数や買上客数は低下している。前年は東日本大震災が多少なりとも顧客心理に影響していたため、一巡した今年３月中旬以降は来客数が伸びるものと期待していたが、前年からの悪化が下げ止まらない。
,,□,百貨店（役員）,それ以外,・前年は、３月が東日本大震災後の特需で売上が増加したことで、４月が大きくマイナスとなったが、今年は前年が悪かった分、前年を大きく超えている。ただし、それは数字だけのことであり、景気が回復しているとは言い難い状況にある。気候が良くなったことでファッションは好調であるが、家電や家具などの耐久消費財は苦戦が続いている。
,,□,スーパー（店長）,来客数の動き,・今年は降雪量の多さもあり、広域からの来客はなかなか厳しいものがあった。一方、近郊からの来客については、スーパーを中心に連日の折込チラシを展開したこともあり、日による増減はあるが、全体の売上は変わらない。
,,□,スーパー（企画担当）,販売量の動き,・今月の売上は、前年の東日本大震災の影響による特需の反動減から前年割れとなったが、前々年との比較ではプラスとなっており、トレンドとして必ずしも低下しているというわけではない。
,,□,スーパー（役員）,来客数の動き,・客単価は前年比101.5％と前月と同じ水準で推移している。ただし、前年の東日本大震災後の特需の影響で来客数が増加していた時期との比較のため、来客数は前年比94％と前年を下回っている状況であり、この状況は５月まで続く恐れがある。
,,□,衣料品専門店（店長）,お客様の様子,・何となく客に落ち着かないような雰囲気がある。落ち着いて買物をすることを忘れているように感じる。
,,□,衣料品専門店（店員）,単価の動き,・客は衝動買いよりも目的買いの方が多い。予算を組み、バーゲン品などの安い品物よりも、質の良い品物で少しでも価格が下がった商品を購入する。
,,□,高級レストラン（経営者）,来客数の動き,・春を迎えたが、観光客があまり増えてこない。
,,□,高級レストラン（スタッフ）,単価の動き,・ゴールデンウィークが始まるまでは、東日本大震災後の前年と同じくらいの来客数で心配したが、最終的な売上は前年を13％上回った。桜の開花もまだであるため、季節の良くなる５月以降に期待している。
,,□,高級レストラン（スタッフ）,販売量の動き,・低価格メニューが好評で前年並みの売上となった。北海道版グルメガイドが発売になったことで、星付きレストランは予約が集中しているが、星がなかったり、調査対象外のレストランは客足が悪く、特にディナー客が減少している。
,,□,旅行代理店（従業員）,お客様の様子,・上期実績が前年比97.8％となっており、客の動きは停滞気味である。
,,□,タクシー運転手,来客数の動き,・現在の状況も３か月前からの追跡調査でも、ほぼ同様に売上等の動向が改善されていない。来客数、乗客数等も大きく変わっている状況ではないため、景気の状況は横ばい状態にある。
,,□,タクシー運転手,来客数の動き,・前年比で注文数が若干減少している。特に観光客の減少が目立つ。
,,□,通信会社（社員）,お客様の様子,・客から積極的な消費が期待できるような言葉が聞こえてこない。景気や将来の展望が描けていないことや政治の不透明さが原因のためか、先行きが不透明であることから、前向きな行動を起こせないという言葉が聞こえる。
,,□,観光名所（従業員）,来客数の動き,・前年は東日本大震災直後で比較しづらいため、前々年との比較で利用客数をみると、約85％となっている。３か月前の１月は前年との比較で86％であり、利用客数の動向としてはほぼ同じような水準にある。
,,□,美容室（経営者）,来客数の動き,・あまりにも不景気が続くため、特別今更詳しく話すことはない。
,,□,住宅販売会社（経営者）,来客数の動き,・この冬は大雪だったため、春の訪れが遅くて来場者が少なくなっている。
,,□,住宅販売会社（従業員）,お客様の様子,・マンションの購入に関する客の判断は相変わらず早い。客の方が営業マンより積極的である。このような状況が半年以上も続いている。
,,▲,百貨店（売場主任）,来客数の動き,・気温が低いため、春物の動きが厳しい状況にある。ジャケット、コート関係は前年比95％、ニット、カットソー関係は前年比90％の動きとなっている。気温が上がることを期待している。
,,▲,百貨店（売場主任）,お客様の様子,・４月は買上客数が前年比90％台前半と不振である。上旬は気温が低いという天候要因もあったが、下旬に入り天候が回復しても来客数が伸び悩んでいる。客単価は前年比101～102％の見通しにあるが、売上は前年をやや下回りそうな状況にある。
,,▲,スーパー（役員）,お客様の様子,・野菜や米の値上がりが継続しており、客は食料品全体が値上がりしているように感じている。そのため余分な物を買わないように節約傾向になっている。
,,▲,コンビニ（エリア担当）,来客数の動き,・売上に関しては、前年のたばこの欠品以降、前年を上回って推移している。しかし、たばこ以外の商品群は前年並みかそれ以下であり、来客数も減少傾向にある。
,,▲,家電量販店（店員）,来客数の動き,・４月後半になり、来客数が落ち込んだ。
,,▲,家電量販店（地区統括部長）,販売量の動き,・前年の家電エコポイント制度終了の反動から、回復傾向となることを予想したが、引き続きテレビの需要は低迷が続いている。冷蔵庫も前年を大幅に下回っている。
,,▲,乗用車販売店（営業担当）,来客数の動き,・新型車効果も一段落してきたのか、イベント時の来客数も期待していたほど良くない。補助金や減税の効果も今のところ様子見の感じにある。
,,▲,その他専門店［医薬品］（経営者）,お客様の様子,・購入層の高齢化など、景気に関して良いことがほぼない。配達依頼が減っているのが心配だ。
,,▲,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・製品価格の高騰にともない、ガソリンの販売量が東日本大震災後の前年より減少している。
