Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,商店街（代表者）,来客数の動き,・今月は観光客の入込が多い。特に、地方からバスを利用して訪れる観光客が非常に多く、６月の入込数は１～３月の４～５倍となっている。
,,○,商店街（代表者）,お客様の様子,・気温の高い日が続き、夏物の出足が早かったことに加えて、ボーナス商戦の影響もあり、客の購買意欲が増している。
,,○,スーパー（企画担当）,来客数の動き,・既存店の来客数が８か月連続して前年を超えている。ただ、道内のグループ系列全体をみると、全ての地域でそのような状況になっておらず、道内全体として景気が回復しているということではない。
,,○,コンビニ（エリア担当）,来客数の動き,・気温の上昇に伴い、夏物商材を中心に売上が好調である。さらに一次産業の好調、公共工事の増加もあり、来客数の動きが良くなってきている。
,,○,コンビニ（エリア担当）,来客数の動き,・前年と比較すると、たばこ増税の反動があるものの、気温の上昇に伴い、食品の売上が前年を大きく上回っている。
,,○,乗用車販売店（営業担当）,販売量の動き,・まだ不安もあるが、新型車販売の効果で販売量が前年を超えた。
,,○,観光型ホテル（経営者）,単価の動き,・旭山動物園ブームにかげりがみられ、宿泊客数が減少傾向にあるものの、宿泊単価、付帯収入単価共に高水準にあり、売上を支えている。
,,○,観光型ホテル（スタッフ）,販売量の動き,・旅行商品に対する問い合わせが多くなってきている。また、好天に恵まれたためか、特に個人型のレンタカー商品に人気が集中している。
,,○,観光名所（役員）,来客数の動き,・天候の回復もあるが、来客数がやや増加傾向にある。
,,○,その他レジャー施設（職員）,来客数の動き,・前年と比較すると、徐々にではあるが、利用者数が増加している。
,,○,設計事務所（所長）,競争相手の様子,・今年は案件の出足が遅かったが、ここへ来て民間物件の受注が活発になっている。
,,□,商店街（代表者）,お客様の様子,・６月は好天が続いているが、一部の衣料店を除き前年と変わらない状況である。年金問題や定率減税の廃止に加えて、食肉加工の偽装問題などもあり、購買意欲が刺激されるような消費者心理になっていない。客は完全に守りの体勢となっている。
,,□,商店街（代表者）,販売量の動き,・来客数及び販売量が減少傾向にある。また客の低単価志向も強い。
,,□,商店街（代表者）,お客様の様子,・好天に恵まれたことから、季節商材の売上は前年を上回っているが、まだ消費動向が安定してきたとはみられない状態にある。
,,□,商店街（代表者）,お客様の様子,・客は安い物を買っており、客単価が上昇してこない。
,,□,一般小売店［酒］（経営者）,販売量の動き,・得意先である飲食店の客の入込が、好天であっても伸びておらず、当社の売上も厳しいまま変わらない。
,,□,スーパー（役員）,来客数の動き,・同業者の新規開店が増えており、競合店が増えているが、来客数の動きに大きな変化はみられない。
,,□,スーパー（役員）,来客数の動き,・今年は前年よりも気温が高く、総菜の相場が落ちていること、また低単価の夏物商材の売行きが良いことなどから、前年と比べて客単価が1.3ポイント落ち込んでいるが、来客数は4.1ポイント増加している。結果として既存店の売上は前年比103％と前月同様の数値で推移している。
,,□,家電量販店（経営者）,販売量の動き,・前年はサッカーワールドカップがあった影響で、家電に動きがみられたが、今年はその反動もあり、前年と比べると厳しい。
,,□,家電量販店（店員）,単価の動き,・フィルター掃除の必要ないエアコンなど、単価の高いエアコンが早い時期から動いている。また薄型テレビも相変わらず売れている。
,,□,家電量販店（地区統括部長）,販売量の動き,・前年は札幌エリアで地上デジタル放送が始まった影響で、薄型テレビの売上が大幅に増加したが、今年はその反動で、家電の柱である薄型テレビの売上が非常に厳しくなっている。一方で、今年は気温が高いことから、エアコンを始めとする季節商材の伸びが大きく、トータルすると前年とほぼ変わらない。
,,□,乗用車販売店（従業員）,お客様の様子,・６月にボーナスが支給されているが、報道されているような消費の拡大は感じられず、逆に前年を下回っている状況である。
,,□,その他専門店［医薬品］（経営者）,単価の動き,・数年ぶりの暑い６月で季節商材の動きがやや良い。だが依然として客足は鈍く、相変わらず客の単価の高さに助けてもらっている状態である。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品価格の高止まりにより、消費者の節約気運が高まっている。
,,□,高級レストラン（スタッフ）,単価の動き,・昼は一時的に満席となるが、その後が続かない。前月に引き続き客単価は５％減少しており、売上は２けたのマイナスとなっている。観光客の入込が悪い。
,,□,高級レストラン（スタッフ）,販売量の動き,・夕食は前年を下回ったが、ランチが前年を超え、全体では変わらなかった。
,,□,一般レストラン（スタッフ）,単価の動き,・相変わらず客単価の低下が続いている。来客数は前年に比べて３％増えているが、客単価が下がっているため、売上は前年並みであった。
,,□,旅行代理店（従業員）,販売量の動き,・夏休みの旅行申込がそれほど多くなく、回復する気配もない。
,,□,タクシー運転手,お客様の様子,・ＹＯＳＡＫＯＩソーラン祭り等の各種イベントの効果を期待したが、思ったように数字が伸びず、前年実績を下回って推移している。またアフターファイブの客の動きも悪いようだ。
,,□,美容室（経営者）,お客様の様子,・前月までは好調に推移していたが、地方税の増額とそれに伴う健康保険料の大幅値上げのため消費意欲が低下している。今月の売上は前年比で８％ダウンしており、客が出費を抑える傾向が見受けられる。
,,□,設計事務所（職員）,お客様の様子,・新年度を迎え新規発注が進ちょくすると予測された公共工事や、建築基準法の改正に伴い駆け込み着工が増大すると予測された民間工事のいずれもが低調な結果に終わっている。
,,□,住宅販売会社（経営者）,来客数の動き,・相変わらずモデルハウス等への来場客が少ない。
,,□,住宅販売会社（従業員）,販売量の動き,・相変わらず販売量が低下している。単価競争の影響もあり、非常に悪い状態が続いている。
,,▲,一般小売店［土産］（店員）,それ以外,・６月はボーナス支給月ではあるが、定率減税の廃止が実質的な増税の形となり、サラリーマンの手取収入が減少しているため、消費マインドにボディブローのように効いている。これまでのようにボーナスを消費に回すのではなく、貯蓄等の生活防衛に回すのではないかと懸念している。
,,▲,百貨店（販売促進担当）,販売量の動き,・ファッションのセール立ち上がり日が前年より１日早まり、６月としてはプラス要因となったが、初夏物、盛夏物の定価品の動きが振るわなかったことから、売上は前年実績を確保するのにとどまった。６月は月間を通じて気温が高かったが、マーケットが冷え込んでいるためなのか、盛夏物が期待ほど伸びていない。
,,▲,コンビニ（エリア担当）,販売量の動き,・今月の前半は気温上昇に伴い来客数が増加しており、売上もそれに連動していたが、後半に入ると、前年のたばこ増税前の駆け込み需要の反動で売上が鈍化している。また、来客数の伸びと比べて、食料品の伸びが小さく、消費の低迷がうかがえる。
,,▲,衣料品専門店（店長）,販売量の動き,・今月は天候が良かったことから、イベントへの人出も多かったが、それが売上につながっていない。
,,▲,観光型ホテル（経営者）,来客数の動き,・今年４月から、函館への観光入込客数が前年を下回っている。特に５月の後半から６月に掛けてその動きが顕著である。函館の観光入込客数の典型的な指標であるロープウェイの利用者数も２～３割減って推移している。
,,▲,旅行代理店（従業員）,販売量の動き,・来客数が減少している。
,,▲,その他サービスの動向を把握できる者,来客数の動き,・５月に引き続き、来客数が前年比で10％前後のマイナスとなっている。
,,×,タクシー運転手,来客数の動き,・６月はＹＯＳＡＫＯＩソーラン祭りや北海道神宮祭のイベントが行われたほか、北海道の観光シーズンが本番を迎えたことから、札幌に人が集まっており、ホテルなどは忙しいようであるが、タクシーの利用客は全く増えていない。特に平日の夜間の利用が極端に減っている。
"企業
動向
関連

(北海道)",,◎,－,－,－
,,○,家具製造業（経営者）,受注量や販売量の動き,・中規模の請負物件に底堅さがみられる。
,,○,輸送業（経営者）,取引先の様子,・前月に引き続き、荷物の動きが多少良くなっている。
,,○,輸送業（支店長）,取引先の様子,・鉄工関係は本州の好景気及び輸出好調の影響を受け、道内にも波及してきている。ただし、道内物件に関しては、６月20日の建築基準法改正により、大型物件の中でずれ込みが一部出てきている。
,,○,通信業（営業担当）,受注量や販売量の動き,・３か月前に立てた第１四半期の予想よりも実際の業績が堅調であり、緩やかであるが景況感は良くなっていると感じる。
