Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,商店街（代表者）,来客数の動き,・天候が良く、気温も暖かいため、人出が多く、客の入込もとても多い。
,,◎,観光型ホテル（経営者）,販売量の動き,・道外からの家族客、グループ客が好調である。人数的には大きな伸びではないが、宿泊単価、その他収入の消費単価が上昇している。
,,◎,観光型ホテル（スタッフ）,来客数の動き,・観光客の動向をみると、南北海道エリアは伸び悩んでいる状況であるものの、札幌エリア、富良野エリア、知床エリアは大幅な増員である。交通、食事、宿泊の関係者の動きも活発化している。
,,○,商店街（代表者）,販売量の動き,・前年同様に８月に入ってから夏日が続き、ビール、アイスクリームなどの飲料関連商品や水着、Ｔシャツなどの衣料品等を扱うコンビニ、酒屋、衣料品店、居酒屋が好調に推移している。
,,○,商店街（代表者）,来客数の動き,・８月は天候に恵まれたことから、夏休みの観光客が増加した。休日のイベント実施の影響もあり、飲食店では客の入込が増加しており、傾向としては上向きにある。
,,○,一般小売店［酒］（経営者）,販売量の動き,・今月は好天が続いているせいか、外出する人が多く、取引先の飲食店もかなり潤っている。
,,○,一般小売店［土産］（店員）,お客様の様子,・８月は年間でも一番忙しい月だが、今年は全国的な景気回復の影響もあるのか、家族単位で帰省や夏休みの旅行を楽しんでいるようであり、航空機の乗降客数が増えており、それに伴って来客数も増えている。客単価もやや改善傾向にあり、売上も微増している。
,,○,百貨店（売場主任）,単価の動き,・去年、苦戦していたフォーマルや呉服等の高額品の動きが今年は非常に良い。秋の新製品もスタートから非常に好調である。
,,○,スーパー（店長）,販売量の動き,・売上も販売量も、３か月前と比べて、ほんの少しではあるが良くなってきている。客足が少し戻ってきていると感じる。
,,○,コンビニ（エリア担当）,来客数の動き,・天候に恵まれたことから売上は大幅に回復傾向にあるが、ガソリン高騰の影響からか自動車で来店する客の動きが鈍い。天候面のプラス要因が無くなれば、週末の来客数が減少し、単価も低下する可能性が高い。
,,○,住関連専門店（従業員）,販売量の動き,・夏物商材が一気に売れた。
,,○,旅行代理店（従業員）,来客数の動き,・来客数が回復していることもあり、８月の旅行者数はようやく前年比100%を超えることができた。間際の申込増が効いている。単価が高いにもかかわらず、沖縄旅行が前年比200%を超える伸びを示しており、しばらく続行する勢いがある。
,,○,旅行代理店（従業員）,販売量の動き,・秋の国内旅行の受注が増加しており、海外旅行も９～12月にかけての受注が増えてきている。
,,○,旅行代理店（従業員）,販売量の動き,・来客数が増えている。
,,○,美容室（経営者）,お客様の様子,・７月にはガソリン高騰の影響で堅い支出傾向にあったが、８月になるとその傾向も薄れ、前年よりも８％増の売上となった。
,,○,設計事務所（所長）,競争相手の様子,・最近は、以前のように仕事がないという話を聞かなくなった。少し前までは、仕事があるところと無いところがはっきりしていたが、満遍なく仕事が回っているようだ。それだけ何らかの物件が動いているということである。
,,□,商店街（代表者）,お客様の様子,・残暑が続き、夏物商材はそれなりに消化ができているものの、客単価が低い。秋物商材に関しては、客の購買欲がいまいち出てきていないのか、それほど動きがみられない。
,,□,商店街（代表者）,お客様の様子,・暑さは続いているが、客の買い方は変わらないままである。
,,□,百貨店（販売促進担当）,販売量の動き,・真夏日が続く猛暑の影響を大きく受け、売れ筋商材が変化している。洋品、雑貨などの盛夏商材は実需を取り込んで伸長しているものの、秋物の定価商材の出足が鈍り、客単価の低下を招いている。また高校野球の盛り上がりも来客数にマイナスの影響を与えている。
,,□,スーパー（店長）,来客数の動き,・北海道全体における既存店の売上高は前年比95.7％と前月から2.7％の減少となっている。部門別にみると、特に住居用品が前年比91.5％と低迷しており、前月を８％ほど下回っている。衣料品も前年比を上回っていた前月からダウンしており、前年比97.7％と減少に転じている。主力の食品は旧盆商戦の成功から、前年比99.2%と前月からは1.3％ほど回復している。
,,□,スーパー（企画担当）,お客様の様子,・猛暑のおかげで売上が良かったものの、景気の回復は感じられない。客は本当に必要に迫られたものしか購入しないことを、今月も深く実感した。
,,□,コンビニ（エリア担当）,単価の動き,・天候要因により来客数が増加したが、商品単価は上昇しておらず、100円以下の商品や特売品の動きだけが良い。単価の高い商品群の動きは悪いままである。
,,□,コンビニ（エリア担当）,競争相手の様子,・気温の上昇に伴い、買上点数が著しく伸びている。たばこの増税の影響も少なく、前年実績を上回っている。
,,□,衣料品専門店（店長）,お客様の様子,・展示会の様子をみると、来客数が少なく、また客の買い方も慎重であった。良い物であっても買わないという状態が続いている。
,,□,家電量販店（経営者）,販売量の動き,・販売単価が下落しており、前年と同数を販売しても売上総額がダウンするという状況にある。実際には前年同数を売ることも非常に困難である。
,,□,家電量販店（店員）,それ以外,・８月になって気温が上がったのに伴い、少しは夏物商材が売れた。
,,□,家電量販店（地区統括部長）,販売量の動き,・薄型テレビは引き続き好調であるが、伸びは鈍化している。
,,□,乗用車販売店（営業担当）,販売量の動き,・受注台数が前年実績を超えてこない。
,,□,その他専門店［医薬品］（経営者）,来客数の動き,・来客数の減少に歯止めが掛からない。来店促進策を講じていても、なかなか功を奏しない現状である。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品の高騰が続いており、燃料の節約がなされている。
,,□,高級レストラン（スタッフ）,単価の動き,・宿泊客は前年並みであり、レストラン利用の増加は期待できなかった。前月同様、観光客向けメニューの設定や全体的な単価調整により増収が図れ、今月も施策が功を奏した結果となっている。
,,□,高級レストラン（スタッフ）,来客数の動き,・前年比105％と好調である。例年、８月は下旬以降に落ち込んでくるが、今年はほぼピーク時の売上をキープしている。ランチは待ち時間ありの満席の状態が続いている。この頃は、修学旅行生が目立つようになっている。
,,□,高級レストラン（スタッフ）,販売量の動き,・８月は猛暑の影響で大苦戦した。売上全体では前年比30％減となった。部門別売上をみると、ランチが20％ダウンしたほか、ディナーは35％ダウンした。ディナー客は気温上昇とともにビヤガーデンに流れるようになり、特に料理より飲物の減少が目立った。またお盆休みを例年より長く取っている人が多く、外食費が節約されている。個室は企業の利用が順調で前年並みであった。
,,□,観光型ホテル（経営者）,来客数の動き,・前年からみればやや良くなっているが、前年は愛知万博の影響があったためであり、前々年度からみると変わらないと評価している。
,,□,旅行代理店（従業員）,販売量の動き,・客の流れがやや活発化してきているが、残念ながら販売額には表れてきていない。
,,□,タクシー運転手,お客様の様子,・北海道は例年にない猛暑で、各種イベント等も盛り上がりをみせたようであるが、タクシーの需要は前月、前々月とさほど変わらなかった。
,,□,設計事務所（職員）,単価の動き,・酪農振興策の一つとして大手乳業メーカーのチーズ工場が相次いで着工したこともあり、鉄骨製作工場では、年末まで仕事が埋まっているが、建設会社によれば単価面で厳しく、とても景気が上昇するような状況ではないとのことである。
,,□,住宅販売会社（経営者）,来客数の動き,・モデルハウスへの来場者は相変わらず前年を下回っている。
,,□,住宅販売会社（従業員）,販売量の動き,・販売額の動きが悪いこともあるが、単価が下がり気味で、客の動きが非常に悪い状態である。
,,▲,商店街（代表者）,お客様の様子,・例年にない残暑も影響していると思うが、先行き不透明感と相まって、なかなか客の購買に結びつかない状況である。
,,▲,百貨店（売場主任）,お客様の様子,・出足は順調だったが、中旬から大幅に集客が減っている。好天続きでアウトドアを行うのに好環境となったことが、小売には向かい風となった。全館的に20～30代の来客が大きく減っている。
,,▲,住関連専門店（経営者）,販売量の動き,・商店街の他店の動向だが、退店、倒産が相次いでいる。
,,▲,一般レストラン（スタッフ）,単価の動き,・来客数は前年並みだが単価が７％ほど下落しており、２か月連続しての単価低下となった。特に８月は子供連れのファミリー客が例年に比べ多く、アルコール飲料の売上が大幅に減少した。
