Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,観光名所（従業員）,来客数の動き,・乗降客数の比較からだが、11月28日までの乗降客数の前年比は約130％、前々年比でも約114％と増加している。
,,○,百貨店（売場主任）,販売量の動き,・例年よりも３週間ほどの遅れで雪が降り、ようやく客の関心が防寒物に向いてきており、購買意欲も増してきている。
,,○,百貨店（販売促進担当）,販売量の動き,・初雪は遅れたものの、その後の冷え込みで冬物衣料の売上が急速に回復している。来客数は横ばいであるものの、買上客数及び客単価は伸びている。
,,○,スーパー（店長）,販売量の動き,・チラシ投入のタイミング及び降雪により、冬物、防寒物関連が一気に動いた。初雪は遅かったが、冬本番を迎えて、月全体としては好調に推移した。
,,○,スーパー（店長）,来客数の動き,・地元球団の優勝もあり、今月の売上は好調に推移している。ようやく雪が降り、寒くなってきたことで冬物関連も動いている。
,,○,観光型ホテル（スタッフ）,来客数の動き,・各週末に大型のイベントが開催されたことで、客室稼働、客単価ともに好調に推移した。
,,○,住宅販売会社（経営者）,お客様の様子,・住宅市場では、消費税増税が確定して、若干の駆け込み需要がみられるようになってきた。
,,□,商店街（代表者）,単価の動き,・前年と同じ売出しを開催したところ、来客数は前年並みに確保できたが、客単価が大幅に下落し、前年比で70％弱に落ちた。
,,□,商店街（代表者）,単価の動き,・今月単月でみると、防寒物衣料の動きが多少あるため、高額な商品が売れている。しかし、客単価が決して上がっているわけではなく、３か月前と比べてそう良いとは判断できない。
,,□,商店街（代表者）,お客様の様子,・客の反応をみると、前と変わらないという話が多かった。
,,□,百貨店（売場主任）,単価の動き,・店全体の売上はほぼ前年並みだが、今月は防寒衣料の動きにより客単価が前年比104.7％とアップしている。しかしながら、買上客数は前年比95.2％と前月よりもダウンしている。
,,□,百貨店（販売促進担当）,来客数の動き,・来客数の減少傾向に歯止めがかからない。強化企画を実施することで瞬間的には増加するものの、前後での反動減があり、月全体では減少している。
,,□,百貨店（役員）,お客様の様子,・ホームセンターは比較的順調に推移しており、衣料品及び生活用品も前年並みで推移している。しかし、スーパーが大苦戦しており、客単価、来客数ともに悪い。外食が増えているという話も聞かないため、食卓の献立数を減らしているとみられる。
,,□,スーパー（役員）,来客数の動き,・10月よりやや上向いているように感じるが、全体的にはまだやや悪い状態のまま推移している。客単価は依然として、前年比で0.5～1.0％低下しており、来客数についても前年比で2.0％前後低下して推移しており、厳しい状況が続いている。
,,□,コンビニ（エリア担当）,販売量の動き,・たばこの売上の減少に歯止めがかからない。早朝の時間帯での減少が大きく、今までけん引していた部分が減少に転じたことで、全体の数字に影響している。
,,□,コンビニ（エリア担当）,お客様の様子,・イベント商材の動きが鈍い。クリスマス商材や年末年始商材の動きも同様に鈍く、買い控えやぎりぎりまで様子を見る行動が出ている。
,,□,家電量販店（地区統括部長）,販売量の動き,・新型ＯＳ発売の影響でパソコンの需要が上向いてきたが、テレビの需要の低迷が続き、全体としては前年とほぼ横ばいの状況である。
,,□,乗用車販売店（従業員）,単価の動き,・販売がスモール系の車種にシフトしているため、売上、利益とも減少している。
,,□,乗用車販売店（従業員）,販売量の動き,・販売量が低迷したままであり、店頭に来る客もめっきり減っている。
,,□,自動車備品販売店（店長）,来客数の動き,・新車を購入した客の来店が増えている。冬に必要なタイヤやワイパーが動いている。
,,□,その他専門店［医薬品］（経営者）,来客数の動き,・少数のロイヤルカスタマーの動きによって日々の売上が激変している。天候不順の影響もあるが、明らかな買い控えも発生している。年金の非支給月は特に顕著である。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・今のところ石油製品価格は安定して推移している。
,,□,高級レストラン（経営者）,来客数の動き,・連休等は観光客が見込めるが、普段の日はあまり来客数が増えない。
,,□,旅行代理店（従業員）,お客様の様子,・年間予算に対する売上が、ほぼ前年比100％で推移しており、極端な変動がない。
,,□,旅行代理店（従業員）,販売量の動き,・当地からの航空機利用は前年比でややダウンして推移している。前年は震災復興需要などでビジネス利用が活発であったことが要因とみられる。
,,□,タクシー運転手,来客数の動き,・例年より初雪が遅かったが、雨の日が多かったほか、地元球団の優勝パレードなどのイベントの影響により、タクシーの売上が前年よりもやや良くなっている。ただし、天候の良い日は前年より売上が悪い。
,,□,タクシー運転手,販売量の動き,・今月に入って利用客も注文も減っている。観光客の多かった３か月前と比較して、タクシーの売上は約10％のマイナスである。しかし、前年実績と比べると約7.6％増えていることから景気は変わらない。
,,□,タクシー運転手,来客数の動き,・注文数が前年比でマイナスとなっており、特に観光客からのオ－ダーが減少している。
,,□,美容室（経営者）,お客様の様子,・売上の前年比が上がりもしないが、下がりもしないという状況で推移している。消費生活がパターン化しているようにみられる。
,,□,住宅販売会社（従業員）,お客様の様子,・分譲マンションに対する客の購買意欲は相変わらず高いが、その意欲が特にこれまで以上に高まっているわけではない。むしろ、総選挙の結果によっては、住宅金利が変動する可能性があるため、総選挙後に客の様子が多少変化するかもしれない。
,,▲,商店街（代表者）,来客数の動き,・観光土産店を経営しているが、売上が前年比６割とかなり落ち込んでいる。10月は前年比120％であったが、11月になり急ブレーキを踏んだような感じで落ちている。近隣のホテル、温泉等も相当悪く、人が入っていない状況である。
,,▲,商店街（代表者）,来客数の動き,・天候不順の影響もあり、外出が減っている様子がうかがえる。
,,▲,一般小売店［土産］（経営者）,来客数の動き,・11月の上旬はあまり気にならなかったが、中旬以降、政局が解散ムードになるにつれて、観光客が顕著に減少してきた。11月までの総売上については前年比で３％程度伸びているが、選挙戦一色で消費が落ち込んでいる。
,,▲,スーパー（店長）,販売量の動き,・極端な安売りをしなくなったこともあり、８月から11月まで、右肩下がりで販売量が落ちている。
,,▲,スーパー（企画担当）,来客数の動き,・足元の売上状況は、来客数、客単価ともに厳しい数字で推移しており、一段の消費低迷の状況がうかがえる。
,,▲,スーパー（役員）,お客様の様子,・週末のまとめ買いが少なくなり、必要な物を必要なだけ購入する傾向が強くなっている。
,,▲,コンビニ（エリア担当）,来客数の動き,・天候要因もあるが、工事関係者の来店が減少している。
,,▲,コンビニ（エリア担当）,販売量の動き,・前年と比較して明確に売上が減少している。競合店がノルマを設定しているという情報も多く聞かれる。
,,▲,衣料品専門店（店長）,単価の動き,・今までより買い方が非常に少額になっている。売り掛けの場合も入金が遅れてきている。
,,▲,衣料品専門店（店員）,お客様の様子,・消費者の購買意欲が一段と厳しくなってきている。総選挙も告示間近となり、高額衣料品が伸び悩んでいる。
,,▲,家電量販店（店員）,お客様の様子,・客は何度も店を回って値段を見ており、一度の来店では、買う物を決めない状況にある。
,,▲,乗用車販売店（従業員）,販売量の動き,・エコカー減税は現在も続いているが、エコカー補助金がなくなったあおりを受けている。前倒しで購入を決めた客が多いため、今は決まらなくなってきている。
,,▲,高級レストラン（スタッフ）,来客数の動き,・今月中旬までは観光客の入込も良く、前年比プラスで推移していたが、下旬の悪天候でディナータイムは客がほとんど入らない日が続き、最終的には前年比はマイナス５％であった。ただし、観光客の入込は前年並みであった。
,,▲,高級レストラン（スタッフ）,販売量の動き,・気温の急降下や連休が入ったことに加えて、総選挙の確定後に夕食が落ち込んだことから、前年を下回った。ランチはそこそこ客が入るが、夕食は客足が遠のいた。地方の飲食店では、味を落とさない努力をしている店が昼夜とも繁盛している。しかし、客単価が下がっているなかで、苦しい台所事情は変わらない。
,,▲,高級レストラン（スタッフ）,来客数の動き,・年末を控えて、客の利用控えがみられる。総選挙があることも影響している。
,,▲,一般レストラン（スタッフ）,来客数の動き,・９～11月と３か月連続で来客数が前年より減少しており、特に10～11月は前年比で10％以上の低下となっている。
