Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,観光型ホテル（経営者）,単価の動き,・個人客が多く、入込客数に大きな伸びはないが、その反面、宿泊単価が高水準にある。また売店等の付帯収入の単価も上昇している。
,,○,商店街（代表者）,単価の動き,・前年より暖かい日が続いているが、防寒衣料に動きが出てきているため、客単価が上昇しており、２～３か月前と比べると売上は良くなってきている。
,,○,商店街（代表者）,お客様の様子,・今月は非常に暖かいので、買物客の動きが良くなっている。最近は固定客も多い。
,,○,スーパー（店長）,販売量の動き,・前月と同様に、閉鎖店の客が流れてきており、客入りが良い。販売量も前年比104％と伸びている。
,,○,スーパー（企画担当）,来客数の動き,・前年の反動という要因もあるかもしれないが、既存店で来客数の増加がみられる。
,,○,コンビニ（エリア担当）,販売量の動き,・依然として来客数は減少しているが、アルコールの売上が増加し、客単価が上昇している。飲酒運転の問題からか、家で酒を飲む傾向が強まっていると思われる。
,,○,観光型ホテル（スタッフ）,来客数の動き,・秋冬の端境期には来道者数が若干減少したものの、依然として旭山動物園の動きは好調であるほか、スキーをメインとした観光商品も前年を上回って推移している。海外客については、韓国からの客が若干減少しているが、それに代わりオーストラリアからの客が増えている。
,,○,その他レジャー施設（職員）,来客数の動き,・今月初めに企画したイベントの効果が出ており、利用者数が増えてきている。
,,□,商店街（代表者）,お客様の様子,・景気を刺激するような要因も見当たらず、客は堅実な消費行動をしている。
,,□,商店街（代表者）,販売量の動き,・相変わらず単価の低い商品ばかりが売れ、全体としては横ばい傾向にある。商店街の人通りも少なく、現況においては販売量の増加が見込めない。
,,□,百貨店（販売促進担当）,来客数の動き,・暖冬の影響でファッション系の季節商材が不振である。前年メーカーが生産量を抑制したコートは伸びているものの、ニット製品や手袋、マフラーなどは売行きが鈍い。景気回復の兆しがみえない中、気候条件の変動が売上を左右する状況にある。
,,□,コンビニ（エリア担当）,単価の動き,・客は依然として価格に敏感だが、その一方で、比較的価格の高いビールも好調である。
,,□,コンビニ（エリア担当）,競争相手の様子,・依然として競合店の閉鎖が相次いでいる。
,,□,家電量販店（店員）,来客数の動き,・客はたくさんの店を回っている。少しでも安い価格の商品を探している。
,,□,家電量販店（地区統括部長）,販売量の動き,・歳末商戦に向けて、薄型テレビを中心に需要が高まると期待していたが、前月とほぼ変わらない販売台数で推移している。
,,□,乗用車販売店（従業員）,来客数の動き,・新規来場者数が前年と比べてかなり悪く、販売台数も苦戦している。
,,□,その他専門店［医薬品］（経営者）,お客様の様子,・例年、11月は風邪関連や手荒れ関連の冬物商材の需要が高まり、盛り返しをみせる時期であるが、今年は今一歩活気が出ていない。季節プレゼントのカレンダー等の人気もあまりない。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・スタッドレスタイヤの販売単価が低下していることに加えて、タイヤ交換についても自分で交換する人が増えている。
,,□,高級レストラン（スタッフ）,単価の動き,・客足は鈍っているが、単価上昇を狙った施策を実施しており、それが売上をカバーしている。
,,□,高級レストラン（スタッフ）,来客数の動き,・売上は前年比96％と前年を下回った。例年、11月はイベント等のはざ間で苦戦するが、特にランチの落ち込みが前年比90％と目立っている。一方、ディナーは前年比121％となった。
,,□,高級レストラン（スタッフ）,販売量の動き,・全体の売上では前年並みとなった。ランチでは、温暖な日が多かったことからグループ利用もみられたが、近隣のビジネスマンの利用が相変わらず減ったままであり、売上は前年並みとなった。ディナーでは、ボージョレーヌーボーが伸び悩み前年比80％と前年を下回った。個室は公務員や学校関係者の宴会、結婚式の二次会などの利用があり、前年を大きく上回った。
,,□,観光型ホテル（経営者）,単価の動き,・来客数そのものは若干減っているが、客単価が上昇している。売上としては大体平年ベースとなっており、大きな変化はみられない。
,,□,旅行代理店（従業員）,お客様の様子,・年末に向けて、販売量が増加するような傾向にもなっておらず、景気回復はみられない。
,,□,タクシー運転手,来客数の動き,・11月は例年より暖かく、天候の良い日が多かった。雪が降るのも遅く、降雪も少なかったので、タクシーの利用は前年よりも少なかった。
,,□,タクシー運転手,お客様の様子,・10月以降、業界全体の売上がやや上向きとなっているように感じられるが、まだ安心感は持てない。
,,□,美容室（経営者）,お客様の様子,・客の来店周期が固定化されてきており、売上の変動が少なくなっている。
,,□,美容室（経営者）,販売量の動き,・客の来店がとても少なく、売上が減少している。
,,□,設計事務所（職員）,それ以外,・公共事業や民間企業の設備投資が低調であるため、建設業の売上は芳しくなく、本州大手の設計事務所や建設会社の支店幹部は本社での会議で苦戦していると聞いている。
,,▲,商店街（代表者）,単価の動き,・客の購買意欲はまだ低く、特に高単価商品の動きが鈍い。また必要な時に必要な物しか買わない傾向がより強くなっていると感じる。
,,▲,一般小売店［酒］（経営者）,販売量の動き,・飲酒運転取締まり強化の影響が、まだ尾を引いているようで、飲食業にとって相当なマイナス要因となっている。また、これから燃料費のかさむ季節を控えて、灯油高を背景に一段の生活防衛が生じ、消費にブレーキを掛けている。
,,▲,スーパー（店長）,販売量の動き,・既存店の売上は前年比93％と10月からは６％の減少となっている。部門別にみると、暖冬の影響を受けて、特に衣料品の売上が前年比89％と不振である。また景気回復の遅れもさることながら、新規大型競合店の出店による競争激化から、衣料品、住居用品、食品と全部門が全国平均値を下回っている。
,,▲,コンビニ（エリア担当）,来客数の動き,・来客数が減少傾向であるものの、客単価が増加しており、売上は現状を維持している。ただ、問屋等との間で、取引条件の変更が起きており、経済環境は今後更に悪化する見通しである。
,,▲,衣料品専門店（店長）,来客数の動き,・当店の客は年齢の高い人が多いため、医療費や年金、厳冬期の暖房費などを心配していることが多く、客の動きが悪くなっている。
,,▲,乗用車販売店（営業担当）,販売量の動き,・来客数が減っており、販売量も減ってきている。
,,▲,旅行代理店（従業員）,来客数の動き,・来客数が前年から15～20％程度落ち込んでおり、それに伴い受注額も低下している。
,,▲,旅行代理店（従業員）,販売量の動き,・来客数が減少している。
,,▲,その他サービスの動向を把握できる者,来客数の動き,・天候不順によってフェリーの欠航回数が増えこともあり、離島観光客は２か月ぶりに２けたの減少となった。
,,▲,住宅販売会社（経営者）,来客数の動き,・マイホームセンターへの来場者数がどんどん減っている。
,,▲,住宅販売会社（従業員）,販売量の動き,・受注量が大きく低下して、非常に悪い状態だが、更に受注内容も悪くなってきている。
,,×,＊,＊,＊
"企業
動向
関連

(北海道)",,◎,－,－,－
,,○,家具製造業（経営者）,受注量や販売量の動き,・住宅、企業の小規模請負物件が活性化してきた。
,,○,輸送業（経営者）,取引先の様子,・運輸送関係では、半年位前まで燃料の高騰が相当響いていたが、現在は燃料が少し下がり気味となってきているため、やや上回ってきている。
,,○,金融業（企画担当）,それ以外,・設備資金は中小企業まで広がっていないが、食品関連企業や自動車関連企業の能力増強投資が下支えている。住宅投資も持家が上向き、投資用賃貸住宅も高水準となっている。観光関連も地域差はあるが、全体としてはまずまずの状況にある。個人消費は地元球団の優勝効果が寄与して幾分持ち直した。
,,○,その他サービス業［システムハウス］（経営者）,受注量や販売量の動き,・同業他社も含めて、人手の足りない状態になっている。
,,□,輸送業（営業担当）,取引先の様子,・生乳の生産調整の影響で飼料製品は落ち込むと判断していたが、ＢＳＥ対策から国内牛肉の需要が好調であることから、肉牛用飼料が増加しており、飼料全体では減少とはならなかった。ただビート糖、でん粉は前年を割り込んでいる。
,,□,司法書士,取引先の様子,・個人向けの不動産取引、建物建築が若干減少傾向にある。
,,□,その他サービス業［建設機械リース］（営業担当）,受注量や販売量の動き,・建設投資の動きに変化がみられない。
,,□,その他サービス業［建設機械リース］（支店長）,受注量や販売量の動き,・本来であれば、除雪機の商談が佳境に入る時期だが、一向に上向きになる気配が感じられないまま、降雪シーズンを迎えた。
