Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,商店街（代表者）,来客数の動き,・暖かくなったので、ゴールデンウィーク以降も客の流れが活発になっている。特に観光客の入込が多くなっている。
,,◎,観光名所（役員）,販売量の動き,・ロープウェイの輸送人員、レストランの売上高等が前年実績をかなり上回っている。
,,○,商店街（代表者）,お客様の様子,・ゴールデンウィーク以降も天候が安定していることから、道内からの観光客が例年以上に多く、飲食店では前年実績を上回った店が多かった。
,,○,商店街（代表者）,お客様の様子,・ゴールデンウィーク中の買上客数に例年ほどの落ち込みがみられなかった。またゴールデンウィーク後の客の購買意欲の落ち込みも今年はあまりみられず、夏物衣料が順調に売れている。
,,○,百貨店（売場主任）,お客様の様子,・５月は初夏物衣料や夏物衣料の通常価格での実売期であり、例年であれば６月の売り尽くしセールを控えて、客の買い控えが見られるが、今年はそうしたことがなく、通常価格での商品販売が非常に好調である。
,,○,スーパー（店長）,来客数の動き,・現時点での売上高は前年比98.0％と前年を下回っているものの、今年に入ってからの売上は各月とも前年実績を上回っており、やや良くなっている傾向にある。また、買上客数についても同様の傾向にある。
,,○,コンビニ（エリア担当）,来客数の動き,・気温上昇にともない、来客数が増加している。特に行楽需要の高さから、ロードサイド付近の店舗での来客数の回復が目立っている。
,,○,衣料品専門店（店員）,単価の動き,・実売期に入り、前月と比較して買上客数は増加しているものの、前年と比較すると大きな差はなく、客単価でみるとむしろ低くなっている。
,,○,家電量販店（地区統括部長）,お客様の様子,・当地では地上デジタル放送の試験放送が５月から始まっており、客の興味がより強くなっている。
,,○,乗用車販売店（営業担当）,来客数の動き,・展示会等での来客数が増えてきている。
,,○,高級レストラン（スタッフ）,来客数の動き,・地産地消をテーマとした海産物フェアが客のし好にマッチしたのか、４月、５月と来客数の伸びが顕著になっている。
,,○,高級レストラン（スタッフ）,販売量の動き,・ランチではゴールデンウィーク後から女性のグループ客が目立つようになり、ランチの売上は前年比120％となった。夕食では来客数が減ったものの、本州企業のビジネスマンを中心に高額メニューの注文が増え、客単価が上昇したことから、売上は前年並みとなった。ただし、従来からの顧客が激減しており、客層が変わってきている。個室では一部の企業の利用が好調であり、前年実績を上回った。昼は余裕のある主婦層に、夜は企業などの団体に支えられ、全体の売上は前年実績を上回った。
,,○,観光型ホテル（経営者）,単価の動き,・依然として旭山動物園、知床の世界自然遺産が集客要因として大きいが、本州からの団体客の入込がやや足踏み状態になっている。宿泊客数は堅調だが伸びない。その反面、宿泊単価の高い客層が増加しつつあり、宿泊客数の伸び悩みをカバーしている。
,,○,観光型ホテル（経営者）,来客数の動き,・来客数、単価とも前年実績を上回っている。最大の要因は、前年の愛知万博による影響が今年はみられないということである。また、ゴールデンウィークの曜日配列が良かったことや、本州地区での景気回復の余波が函館にもわずかながら影響していることも要因として挙げられる。
,,○,観光型ホテル（スタッフ）,来客数の動き,・道内客の動きは鈍いが、本州客の動きが活発になってきている。前年あった愛知万博の影響がないことや本州企業の招待旅行が増えてきていることで、良くなっていると感じる。
,,○,旅行代理店（従業員）,来客数の動き,・道内の宿泊需要が増加傾向にあり、７～８月にかけての夏休み旅行の申込が例年になく早い動きをしている。
,,○,旅行代理店（従業員）,販売量の動き,・個人客は横ばいであるが、団体客が好調に推移している。
,,○,旅行代理店（従業員）,販売量の動き,・来客数が増加している。
,,○,美容室（経営者）,単価の動き,・客単価が前年よりも３％程度上昇してきている。新商品への関心度も高くなってきた。
,,□,商店街（代表者）,販売量の動き,・ゴールデンウィーク前半は良かったが、中旬以降はその反動で人の動きが鈍くなった。
,,□,商店街（代表者）,お客様の様子,・夏物のシーズンに入り、少しは商品に動きが出てきているが、客は先行きの不安を払しょくできず、まだまだ慎重な買い方が続いている。
,,□,一般小売店［酒］（経営者）,販売量の動き,・１人当たりの買上単価が低いままで推移している。
,,□,一般小売店［土産］（店員）,お客様の様子,・春先から団体旅行客が減少して、個人旅行客が増加しているが、個人客は団体客よりも購買数量が少なく、購買金額も低いため、来客数が伸びているにもかかわらず、売上の増加に結びついていない。
,,□,百貨店（売場主任）,お客様の様子,・例年に比べ、企画面や天候面等でマイナス要因がいくつかある中で、販売部門ごとの差はあるものの来客数や売上ともに大きく数字を落としていない。ただし、客の買物の様子には慎重さがうかがえる。
,,□,百貨店（売場主任）,来客数の動き,・中旬以降、天候が良くなり、夏物商材がよく動くようになった。クールビズの関係でボタンダウンのワイシャツなど、シャツ関連の動きも少し良くなってきている。
,,□,百貨店（販売促進担当）,販売量の動き,・母の日が前年よりほぼ１週間遅くなったため、洋品などのギフト需要が増加するというプラス要因があったが、その一方で、冷涼な気候であった前月から気温が急激に上昇したため、婦人衣料の売れ筋が変化するというマイナス要因もあった。ジャケットについては麻素材の商品が伸びるも全体では前年割れとなったほか、カットソーなどの単品購入が増え、客単価の押し下げ要因となった。
,,□,スーパー（企画担当）,来客数の動き,・気温の低い日が長く続き、春物商材を中心に動きが鈍い状況が続いていたが、ゴールデンウィークを過ぎたあたりから気温も平年並みに上がっており、行楽商材を中心に少しずつ動きが出てきている。
,,□,コンビニ（エリア担当）,単価の動き,・前年の同時期と比較して、客単価が低下している傾向が続いている。
,,□,衣料品専門店（店長）,お客様の様子,・暖かくなり、商店街への人出も増えているが、販売量となると大きな変化は表れていない。
,,□,家電量販店（経営者）,販売量の動き,・前月に引き続き、販売量が冷え込んでいる。１月中旬以降の悪い流れが続いている。
,,□,家電量販店（店員）,来客数の動き,・前年と比較して、来客数に変わりはないものの、売上は増加している。当地での地上デジタル放送開始が間近に迫っているので、薄型テレビに対する購買意欲が高く、よく売れている。
,,□,乗用車販売店（従業員）,競争相手の様子,・来客数が少なく、売行きが極端に良くない状況が続いている。同業他社においても同様の状況である。
,,□,乗用車販売店（従業員）,単価の動き,・小型車の比率が高くなっているので、売上高が減少している。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品価格が高値で安定しているため、客の１回当たりの購入金額が少ない。
,,□,高級レストラン（スタッフ）,来客数の動き,・売上の85％を占める軽食コーナーは前年比116％と、ランチを主体に好調が続いている。コース料理コーナーは前年比でほぼ横ばいである。観光シーズンに入り、今年は前年に比べて観光客の多さが目立っている。
,,□,スナック（経営者）,単価の動き,・今月はゴールデンウィークがあったため、稼動日数が少なく、売上が減少しているものの、来客数の割には売上が良く、客単価が若干上昇している。
,,□,観光型ホテル（スタッフ）,販売量の動き,・宿泊人数は前年と比べマイナスとなっているが、総消費単価は前年実績を上回っており、全体の売上高は前年並みで推移している。
,,□,タクシー運転手,お客様の様子,・北海道の場合、雪解けとともに極端にタクシーの需要が減るため不況感を感じる。またススキノ飲食店の経営者の話を聞くと、大衆居酒屋の客足はまずまずであるが、スナックやクラブ等は閑古鳥が鳴いてるそうである。
,,□,タクシー運転手,販売量の動き,・道東地区では、夜の繁華街が閑散としており、大変厳しい状況となっている。勤めているホステスもタクシーを使わず自家用車で通勤しているほどであり、空車のタクシーがあふれている。
,,□,住宅販売会社（従業員）,販売量の動き,・少額物件はある程度でているが、高額物件の販売量が落ち込んだままの状態が続いている。
,,□,住宅販売会社（従業員）,それ以外,・数社の取引業者から他社の仕事も少ないと聞いている。
,,▲,スーパー（店長）,販売量の動き,・気温の低下が影響しているのか、行楽関連商材の販売量が前年を大きく割り込んでいる。またゴールデンウィークの人出が予想以上に少なく、食品の売上にも影響を及ぼしている。
,,▲,スーパー（店長）,販売量の動き,・５月はゴールデンウィークの売上失速に加えて、中旬には近隣に競合店が新規オープンした影響から、現時点の販売量は前年比87％と非常に悪く、これまでの上向き傾向に歯止めが掛かっている。
