Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,スーパー（店長）,来客数の動き,・天候に大きく左右されるが消費は堅調で来客数も増加の兆しがある。ただし、前年、爆発的に伸長した家電製品については、反動が大きすぎるため、影響を除外しての回答である。
,,○,スーパー（役員）,お客様の様子,・年金支給日が買物動向に与える影響が顕著である。６月12日以降、一時的に売上は前年の110％程度まで上昇している。
,,○,コンビニ（エリア担当）,販売量の動き,・公共事業や土木建築など、前年の東日本大震災による自粛等により、止まっていた案件が動き出している。
,,○,高級レストラン（経営者）,来客数の動き,・観光シーズンに入っているため、若干であるが、週末や連休に当地への観光客が来店している。
,,○,高級レストラン（スタッフ）,販売量の動き,・売上は前年を超えたが、格安価格帯のメニューが多く、経費が増えて減益となった。前月より来客数が増えたが、たまたま料理で反響があったようだ。特に、最近注目されている調理方法である野菜の「50度洗い」をした料理を提供したところ、反応が顕著であった。
,,○,観光型ホテル（スタッフ）,単価の動き,・大型の学術大会、イベントが開催され、比較的高単価の客を取り込むことができた。
,,○,旅行代理店（従業員）,販売量の動き,・前年の東日本大震災震災の反動から、今年の４～５月は伸びを期待したが、予測よりも低い伸び率であった。６月になってようやく航空座席予約数が伸びてきた。
,,○,通信会社（企画担当）,販売量の動き,・夏商戦に入り、通信機器への予約や問い合わせの件数が回復している。
,,○,観光名所（従業員）,来客数の動き,・24日時点での比較になるが、３か月前の３月の来客数は前々年比で約93.4％であった。今月は同じく24日時点で、前々年比で99.6％となっており、３月よりもある程度の回復基調を数字からも感じることができる。
,,○,観光名所（職員）,来客数の動き,・観光繁忙期に入り、来場者が前々年並みに戻りつつある。ただし、東南アジアを始めとした海外からの来場者は減少している。
,,○,美容室（経営者）,単価の動き,・以前は内容が良くても、価格が高いと売れないといった傾向が顕著であったが、最近は価格が高くてもそれに見合う内容の物であれば買ってもらえる場合が増加してきている。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・観光最盛期にさしかかり、乗客数が増加している。ただし、東日本大震災発生以前の乗客数には達していない。
,,○,設計事務所（所長）,お客様の様子,・北海道の場合、季節的な面もあるが、前年と比べて客の動きが多い。成約率も高くなっている。
,,□,商店街（代表者）,お客様の様子,・小売業、特に路面店にとっては、夏は売上が期待できるシーズンである。なかなか収入も上がらず、消費税の増税問題の話がされるなかで、マインド的には消費を抑えられているが、季節商材の動きが少しずつ上昇してきている。
,,□,商店街（代表者）,お客様の様子,・客の反応は以前と変わらず、変化がない。
,,□,商店街（代表者）,来客数の動き,・今月中旬までは、低温や雨といった天候不順の影響のためか、来街者数が予想より少なかった。特に、無料バスチケットを利用する高齢者の買物客が施策開始当初こそ増加していたが、ここにきて落ち着いてきている。
,,□,一般小売店［土産］（経営者）,来客数の動き,・中国本土からの観光客はまだ戻っていない。天候不順が消費の落ち込みに追い打ちをかけている。また、政府が東日本大震災の復興を置き去りにして、消費税の増税ばかりであると国民の目に映っており、政府に対する先行き不安から客が慎重になっている。客単価も2400円あったものが、1800円くらいまで落ち込んでいる。
,,□,一般小売店［酒］（経営者）,販売量の動き,・今月は３か月前と比べると天候も良く、夏の時期に入って気温も高くなってきているため、飲料水関係が堅調であった。ただし、今月の月初めは一番売上の多い金土で始まり、月末も金土で終わったという事情を考慮すると、売上自体は悪くないが、それほど良い状況でもない。
,,□,百貨店（販売促進担当）,来客数の動き,・前年に競合他店の開店効果による来客数の増加があり、単純比較では来客数の大幅減となっているものの、こうした特殊要因を除けば基調は大きく変わらない。
,,□,スーパー（店長）,販売量の動き,・今月も売上は前年割れで、相変わらずの下降トレンドではあるが、販売量は前年比で微増の102％であった。
,,□,スーパー（役員）,来客数の動き,・客単価が前年比で1.7％上昇しており、わずかに上昇している。しかしながら、来客数が2.0％強低下している影響で、既存店ベースの売上は約0.8％落ち込んで推移している。
,,□,コンビニ（エリア担当）,販売量の動き,・前年のたばこ品薄による特需の反動があるため、前年比の数字を単純に比較することはできないが、来客数は前年並みを維持している。
,,□,衣料品専門店（店員）,販売量の動き,・気温の上昇とともに夏物の着物と秋冬物の展示会催事での高額な消費があった。売上は前年同様に良かった月であった。
,,□,家電量販店（店員）,販売量の動き,・月後半になり天候が回復し、夏物家電がよく動いた。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・依然として自動車用燃料の販売量が低調である。
,,□,高級レストラン（スタッフ）,来客数の動き,・平日は、仕事帰りの常連客が目立つが、週末は昼夜とも年配の夫婦、団体客が多い。季節が良くなり、修学旅行生や観光客を電車及び観光スポット付近でよく見かけるようになり、来客数も前年比110％とほぼ東日本大震災前の水準に戻っている。
,,□,旅行代理店（従業員）,お客様の様子,・大型案件の発注が例年より早めにみられる。客の心理としては購買力が上がってきているように見えるが、数値は東日本大震災のあった前年の４～６月と比べて100％推移のため、決して良くはない。
,,□,タクシー運転手,来客数の動き,・６月はＹＯＳＡＫＯＩソーラン祭りなど、初旬に大きなイベントがあり、前年の東日本大震災後の落ち込みよりも大幅な増収を期待したが、若干の増収であった。前々年の６月の売上までは回復していない。
,,□,タクシー運転手,販売量の動き,・３か月前と今月の販売量の動きが大きく変わっていない。また、前月は若干持ち直しの傾向もみられたが、今月に入って、若干前年を下回っている状況もみられる。そうした流れから、それほど大きな変化はないとみられる。
,,□,タクシー運転手,販売量の動き,・前年と比較すると、前年比114％と伸びているため、東日本大震災の影響はほぼなくなったとみられる。３か月前と比較しても100％で推移しているため、景気は変わらないと判断した。
,,□,タクシー運転手,来客数の動き,・注文数が前年並みで推移している。観光客が減り、ゴルフ客が増えた。
,,□,住宅販売会社（経営者）,お客様の様子,・政治の混迷、株式市場の低迷の影響を受けて、客のムードが非常に悪い。
,,□,住宅販売会社（従業員）,競争相手の様子,・競合企業のマンション成約戸数は、地域によって多少むらがみられるが、全体的には横ばいである。
,,▲,商店街（代表者）,お客様の様子,・消費税の増税が決まりそうなため、先行きの景気に対する不安から客の財布のひもが固い。
,,▲,商店街（代表者）,来客数の動き,・６月のボーナス時期にもかかわらず、来客数が増える日が特にみられない。また、平日と土日についても、前年と比べて来客数に変化がなく、盛り上がる日がなかった。
,,▲,百貨店（売場主任）,単価の動き,・４月の売上は前年比97.1％、５月の売上は前年比95.5％、６月の売上見通しは前年比95％と３か月連続で前年割れの状況である。買上客数は４月が前年比93.6％、５月が前年比95.9％、客単価は４月が前年比103.7％、５月が前年比99.5％の推移だったが、６月の見通しは買上客数、客単価とも前年比95％前後であり、買上客数だけでなく、客単価も下がってきている。
,,▲,百貨店（販売促進担当）,販売量の動き,・今月に入り、来客数が減少傾向になっている。加えて、買上客数も減少傾向、客単価も低下傾向となっている。
,,▲,百貨店（役員）,販売量の動き,・６月24日までの異常なほどの低温で夏物の初期需要がほとんどなかった。ここにきて気温の上昇がみられるが、消費者の心理まで届くかは不明である。
,,▲,コンビニ（エリア担当）,単価の動き,・前年のたばこの売上増加の反動が大きく、客単価の低下がみられ、前年比では苦戦している。たばこの反動減は今後も継続する要因であるため、それ以外のカテゴリーでの伸長が必要だが、来客数の動向も鈍い。
,,▲,乗用車販売店（営業担当）,来客数の動き,・大型イベントを含めて、毎週土日のイベントの際の来客数が以前と比べて減ってきている。それに伴い、受注量も比例して減少気味である。
,,▲,その他専門店［医薬品］（経営者）,来客数の動き,・年金の支給月とはいえ、来客数の増加が望めない状況にある。年金が６月から減額されたことも影響がある。
,,▲,高級レストラン（スタッフ）,来客数の動き,・来客数は10％程度減少している。色々な面で客が消費を抑える傾向がある。
