Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,観光型ホテル（経営者）,販売量の動き,・道外客の動きが活発であり、宿泊単価も高めに推移している。旭山動物園、知床に加えて、富良野が好評であり、企業やグループの団体旅行を中心に入込も増加している。
,,○,商店街（代表者）,お客様の様子,・当初は天候不順で客の入込が悪かったが、後半に入り天候が良くなるにつれて、客足も増えてきた。
,,○,百貨店（売場主任）,お客様の様子,・天候不順にもかかわらず、夏物衣料の販売が非常に好調である。秋物や初秋物についても商品を先取りした定価での買上が好調である。
,,○,高級レストラン（スタッフ）,単価の動き,・単価を上昇させるため、内容のグレードアップによる販売価格の見直しやプレミアム商品の販売を行ったところ、売上が前年比で７％の増加となった。
,,○,観光型ホテル（スタッフ）,来客数の動き,・６月以降、道内への輸送人員が増えており、知床と札幌、富良野への観光客が前年よりも増加している。それにより関連企業の業績も伸びている。
,,□,商店街（代表者）,来客数の動き,・気温の上昇とともに客の行動範囲が広がっている。毎週日曜日に実施している歩行者天国の日も集客が限られており、各店の期待しているほどの売上とはなっていない。
,,□,商店街（代表者）,お客様の様子,・依然として客の買物の様子は慎重である。季節商品の売行きについては、昨年に比べると少し悪くなっているが、天候、気温に左右されている面が非常に強く、一昨年よりは上向いている。
,,□,商店街（代表者）,それ以外,・７月はバーゲン時期であり、出足は好調だったが、気温が安定しなかったことから、単価、来客数とも２週目以降の落ち込みが目立っている。
,,□,商店街（代表者）,お客様の様子,・たばこの値上げや原油高騰の影響で、多少景気が悪くなると考えていたが、それほどの変化はみられなかった。
,,□,百貨店（売場主任）,来客数の動き,・今月は天候不順で、寒い日があれば、夏日もあり、夏物の動きが著しく変化している。ギフトやお中元は前年とほぼ同じ動きとなっている。
,,□,スーパー（店長）,単価の動き,・夏到来となったことから衣料品の動きが良く、衣料品の売上高前年比は６月を大きく上回る101.5％となった。一方、食品についてはお中元ギフトの出遅れもあり、前年比は６月をやや下回る98.4％であった。住居用品は前年比96.1％であり、６月とほぼ同水準であった。
,,□,スーパー（企画担当）,販売量の動き,・家庭紙、たばこの値上がり前の駆け込み需要があり、既存店売上高が前年比プラスとなった６月の反動もあり、７月の売上動向はあまり芳しくない。
,,□,コンビニ（エリア担当）,来客数の動き,・競合店での特売が継続化していることから、客は価格の安い特売商品しか購入していない。客単価も低下しており、既存店の売上が前年を下回っている。
,,□,コンビニ（エリア担当）,来客数の動き,・たばこの増税に伴う売上減少はそれほどみられなかったが、男性客の減少が目立っている。喫煙を止めた客が多いようであり、関連商品の売上も減少が続いている。また夜間から深夜にかけての来客数減少に歯止めが掛からない状態である。
,,□,衣料品専門店（店長）,来客数の動き,・天候が悪かったことから、商店街の客足が例年より大分減っている。
,,□,家電量販店（店員）,お客様の様子,・客はいろいろな店を回っているようであり、付加価値の高い商品を薦めても低価格の商品を買っていく。
,,□,家電量販店（地区統括部長）,お客様の様子,・客の様子をみると、慎重に買物をしている感が強く、薄型テレビや冷蔵庫、乾燥機能付き洗濯機等の成約率が予想以上に上がらない。
,,□,住関連専門店（従業員）,販売量の動き,・気温低下の影響で、夏物の販売量が伸び悩んでいる。
,,□,その他専門店［医薬品］（経営者）,来客数の動き,・依然として来客数の減少が続いており、夏物商材が売れ残りそうな状態にある。
,,□,高級レストラン（スタッフ）,来客数の動き,・観光シーズン本番に入ったが、今年は入込数が順調であり、ディナーの売上は前年比120％と好調である。
,,□,高級レストラン（スタッフ）,販売量の動き,・今年はボーナスなどの好影響がみられなかった。また気温が上がらず、涼しいホテルでランチをとろうという動きがなかった。売上は、ランチでは会社員の利用が増えず、単価も下がって前年比93％となった。夕食は前年並みであった。市街地から少し離れているためか、サマータイムの影響はみられなかったが、札幌駅周辺の低単価飲食店では繁盛したようだ。観光客の利用は全体で３％減少したが、道内客が回復したほか、中部圏からの客も増加した。
,,□,観光型ホテル（経営者）,来客数の動き,・来客数は前年を上回っているが、３か年平均で比較するとほとんど変わらない。
,,□,美容室（経営者）,お客様の様子,・以前に比べて客の来店頻度が低くなってきている。
,,□,設計事務所（職員）,それ以外,・新規受注の内容は耐震診断などのコンサル業務が多く、新規企画や着工物件の引き合いは３か月前と比べて増えていない。
,,□,住宅販売会社（経営者）,単価の動き,・金利上昇を懸念して来客数は増えているが、受注量はほぼ横ばいとなっている。
,,□,住宅販売会社（従業員）,販売量の動き,・来客数の動きの悪さが、販売量の悪さに直接的につながっている状況が、相変わらず続いている。
,,▲,百貨店（販売促進担当）,お客様の様子,・夏セール品の購買動向に２点ほど変化がみられる。一つ目はまとめ買いが減り、単品購買がより多くみられるようになったことであり、二つ目は購買に至るまでの品選びに時間を掛けることである。セール品を短時間でまとめ買いする従来のスタイルが崩れており、消費に対してマイナスの心理が働いている可能性が高い。
,,▲,コンビニ（エリア担当）,来客数の動き,・天候が悪いせいもあるが、５月以降、来客数が減少している。
,,▲,コンビニ（エリア担当）,単価の動き,・前月のたばこ値上げ前の駆け込み需要の反動は想定していたが、予想よりも単価の回復が遅れている。
,,▲,家電量販店（経営者）,販売量の動き,・７月に入り、前年割れが更に進んでいる。買い控え傾向が加速している。
,,▲,乗用車販売店（従業員）,販売量の動き,・全体的に台数は出ていないが、安い車が前年を大幅に下回っている。
,,▲,乗用車販売店（営業担当）,来客数の動き,・７月の来客数が前年比60％台にダウンした。
,,▲,旅行代理店（従業員）,販売量の動き,・来客数に勢いがなく、第２四半期の受注額は前年比で90％を下回っている。
,,▲,旅行代理店（従業員）,販売量の動き,・出張など業務性の航空券が減少している。各企業の経費削減事情がうかがえる。
,,▲,タクシー運転手,お客様の様子,・極力、バスや電車を利用するなど、タクシーの乗り控えが顕著にみられ、無駄な出費を抑えようとする様子がうかがえる。
,,▲,観光名所（役員）,来客数の動き,・全国的な異常気象の影響で旅行が手控えられているのか、道外観光客のロープウェイ利用者数が伸び悩んでいる。
,,×,スーパー（店長）,販売量の動き,・３か月前と比較して販売量が82％と落ち込んでいる。前年比でも91％と落ち込みがひどい状態になっている。
,,×,タクシー運転手,お客様の様子,・今までと同じように、札幌市内のタクシーの売上が大きく減少している。特に最近は月曜日の夜の利用が極端に減っている。天候の良い日が多いので、日中もタクシーの利用が少ない。
"企業
動向
関連

(北海道)",,◎,－,－,－
,,○,金属製品製造業（経営者）,受注量や販売量の動き,・景気が停滞しているなか、戸建住宅の着工件数増加の影響で、金属製造業も少し上昇気味にある。
,,○,輸送業（支店長）,受注価格や販売価格の動き,・最近の急激な原油価格の値上がり等により、大手メーカーでは運賃の見直しを始めた。仕事量、数量的にも増加している。関東地区の旺盛な建築需要を反映し、道内の鉄骨コンクリートメーカーの本州向け物件受注も多くなってきている。
,,○,通信業（営業担当）,取引先の様子,・サービス業や運送業など景気に敏感な企業から、景況感が良好という感触を得ることができる話を聞く機会が多くなってきた。
,,□,食料品製造業（団体役員）,それ以外,・再三にわたる原油価格高騰の影響から、製造原料や資材コスト、運送コスト、生産コスト等のコスト全般において、企業の採算収益の悪化が進行している。また来道観光客の購買単価が毎年低下しており、売上を維持するのに苦労している。
,,□,家具製造業（経営者）,受注量や販売量の動き,・家具関連は景気回復が遅く、市場が活性化していない。
,,□,輸送業（経営者）,取引先の様子,・運輸関係では、依然として燃料価格の高止まりの影響が出ている。
,,□,金融業（企画担当）,それ以外,・設備資金は自動車や食品関連工場の新増設で増加している。住宅投資は耐震強度偽装問題で落ち込んだマンションから持家へのシフトもみられるが、総じて横ばいである。公共投資は減少傾向が続いている。観光は来道者数が増加している。個人消費は公務員の給与削減など所得情勢が厳しく、弱含みで推移している。
