Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,商店街（代表者）,来客数の動き,・ゴールデンウィーク期間に中心市街地を訪れる来街者は前年と同様に多くなかったが、ゴールデンウィーク以降は花の市等のイベントもあり、地元客の増加に加えて、土産物の買物袋を携行する観光客が日本人を中心に増加しており、業種により異なるが、前年と比較して全体的に景気が緩やかに上昇している。
,,○,コンビニ（エリア担当）,お客様の様子,・当地の主要産業である漁業の状況が良いことから、やや良くなっている。
,,○,コンビニ（エリア担当）,販売量の動き,・前年比での上乗せが継続している。伸び率も増加傾向にある。
,,○,衣料品専門店（店長）,単価の動き,・３か月前及び前年と比べると、客１人当たりの客単価が高くなっている。
,,○,高級レストラン（スタッフ）,来客数の動き,・春めいてきて、ようやく人が外出する時期となり、緩やかではあるが来客数が増えてきている。
,,○,観光型ホテル（スタッフ）,来客数の動き,・東日本大震災の影響で中止していた大会、イベントが今年は開催されたことから、近隣アジアからの観光客は前年比65％増の回復となった。国内旅行商品の利用客も好調である。
,,○,観光名所（従業員）,来客数の動き,・利用客数をみると、３か月前は前年比71.2％であったものが、今月は25日時点において、前年比131.2％と増加している。ちなみに、前年比の推移では、３月は前年比190.2％、４月は前年比261％と増加傾向が継続している。
,,○,観光名所（職員）,来客数の動き,・３か月前に比べ来場者は減少しているものの、前年比で169％と増加した。また、東南アジアからの来場者も前々年並みに回復しつつある。
,,○,美容室（経営者）,お客様の様子,・美容関連商品に対して、以前よりも興味を持って話を聞いてくれる客が多くなり、雰囲気が良くなってきた。そのため、販売量も増加傾向にある。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・肌寒い日もあるが、ようやく個人客を含めた観光客が増加してきた。しかしながら、前々年の利用客数には及ばない。
,,○,設計事務所（所長）,お客様の様子,・リフォームなどの動きが少し出てきた。
,,□,商店街（代表者）,お客様の様子,・少しずつ天候が良くなり、暖かくなるにつれて、景気の方も若干上向きになってきている。
,,□,商店街（代表者）,お客様の様子,・客の様子をみると、前年や前月と変わりがなく、平々と日々を過ごしている状況である。
,,□,一般小売店［酒］（経営者）,販売量の動き,・今月はゴールデンウィークの売上が堅調で良かったことが、月全体の売上の増加にもつながっている。ただ、前年と比べて営業日数が２日ほど多いことを考えると、実態はそれほど好転していない。
,,□,百貨店（売場主任）,単価の動き,・１月以降、買上客数の前年割れが続いている。客単価は前年比99～103％で推移してきたが、５月は客単価が前年比97％と前年を下回っている。
,,□,百貨店（販売促進担当）,販売量の動き,・来客数は伸びているものの、買上客数が減少傾向にあり、購買に対する客の意欲がまだまだ高まっていない。
,,□,百貨店（販売促進担当）,来客数の動き,・前年との状況を比較すると、東日本大震災直前の２月も震災直後の５月も来客数の増加がみられず、顧客離れが継続している。
,,□,百貨店（役員）,販売量の動き,・５月初旬は暖かかったものの、中旬以降は３月並みの気温にしかならなかったことから、衣料品の春物セールと初夏物の定価品販売が落ち込んだ。
,,□,スーパー（役員）,来客数の動き,・来客数が前年比で2.5％低下しているものの、客単価が前年比で2.5％上昇しており、あわせて前年の売上を維持している状況が数か月続いている。ディスカウントストアの出店や消費者の買い控え等が要因として考えられるが、競合店も同様に消費が低調である。
,,□,スーパー（役員）,販売量の動き,・前年は東日本大震災の影響が残り、生活必需品の需要が高かったが、消費が通常の状態に戻っており、客の買物動向も前々年並みになっている。
,,□,コンビニ（エリア担当）,単価の動き,・前年のたばこ納品回復の反動減が始まり、売上的には厳しい流れである。イベント需要や週末需要も動きは鈍い。しかし、天候要因のずれ込みで農作業者などによる需要がプラス要因となっている。
,,□,コンビニ（エリア担当）,来客数の動き,・来客数は既存店ベースで前年を上回っているが、たばこやアルコールの売上が依然として減少しており、し好品など、ぜいたく品の売上減少が続いている。
,,□,衣料品専門店（店長）,単価の動き,・別に大きな問題はないが、悪い状態が続いている。
,,□,衣料品専門店（店員）,お客様の様子,・客の消費行動をみると、必要な物以外購入しない。納税の多い月のせいなのか、今一つ街のなかに活気がない。
,,□,家電量販店（店員）,販売量の動き,・５月前半はまずまず良かったが、後半になり来客数が減った。晴天が続かなかったため、エアコンの売上も伸びなかった。
,,□,家電量販店（地区統括部長）,販売量の動き,・前年に終了した家電エコポイント制度と地上デジタル放送への完全移行の反動の影響が依然として続いており、テレビや冷蔵庫、洗濯機といった大物商品の需要が落ち込み続けている。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・引き続き自動車燃料の販売量が減少傾向にある。
,,□,高級レストラン（経営者）,来客数の動き,・景気は上向きになっていると言われてはいるが、自店の売上は伸びておらず、実感がない。
,,□,高級レストラン（スタッフ）,来客数の動き,・週末は観光客でほぼ満席となったが、平日は地元客のファミリーが目立つものの、週末の半分の売上であった。ただし、全体の売上は前年比103％であった。
,,□,高級レストラン（スタッフ）,販売量の動き,・低価格帯のメニューが好評で前年を超える売上となった。夕食も格安メニューを告知したところ、少し良くなった。前月に続き、北海道版グルメガイドの掲載店は好評のようである。しかし、星の付かなかったホテル、レストランなどの夜間営業は思ったほど客足が伸びていないようだ。
,,□,一般レストラン（スタッフ）,来客数の動き,・ランチタイムの来客数は堅調だが、ディナーの来客数が東日本大震災前の前々年と比べて半減したままである。
,,□,スナック（経営者）,来客数の動き,・人出がなく、悪い状態が続いている。
,,□,観光型ホテル（経営者）,来客数の動き,・３か月前と比較して、ほぼ同様に悪い状況が続いている。本州方面からのエージェント団体客の激減に加えて、前年同時期にみられた底堅い道内客の動きが止まっているため、来客数は回復していない。
,,□,タクシー運転手,来客数の動き,・前年は、３月の東日本大震災以来、北海道に来る観光客が激減し、地元も自粛ムードにあったことから、タクシーの利用及び売上が大きなマイナスであった。今年は、観光客も戻ってきていることから、売上の大幅な増加を期待したが、前々年と比べるとマイナスであり、前年より少し増収になった程度である。
,,□,タクシー運転手,販売量の動き,・販売量の動きに顕著な傾向がみられない状況であり、先行きの不透明な状態が続いている。
,,□,タクシー運転手,来客数の動き,・注文数が前年並みであった。海外観光客による利用がやや減少した分、国内観光客による利用が少し増えた。
,,□,通信会社（社員）,お客様の様子,・特段、客の反応が良くなったこともないうえ、そのような話も聞かない。観光ビジネスに携わる方の話では、まだ観光客は戻ってきておらず、前年と比較して状況は変わっていないようである。季節の変わり目で消費財を扱う業界は活発に動き出しているだろうが、それも例年どおりのペースとみられ、今年は良いという手ごたえを持っている業界はないとみられる。好調なのはエコビジネスぐらいである。
,,□,美容室（経営者）,来客数の動き,・ここ３か月、来客数の前年比がマイナス３～５％の水準が続いている。
,,□,住宅販売会社（従業員）,お客様の様子,・客のマンション購入に関する意思決定は、少し前と比べて、時間がかかるようになってきている。また、購入するか、借りるか、リフォームするかについて、方向性が明確でない客が増えてきている。
,,▲,商店街（代表者）,来客数の動き,・急に暖かくなったり急に寒くなったりと、例年にない気候の変化がみられることから、外出を控えるなど、客の動きが鈍くなっている。
,,▲,商店街（代表者）,お客様の様子,・気温が安定しないのも原因の１つとみられるが、ゴールデンウィーク以降も客の夏物商材への購買意欲が高まっていない。客はまだ夏物商材を買う気がなく、袖物など、単価の低い羽織物を中心に買物をしているため、客単価の低い傾向が続いている。
,,▲,百貨店（売場主任）,来客数の動き,・５月はゴールデンウィーク期間中の大雨のために、客の来店が少なかった。中盤から下旬にかけても雨の影響があり、来客数が減少した。ジャケット及びコートが前年比95％、スーツが前年比80％となっており、紳士服、婦人服とも厳しい状況である。
,,▲,スーパー（店長）,販売量の動き,・５月の誕生祭売出しの不振により、販売量も前年の94％と大きく減少した。原因としては、普段から、競合店対策として超目玉戦略を取っているため、価格にインパクトがなかったためである。
