Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,コンビニ（エリア担当）,販売量の動き,・たばこの値上げ前のまとめ買い需要が発生しており、今月だけでみれば、大幅な売上増加となっている。
,,○,商店街（代表者）,来客数の動き,・３か月前と比べて、来客数が増えている。
,,○,スーパー（店長）,来客数の動き,・客の購買動向をみると、無駄な物は購入しない慎重な様子が感じられる。例えば、カード会員であれば、特典のある日に客が集中するなど、お得感のある日に買物が集中する傾向がみられる。
,,○,家電量販店（店員）,販売量の動き,・残暑でエアコンが意外に伸びたことから、前年と比べると非常に良かった。エコポイント制度が追い風となり、薄型テレビもよく売れている。
,,○,観光型ホテル（経営者）,来客数の動き,・宿泊客の消費単価が低いものの、来客数そのものは安定してきている。
,,○,タクシー運転手,お客様の様子,・８月１日からタクシー運賃が11.3％値上げしたが、利用者の乗り控えが予想以下にとどまっており、３か月前と比べると、やや良くなっている。
,,○,美容室（経営者）,お客様の様子,・最近の客の会話の内容をみると、旅行や食事に関するものが多くなってきている。節約も大事だが、少しは楽しむことも必要との雰囲気があるように感じられる。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・９月に入り、航空運賃の割引率が大きくなったことに加えて、全国的な残暑の影響から、避暑のため、北海道に旅行する人が増加している。
,,○,住宅販売会社（従業員）,競争相手の様子,・最近、分譲マンションの在庫が順調に減ってきているため、一部の分譲マンションデベロッパーによるマンション用地の取得が活発化してきている。
,,□,商店街（代表者）,販売量の動き,・残暑が厳しかった影響で秋物の衣料品に動きがみられなかった反面、酒屋、コンビニなどの飲料品関連では前年を上回った。
,,□,商店街（代表者）,お客様の様子,・ようやく秋めいてきたことから、客も秋物に目を留めるようになってきたが、まだ購入につながる状況までにはなっておらず、依然として客の慎重な行動が続いている。
,,□,商店街（代表者）,競争相手の様子,・前月から気温の高い日が続き、ようやく後半にかけて気温が下がってきたものの、どこの店もまだ夏を引きずった状態であり、秋物の定価品よりも夏物のバーゲン品に頼らざるを得ない状況が続いている。
,,□,商店街（代表者）,お客様の様子,・たばこの値上げを控えて、客の金の使い方が変わってきている。
,,□,百貨店（売場主任）,来客数の動き,・売上は前年比92.3％と苦戦している。残暑の影響もあり、紳士服が前年比88.9％、婦人服が前年比85.8％と特に衣料品が苦戦しており、それが全体での売上にも影響している。ただし、買上客数は前年比96.6％と６～７月並みの水準となっている。
,,□,百貨店（販売促進担当）,お客様の様子,・来客数の伸びと比較して、買上客数の伸びが鈍っている。
,,□,百貨店（役員）,お客様の様子,・猛暑の影響で、８月中旬以降は衣料品が大苦戦している。９月下旬になり、ようやく涼しくなってきたことから、秋物・冬物の動きが少しみられるようになってきた。
,,□,スーパー（企画担当）,お客様の様子,・来客数、客単価は今までと変わらないが、消費に強さが感じられない。
,,□,スーパー（役員）,単価の動き,・９月はたばこの税率改正を控えての仮需要があったため、客単価が前年比で１～２％上昇しているが、仮需要分を除くと、この数か月それほど変わりなく推移している。仮需要分を除いた既存店ベースの数値をみると、販売量は前年比で1.5％上昇しているが、１人当たりの平均買上点数は、ここ数か月大きな変化はなく、やや弱含みで推移している。一方、商品単価は前年に対して、ほぼ100％と下げ止まったようである。
,,□,スーパー（役員）,販売量の動き,・今月は、値上がり前の駆け込み需要でたばこが前年の３倍売れた。たばこの売上の増加が全体の売上の減少分をカバーした月となっている。
,,□,家電量販店（地区統括部長）,販売量の動き,・エコポイント制度の効果から、テレビの販売は引き続き好調であるが、冷蔵庫・洗濯機はここ３か月不振である。パソコンも不調のままで、全体としてはほぼ横ばいの状態である。
,,□,乗用車販売店（従業員）,販売量の動き,・決算月を迎えたが、販売量は前年と変わらなかった。
,,□,その他専門店［医薬品］（経営者）,来客数の動き,・９月後半になり、それまでの猛暑から急に冷え込んできたためか、客足がすさまじく減っている。周辺の店舗をみると、秋物を買いそびれている様子もうかがえる。
,,□,高級レストラン（スタッフ）,来客数の動き,・大通公園で食をテーマとした秋の催事が開催されたことに加えて、飲食店の入る商業ビルが開業したことから、来客数が減っている。知人の繁盛店でもメインとなるような料理ではなく、パスタやピザなどの軽いメニューがよく出ると聞く。
,,□,旅行代理店（従業員）,販売量の動き,・国内の団体系の旅行が引き続き好調であるほか、海外旅行も円高の効果で好調を維持している。
,,□,旅行代理店（従業員）,販売量の動き,・９月の取扱額は、国内旅行が前年比87％、海外旅行が前年比77％となっている。前年は９月の大型連休があり、海外旅行が大きく伸びたが、今年はカレンダーの日並びが悪いため、円高が大きな追い風とはなっていない。特にヨーロッパやハワイが伸び悩んでいる。
,,□,タクシー運転手,来客数の動き,・９月前半は暑い日が多く、雨の日も少なかったため、タクシー利用客は前年より減っている。ただし、当市ではタクシーを減車しているため、タクシー台数が前年から約300台、４％ほど減っており、１台当たりの売上は、前年並みとなっている。
,,□,タクシー運転手,来客数の動き,・電話注文が減少しているほか、来客数も前年を下回っている。客単価も低下傾向にある。
,,□,通信会社（社員）,お客様の様子,・現状を認識して、新しいことに取り組みたいと考える客はいるものの、慎重な姿勢は依然として変わらないため、景気が良い方向に進んでいる実感はあまりない。
,,□,観光名所（役員）,来客数の動き,・今月は国内外の団体客が引き続き増加傾向にあるものの、前年のような９月の大型連休もなく、高速道路料金引下げの効果も薄れてきたことから、個人客が減少しており、前年並みの来客数の確保が難しくなっている。
,,□,その他レジャー施設（職員）,販売量の動き,・春にオープンした競合スポーツ施設の方が施設・運用面等で柔軟性があり、価格も妥当か安いため、より条件の良い方に客が流れている。前年と比較すると早めの予約が入りにくく、空きが多いため、予約時期も遅くなっている。
,,□,住宅販売会社（経営者）,お客様の様子,・客のムードが住宅を買うというムードになっていない。
,,▲,商店街（代表者）,来客数の動き,・セールなどのイベント時には多少来客数が上向くが、通常営業の日の来客数は10％以上の減少となっている。
,,▲,商店街（代表者）,来客数の動き,・前月に引き続き来街者数が前年に比べて減少している。夏の最後のイベントにおいても期待どおりの来街者の増加はみられなかった。
,,▲,一般小売店［土産］（経営者）,来客数の動き,・全国的に夏が暑すぎたため、客足が少なかった。下旬になり、一気に涼しくなっても、客の減少が続いている。ただ、中国人観光客については、今のところ、領土問題のトラブルの影響もなく、それほど変化はみられない。訪れる観光客もあまり気にしていないのか、陽気な様子である。
,,▲,一般小売店［酒］（経営者）,単価の動き,・客先の１度の購入量が少なくなっている。これまで１ケースで買っていたものが、バラで６本だけ買うようになっていたりする。
,,▲,百貨店（売場主任）,お客様の様子,・９月に入っても残暑が続いているため、中旬までは、秋物に動きがみられず、ジャケット・コートの売上は前年の80％以下となっている。夏物についても、処分品がないなかで客の購買がみられない。下旬においては、大分涼しくなったことから、ジャケット・コートの動きが前年並みに戻ったものの、９月全体を通しては非常に厳しい状況にある。
,,▲,百貨店（販売促進担当）,販売量の動き,・今月は気温が高いため、秋冬物の動きが鈍い。気温の影響が生鮮の売行きにも表れており、品目ごとの価格が安定しないため、販売量に影響が出ている。
,,▲,スーパー（店長）,販売量の動き,・例年にぎわうサンマの箱売り等が、不漁の影響により価格が高いため、不振である。店全体の販売量も、５月から右肩上がりだったが、ここにきて減り始めている。
,,▲,スーパー（店長）,お客様の様子,・９月はたばこの増税前の買いだめ等の特需があったが、気温が高いこともあり、衣料品が不振であり、苦戦が続いている。秋物が売れないまま、冬物に変わることが懸念される。
,,▲,乗用車販売店（従業員）,販売量の動き,・自動車購入時の国の支援策が終わったため、自動車の受注が極端に落ち込んできている。予想していた動きではあるが、厳しい結果となっている。
