Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,家電量販店（経営者）,販売量の動き,・節電のための冷蔵庫、ＬＥＤ照明の販売が好調である。ただし、消費税増税前の買換えの動きはあまり目立っていない。
,,◎,観光名所（従業員）,来客数の動き,・2013年度は４月以降、毎月、利用客数が前年を上回って推移しており、特に12月は25日時点の利用客数が前年比約130％とこれまでにないプラス幅となっている。
,,○,商店街（代表者）,来客数の動き,・年末大売出しの期間ということもあり、今月中旬以降、お歳暮等の買物をする来街者が増加している。また、徐々に気温の冷え込みが厳しくなってきているなか、来街者の買物袋が比較的大きいことから、冬物衣料等を購入する買物客が増加している。
,,○,商店街（代表者）,販売量の動き,・北海道も多少は景気が回復している感があり、ほとんどの業種で景気が悪いと言う人がいなくなってきている。なかには前年並みという人もいるが、前年より売上が増加していることがほとんどのようだ。海外観光客の入込も衰えず、過去にないくらいの状態が続いている。冬は閑散期のはずだが、閑散期とは思えない来客数となっている。
,,○,百貨店（売場主任）,単価の動き,・来客数が前年並みとなっているのに対して、定価品の売上が前年比103％と好調である。また、ラグジュアリーブランドと宝飾ブランドの高額品も前年比110％を超えている。しかし、主力の婦人服は前年並みの動きにとどまっている。
,,○,百貨店（販売促進担当）,単価の動き,・前年よりも気温が高く推移し、降雪も少ないなか、来客数、買上率は依然として前年を下回っているが、これらのマイナス要因を上回る客単価の上昇がみられ、前年を上回る基調で推移している。
,,○,スーパー（店長）,単価の動き,・客単価、商品単価の上昇傾向が続いている。高額品、高単価品の購買動向も依然として好調である。
,,○,スーパー（役員）,お客様の様子,・相場高、原料高により、商品価格が上昇傾向にあるなか、客１人当たりの平均買上点数が前年を２％ほど下回っているものの、来客数、客単価ともに前年を１％前後上回っており、品質の良いものを購入している様子がうかがえる。
,,○,衣料品専門店（経営者）,販売量の動き,・12月の売上は前年を上回った。新年に向けて、着物や帯の動きが良い。
,,○,家電量販店（地区統括部長）,販売量の動き,・薄型テレビの需要も月を追うごとに回復傾向が出てきている。特に４Ｋテレビ等の高付加価値商品の販売量が増えてきている。
,,○,乗用車販売店（従業員）,販売量の動き,・新型車の発表もあり、この時期としては来客数が多く、成約も前年に比べて40％ほど増加している。
,,○,乗用車販売店（従業員）,販売量の動き,・消費税増税を控えての駆け込み需要が顕著に表れており、その分が上乗せとなり、３か月前と比べて良くなっている。
,,○,乗用車販売店（営業担当）,販売量の動き,・新型車の投入により、受注量、販売量ともに上向き傾向にある。
,,○,観光型ホテル（スタッフ）,来客数の動き,・アジア人観光客の利用が堅調である。インターネット経由の個人予約も比較的好調に推移している。ただ、今年のクリスマスの日並びが悪かったことがマイナス要因であった。
,,○,旅行代理店（従業員）,販売量の動き,・10～12月の四半期の収益が前年比100.9％となっており、やや良くなっているものの、低価格帯の商品が中心であり、景況感が上向いているとまではいえない。
,,○,旅行代理店（従業員）,販売量の動き,・航空路線のビジネス利用が増加してきている。地域の１次産業の堅調な動きに加えて、公共事業などに動きが出てきているためとみられる。
,,○,タクシー運転手,来客数の動き,・12月は年間で最もタクシーの売上の良い月であるが、今月上旬は雪が少なく、暖かい日が多かったため、タクシー１台当たりの売上は前年を大きく下回った。しかしながら、中旬以降は人出も多くなり、ほぼ前年並みの売上となった。ただ、会社全体の売上は、乗務員不足で稼働率が悪かったため、前年を下回った。
,,□,商店街（代表者）,単価の動き,・客の様子や来客数、販売量の動きからは景気回復の実感がない。特に、クリスマスギフトに伸びがみられなかった。
,,□,商店街（代表者）,お客様の様子,・冬物本番という時期にあっても、防寒物に対する客の買い控えがみられ厳しい。コートなどはバーゲンまで買うのを待つという客が多くみられる。
,,□,商店街（代表者）,お客様の様子,・客の話を総合すると、変化がみられない状況にある。
,,□,商店街（代表者）,お客様の様子,・一般客の財布のひもが大分固く、売上は前年の９割台で推移している。一方、最近は領収書をもらう客が増えており、建築関係や建築にともなう電気工事関係の会社による利用が増えている。
,,□,一般小売店［土産］（経営者）,来客数の動き,・前年は近隣でアイドルのライブがあった効果が大きかったが、今年はそうした特殊要因がみられなかった。また、前年よりも雪が少ないにもかかわらず、日本人観光客が少ない。シンガポール、香港、タイなどの東南アジアからの観光客は目立っているが、外国人観光客は当店の主力商品である昆布を買うことが少ないため、売上に直接貢献しているわけではない。今月の売上は前年比97.5％と前年を下回った。
,,□,一般小売店［酒］（経営者）,単価の動き,・商品の流通量からは活気のある客先もみられるが、低価格帯の商品の動きが多くなっている。単価の高いアルコール類の販売量が増えなければ売上に結び付いてこないが、お茶や飲料水等の注文が多く、配送コストもかかるため、販売量が多い割に売上が伸びてこない状況にある。
,,□,百貨店（売場主任）,単価の動き,・冬物のコート、ニット、パンツ等の売上は前年を上回って推移している。しかし、紳士物については、スーツも含めて前年比90％台となっている。お歳暮の売上は前年を上回った。
,,□,百貨店（販売促進担当）,来客数の動き,・客単価は上がっているものの、来客数、買上客数は減少傾向にある。ただ、全体としては予想どおりの売上増加となっている。
,,□,百貨店（役員）,お客様の様子,・前年は大雪と寒波に襲われ、コート、除雪用品、ストーブ等がよく売れたが、今年は温暖な天候が続いているため、売上が前年を下回る状況を余儀なくされている。景気よりも天候に左右されているのが現実である。
,,□,スーパー（店長）,販売量の動き,・今月25日時点の累計では、来客数が前年比101％、販売量が前年比99％となっており、ほぼ前年並みで健闘しているが、クリスマス後の歳末セールでどう動くのかが全く予想できない状態にある。
,,□,スーパー（店長）,お客様の様子,・売上に波があり、悪くなったり、良くなったりを繰り返しているため、まだ景気の動向を読めない部分がある。
,,□,コンビニ（エリア担当）,販売量の動き,・来客数は回復傾向にあるが、買上点数は前年を下回っている。特に菓子や飲料水等の食料品の落ち込みが大きい。
,,□,家電量販店（店員）,販売量の動き,・今月は需要が後半にずれこんだが、どうにか前年を上回る売上となった。
,,□,自動車備品販売店（店長）,来客数の動き,・来客数の動きをみると、月単位での波はあるものの、ここ３か月の合計では前年を上回って推移している。
,,□,高級レストラン（スタッフ）,来客数の動き,・前月に引き続き、最終的には前年並みの売上となった。帰省客や地元客は少ないが、観光客の入込が非常に良く、時には外国人客が半数以上を占める時もみられた。
,,□,高級レストラン（スタッフ）,販売量の動き,・全体では前年並みであった。クリスマスディナーは24日が平日で奮わず、単価も上昇することはなかったが、平均すると例年並みであった。ランチは低単価メニューが人気であり、高単価商品はあまり注文が入らなかった。夕食は企業の団体予約がやや増えているが、個人客が減っている。景気の回復を感じられなくもないが、飲食店では食品表示問題で相殺されている状況にある。
,,□,観光型ホテル（経営者）,来客数の動き,・外国人観光客の増加が全体をけん引しているが、国内の個人客、団体客ともに低調に推移している。館内の飲食や物販の売上が落ち込むなど、消費単価は伸び悩んでいる。また、エネルギー価格が急上昇しており、収益の低下が顕著となっている。
,,□,旅行代理店（従業員）,単価の動き,・全体的に来客数、客単価に大きな変化はみられない。ただし、年末年始の日並びが良いことから、旅行者が増加している。年末年始の旅行者については、旅行日数も長く、単価も上昇傾向にある。
,,□,タクシー運転手,販売量の動き,・年末の景気動向について、やや上向き傾向にあるという話も聞かれるが、当社に関しては、気温が高く、雪のない年末を迎える形となっていることから、販売量は前年よりも減っている。
,,□,タクシー運転手,来客数の動き,・注文数が前年とほぼ同じ実績となっている。
,,□,通信会社（社員）,お客様の様子,・年末という要因や12月決算の企業の業績からは景気回復が進んでいるとみられる面もあるが、身の回りに関しては、数か月前と比べて特に景気が上向いているわけではない。客はこれまでと変わらず必要なもののみを購入しており、余計なものは極力購入を控えているという話をよく聞く。
,,□,美容室（経営者）,お客様の様子,・現役世代については若干、購買意欲が出てきているが、年金世代については逆に引締め感が強まっている。
