Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,百貨店（売場主任）,単価の動き,・消費税増税前の駆け込み需要によるまとめ買いがみられる。
,,◎,百貨店（販売促進担当）,単価の動き,・３月に限って言えば、消費税増税前の駆け込み需要で、購買客数、客単価ともに上がっており、景気は良くなっている。
,,◎,百貨店（販売促進担当）,単価の動き,・消費税増税前の駆け込み需要で、高額品ばかりでなく、全体的に好調であり、特に婦人関連商材の伸びが目立っている。ただ、ファッション性の強いヤングキャリア関連の伸びは他に比べて弱い。全体的に来客数は増えていないものの、確実な目的買いと複数購入が多くみられた。
,,◎,家電量販店（地区統括部長）,販売量の動き,・消費税増税前の駆け込み需要に加えて、パソコンのＯＳのサポート終了にともなうパソコンの買換え需要がピークを迎え大盛況である。
,,◎,観光名所（従業員）,来客数の動き,・３月25日現在の利用客が前年比122.6％と大きく伸びている。また、今年に入ってからも、毎月、前年実績を上回る利用客数が続いている。
,,◎,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・春の訪れとともに人や物の動きが活発になっている。
,,○,商店街（代表者）,単価の動き,・消費税増税前の駆け込み需要により、高額時計やダイアモンド、パール製品などの高額商品が売れている。
,,○,商店街（代表者）,販売量の動き,・消費税増税前の商戦は、近隣駐車場の稼働率をみても順調に推移している。今年の北海道は雪が多く、３月に入っても気温が低く、雪解けが進まなかったため、３月前半の売上は低調だったが、雪解けが進んだ３月後半は持ち直している。観光については、２月の旧正月以降、外国人観光客が順調に推移しており、好調を維持している。しかし、外国人観光客が行かない場所にある店舗は前年を大きく下回っている。日本人観光客の減少が理由と考えられる。
,,○,百貨店（売場主任）,単価の動き,・消費税増税を前にして、来客数が前年比107％となっているのに対して、売上が前年比125％と伸びている。日用の消耗品以外の高額品の売上が伸びており、特に特選品や宝飾品などの伸び率が高くなっている。カテゴリー別にみると、特選品・宝飾品が前年比136％、食品が前年比106％、婦人・紳士衣料が前年比113％などとなっている。
,,○,スーパー（店長）,販売量の動き,・消費税増税による前倒し需要があるため、売上は前年比106％と非常に良かった。
,,○,スーパー（店長）,お客様の様子,・景気は確実に上向いている。消費税増税を前にした特需により、高額品や消耗品に限らずまとめ買いが多くみられる。今後は、消費税増税後となる４月以降の購買心理や購買動向によって、景気の動向が左右されることになる。
,,○,スーパー（店長）,単価の動き,・３月は商品単価の上昇にともなう客単価の上昇傾向が続いていることに加えて、消費税増税の影響もあり、客単価が前年を10％以上上回る伸びとなっている。特に、シニアカジュアルブランドやトラベルバッグなどの高額品の動きが良い。
,,○,スーパー（役員）,単価の動き,・食料品小売では、３月中旬以降、客単価が上昇している。消費税増税の影響もあり、需要がやや上向きになってきている。景気が上向きになっているとは考えづらいが、駆け込み需要は月末まで続くとみられ、３月の売上は前年比106％～108％で推移することになる。
,,○,スーパー（役員）,販売量の動き,・来客数は前年並みだが、客単価が前年から約５％上昇している。それにより売上も前年から約５％の増加となっている。加工食品、たばこ、酒等の売上が好調である。
,,○,コンビニ（エリア担当）,販売量の動き,・消費税増税前の買いだめ需要により、たばこやビール、焼酎といった高単価商品のまとめ買いが発生している。
,,○,コンビニ（エリア担当）,販売量の動き,・消費税増税を前にした仮需要が発生しており、客の買上金額が伸びている。
,,○,衣料品専門店（店長）,お客様の様子,・来店客との話から若干良くなっている。
,,○,家電量販店（店員）,販売量の動き,・消費税増税前の駆け込み需要により、３月に入ってから店内がにぎわっている。
,,○,美容室（経営者）,販売量の動き,・消費税増税対策の大型商品の購入が終わったことで、３月は美容にもお金をかけるようになってきた。特に商品販売については、売上が前年比150％となっている。
,,□,商店街（代表者）,お客様の様子,・消費税増税前の駆け込み需要を期待したが、客が高額品の購買に流れる傾向にあり、衣料品については増税前に買うという動きが極端にはみられない。
,,□,商店街（代表者）,お客様の様子,・消費税増税を控えての仮需要が起きているため、景気が良いように感じるが、全体としては変わらない。
,,□,商店街（代表者）,販売量の動き,・消費税増税の直前の月であるため、それほど販売量の増加を見込んでいなかったが、３月中旬以降は、予想以上に日用品等の売上が伸びている。理由としては、増税前に日用品の買いだめをしておこうとの判断があるとみられる。また、夏のボーナス払いによる高額品の売上も例年以上に増加している。
,,□,一般小売店［土産］（経営者）,お客様の様子,・今年は３月中旬まで大雪の日があり、交通手段を断たれた客がいたことが、消費に大きな影響を与えている。
,,□,一般小売店［酒］（経営者）,販売量の動き,・今月は歓送迎会が多くあるため、飲食市場も少しは潤っているが、これは毎年のことであり、今年に限ったことではない。３月の動きとしては、消費税増税を直前に控えた仮需要が多少生じており、その分の売上が上乗せになっている。ただ、こうした特殊要因を除くと、ここ２～３か月の景気は全く変わっていない。
,,□,百貨店（売場主任）,お客様の様子,・３月は消費税増税前の駆け込み需要が一部の商品でみられている。特に、化粧品、フォーマルウェア、メンズスーツなどの商品の売上が伸びている。ただ、売上は前年比104％にとどまっており、全体的な状況からみて非常に良い状況というわけではない。
,,□,百貨店（役員）,来客数の動き,・消費税増税前の駆け込み需要は、最後の最後になって低額品にも影響がみられるようになってきた。家電や家具、インポートブランドの高額品は２月後半から動き出していた。
,,□,スーパー（企画担当）,販売量の動き,・買いだめ需要で一時的に消費が上向いているだけであり、全体としては変わらない。
,,□,コンビニ（エリア担当）,販売量の動き,・消費税増税前の駆け込み需要により、生活雑貨のティッシュやたばこの売上が一時的に増加している。来客数については、前月並みであることから、景気が上向いているわけではない。
,,□,衣料品専門店（店長）,お客様の様子,・消費税増税を前にして需要が伸びているが、その後の動向が不安である。
,,□,乗用車販売店（従業員）,販売量の動き,・駆け込み需要による販売台数の増加が落ち着いてきている。消費税増税までに納車が間に合わないとなった段階で来客数も落ち込み始めている。
,,□,自動車備品販売店（店長）,来客数の動き,・来客数が前年比120％と伸びている。車用品からメンテナンスまで全体的に伸びている。
,,□,その他専門店［医薬品］（経営者）,販売量の動き,・さすがに当店でも消費税増税前の駆け込み需要が生じているが、３月は特別な月とみている。むしろ、４月からの落ち込みを心配している。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品価格が高止まりしたままであり、変化はみられない。
,,□,高級レストラン（スタッフ）,来客数の動き,・平日は地元客で、週末は観光客で客足が良く、客の回転率も良い。ただし、客単価が低下しており、売上は前年比で微増にとどまっている。４月からの消費税増税にあわせて、単価を上げたメニュー構成に変更している。
,,□,観光型ホテル（スタッフ）,来客数の動き,・３月は学会や大会、大型イベントの開催がなかった。消費税増税にともなう駆け込み需要もみられなかった。
,,□,旅行代理店（従業員）,販売量の動き,・現在、第１四半期の売上は前年比91.2％に達しており、今後、前年を上回ってくるとみられる。
,,□,旅行代理店（従業員）,それ以外,・消費税増税を控えて、３月までに旅行申込すると現行税率が適用される、海外旅行も課税対象品目である、税率が８％上がると勘違いしている客がみられるなど、客が増税・値上げムードに流されている。
,,□,旅行代理店（従業員）,単価の動き,・最近になり、高額商品を趣向する客が若干減少傾向にある。
,,□,タクシー運転手,来客数の動き,・３月はタクシーの売上が年間を通して12月に次いで良い月であるが、今年は天候が前年とあまり変わっていないにもかかわらず、タクシー１台当たりの売上が前年を下回った。夜間の繁華街の人出も期待したほどでなかった。
,,□,タクシー運転手,販売量の動き,・前月から今月にかけては大雪の影響もあり、客からの需要は、前年とほぼ同じ、又は若干上回って推移している。しかしながら、それが売上につながる状況とまではなっておらず、前年から若干の落ち込みとなっている。
,,□,タクシー運転手,販売量の動き,・例年２～３月はタクシーの売上が落ち込むため、３か月前と比較すると約９％の落ち込みとなっているが、前年と比較すると、ほぼ同じであったことから、景気は変わっていない。
