Ⅰ．景気の現状に対する判断理由等,,,,,,,
,,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,,
,,,,,,,
,,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(北海道)",,◎,百貨店（販売促進担当）,来客数の動き,・価格訴求を行った低価格商材、企画催事への顧客反応が良く、店舗の集客増に結び付いている。顧客の購買意欲を後押しする仕掛けの成否によって、潜在的な需要が左右されている状況にある。,,
,,○,スーパー（店長）,販売量の動き,・売上、来客数ともに前年から５％程度ダウンしているが、販売量は前年比101.4％とわずかだが前年を上回っている。,,
,,○,乗用車販売店（従業員）,販売量の動き,・新型車効果と９月決算を控えて、当社の販売台数が伸びており、全体的には景気はやや良い。ただ、販売台数を伸ばしている営業マンがいる一方で、販売に苦戦している営業マンもいるため、絶対的に景気が良いというところまでは回復していない。,,
,,○,旅行代理店（従業員）,単価の動き,・客１人当たりの単価が高くなっている。,,
,,○,タクシー運転手,販売量の動き,・例年であれば、夏祭りの後は、極端に売上が落ちるが、今年は極端に落ちることなく推移している。,,
,,○,通信会社（社員）,販売量の動き,・新商材の発売に伴い、販売量が前年と比べて大幅に伸びている。来客数も一部の店舗を除けば、前年を超えており、確かに流れ的には景気が良くなっている。,,
,,○,観光名所（従業員）,来客数の動き,・９月の利用客数は25日時点で前年比107.3％と前年を上回っている。この増加傾向が今年度当初から継続していることから、景気はやや良くなっている。,,
,,□,商店街（代表者）,お客様の様子,・客の反応をみると、先行きに向けての希望を話すことが多いなど、景気は変わらない。,,
,,□,商店街（代表者）,販売量の動き,・８月の外国人観光客の売上が前年を大きく下回った。ただ、前年が異常に良かっただけで、例年８月はピークシーズンで航空機もホテルもバスも高単価となるため、外国人比率が下がる傾向にある。一方、国内観光客の売上は、北海道新幹線効果のためか、例年を若干上回って推移している。,,
,,□,商店街（代表者）,お客様の様子,・夏と比べると客足は少しずつ落ちているが、客単価が上がっており、全体としては変わらない。,,
,,□,一般小売店［土産］（経営者）,単価の動き,・やはり台風の影響が少し出てきている。例年であれば、これくらいの時期に農作物の収穫が終わった客が道東から来てくれるが、今年は後始末で来ることができないとの連絡があった。,,
,,□,一般小売店［酒］（経営者）,販売量の動き,・前月、前々月と比べて、一定の販売量を確保できているが、今一つ力強さに欠けている。,,
,,□,百貨店（売場主任）,単価の動き,"・外国人観光客のマイナス分を地元客の売上で補いきれない状態が続いている。来客数は前年比90％台前半で推移しており、客単価も前年から1,861円のマイナスと低下したままで、マイナス幅が拡大している。ただ、囲い込みのできている顧客による買上は若干のプラスとなっている。",,
,,□,百貨店（担当者）,販売量の動き,・秋物などのシーズンアイテムについて、販売量、売上とも低下気味である。,,
,,□,百貨店（販売促進担当）,販売量の動き,・季節の変わり目のこの時期は、日々の気温や天候に左右されることが多く、特に今年は例年より気温が高めに推移していることもあり、秋物や冬物衣料の動きが鈍くなっている。ただ、気温が下がると防寒衣料への関心が一気に高まるため、現状は先行きを注視している状況である。,,
,,□,スーパー（店長）,販売量の動き,・８月の台風の影響により、青果物を中心に価格が高騰しており、販売量も客単価も前年を大きく下回っている。ただ、全体としては３か月前と景気は変わらない。,,
,,□,スーパー（役員）,単価の動き,・来客数は前年を確保できているが、客単価が前年から0.5％低下している。台風被害の影響による相場高や値上げ商材が数多くあることなどで商品単価が上昇していることから、低単価志向に移行している客が増加している。,,
,,□,コンビニ（エリア担当）,来客数の動き,・前年の大型連休の反動はあったものの、気温が高く推移していることから、来客数はここ数か月で最も回復している。ただ、たばこや酒の販売量が減り、客単価が低下していることから、来客数が回復しているのに対して売上は横ばいのままである。,,
,,□,衣料品専門店（店長）,来客数の動き,・来客数が前年を下回る状況が続いている。,,
,,□,家電量販店（店員）,来客数の動き,・来客数は前年を下回ったものの、マンションなどのエアコン取付けなどが目立ったことから、全体としては３か月前と変わらない。,,
,,□,乗用車販売店（経営者）,お客様の様子,・毎週土日のイベントへの客の来場が良くない。商談になっても成約に結び付くまで時間がかかり、中断になるケースも少なくない。消費者マインドの低下が感じられる。,,
,,□,乗用車販売店（従業員）,販売量の動き,・来客数、販売量とも減少気味であり、上昇気運がみられない。,,
,,□,自動車備品販売店（店長）,競争相手の様子,・冬タイヤの販売量が前年の85％と大きく数字を落としている。競合店も同様の状況であり、前年の暖冬が客のイメージに残っていることで購入に奥手な状況となっている。,,
,,□,その他専門店［医薬品］（経営者）,お客様の様子,・前年があまりにも良くなかったため、単純に比較できないが、今年は前年よりも良い状態で推移している。,,
,,□,高級レストラン（スタッフ）,販売量の動き,・前月に続き、スタッフ減少の影響で来客数を調整している。そのため、シルバーウィークの稼ぎ時に前年を大幅に下回った。しかしながら、全体売上は前年比マイナス５％にとどまっている。,,
,,□,高級レストラン（スタッフ）,販売量の動き,・９月はシルバーウィークが好天だったため、客足が伸びなかった。月全体の来客数はぎりぎり前年並みに収まったが、連休前後は特に閑散としていた。また、ここ数年、さっぽろオータムフェストの開催時期はランチを中心に来客数が伸びにくい状況にある。当地ではランチの低価格競争が続いていることで、昼営業を止める店も出てきている。,,
,,□,観光型ホテル（スタッフ）,来客数の動き,・国内客、外国人客ともにグループ旅行がマイナス傾向にある。インターネットでの個人予約で若干のばん回がみられたものの、トータルでは横ばいで推移している。,,
,,□,タクシー運転手,来客数の動き,・９月の当地は暖かく、雨の日も少なかったこともあり、タクシー１台当たりの売上はほぼ前年並みであった。ただ、乗務員不足で稼働率が落ちているため、会社の売上はマイナスとなった。,,
,,□,タクシー運転手,来客数の動き,・観光関係での利用はほぼ前年並みであったものの、イベント関係での利用が順調であった。,,
,,□,タクシー運転手,来客数の動き,・当業界は特に夏場の売上に期待が持て、この期間の客の動きによって収入が左右される面がある。今年は３か月前と同じような来客数で推移しているため、もう少し、期待感があったが、地元客の動きが相変わらず鈍く、増収とまではならなかった。地方では景気回復が遅れており、全体的に先行きがはっきりとみえていないのが現状である。,,
,,□,美容室（経営者）,来客数の動き,・来客数、売上ともに堅調であり、毎月ほぼ同じような水準で推移している。,,
,,□,美容室（経営者）,販売量の動き,・売上は前年とほとんど変わってない。また、この３か月についても売上はほぼ横ばいで推移している。,,
,,□,住宅販売会社（経営者）,お客様の様子,・観光客が引き続き増加傾向にある。外国人観光客は減ってきているが、国内観光客は増えている。,,
,,□,住宅販売会社（経営者）,お客様の様子,・ここ数か月、分譲マンションのモデルルームを訪れる客の様子に大きな変化はみられない。また、モデルルームを訪れる客の数もこの数か月あまり変化がない。,,
,,▲,商店街（代表者）,来客数の動き,・来客数が減少している。また、買上単価の二極化が進んでいる。,,
,,▲,百貨店（営業販促担当）,来客数の動き,・地域的に８月の台風被害の影響が尾を引き、被害の大きい地区の売上が大幅に減少している。また、気温が高く推移したことでファッション関係に悪影響が生じている。,,
,,▲,スーパー（店長）,競争相手の様子,・価格の打ち出しが多くなった。,,
,,▲,スーパー（役員）,お客様の様子,・例年以上に観光関連のイベントが数多く開催されたことで、イベントに人が流れており、一般客の消費が苦戦している。,,
,,▲,コンビニ（エリア担当）,来客数の動き,・来客数の前年比が月を追うごとに悪くなってきている。,,
,,▲,コンビニ（オーナー）,来客数の動き,・９月の売上は前年比96％となっており、６月にオープンした競合店の影響を受け続けている。,,
,,▲,衣料品専門店（経営者）,単価の動き,・台風被害による後遺症がみられる。北海道では交通機関や農業、水産業の全てに対して影響が出ており、催事でも台風被害の話題が多くみられ、売上が減少した。,,
,,▲,衣料品専門店（店長）,来客数の動き,・客単価は横ばいだが、買上客数が前年比マイナス８％と大きな落ち込みをみせている。,,
,,▲,乗用車販売店（従業員）,販売量の動き,・これといった目玉がないため、販売量が下降気味である。,,
,,▲,高級レストラン（スタッフ）,来客数の動き,・天候不順の影響もあり、地域全体に停滞感がみられる。,,
