Ⅰ．景気の現状に対する判断理由等,,,,,,,
,,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,,
,,,,,,,
,,,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(北海道)",,◎,－,－,－,,
,,○,一般小売店［土産］（店員）,お客様の様子,・地元菓子メーカーの偽装表示問題で、周りはかなり苦戦しているようだが、当社を始め、代替商品をそろえている店舗では、その穴埋めができており、現状維持もしくはプラスで推移している。客の購買意欲は変わっておらず、偽装表示問題の影響で生産中止となっていた菓子は無くても、他の土産物が揃っている店舗で買物をする状況が見受けられる。,,
,,○,スーパー（店長）,販売量の動き,・３か月前と比較すると、販売量は３％ほど増えている。,,
,,○,乗用車販売店（営業担当）,来客数の動き,・前年よりもイベントを実施した際の来客数が増えている。,,
,,○,観光型ホテル（経営者）,販売量の動き,・カーナビ付きレンタカーを利用した個人客は増加しているが、団体観光客が減少しており、全体では宿泊客数が減少傾向にある。ただし、宿泊単価、総消費単価共に伸びているため、売上は微減にとどまっている。,,
,,○,観光名所（役員）,来客数の動き,・３連休の効果もあってか、前年と比較して天候の悪い日が多いにもかかわらず、観光入込客数が前年比で７～８％程度上回っている。,,
,,○,観光名所（職員）,来客数の動き,・本格的な観光シーズンに入ったという要因もあるが、天候に恵まれたこともあり、３か月前と比べると、施設利用者数が60％近く伸びている。,,
,,□,商店街（代表者）,販売量の動き,・残暑が厳しいため、大型店を始めとした、衣料専門店の秋冬物は、靴、ハンドバックに若干の動きがあるだけであり、前年実績を超えることができない。また、２週続けての３連休で観光客が増え、駅前のホテルや屋台村などの飲食店は好調であったが、月間を通しての売上は微増にとどまっている。,,
,,□,商店街（代表者）,お客様の様子,・来客層が固定化しており、一般利用客が少なくなっているため、売上が伸びない状況にある。,,
,,□,商店街（代表者）,お客様の様子,・８～９月と暑さが続き、夏物処分は順調だったが、単価が低いため、なかなか売上の増加にはつながらなかった。また秋物の出足も鈍かった。個人消費を喚起する要因が見当たらず、先行き不安が必要以上に定着しているように感じられる。,,
,,□,百貨店（売場主任）,来客数の動き,・９月は残暑の影響で気温が非常に高く、上旬から中旬に掛けては、秋物のジャケット、プルオーバー、セーター関連の動きが非常に厳しかった。下旬に入ってから、ようやく少しは動きがみられるようになってきた。,,
,,□,百貨店（売場主任）,お客様の様子,・客との会話の中で、家計状況や世間一般の景気の悪い話をよく聞く。,,
,,□,百貨店（販売促進担当）,販売量の動き,・今月も平年より気温の高い日が続き、秋物の動きが鈍い。特に20代から40代のヤングキャリア層の動きが鈍く、市内百貨店全体でも前年割れの状況となっているようである。また、中旬には地元球団のクライマックスシリーズ進出セールを各百貨店で実施したが、インパクト、セールの規模ともに小さく、定価品の落ち込みを補填するには至っていない。,,
,,□,スーパー（役員）,単価の動き,・９月に入り、既存店の来客数が前年比で４％伸びており、売上も前年比で４％ほど伸びているが、商品単価、客単価、１人当たり買上点数といった指標には変化はみられない。競合店も９月の売上が良いとは聞いているが、決して景況が良いとは感じられない。,,
,,□,家電量販店（店員）,販売量の動き,・地上デジタル放送の開始を控えて、薄型テレビがよく売れている。客もよく店を回っているようである。,,
,,□,家電量販店（地区統括部長）,販売量の動き,・薄型テレビを中心としたＡＶ商品は地方都市を中心に前年比110％以上の伸びがあるが、冷蔵庫を中心とした白物家電や季節商材は前年比90％前後で推移しており、全体としては、ほぼ前年と変わらない。,,
,,□,乗用車販売店（従業員）,販売量の動き,・新型車効果に期待したが、相変わらず前年実績に届かない状況が続いている。,,
,,□,乗用車販売店（従業員）,販売量の動き,・今月の販売台数は前年と比べて１割減少している。,,
,,□,住関連専門店（従業員）,販売量の動き,・秋冬物の動きが悪い。,,
,,□,高級レストラン（スタッフ）,来客数の動き,・８月は来客数の増加があったが、９月に入り減少している。一方、客単価の伸びが著しく、前年を10％上回っている。商品価格をアップさせたという施策的な要因もあるが、全体的に高額商品の選択が多かった。,,
,,□,観光型ホテル（スタッフ）,販売量の動き,・宿泊客やゴルフ客の動きをみると、依然として価格を抑えた商品に人気があり、販売量はあっても売上に結び付いていない。,,
,,□,旅行代理店（従業員）,お客様の様子,・販売額、単価ともに停滞気味で、一向に良くなっていない。,,
,,□,旅行代理店（従業員）,販売量の動き,・国内個人旅行の受注は順調だが、添乗員付きの旅行は低迷している。海外旅行については、９月以降上向いてきているが、団体旅行は横ばいで伸び悩んでいる状況にある。,,
,,□,タクシー運転手,来客数の動き,・休日はタクシーの利用が平日より大きく減少するが、９月は３連休が２度あったことに加えて、例年より暖かい日が多く、タクシーの利用が前年よりも大きく減少しており、売上も減っている。,,
,,□,タクシー運転手,お客様の様子,・バスや電車による通勤が目立っており、極力タクシーの使用を控えている様子がうかがえる。,,
,,□,その他レジャー施設（職員）,来客数の動き,・春にトレーニングルームのトレーナーの新旧交替を行ったが、その後、リピーターを定着させるのが難しい。前年までは利用者が前年を上回って推移していたが、春以降は、客の利用頻度、利用回数、利用人数が増えてこない。,,
,,□,美容室（経営者）,お客様の様子,・客の来店周期をみると、今までと変わらない客と長くなっている客との差が大きくなってきている。年代別、職業別で消費意欲に差が出てきているようであり、特に年金生活者において、その傾向が顕著に表れている。,,
,,□,住宅販売会社（経営者）,販売量の動き,・イベントでの配布物を目当てに来場する客が増えているが、成約には結び付かないのが実情である。,,
,,□,住宅販売会社（従業員）,販売量の動き,・販売量の低迷は相変わらず続いているが、特徴的な面として、客の融資の審査にかかわる部分で、所得が減少していることを理由に、融資を断られるケースが非常に多くなっている。,,
,,▲,商店街（代表者）,お客様の様子,・９月に入っても気温が下がらず、秋物の出だしが鈍かったことに加えて、客も何を着たら良いのかよく分からないということであり、非常に厳しい状況にあった。,,
,,▲,スーパー（店長）,販売量の動き,・既存店の売上は前年比94.4％と、前月から2.3％の減少となっている。部門別では、衣料品が前年比89.9％、住居用品が前年比90.3％、食品が前年比97.3％、テナントが入居している専門店が前年比93.4％となっている。特に、衣料品は気温の高さが影響しており、アンダーウェア、靴は健闘したものの、婦人服、紳士服は前年比80％台にとどまっている。,,
,,▲,コンビニ（エリア担当）,単価の動き,・８月の天候の影響で、第一次産業が全般的に不振であるほか、地元大手建設会社の倒産など建築業界も不振のため、買物客の単価低下がみられている。,,
,,▲,コンビニ（エリア担当）,単価の動き,・来客数自体は回復しているものの、商品の値上げの影響からか客単価が下落しており、売上が伸びてこない。,,
,,▲,コンビニ（エリア担当）,販売量の動き,・前年と比較して買上点数が３％減少している。特に、酒やたばこでの減少が大きく、日々の消費を抑える傾向は更に加速している。,,
,,▲,衣料品専門店（店長）,お客様の様子,・展示会を実施しても客の買い方が慎重である。取引先に聞いても今月は悪い状況にある。,,
,,▲,高級レストラン（スタッフ）,販売量の動き,・札幌の高級レストランでは、売上が昼夜とも激減した。すすきのの高級和食店では売上減少からか、数年前と比較して配膳スタッフが激減している。旭川市の人気店では、低単価メニューばかり売れていた。稚内市や伊達市では夜の人通りがあまりに少なく、繁盛店は限られている。特に地方都市の高級店では売上、来客数共に減少しており、深刻な状態である。,,
,,▲,一般レストラン（スタッフ）,それ以外,・売上は前年並みで推移しているが、仕入食材、消耗品等の値上げの影響で収益が悪化している。,,
,,▲,スナック（経営者）,来客数の動き,・９月に入ってから、観光客も一般客も客足が遠のいており、来客数が少なくなった。,,
,,▲,観光型ホテル（経営者）,来客数の動き,・最近の動きをみると、個人客に大きな変動はないが、団体客がかなり減ってきており、全体として来客数が減少傾向にある。,,
,,▲,旅行代理店（従業員）,販売量の動き,・来客数が少し減少しつつある。,,
,,▲,旅行代理店（従業員）,それ以外,・原油高騰による燃油サーチャージの値上げや、ミャンマーなどの政情不安定による渡航心理への悪影響など、特に海外旅行を取り巻く環境が厳しくなっている。,,
