Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,＊,＊,＊
,,○,一般小売店［土産］（経営者）,お客様の様子,・２月は大雪に見舞われた月であったが、冬の恒例のイベントや春節などの効果で助けられた。ただ、当地全体でみると、企業の倒産が続いているなど、景況感は余り良くない。倒産の約３割は人手不足によるものであり、隣接する都市部で賃金水準が上昇し、当地の若者が流出していることが原因となっている。
,,○,百貨店（売場主任）,単価の動き,・当社の店舗では、いずれも来客数の前年割れが続いているが、売上は前年を上回っている。富裕層を中心に高額な特選ブランド品や宝飾品などが売れていることが客単価アップにつながっている。
,,○,百貨店（販売促進担当）,単価の動き,・全体的には来客数の減少や買上率の低下がみられたものの、今年の春節が冬の恒例イベントよりも後にずれ込んだことで中華圏からの来客数が伸びており、それに伴い客単価が大きく上昇した。全体売上は前年を上回って推移している。
,,○,スーパー（店長）,お客様の様子,・節約志向は依然としてあるが、目的買いの際には高単価商材を購買する動きもみられる。特に節分の恵方巻き、バレンタイン、学生服などで、そうした動きが顕著であった。
,,○,コンビニ（店長）,単価の動き,・前月に続き、客単価が前年よりも上がっている。来客数は減少しているが、売上は前年実績を上回った。
,,○,衣料品専門店（店長）,販売量の動き,・例年２月から新生活に向けてのスーツ需要が高まる傾向にあるが、今年は出足が早く、販売量が前年を２割上回り、ピークの３月に近い数字となるなど、好調であった。
,,○,乗用車販売店（従業員）,販売量の動き,・３か月前と比べると、販売台数は明らかに伸びている。ただ、当地の場合、３月が最盛期となるため、４月以降は段々と買い控えが進むことになる。
,,○,観光型ホテル（スタッフ）,来客数の動き,・Ｗｅｂでの予約が観光客、ビジネス客共に好調である。また、春節の外国人観光客も効率良く取り込むことができた。
,,○,旅行代理店（従業員）,来客数の動き,・流氷の接岸とともに冬季観光客が増加している。外国人観光客は、特に国内線を乗り継ぐ個人客が増加している。ひがし北海道広域観光周遊ルートの冬季観光需要拡大策が少しずつ浸透してきていることが要因とみられる。
,,○,旅行代理店（従業員）,お客様の様子,・１次産業の秋の収穫が好調であったことから、地域経済に波及効果が生じている。また、建設関係からの受注も順調に推移している。
,,○,通信会社（企画担当）,販売量の動き,・春商戦用の新商材に対する個人需要が全道各地でみられており、売上も想定を２割以上上回っている。また、光回線が地方まで普及したことにより、光サービスの需要も地方を中心に想定を上回る引き合いがみられる。
,,○,観光名所（従業員）,来客数の動き,・２月25日時点の利用乗降客数は前年比106.1％となっている。当地では近年まれにみる大雪が続いているにもかかわらず、外国人観光客の入込に勢いがあり、過去３か月間、前年を上回る状況が継続していることから、景気はやや良くなっている。
,,□,商店街（代表者）,来客数の動き,・大雪などの天候不順と平昌オリンピックのテレビ放送の影響で来客数が減少した。
,,□,商店街（代表者）,お客様の様子,・客の様子をみると、平昌オリンピックで金メダルが取れたことに喜んでおり、景気のことはおくびにも出さずに過ごしている。
,,□,商店街（代表者）,来客数の動き,・例年であれば、２月は年金が支給される15日以降の来街者がやや増加する傾向にあるが、今年は冷え込みの厳しさや降雪の影響で自家用車を利用する来街者も、区域内の公共交通機関を利用する来街者も減少した。また、ふだんの月と比べて、買物袋を持ち歩く地域住民の姿も少なかった。
,,□,商店街（代表者）,販売量の動き,・２月は急激な落ち込みがみられた。平昌オリンピックのテレビ観戦により、外出を控えたためとみられる。同様に夜の飲食もカーリングなどのテレビ放送があったため、非常に悪かった。外国人観光客の動きをみると、冬の恒例イベントの開催期間こそ順調であったが、春節の期間に入ると悪くなった。これまでとは動きが変わっており、何らかの対策が必要になってきている。
,,□,一般小売店［酒］（経営者）,販売量の動き,・ここ最近の販売量、売上は良くもないが、悪くもなく、底堅く推移している。ただ、本来の活気のある動きとはいえない。
,,□,百貨店（担当者）,単価の動き,・若干のマイナストレンドが続いている。客の消費マインドは依然として冷え込んでおり、必要なものを選別して購入している。
,,□,スーパー（役員）,来客数の動き,・２月は客単価、商品単価、客１人当たりの平均買上点数などの指標が前年から４％前後上昇したものの、来客数が大きく減少していることで売上は若干の減少となった。前年と比べて店舗数は増加しているが、大雪の影響で客の買物の頻度が低下しており、そのことが全体売上にも影響している。
,,□,コンビニ（エリア担当）,来客数の動き,・これまで回復基調にあった来客数の動きが今一つであり、前年比もここ３か月では最も低かった。気温が低かったことに加えて、地域によっては積雪量が増えたこともあり、客の動きが鈍っている。ただ、客単価が上昇しているため、全体売上は横ばいであった。
,,□,コンビニ（エリア担当）,単価の動き,・ビールなどのし好品の売上が増加している。今年は雪が多いことで、除雪業者などの動向が良いことが理由とみられる。
,,□,コンビニ（エリア担当）,来客数の動き,・来客数が減少している。ただ、客１人当たりの買上点数は増加している。
,,□,家電量販店（店員）,お客様の様子,・家電品の独り立ちセットの下見客が例年よりも少ない。平昌オリンピック需要も期待したほどではなかった。
,,□,乗用車販売店（経営者）,販売量の動き,・前年後半から大きな変化のみられない状況が続いている。新しい商材が少ないことも多少影響しているが、増販期に入った現在も変化がみられない。
,,□,その他専門店［医薬品］（経営者）,お客様の様子,・２月が厳寒期であることを考慮すると、景気は悪いとはいえない。目的を持って商材の購入を考えている客も増えている。ただ、営業日数が少ないことがこたえた。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品価格が上昇傾向にあるが、販売量に変化はみられない。
,,□,高級レストラン（スタッフ）,販売量の動き,・２月は大雪の影響で交通渋滞が生じるなど、地元客が外食するような雰囲気にはないが、得意客は関係なく来店している。下旬には卒業旅行とみられる若者の来店もあった。また、外国人客は相変わらず数多く来店している。全体売上は前年とほぼ横ばいであった。
,,□,高級レストラン（スタッフ）,販売量の動き,・平昌オリンピックの影響で注目種目の放映日を中心に夜の売上が激減しており、全体としてはやや悪かった。例年、各地の生産者による年度末の試食会、研修会などが行われる時期であるが、今年は予約もなかった。他店の様子をみると、知人の店では人員不足が慢性化しており、客の少ない日はスタッフが安心していたとのことであった。また、ホテルでは朝食バイキングで多量の生野菜を使っているが、青果品の価格が再度上がり始めているため、大丈夫なのかと心配になるほどである。
,,□,旅行代理店（従業員）,販売量の動き,・前月に引き続き問合せ件数や先行受注状況がやや良かった。
,,□,タクシー運転手,来客数の動き,・乗務員不足で稼働率が落ちている。１台当たりのタクシーの売上は若干プラスになっているが、会社全体としての売上は大きなマイナスとなった。
,,□,タクシー運転手,単価の動き,・地域の今年度分の各種イベントも終了しており、人の動きが望めない。
,,□,タクシー運転手,競争相手の様子,・同業他社の稼働状況をみると、全体的に低下している。
,,□,通信会社（社員）,来客数の動き,・特に変化は感じられない。例年であれば客の動きが活発化する時期であるが、プロモーションなどが前倒しになっていることで、本来上向くはずの時期に動きがみられなかった。
,,□,美容室（経営者）,お客様の様子,・２月も同じような売上で推移している。暖房費や野菜などの食料品が値上がりしている影響なのか、年金生活者の来店サイクルが長くなってきていることが気掛かりである。
,,□,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・天候悪化による欠航回数が引き続き増加傾向で推移している。
,,□,住宅販売会社（経営者）,お客様の様子,・分譲マンションのモデルルームへの来客数は総じて堅調であるが、客の購入意思決定に要する時間のばらつきが大きくなっている。また、平昌オリンピックの影響で期間中の来客数と販売戸数が減少した。
,,▲,スーパー（店長）,来客数の動き,・２月も来客数が前年を10％ほど下回っている。節分コーナーに対する客の反応が余り良くなかった。
,,▲,スーパー（企画担当）,お客様の様子,・節分やバレンタインなどの商戦の売上は、前年と比べてやや不調であった。前年までは比較的高単価のこだわり商材が売れ筋であったが、今年は低価格帯の商材がよく売れており、結果的に売上減少につながった。
