I．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,一般小売店［土産］（経営者）,来客数の動き,・新型コロナウイルスの感染拡大が続いているものの、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンの効果が一定程度表れてきている。特に週末や４連休においては、前年の７割近くまで来客数が回復している。ただし、売上総額ではまだ前年の３割台にとどまっている。
,,○,一般小売店［酒］（経営者）,販売量の動き,・客の業態にもよるが、コロナ禍からの脱却がみえ始めてきている。完全には戻っていないが、回復傾向が少しずつ強まっている。
,,○,百貨店（販売促進担当）,来客数の動き,・新型コロナウイルスの影響はまだ続いているが、来客数、買上客数が少しずつ増加している。また、客単価が新型コロナウイルス発生以前よりも高くなっていることから、この傾向が続けば、売上の回復も期待できる。
,,○,スーパー（役員）,それ以外,・Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンの効果もあり、４連休を中心に観光客がかなり増えてきている。
,,○,コンビニ（エリア担当）,お客様の様子,・周りの工事が増えてきたこと、飲食店の動きが少しずつ回復してきていることから、景気はやや良くなっている。観光客も３か月前と比べると、団体客などの動きが少しみられるようになってきている。
,,○,乗用車販売店（従業員）,販売量の動き,・販売量が徐々に上向いてきている。先行きについても楽しみである。
,,○,乗用車販売店（従業員）,販売量の動き,・４～６月の緊急事態宣言が出されていたときは客の流れも悪く、販売量も例年と比べて落ち込んでいたが、７～９月になると客の懐も少し緩み、乗換えが相当進んでいる。例年と比べても良いところまで持ち直していることから、景気は上向いてきている。
,,○,乗用車販売店（従業員）,販売量の動き,・新型車両の導入などがあったこともあり、販売台数が予算に近い数字になってきている。
,,○,自動車備品販売店（店長）,販売量の動き,・景気はやや良くなっている。季節の変わり目にあることから、必要商材の購入が増加するなど、客の購買意欲が高まっている。
,,○,高級レストラン（スタッフ）,来客数の動き,・徐々にではあるが、来客数が増えてきている。
,,○,観光型ホテル（経営者）,来客数の動き,・Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンや地元自治体による宿泊喚起キャンペーンなどが寄与したことで一時の落ち込みは脱している。ただし、道内客が主体であり、道外客やインバウンド客が回復していないことから、本格的な来客数の回復には至っておらず、厳しい売上となっている。
,,○,観光型ホテル（スタッフ）,来客数の動き,・若干ではあるが、Ｗｅｂ経由の個人客、観光目的の客について回復の兆しがみられている。
,,○,旅行代理店（従業員）,来客数の動き,・新型コロナウイルスの影響で欠航していた航空便が９月に入ってから回復傾向に転じている。量的には例年に遠く及ばないものの、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンの効果もあり、団体旅行もようやく回復傾向がみられるようになっている。周辺観光地では、４連休において自家用車を利用した道内客及びレンタカーを利用した道外からの個人客でにぎわい、久しぶりに活気のある風景がみられた。
,,○,旅行代理店（従業員）,お客様の様子,・売上の主力である法人、組織の団体旅行について、３か月前は一切みられない状況であったが、９月は数件の取扱があった。新型コロナウイルスの影響は依然として大きいが、少しずつ改善傾向がみられるようになっている。
,,○,旅行代理店（従業員）,来客数の動き,・飽くまで全く売上のなかった緊急事態宣言前後との比較ではあるが、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンの後押しもあり、８月と同様に一定の来客数がみられる。ただし、来客数がごく少数な上、単価の低い道内宿泊の成約が数件ある程度なので、赤字の状況は変わらない。
,,○,旅行代理店（従業員）,販売量の動き,・まだまだ景気の悪い状態ではあるが、少しずつ客の動きが出てきているなど、最悪の状況は脱してきている。
,,○,タクシー運転手,販売量の動き,・タクシー予約について、観光貸切りでの利用が入り出すなど、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンの効果が出てきている。ただし、当地域で開催される予定だった会合などがいまだに見送られており、完全に戻るまでには２年程度は掛かるとみられる。
,,○,タクシー運転手,お客様の様子,・タクシー割引クーポン券やプレミアム付商品券が発売されたことにより、３か月前と比べればタクシーの利用状況は上がっている。ただし、売上は前年から30％のダウンとなっている。
,,○,観光名所（従業員）,来客数の動き,・新型コロナウイルスによる停滞から徐々に回復傾向にあったが、９月は天候不良の日が例年よりも多かったため、24日時点の前年比は34.6％にとどまっている。ただ、４連休の際にはインバウンドでにぎわっていた前年と同じような来客数の日もあったことから、実感としては景気は上向きになっている。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・４連休や各種政策の効果がある程度みられたことから、前月と比較して利用客数が増加傾向となっている。
,,□,商店街（代表者）,来客数の動き,・少しずつではあるが、来街者が戻ってきている。特に４連休の際は、人数自体はそれほど多くなかったが、久しぶりの人出がみられた。
,,□,商店街（代表者）,お客様の様子,・客の様子をみる限り、景気が良くなっているとはいえない。
,,□,商店街（代表者）,それ以外,・３月以降の景気悪化により、回復が見込めない状況のなか、９月は区域内で２店舗の閉店があった。店舗の閉店が続いたことで、ほかの商店主や来街者にまで暗い雰囲気が漂っている。また、当地において、前月に新型コロナウイルスの新規感染者が見付かったことで来街者の足が止まったこともあいまって、景気の悪い状態が続いている。
,,□,商店街（代表者）,販売量の動き,・新型コロナウイルスの影響がみられるなか、天候不順の影響で農作物の価格が高騰していることが売上に響いた。客の入込は４連休のみ良かった。
,,□,スーパー（店長）,それ以外,・売上は下げ止まっているものの、新型コロナウイルスが終息していないことから、相変わらず低い水準で推移している。
,,□,スーパー（店長）,お客様の様子,・６月は特別定額給付金の影響で消費が活発化したが、７月以降は節約志向がみられる。客単価の上昇や買上点数の増加がみられるものの、客の来店頻度が低下していることから、全体の売上はこれまでよりもやや減少している。
,,□,スーパー（企画担当）,販売量の動き,・コロナ禍のなか、食品スーパーマーケットの売上は引き続き好調に推移しているが、来店頻度の低下に伴い来客数が減少している。その一方でまとめ買いによる客単価の上昇傾向が引き続きみられる。
,,□,スーパー（役員）,来客数の動き,・コロナ禍のなか、国が人を動かすことで消費を拡大させる景気向上策に出ていることから、これまでの巣籠り需要にやや変化がみられるようになってきている。９月の売上は前年を上回って推移しているものの、伸びは鈍化傾向にある。また、来客数は前年から３～５％の減少、客単価は前年から６％前後の低下で推移している。
,,□,コンビニ（エリア担当）,それ以外,・売上は前年を超えているものの、プレミアム付商品券などが影響しているためであり、景気の実態はそれほど良くないとみられる。
,,□,コンビニ（エリア担当）,それ以外,・景気はやや良い状態で変わらない。３か月前は新型コロナウイルスの影響とキャッシュレス・消費者還元事業の効果により、売上が好調であった。９月は免許品の値上げ前の駆け込み需要が生じていることで売上確保につながっている。
,,□,乗用車販売店（経営者）,販売量の動き,・新型車の受注は順調であるが、全体の販売量に大きな増減はなく、余り変化はみられない。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・販売量が前年並みの水準に近づきつつある。
,,□,高級レストラン（経営者）,来客数の動き,・Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンの効果もあり、観光客がやや増えており、３～５月に比べると景気はやや上向きにある。ただ、それも昼に限った話であり、夜になると地元客も来ないため、とても景気が良いとはいえない。今後は観光客の少ない時期となるため、景気はどんどん悪くなるのではないかと懸念している。
,,□,高級レストラン（スタッフ）,販売量の動き,・ランチが善戦したことで売上は前年の30％を超えそうだが、景気は３か月前と変わらない。売上が伸び悩んでいることから、テイクアウトを行いたいと考えているが、衛生面のことが心配でまだ手を出せない状況にある。ホテル内のレストランでは、いまだに休業を継続している店舗もみられる。朝食を含めて、少ないスタッフで対応している店舗も多く、客が入って混雑すると、スタッフの人数が足りないため、てんてこ舞いになっているようだ。また、ホテルによっては調理や配膳、ベッドメイクのバイト、パートを解雇した上で出勤停止状態を続けているところもあると聞く。
,,□,高級レストラン（スタッフ）,来客数の動き,・新型コロナウイルスの影響から脱し切れていない。
