Ⅰ．景気の現状に対する判断理由等,,,,,,,
,,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,,
,,,,,,,
,,,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(北海道)",,◎,－,－,－,,
,,○,商店街（代表者）,販売量の動き,・新青森まで開業した東北新幹線の効果が続いており、鉄道会社の企画などにより観光客が増加している。ホテルや飲食業等では10％前後の伸びがみられる。,,
,,○,商店街（代表者）,お客様の様子,・セール月ということもあったが、寒いせいか、これまで買い控えをしていた客が、比較的単価の高い防寒物などを買う傾向が月初めから目立っている。,,
,,○,百貨店（売場主任）,お客様の様子,・顧客の動向から相変わらず低価格志向は強く残っていることがうかがえるが、ミセス層の購買意欲が向上している。,,
,,○,百貨店（販売促進担当）,単価の動き,・顧客の購買単価と買上率の変化から若干上向きになってきている。また、来客数の伸びも続いている。,,
,,○,一般レストラン（スタッフ）,単価の動き,・12～１月と２か月連続して客単価が前年から５％以上上昇している。,,
,,○,観光型ホテル（経営者）,来客数の動き,・わずかながらではあるが、宿泊客数や予約数の伸びがみられる。一進一退の状況ではあるが、改善の兆候が感じられる。,,
,,○,旅行代理店（従業員）,販売量の動き,・海外旅行は円高傾向の効果で、団体旅行、ハワイチャーター便の募集旅行が好調で前年比484％となった。一方、国内旅行は教育団体旅行以外は低調で前年比99％となった。特に業務性の旅行は依然として伸び悩んでいる。,,
,,○,観光名所（役員）,来客数の動き,・今月は台湾・韓国などの海外観光客が順調に推移していることに加えて、国内観光客も延伸した東北新幹線を利用したＪＲの限定きっぷが好評なことから、中高年を中心に観光客が増加しており、全体として前年を上回る勢いとなっている。,,
,,□,商店街（代表者）,来客数の動き,・初売りは前年並みだったが、その後の大雪の影響で20％程度来客数が落ち込んだ。,,
,,□,商店街（代表者）,お客様の様子,・消費マインドの低下は先行き不安が大きな原因である。客からは、消費税も上がるし、年金も心配だし、当分買物する気になかなかなれないという慎重な話が多く聞かれる。,,
,,□,商店街（代表者）,来客数の動き,・１月という時期的な要因も影響しているが、中心部を訪れた客の数は３か月前と比較して減少している。特に飲食店は10～11月と比較的客の出入りが多かったが、今月は１日で４人しか客が来なかったという飲食店もみられるなど、来客数の減少が顕著である。,,
,,□,一般小売店［土産］（経営者）,来客数の動き,・日本人はもとより中国人観光客も減少している。ニセコ地区からのオーストラリア人観光客の姿が増えたが、欧米人は買物をしない傾向にあるため、今月の売上は例年と比べて30％程度減少した。,,
,,□,百貨店（売場主任）,来客数の動き,・初売りにおいては、福袋等の売上が非常に良かった。その後も、寒さが続いていることから、冬物衣料の販売量が前年よりも増加している。12月に大雪の影響で来客数が減少したことの反動もあり、セールに入ってからの売上が増えている状況にある。,,
,,□,スーパー（役員）,単価の動き,・今年は第１週の日曜日が２日であり、前年の３日と比べて１日早くなったせいなのか、雪の影響なのか判断が付かないが、来客数が前年より３％少なかった。ただ、前年比でみると、商品単価が１％上昇し、客１人当たりの買上点数が2.4％増加したことから、客単価が3.1％上昇しており、既存店の売上は何とか前年実績を確保できた。,,
,,□,コンビニ（エリア担当）,単価の動き,・売上は増加傾向にあるが、たばこ値上げの効果によるものであり、実態は前年並みの水準となっている。,,
,,□,衣料品専門店（店長）,お客様の様子,・今年の北海道は大雪が続いたことから、あまり良くない景気が一層悪くなっている。,,
,,□,乗用車販売店（従業員）,販売量の動き,・新型車の販売効果はあったものの、前年並みの販売台数には届かず、予想通りの厳しい状況にある。,,
,,□,乗用車販売店（営業担当）,販売量の動き,・エコカー補助金が終了した前年９月以降は、需要の先取りの反動もあり、受注量の大幅な減少が継続している。,,
,,□,その他専門店［ガソリンスタンド］（経営者）,お客様の様子,・客の節約志向の強い状況が続いている。,,
,,□,高級レストラン（スタッフ）,来客数の動き,・例年にない大雪がみられるなかで、週末・平日ともコンスタントに客が入っており、来客数は前年を９％上回っている。わずかではあるが客単価も上昇しており、売上は前年から14％の増加となっている。前年と異なり、売上が大幅な落ち込みとなった日もみられない。,,
,,□,高級レストラン（スタッフ）,来客数の動き,・ディナーを始め、ランチも来客数が落ち込んでおり、全体的にやや悪い状況が続いている。地方の繁盛店もランチが厳しくなってきたとの声が出てきている。おせちについては、自社は成績が悪かったが、他社では高級な物もよく売れたと聞いている。,,
,,□,高級レストラン（スタッフ）,来客数の動き,・来客数は減少傾向にある。今年はここ２～３年の暖冬に比べて寒さが厳しく、外に出歩かない傾向がみられる。また、現在インフルエンザが猛威を振るっており、予約のキャンセルなどもみられる。,,
,,□,スナック（経営者）,来客数の動き,・年が明けてから、すすきのに人が全然出ていない状況にある。,,
,,□,観光型ホテル（スタッフ）,来客数の動き,・国内客については、スキー・スノーボードを含む観光客、ビジネス客ともに不振である。台湾、香港、韓国からの訪日観光客で宿泊客数を稼いだ状況である。,,
,,□,旅行代理店（従業員）,それ以外,・来客数はそれほど減っていないが、売上、取扱人員数が伸び悩んでおり、１月全般では停滞気味である。,,
,,□,タクシー運転手,来客数の動き,・１月は雪の日が多く、気温も低かったため、タクシー利用客数もまずまずであった。当社では前年11月までに10％のタクシー台数を減車したが、１台当たりの売上が10％以上増加したため、会社全体の売上も前年を上回った。,,
,,□,タクシー運転手,来客数の動き,・時期的な要因から、タクシー利用客は３か月前よりも多くなっているが、前年と比べると、利用客は減少している。客の反応も景気の良い話は全く聞こえてこない状況にある。,,
,,□,タクシー運転手,来客数の動き,・電話注文での売上は前年並みとなっている。１件当たりの客単価が低下しているものの、注文件数は前年を上回っている。,,
,,□,通信会社（企画担当）,販売量の動き,・スマートフォン型端末の販売量が大幅に伸びているが、相対的に従来の通話型通信端末の販売量が減っており、全体の販売量に大きな伸びがみられない。,,
,,□,美容室（経営者）,お客様の様子,・大雪と灯油の値上がりの影響で明るい雰囲気がなく、生活防衛意識が強くなっている。不必要な出費はとにかく抑えるという傾向が強く感じられる。,,
,,□,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・年が明けても公共事業を始めとした各事業にかかる原材料等の輸送量が前年を上回っている。,,
,,□,設計事務所（所長）,お客様の様子,・今月は大雪の影響もあってか、住宅建設に関心が向きにくいようだ。,,
,,□,住宅販売会社（経営者）,お客様の様子,・客の買物に対するテンションがあまり変わっていない。,,
,,▲,商店街（代表者）,お客様の様子,・客の反応は決して良くなく、日々生活が苦しいという声しか聞こえてこない。,,
,,▲,一般小売店［酒］（経営者）,単価の動き,・主要な得意先である飲食店への客の入込が大変悪くなっており、１店当たりの売上が非常に落ち込んでいる。そのため、飲食店の仕入１回当たりの購入量、単価ともに落ち込んでいる。,,
,,▲,百貨店（売場主任）,来客数の動き,・全店での売上は、12月に引き続き前年比95％で推移しているが、買上客数が前年比94％と減少している。,,
,,▲,百貨店（販売促進担当）,来客数の動き,・11～12月は降雪が少なく、需要喚起になかなか結び付かず、冬物衣料の動きが鈍かったが、１月は一気に降雪量が増えたことで、客の来店の動きが鈍かった。天候要因にかなり振り回された感がある。,,
,,▲,百貨店（役員）,お客様の様子,・正月三が日は天候も良く、前年実績を上回ったが、４日以降の悪天候で客足が鈍り、非常に苦戦している。客単価や買上率の低下もあり、ここに来て悪くなった感が強くなっている。,,
,,▲,スーパー（店長）,販売量の動き,・１月も販売量が落ち込んでおり、前年比98％であった。,,
,,▲,スーパー（店長）,販売量の動き,・年が明けてから商品の動きが非常に悪くなっている。店舗への来客数は前年から５％程度増えているが、客単価の低下、買上点数の減少がみられ、売上は前年を下回っている状況にある。,,
,,▲,スーパー（店長）,来客数の動き,・正月が明けて年始商戦が終わった後の客の買い方をみると、慎重に商品を選定している様子がうかがえる。特にひな人形、学習机、ランドセル等については、非常に慎重に購入している様子がみられる。,,
