Ⅰ．景気の現状に対する判断理由,,,,,,
,,,,,,
　景気の現状に対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,
,,,,,,
,,,,,,
　１．北海道,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,景気の現状に対する判断理由,,
"家計
動向
関連

(北海道)",,◎,－,－,,
,,○,家電量販店（店員）,,・店全体の売上はそれほど変わっていないが、パソコンやエアコンがかなり売れている。,
,,○,高級レストラン（スタッフ）,,・ビジネス客や各種宴会の受注が増加している。,
,,○,スナック（経営者）,,・ゴールデンウィーク以降の客の出足が少し良くなっている。,
,,□,商店街（代表者）,,・ゴールデンウィークを含めて、観光客の利用が減少したままであり、飲食、土産ともに引き続き低調である。,
,,□,百貨店（売場主任）,,・ミセス層の購買力は上昇しているが、それ以外の層ではむしろ買い控えの傾向がある。,
,,□,スーパー（店長）,,・ゴールデンウィーク明けの客の購買意欲が悪くなっている。,
,,□,コンビニ（エリア担当）,,・必要な物だけを買う状態が続いている。また、まとめて買うときも単価が安い物を買っている。,
,,□,家電量販店（店長）,,"・来客数がやや落ち込んだ状態が続いている。
・単品買いも多く、消費者に余裕がみられない。",
,,□,旅行代理店（従業員）,,・有珠山の問題があって今一つはかばかしくないが、法人の需要は出てきている。,
,,□,タクシー運転手,,・客の話によれば、有珠山噴火の影響で観光、珍味加工、ホテル業ともかなり悪い状態が続いている。,
,,□,美容室（経営者）,,・来客数も固定客の来店頻度も変化がなく、新しい客も増加していない。また、サービスの単価もやや上昇してきている程度である。,
,,▲,商店街（代表者）,,・ミセス層の購買力は強いが、学生、若年ＯＬの購買が非常に悪く、全体的にみるとやや悪い。,
,,▲,百貨店（売場主任）,,・呉服、宝飾が良く、服飾雑貨、食品関連が若干伸びているものの、婦人服、子供服が不振であり、全体としてはやや悪くなっている。,
,,▲,百貨店（売場主任）,,・売上が減少してきており、特に婦人服の落ち込みが顕著である。,
,,▲,百貨店（売場主任）,,・高額品の動きが悪くなっている。まとめ買いをせず、必要な物だけを買っている。,
,,▲,スーパー（店長）,,・５月は曜日周りが悪いということもあり、ゴールデンウィーク後の既存店舗の売上動向が非常に悪かった。,
,,▲,スーパー（店長）,,・客数は変わらないが、客単価、一点単価、商品の回転数が低下している。,
,,▲,スーパー（店長）,,・前月まで好調だった食料品の売上が、今月後半から急激に落ち込んでいる。,
,,▲,家電量販店（経営者）,,・客との会話のなかでは、連休明けから人出が非常に落ち込んでおり、景気が少し悪いという意見が多い。,
,,▲,乗用車販売店（経営者）,,・ユーザーの購入意欲が盛り上がらないので、売上が伸びず、やや悪くなっている。,
,,▲,自動車備品販売店（店長）,,"・客数が減少している。
・高額商品のタイヤ、オーディオ等の売上が落ちている。",
,,▲,高級レストラン,,・今年のゴールデンウィークは大型連休のため観光客の来店はいくぶん良かったが、その後は悪い。有珠山の影響がまだある。,
,,▲,スナック（経営者）,,・平日は、街を歩いている人よりも客待ちのタクシーのほうが多い。,
,,▲,スナック（経営者）,,・連休明けから客足が極端に落ちている。,
,,▲,タクシー運転手,,・売上の減少が続いており、実際に仕事をしていると、景気は底打ちしていないと感じる。,
,,▲,タクシー運転手,,・以前は病院の通院に高齢者がタクシーを利用していたが、現在は患者獲得のために、病院が患者の送迎を始めたため、売上が減少している。,
,,▲,美容室（経営者）,,"・客数、客単価ともに良くない。
・景気が回復するような話をする客もいない。",
,,×,衣料品専門店（店長）,,・衣料品が売れなくなっている。売れたとしても安いものが中心なので、売上は減少する一方である。,
,,×,高級レストラン（経営者）,,・ゴールデンウィークの反動と有珠山噴火の影響などで、悪いというより非常に悪いという状況である。,
,,×,スナック（経営者）,,・宴会が減少している。また、官庁関連の客との交流が全くなくなった。,
,,×,観光型ホテル（役員）,,・洞爺湖は４月から休業状態で売上はない。登別は風評被害で前年を大きく下回っている。ただし、定山渓は５月から売上が大きく上昇している。,
,,×,タクシー運転手,,・歩合給がつかず、基本給のみであった仲間が20人から30人いたようだ。,
"企業
動向
関連

(北海道)",,◎,－,－,,
,,○,食料品製造業（経営者）,,・物、人の流れが多少上向いてきた。特に連休は前年よりやや良かった。,
,,○,非製造業［建設機械レンタル］（総務担当）,,"・毎朝７時前から、ユーザーからの電話注文が入ってきている。また、飛び込みの客も増加してきている。
・機械関連の荷動きも良い。",
,,○,非製造業［建設機械リース］（営業担当）,,・仕事の引き合い等が多くなっており、上向いている。,
,,○,その他企業［コンベンション担当］,,・５月は前年比である程度の売上は確保できた。有珠山噴火の影響も薄れてきて、多少良くなっている。,
,,□,輸送業（総務担当）,,・徐々に引き合いがきているが、全体的にみると一般貨物の取扱量は変化していない。,
,,□,輸送業（支店長）,,・物流面からみると、輸入貨物コンテナの取扱量は順調に伸びているが、国内の物流は、依然として荷動きが低迷している。,
,,▲,＊,＊,,
,,×,－,－,,
"雇用
関連

(北海道)",,◎,－,－,,
,,○,人材派遣会社（社員）,,・事業拡大、安定という方向に向けて、人材へのニーズが高まっている。,
,,○,求人情報誌製作会社（編集者）,,・求人件数が今までほどの勢いはないものの、引き続き増加傾向にある。,
,,○,求人情報誌製作会社（編集者）,,・５月に入っても求人件数が増加している。,
,,○,新聞社［求人広告］（担当者）,,・車両、不動産広告関連の企業からの出稿が伸びている。ただし、他の業種では伸び悩んでいるところもあり、必ずしも楽観視できない。,
,,□,新聞社［求人広告］（担当者）,,・求人数は増加しているが、正社員からパートにシフトしている傾向が強い。,
,,▲,求人情報誌製作会社（編集者）,,・最近の求人件数が減少している。スナック等、夜の仕事に関する求人も少なくなっている。,
,,▲,新聞社［求人広告］（担当者）,,・住宅産業の低迷が続いており、土建関係も悪くなっている。,
,,×,求人情報誌製作会社（編集者）,,・地元業者の指名停止による公共工事の執行の遅れと、当地域の木材関係の倒産によって、雇用状勢が悪化している。,
,,,,,,
　２．東北,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
