Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,百貨店（販売促進担当）,それ以外,・閉店を控えているという特殊要因が店舗来店への動機づけの後押しとなり、来客数の増加、購買率の上昇がみられる。ただ、地方都市の小売販売全体として、プラスアルファの需要が喚起されるほどの力強さがあるとはいえない。
,,○,百貨店（販売促進担当）,販売量の動き,・夏のセールのスタート以後、客の購買力が高まっている。外国人観光客の売上は相変わらずマイナス傾向だが、来客数が増加しているため、客単価が下げ止まればマイナス幅も縮小してくる。
,,○,衣料品専門店（経営者）,販売量の動き,・初夏を迎えてイベントが開催されていることから、外国人観光客や一般市民が街を歩いており、それに伴い店舗への来店も増えている。売上は前年から12％のアップとなった。例年よりも気温が低いなか、浴衣などの単価の低い商材が動いている。
,,○,衣料品専門店（店長）,販売量の動き,・例年、この時期は低単価商材の販売が中心となるが、今年はオーダースーツが好調である。夏のボーナスが影響しているとみられる。
,,○,乗用車販売店（従業員）,来客数の動き,・前年と比べてわずかではあるが来場者数が増えている。例年であれば、暑い日が続くと外出を控える客が増える傾向にあるが、今年は涼を求めてショールームに来場する客が増えている。そのため、これから売上が伸びることを期待している。
,,○,その他専門店［医薬品］（経営者）,それ以外,・来客数、客単価がようやく上向きになってきた。地道な積み重ねもあり、目先のチラシ、特売などに左右されるのではなく、安心できる軽医療機関として当店が少しずつ認められてきたようだ。
,,○,高級レストラン（スタッフ）,販売量の動き,・夏休みに入り観光客の入込はあるものの、当店の人手不足、社員のスキル不足により回転率が上がってこない。ただ、それでも売上は前年から５％の増加となった。
,,○,旅行代理店（従業員）,来客数の動き,・夏場の観光シーズンを迎えて観光客の動きが活発になっている。しかし、季節運航の航空路線の運航期間短縮の影響もあり、前年比では伸び悩みがみられる。
,,○,タクシー運転手,単価の動き,・３か月前からみると、月を増すごとに売上が上向いている。４月の売上が前年比98％、５月が前年比115％、６月が前年比113％、７月が前年比112％と上向き傾向にあり、この先の予約も数か月先までは順調に入ってきている。例年、当社は夏季の売上がやや良くなるが、今年は予想以上である。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・観光の最盛期を迎えて、旅客、車両ともに輸送量が１年のピークとなってきている。特に個人観光客の増加が目立っている。
,,□,商店街（代表者）,お客様の様子,・客の様子がこれまでと変わらない。
,,□,商店街（代表者）,来客数の動き,・７月は各種の全道大会などが３回行われたこともあり、３か月前と比較すると他地域からの来街者が増加したほか、中華圏からの外国人観光客も家族連れのグループを中心に増加している。一方、中旬以降、天候不順の日が続いたこともあり、周辺住民による来街が減少したほか、夏休み期間中の中高生の遊興目的の来街が伸びなかった。
,,□,商店街（代表者）,販売量の動き,・７月は全体的に良くも悪くもない状態であった。今年は例年よりも涼しいためか、夏の必需品の販売量が伸び悩んでいる。
,,□,商店街（代表者）,販売量の動き,・気温が上がってこないため、全体としては３か月前と変わらない。
,,□,一般小売店［土産］（経営者）,お客様の様子,・依然として日本人観光客が増えてこない。また、客単価も年々低くなってきている。
,,□,百貨店（売場主任）,来客数の動き,・来客数が前年比97％となり、ここ数か月では低い水準となった。外国人観光客が前年比80％を切るなど、外国人観光客の減少が大きく影響している。そのほか、ギフトセンターの売上が若干前年を下回ったものの、セールや秋物定価品は前年並みとなった。特に秋物定価品は客単価アップもみられ、前年の売上を上回った。
,,□,百貨店（担当者）,来客数の動き,・中旬までは前年並みで推移していたものの、それ以降は前年を下回って推移している。
,,□,スーパー（店長）,お客様の様子,・売場を大きく改装したベビー用品は好調に推移しているが、重販の季節商材の販売状況が全般的に悪く、バーゲン待ちの様子がうかがえる。
,,□,スーパー（店長）,来客数の動き,・来客数が前年を下回っており、回復の兆しがみえてこない。商品価格が前年を上回っているため、かろうじて売上が前年を上回っている状況であり、こうした傾向がしばらく続くとみられる。
,,□,スーパー（役員）,販売量の動き,・ここ数か月、客単価が前年比で100％を超えている。商品単価が前年から１％落ちているものの、平均買上点数が前年から1.5％アップしていることが影響している。前年は各地域でプレミアム付商品券を発行していたこともあり、７月の売上は前年と比べて減少しているようにみえるが、景況感に変化はみられない。
,,□,スーパー（役員）,それ以外,・北海道新幹線の開業効果がなかなか地域全体に波及してこない。
,,□,コンビニ（エリア担当）,お客様の様子,・７月は日照不足や最高気温の低い日が続いていたことにより、主力商材である飲料水やアイスクリームなどの動きが悪く、苦戦している。来客数はここ数か月横ばいで推移しているが、前年を下回っている。
,,□,コンビニ（エリア担当）,来客数の動き,・沿岸部でコンブ漁が解禁となったこともあり、一部の店舗では売上の増加がみられる。しかし、サケ・マス漁の代替のイワシ・サバ漁が不調であり、大勢は変わらない。内陸部では競合店の出店が積極的に行われていることで客足が分散してきている。
,,□,衣料品専門店（店長）,販売量の動き,・セールが始まったが、客の買上率が低い。
,,□,家電量販店（店員）,単価の動き,・冷蔵庫、洗濯機、エアコンといった夏物家電の動きが鈍く、前年を下回った。
,,□,乗用車販売店（従業員）,販売量の動き,・当店の販売量は予算をオーバーするなど、かなり良かったのだが、周りの様子をみると、どこも予算未達で７割あれば良いという状況であるため、前月と変わらず景気はあまり良くない。
,,□,自動車備品販売店（店長）,来客数の動き,・新型車の納期を迎えるとともにカーナビの需要が伸びており、売上は前年比105％程度に伸びたが、来客数は前年比98～100％と前年とあまり変わらない。６月も来客数が減少していたことから、景気の回復が感じられない状況にある。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品価格が安定しているため、景気は変わらない。
,,□,スナック（経営者）,来客数の動き,・参議院選挙があった割には忙しく、あまり暇な日がなかった。
,,□,観光型ホテル（スタッフ）,来客数の動き,・宿泊需要が外国人観光客の団体旅行から、国内観光客の個人、グループ旅行へとシフトしつつあるものの、宿泊客数は前年比でマイナス傾向となっている。その反面、客単価は若干プラス傾向となっている。
,,□,旅行代理店（従業員）,お客様の様子,・当業界にとって円高は好材料であるが、海外でのテロが収まらず、海外旅行客にとって不安が大きいため、全体としては変わらない。
,,□,タクシー運転手,来客数の動き,・７月は天候の良い日が多かったこともあり、タクシーの利用はほぼ前年並みであった。タクシー１台当たりの売上はほぼ前年並みであったが、乗務員不足で稼働率が下がっているため、会社の売上は若干のマイナスであった。
,,□,タクシー運転手,来客数の動き,・この３か月間、観光客やゴルフ客も含めて、例年並みの利用客数であった。
,,□,タクシー運転手,販売量の動き,・販売量は増加しているが、天候や気温によるところが大きく、景気自体が上向いているとはいえない。
,,□,通信会社（社員）,販売量の動き,・特段目を見張るような商材も発売されていないなか、前年の販売量を維持することを重要課題として取り組むことで、どうにか前年をクリアできている状況にある。ただ、そのために値引きなどの販促費が超過傾向にある。
,,□,観光名所（従業員）,来客数の動き,・７月25日時点の利用客数が前年比102.4％とほぼ前期並みとなっている。
,,□,美容室（経営者）,お客様の様子,・客の来店周期、客単価ともに一定水準で推移しており、あまり変化のみられない状況が続いている。
,,□,住宅販売会社（経営者）,お客様の様子,・観光業界、ホテル・宿泊、飲食は引き続き好調だが、建設業、小売などにはその好調さがなかなか反映されてこない。
,,▲,商店街（代表者）,来客数の動き,・来客数と客単価の数字がともに落ちている。特に高額商材の売行きが鈍い。
,,▲,一般小売店［酒］（経営者）,単価の動き,・飲料水はそこそこの売上を確保しているが、このところ当社の主力商材である酒類、特に高額商材の売行きにブレーキがかかってきており、なかなか売上が上向いてこない。
,,▲,百貨店（売場主任）,来客数の動き,・７月１日からのセールは前年とは違いスタートが良かったものの、中旬以降に失速したことで、衣料品の売上は前年比95％となっている。お中元商戦は参議院選挙の影響も多少あり、前年比97％とやや厳しい状況にある。
