Ⅰ．景気の現状に対する判断理由等,,,,,,
,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,
,,,,,,
,,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(北海道)",,◎,＊,＊,＊,
,,○,スーパー（店長）,販売量の動き,・３か月前とは単純に比較できないが、今月の販売数量は12月の93.5％であったものの、前年比でみると103.2％と前年を上回っている。,
,,○,衣料品専門店（店長）,来客数の動き,・季節的な面があるかもしれないが、途絶えていた客足が増加している。また単価も、去年と比べて上がってきている。,
,,○,住関連専門店（従業員）,販売量の動き,・市で指定しているごみ袋を扱うようになってから販売量が増加している。,
,,○,観光型ホテル（経営者）,単価の動き,・宿泊単価が上昇している。また、宿泊に係わる料理や飲料などが緩やかに増収に転じてきている。一方、付帯収入の大部分を占める売店収入の一人当たり単価が減少傾向にある。,・宿泊単価が上昇している。また、宿泊に係わる料理や飲料などが緩やかに増収に転じてきている。一方、付帯収入の大部分を占める売店収入の１人当たり単価が減少傾向にある。
,,○,観光型ホテル（スタッフ）,販売量の動き,・外国人客を中心に、宿泊客が前年比で二けた台の増加となっており、２か月連続での増加となっている。,
,,○,旅行代理店（従業員）,来客数の動き,・愛知万博の影響で国内旅行が上向いている。海外への渡航数も徐々に増加している。,
,,○,旅行代理店（従業員）,販売量の動き,・愛知万博の予約や問い合わせが急増しており、本州方面への動きが好調に増加している。販売額も前年比で二けたを超える増加となっている。,
,,○,旅行代理店（従業員）,来客数の動き,・春の旅行シーズンとなったことに加えて、愛知万博の影響で、客が少しずつ動き出してきているようにみえる。,
,,○,通信会社（企画担当）,お客様の様子,・札幌都心部の不動産が動き始めている。入札価格等も上昇に転じている。これに伴い新築マンション、オフィスビル建築の話題が出てきており、合わせて通信インフラの相談が増えてきている。,
,,○,美容室（経営者）,お客様の様子,・春の新商品の売上が昨年より20％程増加している。,・春の新商品の売上が前年より20％ほど増加している。
,,□,商店街（代表者）,お客様の様子,・依然として先行き不安感があるのか、購買は慎重な動きとなっている。また春物シーズンに入ってきているが、月末になっても降雪のみられる気候の影響もあって、なかなか購買につながらない。,
,,□,商店街（代表者）,お客様の様子,・３月は春物の最需要期であり、春物の出足はそれほど悪くなかったが、その後は気温の低下や天候不安定の影響もあり、今一歩、客の購買意欲がかきたてられていない。ただし、その分、冬物の最終処分で、まだ防寒衣料が動いており、結果としてはとんとんといった状況となっている。,
,,□,商店街（代表者）,販売量の動き,・まだ雪解けが進んでいないので、それほど変化がみられない。,
,,□,一般小売店［酒］（経営者）,販売量の動き,・販売量については３か月前とほとんど変わっていない。下げ止まったのかという感じである。,
,,□,百貨店（売場主任）,お客様の様子,・春物が本格的に動き出す月だが、いまだに降雪が続き、気温も低いため、春物の出足が鈍い。特に男女とも服飾雑貨の動きに顕著に現れている。また少子化の影響で子供服や学生服が大幅なマイナスとなっている。しかしながら、店舗全体ではマイナス幅が小さく健闘している状況である。人の移動が多く、目的買いの多い月ではあるが、全体としては依然として厳しい状況からは抜け出していない。,
,,□,百貨店（売場主任）,単価の動き,・商品アイテム別の売上をみると、例年より、スーツやコート等の重衣料の買上件数が非常に少なくなっている。スカートやパンツの上にカットソー、ブラウスなどを合わせた軽い感じのファッションが流行しているという影響もあるが、例年に比べて圧倒的に重衣料の売上が減少している。全体としては３か月前と変わらない状況である。,
,,□,百貨店（役員）,来客数の動き,・平年よりも積雪が多く、３月に入っても気温が上がらないなど、天候不順であり、来客数も前年を割り込んでいる。このため春物衣料品や自転車等を含めた季節商品の売上が前年比90～95％で推移している。,・平年よりも積雪が多く、３月に入っても気温が上がらないなど、天候不順であり、来客数も前年を割り込んでいる。このため春物衣料品や自転車等を含めた季節商材の売上が前年比90～95％で推移している。
,,□,スーパー（店長）,販売量の動き,・客数は前年比102％と前年を上回っているが、販売点数が前年比97％と落ち込んでおり、客は入るが買わないという傾向が依然として続いている。,
,,□,コンビニ（エリア担当）,販売量の動き,・３月に公共工事が全くない状況であるため、特に工事関係者の動きがなく、客数に関しては横ばいが続いている。,
,,□,コンビニ（店長）,来客数の動き,・この時期になると通常は売上が上向きになってくるのだが、これだけの降雪量があると人もなかなか歩いていない。上向こうとしているが、他の要因が邪魔をしており、売上もなかなか伸びてこないという状況である。,
,,□,衣料品専門店（店長）,お客様の様子,・今月は天候が悪く、街中の人出も非常に少なかった。卒業や入学関連の商品も思ったように動いていない。天候に大いに左右された月である。,
,,□,家電量販店（店員）,お客様の様子,・最近、客は店を良く回っているようだ。一度ではすぐ買わない。,
,,□,乗用車販売店（従業員）,来客数の動き,・今年は例年にないほど雪が多く、こうした天候のせいか、客の動きが全くない。,
,,□,乗用車販売店（従業員）,単価の動き,・客の状況は予算を抑える形で、売上があまり伸びていない。,
,,□,乗用車販売店（営業担当）,販売量の動き,・販売量が前年実績を上回るのに苦労している。,
,,□,高級レストラン（スタッフ）,来客数の動き,・同業者とのタイアップによる「はしご酒企画」で普段なじみのない客も来店しており、相当なＰＲとなった。しかし全体としては、平日の動きはまだ厳しい。,
,,□,高級レストラン（スタッフ）,お客様の様子,・３月の年度末を迎え、ランチは年齢層の高いビジネス男性客が減って、売上は前年比で20％のダウンとなった。ディナーは、売上こそ前年並みとなったが、コース料理の客が減少しており、客単価は前年比で20％低下している。個室は辛うじて前年並みとなった。,
,,□,一般レストラン（スタッフ）,単価の動き,・昨年の12月から４か月連続して、客単価が前年実績を５％ほど下回っている。,・前年の12月から４か月連続して、客単価が前年実績を５％ほど下回っている。
,,□,タクシー運転手,来客数の動き,・３月は年度末ということもあり、年間を通して12月に次いでタクシーの需要の多い月であるが、昨年と比べて利用者が減っており、売上も減っている。全体としては３か月前と変わらない状況である。,・３月は年度末ということもあり、年間を通して12月に次いでタクシーの需要の多い月であるが、前年と比べて利用者が減っており、売上も減っている。全体としては３か月前と変わらない状況である。
,,□,観光名所（職員）,単価の動き,・客の購入意欲は非常に慎重である。,
,,□,住宅販売会社（従業員）,来客数の動き,・引き続きモデルハウス等の来場者が少ないまま推移している。,
,,□,住宅販売会社（従業員）,販売量の動き,・半年間、販売量は低迷したままで、復調の兆しがみられない。悪い状況は変わっていない。,
,,▲,商店街（代表者）,単価の動き,・来街客の買物は低単価商品が中心であり、単価の増加が見込めない。,
,,▲,スーパー（店長）,来客数の動き,・客数は前年比91％と、雪解けの遅さもさることながら、北海道の小売業界の厳しさを物語っている。また、北海道の売上を前年比でみると、全国平均を２％下回っている。内訳では、食品のみ全国を上回るも、衣料品、住居用品、食品、専門店など他部門は厳しい状況となっている。,・客数は前年比91％と、雪解けの遅さもさることながら、北海道の小売業界の厳しさを物語っている。また、北海道の売上を前年比でみると、全国平均を２％下回っている。内わけでは、食品のみ全国を上回るも、衣料品、住居用品、食品、専門店など他部門は厳しい状況となっている。
,,▲,コンビニ（エリア担当）,単価の動き,・依然として、客単価の減少がみられる。特に高単価商品の動向が非常に鈍くなってきている。前年比でみると、気温の上昇に伴い若干回復はしてきているが、依然として厳しい状況である。,
,,▲,家電量販店（地区統括部長）,単価の動き,・薄型テレビやＤＶＤレコーダーなど、デジタル家電の単価のダウンが止まらない。,
,,▲,その他専門店［医薬品］（経営者）,お客様の様子,・客の様子が変わってきている。価格調査的な客が増えており、話しかけられたくない様子が分かる。顧客にさせるのが難しい客が増えた。,
