Ⅰ．景気の現状に対する判断理由等,,,,,,
,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,
,,,,,,
,,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(北海道)",,◎,－,－,－,
,,○,商店街（代表者）,お客様の様子,・バーゲン月ということもあり、先月は動きの悪かった防寒品も、今月に入って価格が安くなったことで客の購買力が増し、順調に売れている。,・バーゲン月ということもあり、前月は動きの悪かった防寒品も、今月に入って価格が安くなったことで客の購買力が増し、順調に売れている。
,,○,観光型ホテル（経営者）,来客数の動き,・道外客がツアーを中心に増加しつつある。インバウンドの増加も顕著である。ただし、１人当たりの消費単価は、付帯収入の落ち込みに伴い下落している。,
,,○,旅行代理店（従業員）,販売量の動き,・海外旅行の２月の受注額は前年割れであるが、３月以降は受注額・人員共に前年の数値から大きく伸びている。国内旅行は東京・沖縄・九州の伸びが回復しており、特に沖縄は前年の２倍強の増加が続いている。,
,,○,美容室（経営者）,お客様の様子,・新商品の売行きが良くなってきている。,
,,○,設計事務所（職員）,お客様の様子,・中心部でのビル設計の引き合いや既存ビルの耐震診断の引き合いが続いている。不動産管理会社によると、札幌市内でファンドによる既存建物取得の動きが多くなっており、取得判断には建物の耐震性評価が必要とされ、その需要は高まっているようである。,
,,□,商店街（代表者）,販売量の動き,・季節商品のバーゲンが早まっているため、少しは動きが良くなってはきているものの、全体としては大きく変わらない。,・季節商材のバーゲンが早まっているため、少しは動きが良くなってはきているものの、全体としては大きく変わらない。
,,□,百貨店（売場主任）,お客様の様子,・初売りの始まりから１週間は、冬物の値下げもあり、好調なスタートを切ったが、その一方で、福袋においては、販売数が減少しているほか、商品内容に対するクレームも例年にないほどの多さとなった。消費者の購買心理がここまできたのかと驚いている。また、中旬以降は天候的に厳しい冷え込みもあり、客数が大幅に下落した結果、月を通しての客数も大きく減ることとなった。客の購買点数は減っているものの、平均購買単価は数か月連続で前年を上回っており、このことからも衝動買いが減っていると考えられ、可処分所得の減少がうかがえる。,
,,□,百貨店（役員）,お客様の様子,・初売りで防寒衣料品のバーゲンを実施したが、客の反応が良く、中旬までは売上102％前後で推移した。しかし、後半に入ると息切れとなり、結果として前年比100％で終わった。,
,,□,スーパー（店長）,お客様の様子,・客数は前年と比較して３ポイントほどアップしているが、衣料品を中心に売上の低迷が続いており、食品を中心とした買物が目立っている。,
,,□,衣料品専門店（店長）,販売量の動き,・冬物衣料の動きも非常に悪く、商店街のイベント等の効果も落ち込んでいる。他店も同じような状況である。,
,,□,衣料品専門店（店長）,お客様の様子,・相変わらず単価の低下傾向が続いている。普通は単価が下がれば、販売点数でカバーできるものだが、そうした様子もない。先日、同業者の集まりがあった際の話では、どこの店も同様の傾向であり、メーカーの前売りの状況も、いずれの店も７掛けという状況である。,
,,□,乗用車販売店（従業員）,販売量の動き,・今までは１月に入るとフリーの客が来ていたが、今年は動きが全然ない。,
,,□,乗用車販売店（従業員）,販売量の動き,・春先の台替え検討者が来場するようになったが、いまだ成約には至っていない。,・春先の乗換え検討者が来場するようになったが、いまだ成約には至っていない。
,,□,乗用車販売店（営業担当）,来客数の動き,・昨年からみて来場客数が減っている。,・前年からみて来場客数が減っている。
,,□,住関連専門店（経営者）,単価の動き,・商店街では、店舗の閉店や身売り等のうわさがあり、環境が悪化している。,・商店街では、店舗の閉店や身売り等の噂があり、環境が悪化している。
,,□,その他専門店［医薬品］（経営者）,来客数の動き,・前年比でみると、毎月15％程度の客数の減少があり、悪い状態が変わらなく続いている。,
,,□,高級レストラン（スタッフ）,来客数の動き,・イベント時の来店は大変増えているが、通常営業での来客数が減少している。,
,,□,高級レストラン（スタッフ）,来客数の動き,・来客数、売上共に前年比で８％の減少となっている。ディナータイムで客がゼロの日もあり、厳しい状況が続いている。,
,,□,高級レストラン（スタッフ）,お客様の様子,・ランチの売上は前年を超えたが、ディナーの売上は前年から25％減少し、単価も下がった。今年は雪が多いので、夜は特に客足が遠のいている。個室利用は、昼に企業の利用がやや増えたほか、年末に忘年会を行わず、新年会を行った団体が数件あったことから、前年を超えた。,
,,□,スナック（経営者）,来客数の動き,・今月は、前年度や前々年度と比較して来客が好調である。景気が回復したのか、企業努力なのかは分からないが、今のところ、好調な出だしとなっている。,
,,□,タクシー運転手,来客数の動き,・１月は新年会シーズンであるが、今年は昨年より新年会等の件数が減っているのか、夜の繁華街の人出が減っている。また、札幌は大雪で道路の除雪状態が悪く、メイン通りは大渋滞で、中通りは雪のため車の交差もできないところが多くなっている。車が走るのに支障をきたしているのでタクシーの営業効率も極端に悪くなっている。,・１月は新年会シーズンであるが、今年は前年より新年会等の件数が減っているのか、夜の繁華街の人出が減っている。また、札幌は大雪で道路の除雪状態が悪く、メイン通りは大渋滞で、中通りは雪のため車の交差もできないところが多くなっている。車が走るのに支障をきたしているのでタクシーの営業効率も極端に悪くなっている。
,,□,住宅販売会社（従業員）,来客数の動き,・マンションの来場者は多いが、マイホームセンターの一戸建ての来場者は少ない。,
,,▲,商店街（代表者）,販売量の動き,・冬物衣料にわずかながら動きがあり、前年を上回った店もあるものの、全体的には不振である。,
,,▲,商店街（代表者）,販売量の動き,・客の低単価志向が強いこともあり、商品の動きが鈍く、落ち込みが激しかった。また、月前半は家族連れなどそれなりに人出があったが、後半に入り人出が少なくなったことも影響している。例年と違い道路がツルツル路面となっているため、車を出さずに近隣のコンビニで買物をする機会が多くなっているようである。,
,,▲,商店街（代表者）,来客数の動き,・冬道ではあるが交通の便はそんなに悪くないものの、寒さで出控えているせいか、頻繁に客が出入りしない。,
,,▲,商店街（代表者）,単価の動き,・低単価消費へ移行し始めている。,
,,▲,一般小売店［土産］（店員）,来客数の動き,・全国的なスキー人口の減少の影響なのか、今年の冬はスキーツアーが非常に少なくなっている。団体客も約２割減っている。天候不順による去年の減少を更に下回る厳しい状況となっている。,
,,▲,スーパー（店長）,来客数の動き,・１月中旬までは、売上が前年比100％を超えていたものの、中旬以降は降雪の影響もあり、結果として売上は前年比93％と低迷している。,
,,▲,コンビニ（エリア担当）,単価の動き,・安い商品への移行が進んでいる,
,,▲,コンビニ（エリア担当）,単価の動き,・客の買上点数の減少と客単価の減少が、今月に入り顕著に表れている。,
,,▲,コンビニ（エリア担当）,販売量の動き,・以前であれば、カウンター周りの商品を衝動的に買う客が多かったが、最近は買う物を最初から決めて計画的に買う客が非常に多くなっている。,
,,▲,家電量販店（店員）,来客数の動き,・平日の来客数が少ない。チラシやダイレクトメールなどのイベントを組まないと客数が増えない状況である。,
,,▲,家電量販店（地区統括部長）,販売量の動き,・ＡＶ商品が好調であるが、単価の低下が著しい。また、ＯＡ商品も苦戦が続いている。,
,,▲,旅行代理店（従業員）,販売量の動き,・旅行の販売件数が、格段に減っている。11月末からどうも景気が悪いとしか思えない。12月のボーナス後も販売量の回復はみられない。特に海外旅行の販売量が激減している。,
,,▲,タクシー運転手,お客様の様子,・冬期間の需要期においても客の乗り控えを感じる。,
,,▲,タクシー運転手,来客数の動き,・市内の観光客数が少なくなっているうえ、市内の古くて有名な旅館も倒産した。また、新年会等もあまりなく、しばらくは今の状況が続く。,
,,▲,観光名所（役員）,来客数の動き,・ロープウェイの輸送人員が、前年と比べて１割減少している。,
,,▲,パチンコ店（店員）,競争相手の様子,・どの店も来客数が少なくなってきており、また遊戯時間も短くなっている。,
,,×,一般小売店［酒］（経営,販売量の動き,・３か月前からみると、取引先のうちの８割程度で、取引額が２割程度減少している。,
,,×,住宅販売会社（従業員）,販売量の動き,・販売量が非常に低下していることに加えて、来客数の動きが非常に鈍くなっている。,
"企業
動向
関連

(北海道)",,◎,－,－,－,
