Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,商店街（代表者）,来客数の動き,・地元では海外チャーター便の誘致に全力を挙げており、その効果が出てきた。台湾・香港からのチャーター便は前年が99便であったが、今年は200便を超える様相である。来道客は、特に涼しいということで、ゴルフや観光に目を付けて、道東地区に来ているようである。
,,◎,設計事務所（所長）,来客数の動き,・民間に限ってだが、予算は相当厳しいものの、かなりの数の物件が動き出す様子を見せている。
,,○,商店街（代表者）,お客様の様子,・今年は気温の高い日が続いているので、客の夏物への購買力が増している。通常は、セール・バーゲン待ちの買い控えが起こる時期も、コンスタントに定価品が売れている。
,,○,百貨店（売場主任）,販売量の動き,・夏の売り尽くしセールの場合には、カットソー・タンクトップ等、低単価商品の動きが良いが、それに合わせて初秋物や晩夏物をついでに買う傾向があり、まとめ買いがある。
,,○,コンビニ（店長）,来客数の動き,・前年に比べて気温が安定して、比較的暖かい状況が続いているためか、５月末に導入したＡＴＭの利用者が、１日平均で30～40人程度あり、若干ではあるが来客数のアップにつながっている。
,,○,家電量販店（店員）,来客数の動き,・前年から比べると、６月は客数・売上とも増加した。薄型テレビ・ＤＶＤレコーダー・大型冷蔵庫・洗乾機などが良く売れた。
,,○,家電量販店（地区統括部長）,販売量の動き,・アテネオリンピックに向けてＡＶ商品、特に薄型テレビ・ＤＶＤレコーダーの販売が絶好調である。
,,○,一般レストラン（スタッフ）,単価の動き,・消費税総額表示に合わせて１円単位を全て切り捨て、実質全体で1.6％の値下げとしたにもかかわらず、客単価は前年並みで推移している。
,,○,旅行代理店（従業員）,販売量の動き,・申込件数・来店件数は前年よりも低調だが、予定販売額は２けたの増加となっている。５月は前年よりも販売額が低下していたものの、７～８月に向けての旅行の動きが回復傾向にある。
,,○,その他レジャー施設（職員）,お客様の様子,・地元プロ野球チームの応援に熱が入ってきた。品切れが多かった関連グッズの供給も安定してきため、グッズの売上も安定している。
,,□,商店街（代表者）,来客数の動き,・比較的天候が安定しており、衣料品に動きがみられる。
,,□,商店街（代表者）,お客様の様子,・季節商材の売れ行きはまずまずだが、依然として購買傾向は慎重であり、高単価商品の売れ行きは今一つの状態である。
,,□,商店街（代表者）,販売量の動き,・最近は、量販店やドラッグストアなどで安売競争に走っていることもあり、商店街地域の客の動きや買物の仕方も、どちらかというと安い商品に寄っている。正常な商売が段々やりづらくなっている。
,,□,一般小売店［酒］（経営者）,販売量の動き,・既存店の販売量が減少しており、新規店の売上の増加分は、既存店の減少でプラスマイナスゼロとなる。
,,□,スーパー（店長）,販売量の動き,・食品の売上は回復傾向にあり、来客数も戻りつつあるが、衣料品・雑貨の売上不振が依然として続いている。
,,□,スーパー（店長）,来客数の動き,・６月の前年比は客数・売上とも５月を上回っている。大型店舗の改装効果や、青果を中心とした販促強化により売上高は徐々に回復傾向へ向かっている。
,,□,スーパー（企画担当）,来客数の動き,・都市部のみの傾向であるが、好天続きの影響で行楽商材を買い求める客を中心に、来客数の回復傾向がみられる。
,,□,コンビニ（エリア担当）,販売量の動き,・前年と比べて、酒の免許自由化に伴う酒類販売店の増加による影響があるが、他の商品に関してはそれほど差が出ていない。
,,□,コンビニ（エリア担当）,来客数の動き,・商品単価が低下しており、チラシの頻度を増やしても、来客数が増加しない傾向にある。
,,□,コンビニ（エリア担当）,来客数の動き,・来客数の回復はみられるが、売上に結びつかない。客が購買行動に対して興味を持っているものの、使える金額は増えていない。
,,□,衣料品専門店（店長）,単価の動き,・客は単価の高いものよりも、単価が低くて良いものを多く買う傾向にある。
,,□,衣料品専門店（店員）,お客様の様子,・来客数は３か月前と比べて変わりないが、夏のボーナス時期ということもあり、買上率がアップしている。ただし、夏物衣料は単価はあまり高くないため、売上高としては決して良い状況ではない。
,,□,乗用車販売店（従業員）,来客数の動き,・新型車が出たが、金額が安いにもかかわらず、思うように販売数が伸びない。
,,□,乗用車販売店（従業員）,販売量の動き,・小型車は売れているが、総売上台数がそれほど変わらないため、売上高は前年より少なくなっている。
,,□,乗用車販売店（役員）,販売量の動き,・受注量・販売価格ともに前年割れの状況である。回復の兆しもみられない。
,,□,住関連専門店（経営者）,販売量の動き,・来客数も売上も前年暮れから一向に変わらない。このままでは店の存続も危ぶまれる。
,,□,住関連専門店（営業担当）,お客様の様子,・特売バーゲン品等では目玉商品のみの購入が多く、消費税総額表示で割高感を感じるためか、まとめ買いや高単価商品の購入の動きが悪い。後半の天候不順で季節商材の出足が悪く不振である。
,,□,高級レストラン（スタッフ）,来客数の動き,・週末はほぼ前年並みであるが、平日の落ち込みがひどい。客単価は変わらないものの、来客数は前年比で15％の減少となっている。
,,□,高級レストラン（スタッフ）,お客様の様子,・ランチは２～３か月続いて盛況である。ビジネスマンの来客数が増加し、客単価も少し上昇した。夜の外食を控えて、昼は豪勢にという会社員が増えてきたようだ。全体の売上は、レストランと個室の合計が、今年初めて前年並みとなった。
,,□,スナック（経営者）,来客数の動き,・３か月前と比べて観光客が少し入ってくるようになったが、それでも前年、前々年と比べると非常に悪い。
,,□,スナック（経営者）,来客数の動き,・今月は団体の大会や高校ＰＴＡの大会といった催しがあり、二次会への流れもあり、人の動きが良かった。
,,□,観光型ホテル（経営者）,来客数の動き,・来客数は前年に比べると、若干少なくなっているが、前年度が非常に良かったためであり、平年度ベースではやや良いということで、ほぼ変わらない。
,,□,旅行代理店（従業員）,販売量の動き,・４月の売れ行きが好調であったが、ゴールデンウィーク明けからがっくりと減り、６月は開店休業状態となっている。全体としては、大きく変わっておらず、地方の旅行業の景気回復には、程遠いものがある。
,,□,タクシー運転手,お客様の様子,・依然として繁華街への人出が思わしくない。
,,□,パチンコ店（店員）,お客様の様子,・短時間の遊戯が多くなってきている。話を聞くと、残業等がなくなってきていることから、収入が減少しているためという答えが多かった。
,,□,住宅販売会社（従業員）,来客数の動き,・マイホームセンターもしくはモデルハウスの来場者数が全体的に前年に比べて減っている。
,,▲,商店街（代表者）,販売量の動き,・郊外店の影響が大きく、上昇気運に乗れず、販売量に変化がない。
,,▲,スーパー（店長）,販売量の動き,・販売量が減少しており、前年比で86％となっている。
,,▲,衣料品専門店（店長）,販売量の動き,・客の動きが非常に悪く、高額品の動きが悪くなってきている。
,,▲,その他専門店［医薬品］（経営者）,来客数の動き,・前月同様に来客数が激減している。薬局、病院に行かない客が増加しているようだ。
,,▲,その他専門店［ガソリンスタンド］（経営者）,単価の動き,・原油高騰により、買い控えがみられる。
,,▲,観光型ホテル（経営者）,来客数の動き,・道外客の落ち込みが深刻である。一般団体の数量の減少、一団体当たりの人数の減少が顕著になってきている。一方、消費単価面でも、大都市圏からの利用客は利用金額が大きいが、そうでない地域からの利用客はまだまだという傾向が依然としてある。
,,▲,タクシー運転手,来客数の動き,・ＹＯＳＡＫＯＩソーラン祭りや札幌神宮祭りなどのイベントがあったことに加えて、例年よりも暑い日が多かったにもかかわらず、タクシーの利用が少なく、売上も前年より大幅にダウンしている。
,,▲,タクシー運転手,来客数の動き,・選挙の前哨戦で夜の人出がますます少なくなっている。
,,×,家電量販店（経営者）,販売量の動き,・４月ごろから連続して、販売量・販売額とも前年比よりダウンしている。
,,×,高級レストラン（スタッフ）,来客数の動き,・昼食利用は主婦層を中心に上向き傾向にあるが、夕食利用が激減している。宿泊に伴う観光客の減少が大きな要因であるほか、接待客も減少している。
"企業
動向
関連

(北海道)",,◎,通信業（営業担当）,取引先の様子,・取引先が明らかに忙しい。アポが取り難く、最近はほとんどがメールでの商談である。
,,○,家具製造業（経営者）,受注量や販売量の動き,・いわゆる一流百貨店における販売額が増加しており、個人消費が底堅くなってきた。
