Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,商店街（代表者）,販売量の動き,・バーゲン時期ということもあるが、前月まで買い控えしていた客が今月に集中し、販売量、客単価ともに上がっている。
,,○,家電量販店（地区統括部）,販売量の動き,・前月、先々月と前年ダウンの売上であったが、今月は５％ほどの伸びとなっている。客単価も下げ止まり、前年並みの売上をキープしている。
,,○,住関連専門店（経営者）,販売量の動き,・１月決算のため、毎年決算前にバーゲンをしているが、今年は客数は変わらないものの、客の良いものを安く買いたいという動きが顕著に現れ、売上が増加した。一方で、客１人当たりの買上点数は減少していることから、安くても無駄にものは買わないという傾向は続いている。
,,○,その他専門店［ガソリンスタンド］（経営者）,お客様の様子,・全体としてはやや良くなっているが、客の購入頻度が減少し、単価も低下している。
,,○,一般レストラン（スタッフ）,販売量の動き,・前年11月から３か月連続して来客数、売上共に前年を上回っている。
,,○,タクシー運転手,販売量の動き,・年が明けてから大きな天候の変化はないものの、タクシーを利用する客が若干増えてきている。
,,○,観光名所（役員）,販売量の動き,・客数、売上共に前年比で微増となっている。
,,□,商店街（代表者）,単価の動き,・全体としては変わらないが、若者向け中心の衣料店では、重衣料の動きが鈍化し、客単価が落ちている。
,,□,一般小売店［土産］（店員）,お客様の様子,・客数は３か月前に比べて若干増えてきているが、客単価、購入点数ともに横ばい状態であり、全体としては変わらない。必ずしも良い状況とはいえない。
,,□,百貨店（売場主任）,お客様の様子,・例年であれば、客は必要以外の商品でも買い得であれば、購入していく機会があったが、今では必要な商品以外は購入しないという状況が続いている。正月の初売りでの福袋等の目玉商品は非常に好評であったが、それ以降は、売尽くしセールの場合でも、目玉商品ですら買い控えが目立っている。
,,□,スーパー（店長）,単価の動き,・客数は前年の数字を確保しているが、客の買物の様子を見ていると、必要以外の商品の購入を控えているようである。結果として、販売点数も落ち込んでいる。さらに商品一点当たりの単価の前年割れも発生しており、全体としては変わらない。
,,□,衣料品専門店（店員）,来客数の動き,・前月に比べると売上自体は下がっているが、前年よりは多少良くなっている。ただし、販売量に関しては前年とそれほど変わっていない状況である。
,,□,家電量販店（店長）,販売量の動き,・前月は歳末商戦で多少は持ち直しの動きがみられたが、今月は中旬以降、客足、販売量ともに大幅にダウンしており、全体としては変わらない。
,,□,乗用車販売店（従業員）,来客数の動き,・来客数は前年とほとんど変わらない。
,,□,その他専門店［医薬品］（経営者）,来客数の動き,・顧客戦略がやや効を奏して客単価のアップがみられる反面、来客数の落ち込みは相変わらずであり、景気が上向きとはいえない。
,,□,高級レストラン（スタッフ）,単価の動き,・前月同様、利用者サイドの低価格志向が強く、客単価が低下しており、全体としては変わらない。
,,□,高級レストラン（スタッフ）,お客様の様子,・値段の安いセットメニューが上位を占めている。また、セット内容について、客から単品料理と比較しての批評が多く、手厳しい。
,,□,高級レストラン（スタッフ）,お客様の様子,・ここ数年、１月のディナーは、大変暇な状態がすっかり定着している。今年もディナー客数は前年並みであるが、単価の安いメニューの注文が多くなっている。一方で、個室は企業の利用が増えたことから、売上が増加しており、結果として全体では前年並みである。
,,□,観光型ホテル（経営者）,お客様の様子,・今まで同様、来客数は微増傾向であるものの、単価が漸減しており、販売量の減少傾向に依然として歯止めがかからない。客の買物の様子も「渋い」の一言である。価値観は多様であるが、客の品質に対する眼力は並々ならないものがある。特にサービスという無形の商品に対する値踏みはしっかりしており、数字だけでは読み切れない「心」が求められている。
,,□,観光型ホテル（スタッフ）,販売量の動き,・正月休みが例年に比べて長かったため、来客数は増加したが、客単価が低下した。
,,□,旅行代理店（従業員）,来客数の動き,・前年同期と比べ来客数に伸びがなく、横ばいで推移している。
,,□,タクシー運転手,来客数の動き,・１月になっても新年会などがいつもより少なく、例年に比べて、夜間の売上が特に悪くなっている。
,,▲,商店街（代表者）,お客様の様子,・客の買物は依然として慎重である。また、今まではムード的に景気が悪いと言っていたが、年末のボーナス支給以降、客自身も収入が減少したと感じている。
,,▲,商店街（代表者）,来客数の動き,・経済状況、政府の方針からも明るい要素は見られず、客が財布のひもを緩めるという様子は見られない。
,,▲,コンビニ（エリア担当）,単価の動き,・客１人当たりの購入金額が減少する傾向が続いている。
,,▲,コンビニ（エリア担当）,単価の動き,・年が明けてから、し好品である酒、たばこなどの単価の高い商品の動きが鈍くなっている。
,,▲,コンビニ（店長）,来客数の動き,・客の様子としては必要最低限の物を購入している状況であり、客単価、購入点数は変わらない。また、１か月ほど前に競合店が２店同時にオープンしたため、１日の来客数が約100人ほど減少した。
,,▲,衣料品専門店（店長）,お客様の様子,・特に今年は客も買う気を失っているように思われる。昨年の医療費値上げについての話をよく聞くようになったので、その点も徐々に影響を与えているのではないかと思われる。
,,▲,衣料品専門店（店長）,来客数の動き,・年末年始の繁忙期の来客数が前年に対して下回っており、今もその傾向が続いている。
,,▲,家電量販店（店員）,販売量の動き,・客数、売上金額とも前年を割る結果となっている。客単価も低く、衝動買いが少なくなっている。
,,▲,乗用車販売店（役員）,販売量の動き,・商品一台当たりの販売価格が下がっている。
,,▲,住関連専門店（営業担当）,お客様の様子,・客の商品選択の目が一段と厳しくなっており、まとめ買い、衝動買いが影を潜めているほか、前月に引き続き、１人当たりの購入点数が減少している。
,,▲,住関連専門店（従業員）,お客様の様子,・客の買い控えが続いている。
,,▲,一般レストラン（スタッフ）,来客数の動き,・勝ち組、負け組の差がますます激しくなっている。
,,▲,スナック（経営者）,来客数の動き,・前月は企業の宴会等があり、飲食店街の人通りも多かったが、今月に入ってからは人がいなくなって寂しい状態になっている。自店で催しを行えば、いくらか人が入ってくれるような状況である。
,,▲,スナック（経営者）,来客数の動き,・12月は忘年会などの影響もあり、来客数が普段の月よりは良かったが、１月は企業の新年会はほとんどなく、２次会への流れがない。
,,▲,旅行代理店（従業員）,販売量の動き,・東京方面への販売人員が前年に比べ10％程度減少している。海外旅行についても、前年はテロの影響があったため、前々年との比較になるが、10％程度減少している。
,,▲,タクシー運転手,来客数の動き,・依然として売上が低迷しており、市内タクシー業界の経営状態は一段と厳しくなっている。各社は生き残りのため全力を挙げている状況である。
,,▲,通信会社（企画担当）,販売量の動き,・携帯電話の普及率が60％に達し、個人市場に頭打ち感があることに加えて、法人企業筋の通信費圧縮傾向が顕著になり、販売量の落ち込みが著しい。
,,×,百貨店（販売促進担当）,お客様の様子,・年初はバーゲンのスタートに合わせて来客数も伸長したが、その後の減小幅が大きい。客の買い方も、バーゲン期に向けた直近の買い控え、バーゲン直後のダウンがあり、その幅は年々増幅傾向にある。また、買い方も複数ではなく、単品買いの傾向が引き続きみられる。
,,×,スーパー（店長）,単価の動き,・客単価の低下や商品単価の低下が顕著になっていることに加えて、客数も前年を下回る状況にある。
,,×,スーパー（店長）,来客数の動き,・全館での来客数が前月から５％程度減少しており、前年比でも10%以上悪化している。また、商品単価も前年から５％程度の減少で推移している。
,,×,コンビニ（エリア担当）,お客様の様子,・ますます客が商品を買わなくなっており、特に高額商品でその傾向が強い。このことは最近の傾向であったが、年明け以降、さらに進んできている。
,,×,スナック（経営者）,来客数の動き,・今月に入ってから常連客が来なくなったことが、景気、会社の状態が悪いということを表している。
,,×,旅行代理店（従業員）,販売量の動き,・イラク情勢、バリ島のテロ事件、グアムの台風の後遺症などで海外旅行の動きが全く鈍い。
,,×,美容室（経営者）,来客数の動き,・年明け以降、前年に比べてかなり来客数が減少している。
,,×,住宅販売会社（従業員）,販売量の動き,・先行きが不透明なために、客は大きな借入を控えるような状況になっていると思われる。
,,×,住宅販売会社（従業員）,競争相手の様子,・業界全体で販売量にかなり低迷さが目立つような話を聞く。
