Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,商店街（代表者）,来客数の動き,・毎年８月に商店街で実施しているイベントの来客数が好調である。
,,○,商店街（代表者）,販売量の動き,・気温の上昇に伴い夏物の動きが好調に推移し、単価は低下したが売上は増加している。
,,○,百貨店（販売促進担当）,販売量の動き,・来客数、売上ともに前年を上回る動きで推移している｡
,,○,乗用車販売店（従業員）,販売量の動き,・低価格の車種が中心であるが、受注件数が２、３割増加している。
,,○,高級レストラン（経営者）,販売量の動き,・観光シーズン到来と屋台村のオープンの相乗効果により、街に人出が増加し、売上が増加している。
,,○,設計事務所（所長）,来客数の動き,・毎年、この頃から来春着工予定の物件の動きが出始めるが、動き始めが良い。
,,□,商店街（代表者）,単価の動き,・来客数はやや増加傾向にあるが、買上単価が低い。
,,□,スーパー（店長）,単価の動き,・競合店のチラシと比較する等、客の購買意欲は極めて慎重である。
,,□,コンビニ（店長）,単価の動き,・500円玉一つ使うのにも時間をかけて慎重に選ぶ等、客の買い方が慎重であり、単価が依然として回復しない。
,,□,住関連専門店（統括）,競争相手の様子,・オーバーストアの状況が続き、単価が低下したままである。
,,□,高級レストラン（スタッフ）,お客様の様子,・食事の売上は例年と比べて１割増加したが、飲物は冷夏のためビール等を中心に例年の７割程度にとどまっている。
,,□,スナック（経営者）,来客数の動き,・地元の夏祭り等の開催による観光客等で、観光入込は増加しているが、その時期以外は来客数が少なく、観光客に依存する形での経営が精一杯である。
,,□,旅行代理店（従業員）,来客数の動き,・来客数は増加傾向にあるが、単価が上昇しておらず、売上が伸びていない。
,,□,タクシー運転手,来客数の動き,・観光客の入込はある程度みられるが、利用状況や客単価が芳しくない。
,,□,観光名所（役員）,単価の動き,・来客数の動きはやや良くなってきたが、宿泊単価、飲料単価、物販単価の動きが良くない。競争相手も同様の傾向と聞いている。
,,▲,商店街（代表者）,お客様の様子,・今年の８月は低温のため、夏物が不振である。
,,▲,一般小売店［酒］（店長）,販売量の動き,・取引先の廃業、一店当たりの単価低下、天候不順等により、ビール、ウィスキー、焼酎、リキュール類ともに不振であり、全体では売上が２割程度減少している。
,,▲,スーパー（店長）,単価の動き,・旭川地区においては地元信用組合の破綻、基幹産業である木工品、家具関係の相次ぐ倒産という状況の中で、不景気感が一層強まっている。
,,▲,スーパー（企画担当）,単価の動き,・来客数については前年程度を維持しているが、１品単価、客単価ともに低下している。
,,▲,スーパー（企画担当）,競争相手の様子,・外食産業やコンビニエンスストアの低価格傾向は食品、惣菜単価の低下を招いている。また、日用雑貨もドラッグストアや100円ショップとの価格競争が激しい状況にある。これらの現象は、客の根強い低価格志向が背景にある。
,,▲,衣料品専門店（店員）,お客様の様子,・客の買い渋り、購買の慎重さがみられ、結果として単価、販売量ともに低くなっている。例年８月は洋服を買う客はそれほど多くないが、前年と比べても売上が減少している。
,,▲,住関連専門店（営業担当）,単価の動き,・一度、商品単価が低下したら元の価格には戻らない。また、客は単価が低下しても必要以上に購入しておらず、客単価も低下している。
,,▲,高級レストラン（スタッフ）,来客数の動き,・レストラン利用や宴会の件数の減少がはっきりとみられる。
,,▲,一般レストラン（スタッフ）,単価の動き,・来客数に変化はないが、客単価が低下しており、売上が減少している。
,,▲,観光型ホテル（スタッフ）,販売量の動き,・洞爺湖への入込は７割程度回復したが、定山渓への入込が減少しており、単価も低下している。
,,▲,タクシー運転手,来客数の動き,・例年８月はお盆の帰省客等で売上は伸びる時期だが、今年はその伸びがなく、逆に営業収入も減少している。また、観光でのタクシー利用も非常に減少している。
,,▲,通信会社（企画担当）,販売量の動き,・３か月前と比べて８月は販売数がやや減少している。通話料自体も徐々に減少している。
,,▲,美容室（経営者）,お客様の様子,・客との会話で明るい話があまり出てこない。
,,▲,設計事務所（所長）,競争相手の様子,・同業との会話で、仕事を受注したという話題があっても規模が小さくなっている。
,,×,商店街（代表者）,それ以外,・気温が上昇しないこともあり、割引の期間でも客足が遠い。
,,×,百貨店（売場主任）,単価の動き,・高額品の動きが良くなく、秋物の身の回り品、定価販売品の動きも芳しくない。
,,×,コンビニ（エリア担当）,競争相手の様子,・同業他社の新規出店や新業種、専門店の出店の加速などにより、来客数が減少し、客単価も低下している。
,,×,衣料品専門店（店長）,お客様の様子,・来客数が減少しており、来店しても高額商品を避けて単価が低い商品を買う傾向がみられる。
,,×,乗用車販売店（従業員）,単価の動き,・低価格商品ばかりに目を向け、購入している。
,,×,旅行代理店（従業員）,販売量の動き,・例年より営業日は増加しているのに販売量が減少している。
,,×,住宅販売会社（従業員）,来客数の動き,・モデルハウスへの来客数が減少している。新聞やテレビなどに広告を出しても増加しない。
"企業
動向
関連

(北海道)",,◎,－,－,－
,,○,＊,＊,＊
,,□,金融業（企画担当）,取引先の様子,・道内企業の資金需要が弱い。
,,□,その他企業［コンベンション担当］（従業員）,受注単価や販売単価の動き,・消費単価が依然として低いままである。
,,▲,食料品製造業（団体役員）,受注量や販売量の動き,・業界は繁忙期を迎えたが、３か月前と比べて受注量に変化がみられない。
,,▲,通信業（営業担当）,受注量や販売量の動き,・通信料金の取り巻く環境は、インターネットの普及に拍車をかけるブロードバンド化が進み、注目が集まっている。ユーザーは通信料金の価格に敏感であり、最近はコストを度外視した低価格なサービスが登場し、様子見の取引先が多い。このため、問い合わせは多いが受注は軟調である。
,,▲,司法書士,取引先の様子,・企業の設備投資が減少しており、不動産関連、建築関連が低調である。また、住宅の新規着工が例年になく少ない。
,,×,食料品製造業（経営者）,受注量や販売量の動き,・一回の受注量が減少しており、新規の受注も少ない。
,,×,金属製品製造業（統括）,受注量や販売量の動き,・行政機関等からの建設物件の発注が減少している。
,,×,輸送業（支店長）,受注単価や販売単価の動き,・引き合い物件の減少に伴い、単価が大幅に低下する傾向がみられ、中には採算割れもある。
,,×,司法書士,受注量や販売量の動き,・土地の売買、建物の新築が減少している。
,,×,その他サービス業［システムハウス］（経営者）,競争相手の様子,・今までは、競合する事のなかった大手企業と競合する場面が増加している。
"雇用
関連

(北海道)",,◎,－,－,－
,,○,求人情報誌製作会社（編集者）,求人数の動き,・居酒屋、喫茶店等の飲食業を中心に、求人が今までになく大幅に増加している。
,,□,人材派遣会社（社員）,雇用形態の様子,・正社員を採用する企業が依然として少なく、契約社員、派遣アルバイトの需要が増加している。
,,□,求人情報誌製作会社（編集者）,雇用形態の様子,・パート、アルバイトの需要が依然として大きく、求人広告全体の８割以上を占めるに至っている。その一方で、正社員の採用枠の減少が顕著である。
,,▲,人材派遣会社（社員）,雇用形態の様子,・派遣社員やパートをどのように活用したら正社員と同じ仕事ができるか等、人件費を減少させたいという相談が非常に多い。
,,▲,求人情報誌製作会社（編集者）,求人数の動き,・求人件数全体では若干伸びているが、建設業、製造業、卸売業、運輸業は減少している。
,,▲,職業安定所（職員）,求人数の動き,・卸売業、小売業の新規求人数が前年同月を下回る等、求人数の増加幅が減少している。
,,▲,職業安定所（職員）,求人数の動き,・求人数が減少しているなかで、求職者が増加している。
,,×,職業安定所（職員）,求職者数の動き,・新規求職者数が４か月ぶりに前年比で増加となっている。また、新規求人数はパートの占める割合が３分の１以上と多い。
,,,,,
　２．東北,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(東北)",,◎,－,－,－
,,○,一般小売店［書籍］（経営者）,競争相手の様子,・当社の２支店の近隣競合店舗が閉店や業態変更をしたため、売上が少し増加している。
