Ⅰ．景気の現状に対する判断理由等,,,,,,,
,,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,,
,,,,,,,
,,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(北海道)",,◎,－,－,－,,
,,○,百貨店（役員）,単価の動き,・12月の歳末景気が後押しをしている。ただ、一時的な影響ではある。,,
,,○,スーパー（役員）,単価の動き,・ここ数か月の客単価及び平均買上点数が大幅に向上しているわけではないが、３か月平均の数値を比較すると、現状、やや上向きに推移している。これから月末５日間の動向によっては数値が大きく変わってくることもあるが、例年、12月は買上点数が増加する分、売上も増加することになるため、来客数が前年並みに推移していることから、このままやや良い状態で推移する。,,
,,○,衣料品専門店（経営者）,単価の動き,・12月に入り客の購買意欲が増大している。新年を迎える準備のための消費が拡大し、売上が増加している。高額商材も動いている。秋は台風による災害の後遺症で交通機関にも爪痕が残ったが、年末になり鉄道が復旧したこともプラスになっている。,,
,,○,乗用車販売店（従業員）,来客数の動き,・冬季ボーナスが前年よりも多く支給され、電化製品の購入などの話を客からよく聞くようになった。,,
,,○,旅行代理店（従業員）,お客様の様子,・冬季ボーナスが支給された中、お歳暮、クリスマスなどのギフトシーズンを迎えて消費が活発になっている。旅行の受注もようやく動き始めてきている。,,
,,○,旅行代理店（従業員）,販売量の動き,・台風による被害を受けた影響で９～11月までは旅行の自粛ムードが続いていたが、客の動向や販売量をみると、12月に入ってから徐々に解けてきている。,,
,,○,旅行代理店（従業員）,販売量の動き,・前年比が10％ほど良化している。また、ここのところ、旅行の相談件数も多い。,,
,,○,タクシー運転手,販売量の動き,・天候不順の影響もあるが、タクシーの稼働が前年を上回る月が続いている。,,
,,○,タクシー運転手,販売量の動き,・季節柄、売上の伸びる時期であるが、前年と比べても10％近く伸びているため、景気はやや良くなっている。,,
,,○,通信会社（企画担当）,販売量の動き,・商材に対する信頼を得ることができていることもあり、個人需要、法人需要ともに、大都市、地方を問わず道内各地から想定以上の引き合いがみられ、販売量が計画を上回っている。,,
,,○,美容室（経営者）,来客数の動き,・11月に来店しそびれた客が、12月になり一気に来店している。,,
,,○,住宅販売会社（経営者）,お客様の様子,・金利安、円安、株高の影響で客の投資意欲が高まってきている。住宅関連などの景気もこれから段々と良くなってくることになる。,,
,,□,商店街（代表者）,お客様の様子,・ギフト需要の販売量、客単価とも数値が下がっている。自己購入の際の客単価も前年と比べて低い。,,
,,□,商店街（代表者）,お客様の様子,・客の様子がいつもと変わらない。,,
,,□,商店街（代表者）,来客数の動き,・12月に入り、初旬は例年並みであったが、中旬は高齢者を中心に昼間の客が増加したほか、夜間も忘年会などの客が例年以上にみられた。しかし、下旬は商店街の年末大売出しの抽選会場に来場する客がここ２～３年で最も少なかった。これらのことから、景気はやや悪い状態が継続している。,,
,,□,商店街（代表者）,販売量の動き,・今年の北海道は大雪の影響で軒並み売上が低迷している。以前からもそうだが、大雪が降ると自宅の除雪や道路事情を考慮して客が外出を控える傾向がある。今年は必ずといっていいほど週末に悪天候となり、12月の繁忙期が大打撃を受けている。また、航空機の欠航が続いたことで観光客も大きく減っている。,,
,,□,商店街（代表者）,来客数の動き,・年末ではあるが、客が消費を控える動向がみられる。,,
,,□,一般小売店［酒］（経営者）,お客様の様子,・客先の経営者と話す機会が多いが、総じて景気が良くない。客の稼働も少なく、客単価も上がっていないとの話である。12月という特殊な月であるが、年末の季節感が年々薄れてきており、当社の販売にも影響が出てきている。,,
,,□,百貨店（売場主任）,来客数の動き,・外国人観光客による売上は前年をキープしたが、記録的な大雪の影響が複数回みられたことで、全体の来客数が大きく減少し、クリスマス、お歳暮などのギフト商材の購買に影響を与えた。客単価も低下する傾向がみられ、バッグなどから雑貨へのシフトがみられた。天候の影響でアウターや靴の売上は伸張したが、主力の洋服全体にはマイナスとなった。,,
,,□,百貨店（担当者）,来客数の動き,・来客数に改善傾向がみられない。,,
,,□,百貨店（営業販促担当）,来客数の動き,・来客数の減少に加えて、例年にない大雪の影響を受けた。高額商材などの苦戦が続く中、雑貨などの売場も来客数減の影響を受けている。,,
,,□,スーパー（企画担当）,販売量の動き,・野菜の価格高騰がやや落ち着いてきたとはいえ、いまだ続いている中で、客単価の総額があまり変わっていない状況から、魚、肉など、ほかの生鮮食品の買い控えの傾向がみてとれる。,,
,,□,コンビニ（エリア担当）,お客様の様子,・今まで高齢客層に支持されていた大容量の焼酎や清酒が売れなくなってきている一方で、小容量の商材が売れる傾向がみられる。単価の高い商材も売れるようになってきているが、来店頻度の低下、販売量の減少がみられるため、総売上は減っている。,,
,,□,衣料品専門店（店長）,来客数の動き,・３か月前と比べて来客数が増えていない。前年と比べても来客数が減っている。,,
,,□,衣料品専門店（店長）,それ以外,・客単価が安定しており、スーツ、コートなどの定番商材の売上構成も変わらないが、今回の大雪で来客数が25％の大幅減となり、厳しい状況となった。,,
,,□,家電量販店（店員）,来客数の動き,・12月後半になり来客数が増えており、にぎわっている。特に大型テレビは前年以上に売れている。,,
,,□,乗用車販売店（従業員）,販売量の動き,・新型車効果がさほどみられない。,,
,,□,自動車備品販売店（店長）,競争相手の様子,・売上は前年比100％を見込んでいるが、前々年比では90％にとどまっている。タイヤ販売市場も前年比で96％の見通しであり、回復の見込めない状況にある。,,
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・円安、原油価格の高騰により、製品価格が上昇しているものの、現状、影響はみられない。,,
,,□,高級レストラン（経営者）,お客様の様子,・特別景気が上向きになるような材料はみられない。むしろ、北海道に限れば、今年は雪が多いこともあり、客の消費意欲に陰りがみえる。,,
,,□,高級レストラン（スタッフ）,販売量の動き,・販売量は予測をやや落として、ぎりぎりで前年並みとなった。企業の団体客が多少みられたが、個人客や家族連れの客が伸びなかった。これだけ食材価格が高騰していれば、家庭の食費も厳しく、仕方がないとも感じる。クリスマスは悪天候のため、市外客のキャンセルが生じており、その分を穴埋めすることができなかった。,,
,,□,観光型ホテル（スタッフ）,来客数の動き,・近隣アジアからの外国人観光客が低調であるが、減少分を国内からの個人客及びグループ旅行で補填する構図となった。,,
,,□,タクシー運転手,来客数の動き,・12月中旬に当地において50年ぶりの大雪が降った影響で、道路が夜間遅くまで大渋滞となり、車が走れなかったことから、年末の稼ぎ時にタクシーの売上が上がらず、前年を大きく下回った。電話での注文も殺到したが、タクシーの配車もできなかったため、電話配車の売上も前年を大きく下回った。,,
,,□,タクシー運転手,来客数の動き,・外国人観光客の利用がやや好調だが、国内旅行客の利用がやや減少した。,,
,,□,通信会社（社員）,お客様の様子,・集客は横ばい状態で推移している。ただ、前年よりは減少しており、販売量も前年を割り込んでいる。,,
,,□,観光名所（従業員）,来客数の動き,・前年と比較可能な月初めの10日間の利用客数が前年比で約105％であったことから、引き続き好調に推移している。,,
,,□,美容室（経営者）,来客数の動き,・12月はどか雪が２回もあり、記録的な大雪となったため、客足が止まり、その分だけ来客数が減っている。しかし、一時的な現象であるため、景気が下向きになっているとはいえない。,,
,,□,美容室（経営者）,単価の動き,・特殊事情により来客数が減少しているが、客１人当たりの単価は変わっておらず、12月という季節的なにぎわいも感じられる。,,
,,□,住宅販売会社（経営者）,お客様の様子,・分譲マンションの購入を急ぐ客が少ない。その一方で買い控えしている客もみられず、方向感に乏しい状態にある。,,
,,▲,一般小売店［土産］（経営者）,来客数の動き,・12月は２度の大雪で交通が混乱し、このことが売上に大きく影響した。,,
,,▲,百貨店（販売促進担当）,来客数の動き,・依然として来客数の減少が続いている。歴史的な荒天の影響で主要交通網の混乱などもあり、市内景況感が冷え込んでいる。,,
,,▲,スーパー（店長）,販売量の動き,・来客数の落ち込みがそのまま販売点数や売上の減少につながっている。12月ということを考えれば、３か月前と比較して突出した売上でなければならないが、段々と平月との差が小さくなってきている。,,
