Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,＊,＊,＊
,,○,一般小売店［酒］（経営者）,それ以外,・当地では２月15日まで酒類を提供する市内の飲食店舗への休業要請が出されたことで、ほぼ全ての取引先が休業し、売上が平常時の10％まで落ち込んだが、16日以降は回復の兆しがみられる。
,,○,百貨店（販売促進担当）,来客数の動き,・新型コロナウイルスの感染者数の減少に伴い、来街者数、来客数が増加傾向にある。このままの状態が続けば、景気も少しずつ回復することになる。
,,○,百貨店（役員）,来客数の動き,・新型コロナウイルスの感染状況が幾分落ち着いていることから、景気はやや良くなっている。ただし、この先の景気は不透明である。
,,○,百貨店（営業販促担当）,お客様の様子,・平均的な来客数はまだ厳しい状況が続いているが、イベント時の集客に回復傾向がみられる。また、これまで苦戦していた婦人服にも回復の兆しがみられる。
,,○,スーパー（店長）,お客様の様子,・前年は１月末以降、マスクなどの衛生用品が異常な売れ方となった一方で、全体的な来客数は例年よりも減少した。特に週末の来客数が大幅に減り、ファッション衣料などの不要不急な商材は売上が例年の70～80％まで落ち込んだ。今年２月はその状態から一巡したことで、衣食住のいずれの部門も前年を上回る実績となっており、過去３か月の状況と比較すればやや上向いている。ただ、一昨年の水準をいまだに下回るなど、厳しい状況は変わらない。
,,○,コンビニ（店長）,来客数の動き,・６～20時の時間帯において来客数が回復してきている。
,,○,衣料品専門店（店長）,それ以外,・前年は入社式などが相次いで中止になり、スーツ関連の販売量が過去最低となったが、今年は若干の回復がみられ、一昨年の85％まで持ち直している。
,,○,乗用車販売店（従業員）,販売量の動き,・車両販売の状況は３か月前と余り変わらないが、車検を始めとした車両整備が繁忙期を迎えて好調に推移している。
,,○,高級レストラン（スタッフ）,販売量の動き,・営業自粛の影響で売上が伸びず、前年比40％台と悪かったが、昼夜共に特定の日の客入りが良かった。夜は底ばいで推移し、昼は上向き傾向になってきている。出張時に数回鉄道を利用したところ、１月は１車両当たり５～６人の利用であったが、２月は２名掛け席の全てで１名以上が利用しており、経済活動が回復している様子もうかがえる。ただ、休業中のアルバイト従業員からは、新規開業店以外、求人が増えていないと聞いた。
,,○,旅行代理店（従業員）,来客数の動き,・冬の観光シーズンを迎えて、個人観光客がやや増えてきている。ただ、首都圏や関西圏などでの緊急事態宣言が続いていることから、団体客は引き続きほとんどみられない。一方、航空路線は既存各社の減便が継続するなか、ＬＣＣの新規路線が就航しており、今後のビジネス需要及び観光需要の回復への期待が高まっている。
,,○,タクシー運転手,お客様の様子,・当地における新型コロナウイルスの感染動向について、いまだに感染者は出ているものの、一時期のようなクラスターの発生が減ってきている。人出はそれほど増えていないが、昼間の利用は若干改善の兆しがみられる。
,,○,通信会社（企画担当）,来客数の動き,・12月頃と比べると、大型スーパーや郊外店での出張販売イベントへの人出が増加しており、販売量にも反映されるようになってきている。このまま新型コロナウイルスの感染者数が減少していけば、外出自粛の動きも緩和され、状況が好転すると期待できる。
,,○,住宅販売会社（経営者）,お客様の様子,・新型コロナウイルスの感染状況について、終息する兆しがみられるようになってきていることに加えて、米国及び日本の株式市場が活況を呈していることから、消費のムードが上向いている。
,,□,商店街（代表者）,来客数の動き,・緊急事態宣言が出されたことで来街者がますます減少しており、商店街は閑散としている。
,,□,商店街（代表者）,来客数の動き,・依然として来街者が減少している状態が続いている。区域内の駐車場では60～70％の空きがみられる日が多く、乗合バスの停留場も待っている人が少ない状態が続いている。また、夜型飲食店は来客数の減少に歯止めが掛からない状況であり、なかには例月の３割程度という店舗もみられる。
,,□,一般小売店［土産］（経営者）,来客数の動き,・当店は観光地にあり、観光客の利用が100％近くを占めている。35人の社員を抱えているが、今は１日の売上が１～２万円と大変な状態にある。売上は新型コロナウイルスの影響がなかった２年前と比較して10.1％にとどまる。
,,□,スーパー（店長）,それ以外,・新型コロナウイルスの影響が引き続きみられるなど、景気は好転していない。新型コロナウイルスの影響が一巡したことで、前年比では回復基調にみえるが、実態は変わっていない。
,,□,スーパー（企画担当）,来客数の動き,・新型コロナウイルス禍のなか、まとめ買いによる買上点数の増加がみられる一方で、来客数が伸び悩む傾向が続いている。
,,□,スーパー（役員）,来客数の動き,・売上を前年比でみると、ここ数か月、余り変化はなく、やや良い状態で推移している。来客数は減少しているものの、客単価は引き続き２けたの上昇幅となっており、新型コロナウイルス禍のなかで客が買物回数を減らしている状況がうかがえる。
,,□,スーパー（役員）,お客様の様子,・新型コロナウイルスの影響に加えて、今年は雪が多いこともあり、客がお買い得なセール時にまとめ買いする傾向がますます強まっている。
,,□,コンビニ（エリア担当）,来客数の動き,・新型コロナウイルスの影響が継続しており、全体的な傾向に変化がみられない。来客数の減少傾向も続いているが、客単価の上昇により、店内販売は前年並みの数字を確保できている。一方、外販については飲食店からの発注が減少したままであることから、落ち込みが続いている。
,,□,コンビニ（エリア担当）,お客様の様子,・飲食店関係の客の動きが鈍い一方で、工事関係の客はまずますの動きがみられるなど、客による違いが大きく、どちらとも言えない状況にある。
,,□,コンビニ（エリア担当）,来客数の動き,・客単価は上昇しているが、来客数の減少に変化がみられず、増加に転じる気配もないため、景気は変わらない。
,,□,乗用車販売店（経営者）,販売量の動き,・春の増販期を迎えるなか、受注量が見込みほど伸びていない。登録台数は前年と比べて増加しているが、半導体不足の問題や福島県沖を震源とする地震などによって、メーカーの供給体制に遅れが生じていることも影響している。この時期に受注量が伸びてこないと、この先がきつくなる。
,,□,乗用車販売店（従業員）,販売量の動き,・新型コロナウイルス禍のなか、車の購入について様子見している客が多く、客の購入意欲に変化がみられない。
,,□,乗用車販売店（従業員）,販売量の動き,・売れている営業マンも売れていない営業マンもいるが、全体的に販売量が伸びていないことから、やや厳しい状況にある。今は新型コロナウイルスの影響もあって、客の動きが鈍く、来客数が伸びてこない状況にある。
,,□,乗用車販売店（従業員）,販売量の動き,・外食など、外出する機会が増えてきていることから、少しずつではあるが、景気が回復傾向にある。
,,□,自動車備品販売店（店長）,お客様の様子,・客の購買動向や会話の内容に変化はみられない。必要品以外の商材を買う客も少ない。
,,□,高級レストラン（経営者）,来客数の動き,・街中の飲食店や隣接する自治体でクラスターが発生した影響で、特に夜間の状況がひどい。歓迎会やお別れ会なども行われないとみているため、景気が良くなることは見込めない。
,,□,観光型ホテル（スタッフ）,来客数の動き,・インバウンドや国内団体観光客、イベント関連での宿泊予約がほとんどない。一方、若干ではあるが、医療関係者の長期滞在、Ｗｅｂを経由した個人ビジネス客の利用がみられる。
,,□,旅行代理店（従業員）,来客数の動き,・前年末以降、景気が好転するような材料もなく、景気は底ばいが続いている。
,,□,旅行代理店（従業員）,販売量の動き,・景気はまだまだ悪いままである。全ての都府県で緊急事態宣言が解除され、東京都の新型コロナウイルス感染者数が大幅に減少しない限り、状況は変わらない。
,,□,美容室（経営者）,販売量の動き,・ここ数か月、同じような動きが続いており、景気が回復するような雰囲気がない。来客数も、売上も増加傾向がみられず、販売商材もファンデーションや口紅などの基礎化粧品の売上が厳しい状況にある。
,,□,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・天候不順に加えて、新型コロナウイルスの感染拡大の影響もあり、旅客輸送量の減少が続いている。
,,▲,商店街（代表者）,お客様の様子,・客との話のなかで、どのような場合であっても景気が良くないという言葉が聞こえてくる。
,,▲,商店街（代表者）,販売量の動き,・例年と同様に２月は動きが悪い。ただ、新型コロナウイルス禍のなかでは善戦している方かもしれない。
,,▲,その他専門店［医薬品］（経営者）,来客数の動き,・ドラッグストア業界では、１年前は新型コロナウイルスの影響が間違いなくプラスとなっていたこともあり、本格的な景気の落ち込みが１年遅れて生じている。
