Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（経営者）,来客数の動き,・売上は順調に伸びており、前年比112.6％、一昨年比108.5％となった。ここしばらく国内客が増えており、国内客による売上が伸びてきているが、７月は平成30年７月豪雨の影響もあり、外国人観光客による売上比率が高まっている。
,,◎,一般小売店［酒］（経営者）,販売量の動き,・ここ２～３か月、得意先の購買量が安定してきている。販売量は上向きであり、高額商材の売行きも相変わらず良い。
,,◎,コンビニ（エリア担当）,販売量の動き,・来客数が回復傾向にあり、売上も回復傾向となっている。
,,○,商店街（代表者）,来客数の動き,・７月中旬に国際的な展示会が行われたことなどにより、中心部を訪れた客は増加した。特に宿泊、飲食、土産、交通などで売上アップが顕著であった。宿泊においては、中心市街地のホテルを確保できずに、近隣の温泉街に宿泊する客や日帰りする客もみられた。また、中旬から下旬にかけては、アジア圏を中心に少数グループの外国人観光客が目立ち、買物をしている姿も多くみられた。
,,○,一般小売店［土産］（経営者）,お客様の様子,・ここ３か月、タイや韓国、中国など、ＬＣＣを利用する外国人観光客が増えている。特に韓国からの観光客が増えている。それに伴い売上も前年比プラス５～６％で推移している。
,,○,乗用車販売店（従業員）,来客数の動き,・販売台数が僅かに増えている。付属品などの購入も増えており、販売単価も上がっている。
,,○,観光型ホテル（スタッフ）,来客数の動き,・Ｗｅｂを利用した国内客の個人旅行需要が堅調であった。
,,○,旅行代理店（従業員）,来客数の動き,・７月は雨の日が多く、えぞ梅雨が定着した感が否めないものの、空港利用者数は前年比108％と伸びている。各地の花観光などが定着したことで観光需要は堅調に推移している。また、レンタカー利用が大きく伸びていることから、ビジネス客の動きも堅調とみられる。
,,○,旅行代理店（従業員）,来客数の動き,・７月は国際的な展示会の開催によるビジネス特需がみられたほか、観光入込も好調だったことで、地域の消費が活性化している。
,,○,通信会社（企画担当）,販売量の動き,・競合他社への流出が多いものの、北海道全体での販売量は前年よりも大きく伸びている。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・天候の回復もあり、ようやく月末が近づくにつれて輸送量が増加してきている。
,,○,住宅販売会社（経営者）,お客様の様子,・やっと夏らしい季節が戻ってきたことで、客のムードも良くなってきている。
,,□,商店街（代表者）,お客様の様子,・客の様子は日々変わらない。全体的には前月と同様の傾向にある。
,,□,商店街（代表者）,販売量の動き,・ここ数か月、大きな増減もなく、比較的落ち着いて推移している。
,,□,商店街（代表者）,販売量の動き,・青果物の収穫期前ということもあり、全体的に動きが鈍い。
,,□,百貨店（売場主任）,単価の動き,・客の購買単価はほぼ横ばいである。ここ３か月のトレンドをみても大きな変化はみられない。これまで好調に推移していた外国人観光客の需要もほぼ前年並みとなっている。
,,□,百貨店（担当者）,単価の動き,・前年は７月中旬からセールが始まったが、今年は例年より早い６月末からセールが始まったことで、７月上旬の来客数は伸びたものの、客単価が伸び悩んだ。後半は断続的なセールの影響で来客数の伸びも鈍化した。
,,□,百貨店（販売促進担当）,単価の動き,・７月後半に入り、来客数、買上客数共に堅調に推移しているものの、購買単価が低下傾向にあり、全体としては前年並みの数字に落ち着いている。気温の上昇とともに夏物商材が売れるようになったが、これ以上のかさ上げは望めそうにない。
,,□,スーパー（店長）,お客様の様子,・今年は前年のような猛暑の影響がなく、必要に迫られて購入する様子がうかがえない。例年以下の気温で推移していることから、必要のない商材は購入を控える客が多いなど、節約志向が強い。
,,□,スーパー（企画担当）,販売量の動き,・当地は畑作、酪農地帯であるため、７月の記録的な長雨により、牧草を含めた作物の生育に影響が生じており、消費の減退マインドを生みつつある。
,,□,スーパー（役員）,来客数の動き,・前年は真夏日が10日間あったのに対して、今年は真夏日が２日間しかなく、雨の日も多かったため、７月前半から来客数が前年を下回って推移しており、飲料や酒類などの夏物商材に影響が出ている。客単価が良い分、売上面では救われているが、来客数の獲得が厳しくなっている。
,,□,スーパー（役員）,販売量の動き,・天候が悪く、気温の上がらない日が続いたことで、夏物商材や行楽関係の商材の動きが良くなかった。
,,□,コンビニ（店長）,来客数の動き,・７月前半は天候が悪く、来客数もひどく落ち込んだが、後半は気温も上がり、最終的には前月と同じくらいの前年比で落ち着いた。
,,□,衣料品専門店（店長）,来客数の動き,・気温の上昇に伴い来客数が回復していることで、来客数は前年並みとなったが、集客がセール期に重なったことで、客単価が大きくダウンしており、売上は下がった。
,,□,乗用車販売店（経営者）,販売量の動き,・新車、中古車、サービスの３部門共に大きな変化はない。新車部門は新型車がないことが影響している。中古車部門は台数不足や競争の激しさから低下気味である。サービス部門は対象台数の減少が続いている。
,,□,自動車備品販売店（店長）,来客数の動き,・前年並みの来客数はみられるが、前年のこの時期からドライブレコーダー需要が生じたことから、売上は徐々に落ち着いてきている。ただ、暑さの影響でエアコンの整備需要が伸びている。
,,□,その他専門店［医薬品］（経営者）,販売量の動き,・年金月でない月は購買状況が厳しく、戦略を立てにくい。猛暑の影響もみられる。
,,□,高級レストラン（スタッフ）,来客数の動き,・夏休みに入ったこともあり、ランチは家族連れが多く、満席が続く。ディナーも満席となるが、客の回転率が悪く、客単価も低い。日によっては外国人観光客がほとんどを占めることもある。来客数は全体では前年を13％下回っている。
,,□,高級レストラン（スタッフ）,販売量の動き,・上旬から中旬にかけてはえぞ梅雨のような天候不順の影響で客足が落ちていたが、天候が良くなるにつれて徐々に回復し、どうにか前年並みの数字まで取り戻した。サービスメニューの低価格ランチはよく出るが、高額メニューが出ないため、客単価が上向いてこない。周辺の店では、気温の上昇とともに来客数が増加することを期待していたが、ビヤガーデンが始まったこともあり、夜の営業が例年以上に厳しい。
,,□,タクシー運転手,来客数の動き,・７月後半になり、当地では連日30度を超える日が続いた。30度を超えるとタクシーの利用が増えるため、１台当たりの売上は前年比で３％ほど良かったが、乗務員不足で稼働率が悪く、会社の売上は前年から６％のマイナスであった。
,,□,タクシー運転手,来客数の動き,・外国人観光客や日本人観光客による利用が減少傾向だったが、イベント関係での利用がみられたため、全体としては変わらなかった。
,,□,美容室（経営者）,単価の動き,・天候にかなり影響されたが、暑くなるにつれて自然と売上や客単価が上がった。
,,□,住宅販売会社（経営者）,お客様の様子,・分譲マンションのモデルルームに来訪した客の購買意欲は依然として高いが、予算が限られており、購入を検討できる価格の範囲が縮小傾向にある。
,,▲,百貨店（役員）,販売量の動き,・来客数の動きがやや悪くなっていることに加えて、客単価の低下もみられる。
,,▲,百貨店（営業販促担当）,来客数の動き,・上旬から中旬にかけては雨や低温などの天候不順の影響を受け、来客数が伸び悩み、シーズンアイテムの苦戦が続いた。下旬になり天候は回復したが、客足は戻りきらず、足踏み状態となっている。
,,▲,スーパー（店長）,来客数の動き,・天候が良くないため、季節商材が全く売れていない。
,,▲,コンビニ（エリア担当）,来客数の動き,・天候不順が続き、来客数が減少している。ただ、７月後半に天候が回復してからは売上も回復傾向にある。
,,▲,コンビニ（エリア担当）,販売量の動き,・前年との比較で販売量、客単価共に落ち込んでいる。前年との気温差が大きいことが要因であり、後半の気温の上昇とともに販売量、客単価も回復傾向にあるが、前年並みには達していない。
,,▲,家電量販店（店員）,販売量の動き,・７月前半の天候不順の影響で、夏物家電の動きが良くない。ただ、後半になって、少し良くなってきた。
,,▲,乗用車販売店（従業員）,販売量の動き,・新型車が出た割に伸びが悪い。全国的にも、北海道でも、当地でも同様の傾向にある。
,,▲,乗用車販売店（従業員）,販売量の動き,・新型車効果があることで多少は販売台数が稼げているが、例年、この時期は夏枯れの時期であり、新型車効果がなければ、販売台数は減少していたとみられる。
