I．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,商店街（代表者）,販売量の動き,・春節にあわせて、中国に青果物を輸出する動きが強まっている。
,,○,百貨店（売場主任）,販売量の動き,・消費税増税後の10～11月は駆け込み需要の反動もあり、前年を下回る厳しい状況が続いていたが、12月中旬から回復傾向に転じている。また、外国人の来客数も12月に入ってから、徐々に回復してきている。
,,○,コンビニ（エリア担当）,単価の動き,・キャッシュレス・消費者還元事業により、客のキャッシュレス決済が定着してきている。また、キャッシュレス決済利用者の客単価が上昇傾向にある。
,,○,家電量販店（経営者）,販売量の動き,・キャッシュレス・消費者還元事業の効果もあり、消費税増税後の反動減はほとんどなく、売上が順調に推移している。特に４Ｋ、８Ｋテレビの販売が好調である。
,,○,その他専門店［医薬品］（経営者）,販売量の動き,・12月はキャッシュレス決済の利用が加速的に増え、売上アップにつながった。ただ、先行きの動向を判断するには早すぎる。
,,○,美容室（経営者）,販売量の動き,・来客数、売上共に、前年から５％ほど増加している状況が続いている。予約がコンスタントに入り、ばらつきがみられないため、その分が売上の増加につながっている。
,,□,一般小売店［土産］（経営者）,来客数の動き,・年末になると、日本人観光客が大きく減る傾向にあるが、最近は外国人観光客のお陰で助かっている。年末の天候が穏やかだったこともあり、売上は前年比99.8％、一昨年比113.3％となっている。
,,□,一般小売店［土産］（経営者）,お客様の様子,・消費税増税後における客の買物の仕方として、価格を気にしている様子がうかがえる。迷いながらも、必要な物、欲しい物を厳選して買い求めている。また、外国人観光客については、取扱件数が少なくなっている上、昔のように籠に山ほど買い込むこともなく、欲しい物を厳選して買っている。
,,□,一般小売店［酒］（経営者）,販売量の動き,・本来であれば、12月は１年間の中で１番の繁忙期であるが、今年は風向きが異なっている。忘年会などが少なくなっており、夜の飲食店に出掛ける機会が減っている。10月の消費税増税を契機に潮目が変わったとみている。
,,□,スーパー（店長）,お客様の様子,・12月商戦に入り、クリスマス商材や年末年始商材などにおいて、必要な商材のみを買い求める客が目立つ。客の様子から、価格が安いからといって衝動買いしなくなってきている状況がうかがえる。
,,□,スーパー（役員）,来客数の動き,・12月も、11月と同様に前年並みの実績を確保できている。ただ、消費税増税が実施された10月以降、来客数が減少している一方で、客単価がやや上昇している。これらのことから、買物の頻度を落とし、倹約を考えながら生活している家庭が多くなっていることがうかがえる。
,,□,スーパー（役員）,お客様の様子,・消費税増税の影響が続いている。特に酒の売上が非常に悪い状況が続いている。
,,□,衣料品専門店（店長）,単価の動き,・クリスマスギフトシーズンであるにもかかわらず、客単価が非常に低い。
,,□,家電量販店（店員）,来客数の動き,・12月は来客数が前年よりも減っていることに加えて、客単価も下がっている。価格を調べている客もみられる。
,,□,乗用車販売店（経営者）,販売量の動き,・消費税増税後の受注量が一向に上向いてこない。新型車の投入も焼け石に水であり、受注量に及ぼす影響が限定的である。全体的に景気の悪い状況が続いている。
,,□,乗用車販売店（従業員）,販売量の動き,・消費税増税から少し時間が経過したが、なかなか回復傾向に転じてこない。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品価格が安定していることもあり、変化がみられない。
,,□,高級レストラン（スタッフ）,販売量の動き,・前年よりも売上を落としたが、どうにか例年並みの売上となった。例年のような降雪による悪影響がなかったことが幸いであった。前半はランチが不調であったが、ボーナス支給日頃から、前年並みの売上に戻ってきた。クリスマス前後は他店のテイクアウトが善戦したこともあり、例年よりも売上が下がった。飲食店を利用するより、家庭での飲食を優先する傾向が強くなっているようであり、消費税増税の影響が感じられた。
,,□,旅行代理店（従業員）,お客様の様子,・基幹産業である農業関係者による売上が好調であった。
,,□,旅行代理店（従業員）,来客数の動き,・前年と比べると来客数が減っており、回復の兆しが見えない。
,,□,タクシー運転手,来客数の動き,・イベント関係者や外国人観光客による利用状況は前年並みであった。前々月や前月と比べても、状況に変化はみられない。
,,□,タクシー運転手,販売量の動き,・労働力不足が顕著になってきており、思ったほどの売上が望めない状況となっている。
,,□,タクシー運転手,お客様の様子,・３か月前や前月と変わらない状況にあり、景気はやや悪い方向にある。この先も同じような状況で推移することになる。
,,▲,商店街（代表者）,販売量の動き,・クリスマスギフトについては、販売量、客単価共に落ち込んでいる。特に客単価の落ち込み幅が大きくなっている。
,,▲,商店街（代表者）,お客様の様子,・客との会話の中で、景気が良くないという声がたくさん出ている。
,,▲,商店街（代表者）,来客数の動き,・年末大売出しの時期であるが、来街者数は過去３年間で最も少ないとみられる。特に景品の抽選会場においては、例年であれば少ないながらも列ができていたが、今年は行列もほとんどみられない。また、消費税増税の影響なのか、前月に引き続き区域内の歩行者やバス停における乗降客の数が減少している。年金支給日以降の買物客も増えていない状況にある。
,,▲,商店街（代表者）,来客数の動き,・消費税増税後から低迷が続いている。高額商材はもちろんだが、一般商材も販売量が減少している。特に飲食店は10％以上落ち込んでいる店舗が多い。これらは消費税増税の影響というよりも、消費マインドの低下が要因とみられる。
,,▲,百貨店（販売促進担当）,販売量の動き,・12月に入り、外国人観光客による売上は以前の水準まで戻ってきているが、一般客については客単価の低下や購買率の低下がまだ続いており、前年並みの売上確保が厳しい状況となっている。
,,▲,百貨店（役員）,競争相手の様子,・競合店も含めて、ここにきて消費税増税の影響が出てきている。
,,▲,百貨店（営業販促担当）,販売量の動き,・消費税増税以降、来客数が回復しないまま推移している。買上客数の落ち込み幅はそれ以上であり、総体的に客の節約志向がうかがえる。
,,▲,コンビニ（エリア担当）,それ以外,・天候要因の影響が大きい。雪不足により、本来稼働している店舗や業者が不振となり、そこへの納品量が減少している。また、繁忙期であるはずの飲食店の動きが悪い。消費税増税や若者の飲食離れが影響しており、酒やたばこなどの免許品を中心に納品量が大きく減少している。
,,▲,乗用車販売店（従業員）,販売量の動き,・３か月前の９月は消費税増税前だったため、景気は悪くなかったが、10月以降は消費税増税の影響で、落ち込みがみられる。ただ、春先になれば、回復するとみられる。
,,▲,乗用車販売店（従業員）,販売量の動き,・客の動きが以前よりも悪くなっている。販売量も前月と比べて減少している。
,,▲,自動車備品販売店（店長）,来客数の動き,・消費税増税後の来客数が前年割れしている。12月はボーナス時期でもあるが、売上の山ができなかった。
,,▲,高級レストラン（経営者）,お客様の様子,・観光客が減っている。また、客の様子をみても消費をしていなそうな雰囲気が漂っている。
,,▲,高級レストラン（スタッフ）,販売量の動き,・例年、12月の売上はクリスマスのある下旬がピークとなるが、今年は曜日並びの影響もあり、予約が少なかった。また、学生の冬休み期間に入った後も、市内客、家族連れの客が余り目立たなかった。この時期は観光客が少ない時期であるため、苦戦することを見込んでいたが、売上は前年比マイナス13％と予想以上に厳しい結果となった。
,,▲,高級レストラン（スタッフ）,来客数の動き,・消費税増税の影響がじわじわと効いてきている様子がうかがえる。
,,▲,スナック（経営者）,来客数の動き,・令和になって初めての12月ということもあり、きっと忘年会などを楽しむのではないかとみていたが、思っていたほどの客足ではなかった。例年と比べても、客の数が若干少ない。
,,▲,観光型ホテル（スタッフ）,来客数の動き,・韓国からの外国人観光客が依然としてマイナス基調にあるほか、国内客についても北海道行きの旅行商品の売行きが低調である。芸能コンサート、スポーツイベントの開催はあったが、需要を取り戻すことができなかった。
,,▲,旅行代理店（従業員）,来客数の動き,・観光閑散期になっているため、繁忙期と比べれば外国人観光客が減少している。ただ、11月までの利用者数は、前年の北海道胆振東部地震の影響から回復していることもあり、前年をやや上回って推移している。消費税増税の影響は余りみられない。
,,▲,旅行代理店（従業員）,競争相手の様子,・競合他社も苦戦しているのか、安売り合戦となっている傾向がみられる。
