Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,＊,＊,＊
,,○,商店街（代表者）,単価の動き,・決して良いわけではないが、防寒物が早期の値下げに入ったこともあり、２～３か月前と比べると、客単価、売上とも上向いている。
,,○,商店街（代表者）,それ以外,・年末商戦の一環として、12月10日～24日の期間で行った連合大売出しの抽選会場に、比較的多くの客が来場した。中心部の買物客だけとは判断できないが、ほぼ全店舗で売上の増加がみられた。
,,○,百貨店（販売促進担当）,販売量の動き,・冬のボーナスの減少から、12月は厳しい商戦を見込んでいたが、当社の全国各店の売上動向をみると、前年割れながらも回復傾向にある。お歳暮の動きも前年並みを確保している。
,,○,スーパー（店長）,販売量の動き,・販売量の動きをみると、３か月前からは11％の増加となっており、前年からも２％の増加となっている。今月に限っては健闘している。
,,○,スーパー（店員）,お客様の様子,・１万円分の買物に対して５％の買物券が付く生活応援企画を実施しているが、前回以上に好評である。セット数を追加したこともあり、売上は前年比120％となり、客の囲い込みにもつながった。
,,○,家電量販店（店長）,販売量の動き,・薄型テレビを中心としたエコポイント制度の効果と年間の最大需要期とが重なり、販売量は前年比で２けたの伸びとなっている。
,,○,家電量販店（店員）,販売量の動き,・薄型テレビ、冷蔵庫などのエコ家電がよく売れているが単価が低下している。一方、来客数は前年を上回っている。
,,○,乗用車販売店（従業員）,販売量の動き,・エコカー人気に加えて、古い年式車両からの乗換えへの補助金制度により、これまで買い控えしていたユーザーの購買意欲が喚起されている。
,,○,高級レストラン（スタッフ）,単価の動き,・12月のランチの来客数は前年比95.7％とあと１歩のところまできている。売上も前年比109.3％と上向いている。
,,○,通信会社（企画担当）,販売量の動き,・通信機器の冬モデルに対する注目度が高くなっている。個人向け、法人向けともにラインナップが充実しているため、市場全体の反応も良い。
,,□,商店街（代表者）,販売量の動き,・クリスマスプレゼントの需要が前年から20％以上も落ち込んでおり、相変わらず厳しい状態にある。
,,□,商店街（代表者）,お客様の様子,・今年は例年にないほど寒さが続いたことから、若者専門店ではダウンなどの防寒物にやや活発な動きがみられたが、値引き交渉が多く、利幅は薄かった。全体的には厳しい状態が続いている。
,,□,一般小売店［酒］（経営者）,販売量の動き,・年末ということもあり、３か月前と比べれば売上も増加しているが、そういった季節要因を除けば、ここ数か月、ほぼ横ばいで推移している。
,,□,百貨店（売場主任）,お客様の様子,・ここ数か月、状況は大きく変わらない。買上客数が前年比98％と前年並みに近づいたものの、客単価が上がらず、売上は前年比93％となっている。食品が健闘する一方で、衣料品、雑貨が苦戦している状況も変わらず、特にアクセサリーの苦戦が目立っている。
,,□,百貨店（役員）,単価の動き,・客単価が低下したものの、来客数が増加したことから、結果としては前年比100％弱で推移している。
,,□,スーパー（店長）,単価の動き,・百貨店閉店の影響からギフト関連は好調で推移したが、クリスマス関連商材の客単価が低下傾向にある。高級シャンパンは前年同様に動きが全くみられない。
,,□,家電量販店（地区統括部長）,販売量の動き,・薄型テレビの売上は、相変わらず好調であるが、パソコンや冷蔵庫といったその他の大型家電の需要が悪く、全体としてはほぼ横ばいの状態である。
,,□,乗用車販売店（従業員）,お客様の様子,・エコカー減税の延長検討の報道を受けて、様子見の客が増えてきており、売上があまり良くない。前年よりは良くなっているが、厳しい状況に変わりはない。
,,□,その他専門店［ガソリンスタンド］（経営者）,単価の動き,・依然として、車に関する高額商品が全く売れない。
,,□,一般レストラン（スタッフ）,販売量の動き,・ビジネス客、観光客ともに来客数が回復しない。唯一、中国とシンガポールからの観光客が増加していることから、前年並みの売上は何とか確保できている。
,,□,スナック（経営者）,来客数の動き,・今月前半はあまり客足もなく、今年も厳しくなることを見込んでいたが、月半ばを過ぎてから、忘年会などで客の動きがみられるようになり、後半は良くなってきた。
,,□,観光型ホテル（経営者）,競争相手の様子,・リーマンショック以降、観光客が大きく減少している。平日の入込が前年からやや悪くなっているが、休日前日の入込は良く、当ホテルも同様の傾向にある。景気低迷により、安近短傾向が強まっていることから、札幌圏を始めとした道内マーケットを対象とした地域間競争が激しくなっている。
,,□,タクシー運転手,販売量の動き,・今月の前半は伸び悩んでいたが、後半になると雪が多く降ったことから、売上が伸び、前年並みに近い売上となった。ただ、３か月前と比べると、売上は約３％減っている。前年が前年比で７％落ち込んでいたこともあり、全体としては変わらない。
,,□,タクシー運転手,来客数の動き,・相変わらず電話注文が減少しており、来客数も減少している。
,,□,通信会社（社員）,販売量の動き,・格段に販売量が増えたという実感はないが、新しい価格帯でのサービスの提供が始まり、今まで無関心だった世帯からの問い合わせが増えている。契約につながる事例も増えており、生活防衛のためにはサービス変更も積極的に行うという世帯が多くみられる。一方で、支出増には相変わらず警戒感が強い。
,,□,観光名所（役員）,来客数の動き,・韓国やマレーシアなどからの外国人観光客が好調なことから、国内客の減少を穴埋めする形となっているが、依然として来客数が前年を下回る傾向が続いている。
,,□,その他レジャー施設（職員）,販売量の動き,・従来、この時期は土日の予約がすぐ一杯になっていたが、単価が高いためか、今年はすぐには埋まらなくなっている。リピート客の利用頻度も低下している。
,,▲,商店街（代表者）,お客様の様子,・歳末にもかかわらず、来客数が非常に少なく、本当に必要な物しか買わない。多少ディスカウントしたくらいでは振り向いてもくれない。ただ、外国人観光客が来店して、多少は買物をすることで若干救われている。
,,▲,商店街（代表者）,お客様の様子,・客の動きをみると、とにかく安い物を求めている。また、買物の量自体も少なくなってきている。
,,▲,百貨店（売場主任）,来客数の動き,・今月のお歳暮の売上は前年を上回っている。衣料品関係は、婦人服でジャケットやコートに動きがみられるが、単品のニット、セーターの動きが厳しい。また、フォーマルでは特需があった。一方、紳士服のビジネス関連に関しては非常に厳しい状態にある。クリスマスギフトに関しては、単価の低下がみられた。
,,▲,スーパー（店長）,単価の動き,・客単価、商品単価ともに、前年比95％を下回る動きとなっており、単価の低下に歯止めがかからない。
,,▲,スーパー（企画担当）,単価の動き,・既存店の来客数が前年を下回っていることに加えて、ここにきて客単価の低下が激しくなっており、利益の確保が困難になっている。
,,▲,スーパー（企画担当）,単価の動き,・来客数はやや戻ってきているが、必要でかつ安い物でないと買わないという傾向が依然として強く、客単価は前年比で低下傾向が続いている。豆腐、もやし、納豆、こんにゃくなどの買上動向をみても、節約志向が緩んできたという実感は全くない。
,,▲,スーパー（役員）,単価の動き,・12月に入り、前半２週は客単価が前年比97％台で推移した。現時点では、前年比100％を超えるところまで回復しているが、売上については前半の落ち込みを回復できていない状況にある。商品単価が５ポイント低下し、買上点数が５ポイント上昇する状況に大きな変化はみられないが、前半２週は相当な買い控えが起きていた。
,,▲,コンビニ（エリア担当）,単価の動き,・ボーナス支給日以降の売上の伸びが前年よりも鈍化している。
,,▲,コンビニ（エリア担当）,単価の動き,・より安い商品の販売量が増加している一方で、客単価の低下が加速している。特にボーナス支給日以降は、前年よりも２％ほど低くなっている。
,,▲,高級レストラン（スタッフ）,単価の動き,・来客数は前年比で横ばいであるが、客単価が前年比で2.5％低下しており、売上も前年比で2.5％の減少となっている。クリスマス期間には、期待を込めて高単価の特別ディナーメニューをそろえたが、目標通りにはいかず、デフレの影響を感じる。
,,▲,高級レストラン（スタッフ）,来客数の動き,・デフレを反映して、クリスマスディナーは客単価、来客数とも前年を下回った。12月全体では、週末は混雑したが、平日の予約が少なかった。
,,▲,観光型ホテル（スタッフ）,単価の動き,・今年１年、宿泊客の消費金額は下落続きであった。買物も低価格商品に集中しており、販売量はあるものの、売上は落ち込んでいる。
