Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,＊,＊,＊
,,○,商店街（代表者）,来客数の動き,・来客数は回復しつつある。ただ、新型コロナウイルス流行前の状態に戻るには時間が掛かる。
,,○,商店街（代表者）,販売量の動き,・果実収穫の全盛期であることから、景気はほんの少しだけ上向いている。ただ、前年実績とは程遠い。
,,○,一般小売店［土産］（経営者）,来客数の動き,・売上は５月が最も悪く、前年比3.3％となっていたが、10月は前年比で43％まで回復している。
,,○,一般小売店［酒］（経営者）,単価の動き,・販売量はまだ以前の状態に戻っていないが、思い切った買い方をする客が増えており、客単価が上向いている。
,,○,百貨店（売場主任）,販売量の動き,・10月は９月と比べて売上が戻ってきている。ただ、前年は９月に消費税増税前の駆け込み需要がみられ、10月に需要の先食いによる売上減が起きていたことから、単純に比較できない面がある。
,,○,百貨店（販売促進担当）,販売量の動き,・新型コロナウイルスの影響が薄らいでいることで、来客数、売上が回復してきている。
,,○,スーパー（役員）,来客数の動き,・10月の来客数は前年並みに届いていないものの、過去数か月間での比較では回復傾向にある。また、客単価も８～９月と比べると３～４％伸びており、売上を押し上げている。
,,○,スーパー（役員）,販売量の動き,・前年は消費税増税の駆け込み需要の反動による消費の冷え込みがあったこともあり、前年と比べて好調な売上となっている。
,,○,コンビニ（エリア担当）,お客様の様子,・新型コロナウイルスの影響はいまだにみられるものの、Ｇｏ　Ｔｏキャンペーンの実施とともに売上が回復傾向にある。
,,○,家電量販店（店員）,お客様の様子,・下見目的の来客数がやや増えてきている。
,,○,乗用車販売店（経営者）,販売量の動き,・新型車を中心に受注量が伸びてきている。ただ、メーカーの供給体制が悪く、新車登録が遅れ気味であるため、売上が比例していない状況にある。供給状況が改善すればもう少し景気は良くなる。サービス部門の売上も車検対象台数が増えてきたことで売上が増加傾向にある。
,,○,乗用車販売店（従業員）,販売量の動き,・９～10月にかけて販売量が上向いている。ただ、月末になり、やや落ち込む傾向がみられることが気掛かりである。
,,○,乗用車販売店（従業員）,販売量の動き,・販売台数の前年比が上向いていること、新車販売台数が目標に近い台数まで伸びていることから、景気はやや良くなっている。
,,○,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・販売量が回復しつつある。
,,○,高級レストラン（スタッフ）,来客数の動き,・地元客に加えて、観光客も増えており、それに伴って収益が改善している。
,,○,観光型ホテル（経営者）,単価の動き,・Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンの効果により消費単価が伸びていることから、売上が回復傾向にある。ただ、２月以降の予約が大きく落ち込んだままであることから、その効果も１月一杯までとみられる。これから冬季を迎えて、道内外の個人客の動きが悪くなること、外国人観光客が一切見込めないことから、来春までの経営は非常に厳しくなることが懸念される。
,,○,観光型ホテル（スタッフ）,来客数の動き,・Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンにより北海道内の観光需要が喚起されつつある。ただ、週末は稼働が上がるが、平日は低調である。
,,○,旅行代理店（従業員）,来客数の動き,・Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンの開始直後は、マイカー利用の道内客のみが増加していたが、９月の連休頃から航空機利用の個人客、大型バス利用の団体客が増え始めており、需要が回復に転じてきている。
,,○,旅行代理店（従業員）,お客様の様子,・主力である法人の団体旅行はいまだに皆無に等しい状況であるが、中学や高校の修学旅行、部活動の遠征に伴う宿泊や交通機関の取扱が徐々にみられるようになっている。
,,○,旅行代理店（従業員）,来客数の動き,・Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンにおける地域共通クーポンの取扱が10月から始まったことが後押しとなり、客の動きが出てきた。
,,○,タクシー運転手,販売量の動き,・コロナ禍のピーク時期と比べれば、確実に景気は上向いている。ただ、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンが始まってから、今まで感染者が余り確認されていなかった地方都市部においても、新型コロナウイルスの感染者がみられ始めていることが気掛かりである。
,,○,タクシー運転手,販売量の動き,・Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンや地域共通クーポン券の効果により、消費が多少上向いてきている。売上に関しても前年並みの数値になってきている。
,,○,タクシー運転手,お客様の様子,・緊急事態宣言が解除されたこと、Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンが開始されたことにより、３か月前と比べると、一定程度の回復の兆しがみられる。ただ、10月下旬になり、当地において２件のクラスターが確認されたことが気掛かりである。
,,○,通信会社（企画担当）,販売量の動き,・話題の通信端末が発売され、前年に発売された端末よりも３倍程度売行きが良いことから、景気はやや良くなっている。ただ、オンラインによる購入が増えている一方で、店舗での購入が大幅に減っていることが気掛かりである。
,,○,観光名所（従業員）,お客様の様子,・３か月前の利用者は多い日でも1000人程度であったが、10月はＧｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンの効果が顕著に表れていることで、平均して2000人程度、多い日で4000～5000人となるなど、利用者が伸びてきている。ただし、例年並みの水準には程遠い。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・例年であれば、この時期の輸送量は大きく落ち込むが、今年はＧｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンの効果が顕著に表れている。
,,□,商店街（代表者）,来客数の動き,・10月初旬から中旬にかけて、中心部を訪れる客が徐々に回復しており、飲食店のなかにも前年の６割程度まで回復した店舗がみられたが、下旬に中心部で２名の新型コロナウイルス感染者が確認されたことで客足が止まり、飲食、物販共に低調となった。
,,□,百貨店（役員）,それ以外,・今のところ、来客数、売上共に前年並みの水準となっている。ただ、前年は消費税増税の影響で売上が落ち込んでいたことから、新型コロナウイルスの影響から脱却しつつあるのかどうか、今一つ見極めが付かない。
,,□,百貨店（営業販促担当）,来客数の動き,・前年のように物産催事などを開催できていないこともあり、来客数が回復してこない。特に年配層の動きが悪く、婦人服、婦人雑貨などの関連商材の売上が回復してこない。
,,□,スーパー（店長）,それ以外,・引き続き新型コロナウイルスの影響がみられる。底を打った感はあるが、以前の水準に戻るところまではいっていない。
,,□,スーパー（店長）,来客数の動き,・買上点数や客単価は前年から10％ほど上昇しているものの、来客数は前年から10％ほど下がっており、売上は前年とほとんど変わっていない。新型コロナウイルスの流行後、食品に関してはこうした傾向がずっと変わっていない。
,,□,コンビニ（エリア担当）,販売量の動き,・新型コロナウイルスの流行以降、来客数の減少が継続している一方で、プレミアム付商品券などの効果で客単価や買上点数が上向きとなっているなど、少し異常な状況にある。実際の景気は横ばいか下向きとみられる。
,,□,コンビニ（店長）,来客数の動き,・来客数は前年比85％となっている。特に夕方から夜間にかけての落ち込みが激しい。
,,□,乗用車販売店（従業員）,販売量の動き,・通常時と比べて、販売量が20～30％ダウンしている状況がここ数か月続いている。
,,□,自動車備品販売店（店長）,販売量の動き,・来客数の落ち込み幅が同じような水準で推移している。タイヤの販売量についても同様の状況にある。売上をみても一昨年を下回る水準で推移している。
,,□,高級レストラン（経営者）,来客数の動き,・Ｇｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンが行われていること、対象地域に東京が含まれたことで、観光客が増えてきている。ただ、昼は客の来店があるものの、夜は会合や宴会などが全くみられない。景気は３か月前よりは良くなっているが、全体的には現状維持の状態である。
,,□,高級レストラン（スタッフ）,販売量の動き,・昼食は前年比30％を上回って推移しており、３か月前と変わらない。夜は振りの客、予約客が少ないが、10月に入ってから若者を中心に人の流れが良くなっている。ただ、どの飲食店も最低限の人数で営業しており、想定を超える来客数があると混乱している。地方の飲食店は、高単価店も含めて、昼が良くても夜が悪く、どうにか持ちこたえている状況にある。地方の宿泊施設では、感染対策が当たり前になっており、従業員も客も慣れてきているようだ。
