Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,＊,＊,＊
,,○,商店街（代表者）,来客数の動き,・商店街の大型店２店舗が改装オープンしたことで、商店街の来客数が増え、飲食店や生地屋、眼鏡屋、カメラ屋などの店で前年の売上を上回った。
,,○,商店街（代表者）,お客様の様子,・気温が暖かくなり、客が外に出る機会が増えたためか、来客数が増加している。
,,○,百貨店（売場主任）,販売量の動き,・例年、３月上旬は卒業式用に、下旬は入学式用にと、スーツの売上が大半を占めるが、今年は、スーツの売上が例年より多くなっている。また、それに合わせてインナーやコートをまとめ買いする客が多い傾向にある。
,,○,衣料品専門店（店員）,来客数の動き,・客の購買意欲はまだまだ低いという印象を受けるが、札幌駅の大型複合商業施設がオープンしたことで来客数が増加した。
,,○,乗用車販売店（役員）,来客数の動き,・今月に入って、販売量の動きが良くなってきている。前年と比べても、販売量の伸びは大きい。
,,○,高級レストラン（スタッフ）,来客数の動き,・地元客のレストラン利用及び宴会利用、宿泊と全部の業態にわたって来客数が増加した。合格祝いや歓送迎会などでの利用も顕著に増加していた。
,,○,スナック（経営者）,来客数の動き,・前月から団体客の来店が多く、前年のこの時期に比べると、多少ではあるが売上が増えている。
,,○,タクシー運転手,来客数の動き,・札幌駅の大型複合商業施設が開業したことにより、タクシーの利用が少し増えている。
,,○,通信会社（企画担当）,販売量の動き,・新商品の販売状況が予想以上に好調であり、第三世代の携帯電話の販売量も軌道に乗ってきた。
,,□,商店街（代表者）,単価の動き,・化粧品の販売店では、学生の卒業などに伴い来客数が増加しており、化粧品の動きが良くなっているが、全体としては変わらない。
,,□,商店街（代表者）,お客様の様子,・札幌駅の大型複合商業施設のオープンにより、全体的な人出はかなり多くなっているものの、札幌駅より少し離れている場所では、買物客がそれほど増加していない。
,,□,商店街（代表者）,来客数の動き,・イラク情勢や選挙運動などの影響で、何となく客の気持ちが落ち着かない状況であり、売上に結びつかない。
,,□,スーパー（店長）,販売量の動き,・来客数は前年同月の規模を確保しているなど、全体としては変わらないが、天候の影響もあり、春物衣料の買い渋りが非常に多くみられる。また、内祝いギフトにおいても、例年より下見客や大口購入客が少なく、非常に厳しい状況にあることに変わりはない。
,,□,コンビニ（エリア担当）,単価の動き,・来客数は前年並みだが、客の買上金額は前年よりも減少しているように、安い商品を志向する傾向が依然として強くある。
,,□,コンビニ（エリア担当）,販売量の動き,・客数が増加している傾向に変わりはない。
,,□,家電量販店（店長）,販売量の動き,・本来、３月はシングル需要で12月以上の最商戦時期であるが、来客数が前年の90％台にとどまり、客単価もダウンしている状況であり、全体としては変わらない。
,,□,住関連専門店（営業担当）,単価の動き,・客単価が前年同月より数％ほど減少していることに加えて、来客数も前年同月を下回っており、これまでと同様に売上の増加を期待できない状況である。
,,□,高級レストラン（スタッフ）,来客数の動き,・イラク情勢を反映してか、北海道観光客が増加しており、観光客の来店は良い状態であるが、全体としては変わらない。
,,□,高級レストラン（スタッフ）,お客様の様子,・レストランの夕食については、団体予約が増えたことから売上は前年並みとなったが、昼の個室利用が減ったため、全体では前年の売上を少し下回っている。こうした状況は変わらない。
,,□,一般レストラン（スタッフ）,来客数の動き,・前年同月に比べて来客数が増えており、５か月連続での伸びとなっているが、イラク情勢が始まってからは来客数が減少している。
,,□,一般レストラン（スタッフ）,来客数の動き,・卒業祝いや入学祝いでお金がかかることから外食を控える傾向がみられ、来客数が減少しており、全体としては変わらない。
,,□,観光型ホテル（経営者）,単価の動き,・現在の宿泊単価は、これ以下はないという状況であり、付帯収入についても、地元客を中心に３か月前並みの水準に回復基調にあるなど、全体として下げ止まりの感がする。
,,□,観光型ホテル（経営者）,来客数の動き,・前年同月に比べて、月の前半の来客数は多かったが、後半は少なかったため、全体としての来客数は、ほとんど変化していない。同業他社についても、同様の傾向がみられる。
,,□,観光名所（職員）,来客数の動き,・イラク情勢のためか、来客数が減少している。
,,□,美容室（経営者）,お客様の様子,・このところ客の来店周期にあまり変化がなく、固定化されてきている。
,,▲,商店街（代表者）,お客様の様子,・３月は個人的な出費が増える時期であるが、先行きが不安なため、買物がより慎重になっている。
,,▲,一般小売店［土産］（店員）,お客様の様子,・例年は、学校や企業内での人の出入りが増えるという季節的要因から、空港の売店においても来客数が増加するが、今年は、そのような季節的要因による売上増加がみられない。
,,▲,百貨店（売場主任）,お客様の様子,・客の様子から、特に中高年層以上の客はとても慎重な買物をする傾向がみられる。
,,▲,スーパー（店長）,それ以外,・引き続き一点単価が上がらず、なおかつ商品の回転数も上がっていない状況であり、客は買物に対してよりシビアになっている。
,,▲,スーパー（企画担当）,競争相手の様子,・競合各社の価格訴求を強めたチラシ合戦は激しさを増しており、大手量販店も含めた日々の低価格競争はますます厳しさを増している。
,,▲,コンビニ（エリア担当）,来客数の動き,・産業幹線沿いの店舗で、客数の減少が特に目立つ。
,,▲,コンビニ（店長）,来客数の動き,・例年に比べ気温が非常に低く、雪解けが遅かったため、客足が鈍くなったのではないかと思われる。
,,▲,家電量販店（経営者）,お客様の様子,・客は来店しても、なかなか買おうという意欲が感じられない。また、高額の商品も売上に結びつかず、商売をできるような雰囲気がない。
,,▲,家電量販店（地区統括部）,販売量の動き,・来客数は前年をキープしているものの、消費マインドが冷えているため、売上が増えていない。特に、シングル需要は伸びがみられない。
,,▲,家電量販店（店員）,来客数の動き,・今月に入り来客数が１割ほどダウンしており、客単価も前年を下回っている状況となっている。
,,▲,乗用車販売店（従業員）,販売量の動き,・最需要期であったが、前年と比較して販売量はかなり落ち込んだ。新規の来客数も少なかった。
,,▲,住関連専門店（従業員）,それ以外,・買い控えが続いている。
,,▲,その他専門店［ガソリンスタンド］（経営者）,単価の動き,・客の節約傾向のため、販売単価が低下している。
,,▲,スナック（経営者）,来客数の動き,・選挙のある年は、人出がなくなる。
,,▲,旅行代理店（従業員）,来客数の動き,・イラク情勢が始まる前後から、海外旅行の申込が低迷している。また、国内旅行へのシフトも顕在化していない状況である。
,,▲,観光名所（役員）,販売量の動き,・ロープウェイ利用客は微減にとどまっているものの、販売額は前年比で１割ほどの減少となっている。
,,▲,美容室（経営者）,お客様の様子,・政治や経済が激動している現在、消費者がお金を使うことをためらっているように感じる。
,,▲,美容室（経営者）,お客様の様子,・来客数、客単価とも伸びていない状況である。
,,▲,住宅販売会社（従業員）,販売量の動き,・営業上の来客数がとても減少しているのが気になっている。販売内容も小規模になっており、かなり低迷している。
,,×,百貨店（販売促進担当）,お客様の様子,・札幌駅の大型複合商業施設のオープンがしたことで、駅前地区の活性化につながることを期待していたが、来客数の割にはあまり売上につながっていないように思える。昨年は３月上旬より気温が高く、春物衣料が活性していたが、今年は気温が下旬まで上がらなかったため、春物衣料の動きが鈍く、購買の山が少し後ろにずれていることが要因と思われる。
,,×,スーパー（店長）,単価の動き,・来客数は前年比で90％程度であり、前月対比ではやや悪化している。また、客単価も前年を下回って推移している。さらに、１月まで堅調に推移してた旅行部門もイラク情勢に起因し、前年比で２割以上悪化している。
,,×,コンビニ（エリア担当）,お客様の様子,・店内に入る人数は多いが、商品を買わない傾向が更に強まっており、客の消費はそれほど伸びていない。
,,×,衣料品専門店（店長）,来客数の動き,・最近は、売り出しセールや展示会を開催しても、以前のように来客数が伸びず、売上が落ち込んでいる。
,,×,その他専門店［医薬品］（経営者）,来客数の動き,・千人単位で来客数が減少しており、異常としか言いようがない状況である。
,,×,スナック（経営者）,来客数の動き,・例年３月は、歓送迎会がたくさん行われるが、今年は、今までにないほど減少しており、飲食店街にくる人も減少している。同業者も今年は宴会の数が激減したと聞いている。
