Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,商店街（代表者）,来客数の動き,・新型コロナウイルスの感染者が増加しているなかにあっても、商店街への来街者が日を追うごとに増えている。
,,○,一般小売店［土産］（経営者）,販売量の動き,・７月の売上は前年比134％、前々年比19.4％である。ワクチン接種への期待と夏休み、東京オリンピックが重なったことで、連休中の人出が増えており、その分だけ売上が増えた。
,,○,百貨店（販売促進担当）,販売量の動き,・月末に東京オリンピック開催に伴う連休が入ったことなどから、来客数及び買上客数が増加傾向にある。また、気温の上昇に伴って夏物衣料を中心に動きが活発化しており、こうした状況はしばらくの間続くとみられる。
,,○,百貨店（役員）,お客様の様子,・東京オリンピックの開催に伴い客の動きが明らかに消費に傾いている。ただ、こうした動きが一時的なものかどうかが分からない。
,,○,スーパー（店長）,来客数の動き,・緊急事態宣言の解除、ワクチン接種の進展、気温の上昇など、様々な要素が重なり、７月は売上がやや持ち直した。来客数も新型コロナウイルス発生以前の2019年と同程度の水準まで回復している。
,,○,スーパー（役員）,お客様の様子,・４連休は観光客の入込が多くみられた。また、地域の夏祭りも一部開催されるようになったことで、街に活気が戻ってきた。
,,○,コンビニ（エリア担当）,販売量の動き,・天候がとても良いことから、景気はやや良くなっている。
,,○,コンビニ（エリア担当）,来客数の動き,・以前と比べて漁業の活気が出てきている。好天の影響が大きいのかもしれないが、早朝と夕方の来客数が増加しており、産業が活発になってきていることがうかがえる。
,,○,コンビニ（エリア担当）,販売量の動き,・緊急事態宣言が解除されたことで、景気はやや回復している。ただ、新型コロナウイルスの感染者数が再び増えてきていることから、先行きがどうなるかは分からない。
,,○,コンビニ（エリア担当）,来客数の動き,・７月は気温が高いことから、来客数が増加している。８月以降はどうなるか分からないが、７月については景気が良い。
,,○,家電量販店（店員）,販売量の動き,・夏物家電の売行きが前年よりも良い。テレビや関連商材の販売量も微増している。
,,○,自動車備品販売店（店長）,来客数の動き,・まん延防止等重点措置の適用期間もあったが、コロナ禍が２年目に入ったこともあり、客足が前年より10％程度増加している。
,,○,高級レストラン（スタッフ）,来客数の動き,・緊急事態宣言の解除により、来客数が伸びつつある。
,,○,観光型ホテル（スタッフ）,来客数の動き,・ビジネス目的、観光目的、ゴルフ目的などでＷｅｂを経由した予約が入り始めている。イベントの開催もプラス要因となっている。近隣の観光施設も営業を再開している。
,,○,旅行代理店（従業員）,来客数の動き,・北海道の緊急事態宣言が解除されたことにより、ビジネス、観光需要が戻りつつある。しかし、東京都などの緊急事態宣言が継続していることから、大幅な回復には至らない状況が継続している。東京オリンピックも無観客開催や事前合宿の中止などにより、盛り上がりに欠けており、需要回復にはつながっていない。
,,○,旅行代理店（従業員）,お客様の様子,・ワクチン接種が進んでいることで購買意欲に変化が出てきている。
,,○,タクシー運転手,単価の動き,・新型コロナウイルスの感染状況について、当地域では小康状態が続いている。緊急事態宣言の解除もあって、経済活動は活発になってきている。
,,○,観光名所（従業員）,来客数の動き,・緊急事態宣言やまん延防止等重点措置などの対策が解除されたことで、ワクチン接種済みの客や感染対策を講じた客の利用が増加してきている。
,,○,美容室（経営者）,来客数の動き,・シルバー世代のワクチン接種が進んでいる影響で、以前よりも客の動きが活性化してきている。来店周期も以前と同じような状況になっており、その分だけ売上が増加している。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・首都圏において緊急事態宣言の発出やまん延防止等重点措置の適用がみられるものの、前年と比べて輸送量が増加している。
,,○,住宅販売会社（経営者）,お客様の様子,・新型コロナウイルスの新規感染者数が減ってこないものの、東京オリンピックの開会と猛暑の影響で客のムードが少しずつ上向いてきている。
,,□,商店街（代表者）,来客数の動き,・当地では７月中に高齢者のワクチン接種がほぼ終了する予定となっているが、平日の区域内駐車場やバス停の状況を確認しても、地元住民による来街の増加傾向がみられない。高校生を中心とする学生の来街は幾分戻ってきているが、各業種の売上アップにはつながっていない。明るい材料としては、道内外からの観光客、ビジネス客とみられる車両が増加していることが挙げられるが、当地に滞在や宿泊をしているかどうかを見極められないため、売上アップにつながっているかが判断できない。
,,□,一般小売店［土産］（経営者）,来客数の動き,・ここ数か月、週末や連休になると、旅行客などの空港利用客の姿がみられるようになってきているが、団体客が相変わらず少ない。２～３人の家族や親しい友人とみられる小グループ客が目立つ。
,,□,スーパー（企画担当）,来客数の動き,・感染拡大の第４～５波を迎えるなか、このところの売上は多少の増減はあるものの、コロナ禍１年目の前年とほとんど変化のない状況で推移している。
,,□,スーパー（企画担当）,来客数の動き,・６月の緊急事態宣言の解除後、しばらくは来客数が減少傾向にあったが、７月に入り好天に恵まれる日が続いていることから、来客数が回復傾向に転じている。
,,□,乗用車販売店（経営者）,販売量の動き,・新型車の投入によって受注量が増加することを期待したが、全体的には期待したほど伸びていない。新型コロナウイルスの影響がいまだに大きいことに加えて、半導体不足の影響もみられることから、需給バランスが崩れており、売上に結び付かない状況にある。
,,□,乗用車販売店（従業員）,販売量の動き,・本来であれば、北海道は夏枯れの時期となっているはずだが、新車種が好評ということもあって、２～３か月前と比べて客の来場が増えており、売行きも伸びている。全体的な販売量は前年を上回っており、前々年に近い水準まで回復している。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・販売量が上向きつつあることから、景気はやや良くなっている。
,,□,高級レストラン（スタッフ）,販売量の動き,・売上は前々年の３割とやや悪い。夜は一向に客が入らないが、まん延防止等重点措置が解除されたことでランチは低価格帯のメニューを中心に回復傾向にある。一方、50代以上の客はまだ回復してこない。
,,□,観光型ホテル（経営者）,来客数の動き,・まん延防止等重点措置などが繰り返し適用されていることから、観光需要喚起策も実施できない状況にある。観光、飲食、エンターテイメント産業に対する経済対策が何１つなく、人流抑制策などにより需要が激減しているため、打つ手がない状況にある。
,,□,旅行代理店（従業員）,来客数の動き,・緊急事態宣言が解除されても来客数は変わっておらず、１日１けたにとどまっている。新規予約があっても、新型コロナウイルスの感染者数が増えると取消しになることが多い。道内外関係なく、旅行へ出掛けることに対する客の警戒心が弱まらない状況にある。
,,□,旅行代理店（従業員）,販売量の動き,・東京オリンピック・パラリンピックが開催されたが、ワクチン接種が進まない現状から、新型コロナウイルスの感染に不安を感じている客が多い。ワクチン接種率が上がってこない限り、旅行需要が上向くことはない。
,,□,タクシー運転手,来客数の動き,・まん延防止等重点措置が適用されていた７月11日までの期間は人の移動が制限されていたこともあり、タクシーの利用も減った。12日に解除された後も大きな変化はなく、新型コロナウイルス発生以前の前々年との比較では40％の売上減少であった。前年との比較でも15％の売上減少であり、相当厳しい状況が続いている。
,,□,タクシー運転手,お客様の様子,・１年で一番の稼ぎ時を迎えているが、大変厳しい状況にある。前年からのコロナ禍のなかで、どういう状況がベストなのかも分からない。ここに来て、再びまん延防止等重点措置が適用されることになれば、道内各地にも影響が生じることになる。
,,□,タクシー運転手,お客様の様子,・緊急事態宣言の解除後、やや人の動きが出てきているものの、前々年と比べると30％の落ち込みとなっている。東京オリンピックが開催されたが、新型コロナウイルスの感染者が増えてきていることがマイナスとなっている。65歳未満のワクチン接種の見通しが立っていないこともマイナスである。
,,▲,商店街（代表者）,お客様の様子,・たばこを紙巻きのものから葉巻きに変える客がみられるなど、客がより単価の低い商材を求める傾向がみられる。
,,▲,商店街（代表者）,販売量の動き,・７月は果物の収穫期までの端境期に当たることから、景気はやや悪くなっている。
,,▲,一般小売店［酒］（経営者）,販売量の動き,・４～５月と比べると売上は回復傾向にあるが、３月並みの水準までには回復していない。
