Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,商店街（代表者）,販売量の動き,・雪がなくなり、人の流れが変わった。北海道新幹線の開業１周年効果もみられる。
,,○,一般小売店［酒］（経営者）,販売量の動き,・３月に入ってから、１～２月と比べて消費にやや動きが出てきている。
,,○,スーパー（店長）,販売量の動き,・３月は売上、来客数共に前年比94％となり、少し持ち直してきている。販売量も前年比98％強と３か月前と比べれば伸びており、１～２月のやや足踏み状態から上向きに転じている。
,,○,スーパー（店長）,お客様の様子,・学校行事や社会行事の関連商材の動きが良く、客単価も前年を上回っている。今まで苦戦していた婦人衣料や紳士衣料も前年を上回っている。
,,○,コンビニ（エリア担当）,来客数の動き,・競合店の閉店が続いていること、沿岸部での漁の状況が良くないことなど、全体的に悪い状況は続いているが、流氷を観測できる日が前年より多いことで観光客の来客数が増加しており、以前と比べて回復傾向にある。
,,○,衣料品専門店（店長）,単価の動き,・先物オーダースーツの受注が前年比110％と比較的好調である。トレンドアイテムが稼働するなど、客の購買意欲が高まっている手ごたえがある。
,,○,乗用車販売店（経営者）,販売量の動き,・競合他社の状況をみると、各社とも売上が伸びてきている。新型車の効果が市場の伸びにつながってきている。
,,○,乗用車販売店（従業員）,販売量の動き,・北海道という土地柄、２～３月から車が売れ始める傾向がある。今年も販売量が伸びており、景気は上向きになっている。
,,○,観光型ホテル（スタッフ）,来客数の動き,・需要を喚起する大型の国際スポーツ大会の影響もあり、高稼働、高収益となった。ただし、いわゆる一般の国内旅行客、ビジネス客、外国人観光客は横ばいであった。
,,○,旅行代理店（従業員）,来客数の動き,・２～３月と天候が安定しており、例年と比べて雪解けも早いことから、３月に入ってから春休みを利用した団体旅行が好調にスタートしている。
,,○,旅行代理店（従業員）,販売量の動き,・３か月前の12月までは前年の台風被害の影響による旅行中止及び自粛ムードが当地域にまん延していたため、販売量に動きがみられなかったが、年明け以降、来客数、販売量とも徐々に上向きになってきており、３か月前よりも景気がやや良くなっている。
,,○,通信会社（企画担当）,販売量の動き,・前年と同様の販売合戦が行われているが、前年と比べて光サービスの販売環境が整ってきていることで、全道的にセット販売が好調に推移している。
,,○,観光名所（従業員）,来客数の動き,・３月26日時点の利用乗降客数は、北海道新幹線の開業があった前年と比較しても106％となっており、単月としての過去最高を記録した前年を上回っている。
,,○,美容室（経営者）,競争相手の様子,・３か月前と比べて明らかに雰囲気が良くなってきている。また、１キロ圏内の競合店において、求人募集を行っているサロンが複数みられる。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・例年と比較して天候が安定していることで輸送量が増加している。
,,□,商店街（代表者）,来客数の動き,・これから春に向かって暖かくなる季節だが、商店街の中心にあった百貨店の撤退の影響で来街者が減っている。今後への影響が気掛かりである。
,,□,商店街（代表者）,お客様の様子,・客の動きは以前と変わらず、変化がみられない。
,,□,商店街（代表者）,来客数の動き,・来街者の来街時刻がやや遅めになっており、昼過ぎから来街する客が目立っていた。中心部を訪れる客のうち、午前中遅くに訪れ、昼食を取った後、買物をして帰宅する、又は買物の後、昼食を取って帰宅する客は通常３割程度であるが、３月は特に平日の午前中のバスの乗降客や駐車場の利用客が少なく、全体的に飲食関連の売上が伸びていない状況にある。
,,□,商店街（代表者）,お客様の様子,・今年の当地は降雪量が少なく、雪解けが早いが、気温の低い日が続いていることで春物が全く動いていない。また、農作物の種まきにも低温の影響が出そうであり、経済全体にも影響を及ぼしかねない。
,,□,一般小売店［土産］（経営者）,お客様の様子,・観光地に立地していることもあり、春休みを利用して訪れる国内旅行客の動向に変化はみられないが、外国人客が好調なことから、売上は前年比114.6％となった。一方、地元客相手の商店からは売上減少と人手不足で悲鳴の声が多く上がっている。
,,□,百貨店（売場主任）,お客様の様子,・来客数は前年を若干下回ったものの、外国人観光客による購買が回復したこともあり、全体売上は前年を上回った。地元客による売上も前年比99.3％とほぼ前年並みであった。春のシーズン替わりに伴うニーズとオケージョンニーズが好調に推移しており、中でもラグジュアリー部門が好調であった。ただし、施策変更の影響もあり、ボリュームゾーンの雑貨や紳士物が若干苦戦した。
,,□,百貨店（担当者）,単価の動き,・売上や客単価のトレンドがやや悪い状態で変わっていない。
,,□,百貨店（販売促進担当）,販売量の動き,・３月に入り、来客数が増加しており、客単価もプラス傾向にあるものの、購買率がマイナス基調となっていることから、売上は前年と比べて微増にとどまっている。
,,□,百貨店（営業販促担当）,来客数の動き,・天候に恵まれ、前年よりも気温の高い日が多いなどの好条件があったにもかかわらず、来客数が伸び悩んでいる。また、例年であれば学生服需要の高い月であるが、今年は制服リレーなどの譲受けが増えていることで苦戦している。
,,□,スーパー（店長）,販売量の動き,・社会行事関連の商材の動きが好調であるなど、良い傾向がみられるようになってきているが、客１人当たりの買上点数が前年を割り込む状況が継続している。
,,□,スーパー（役員）,来客数の動き,・ここ数か月、売上の変動は軽微なものにとどまっているが、相場高及びメーカー値上げなどにより商品単価が上昇していることで、２月中旬以降、来客数の減少がみられる。
,,□,コンビニ（オーナー）,来客数の動き,・３月の売上は前年比95％であった。300ｍ離れた競合店が閉店したにもかかわらず、売上アップにつながらなかった。むしろ、同一チェーンの競合店の影響を受けて苦戦している。
,,□,衣料品専門店（店長）,来客数の動き,・来客数が前年を下回っている。
,,□,家電量販店（店員）,来客数の動き,・１人立ちセットの販売点数が前年よりも少なかった。
,,□,乗用車販売店（従業員）,販売量の動き,・販売量の動きから３か月前や前年と比較して、景気が上向いているとはいえない状況にある｡
,,□,乗用車販売店（従業員）,販売量の動き,・新型車が出た割に、販売量の伸びがあまりみられない。
,,□,自動車備品販売店（店長）,競争相手の様子,・４月からのタイヤの値上げがあるにもかかわらず、買い控えがみられる。ただ、売上は前年並みの見込みとなっている。新車が前年よりも売れているようであるが、中古車が売れておらず、車の保有台数の全体量が微減していることも影響している。
,,□,高級レストラン（スタッフ）,販売量の動き,・３月後半のメニュー内容が良かったためか、来客数が増えて目標以上の販売量となり、全体ではぎりぎりで前年並みの売上となった。知り合いのレストランも厳しかったようである。以前であれば、３月は歓送迎会や新入学のグループ、家族の利用でにぎわったが、近年は売上面での期待ができなくなっている。
,,□,旅行代理店（従業員）,お客様の様子,・例年と比べて、前年比の動きに変化がみられない。
,,□,タクシー運転手,来客数の動き,・３月は、12月に次いでタクシーの売上が良い月であり、今年のタクシー１台当たりの売上は前年を３％程度上回ったが、乗務員不足の影響でタクシーの稼働率が悪く、全体売上は前年を1.5％下回った。
,,□,タクシー運転手,来客数の動き,・観光関係での利用はほぼ前年並みであったが、イベント関係での利用が順調であった。
,,□,タクシー運転手,販売量の動き,・販売量が前月並みの水準で推移している。
,,□,タクシー運転手,販売量の動き,・販売量に大きな変動がみられない。
,,□,通信会社（社員）,販売量の動き,・前年比に大きな伸長はみられなかった。直近の動きも活発化していない。
,,□,美容室（経営者）,販売量の動き,・売上は１～２月よりも良くなっているが、３か月前の12月ほどではなく、前年とほぼ同じような売上になりそうである。
,,□,美容室（経営者）,お客様の様子,・イベントなどと合わせて来店する客が多く、景気の変化があまり感じられない。
,,▲,百貨店（役員）,販売量の動き,・買上客数の減少に加えて、客単価の低下が目立つ。
,,▲,スーパー（役員）,それ以外,・前年は北海道新幹線の開業もあり、活発に人が動いた。今年も色々なイベントが行われているが、前年ほどの盛り上がりがみられない。
,,▲,コンビニ（エリア担当）,単価の動き,・以前にも増してたばこと酒類の販売量が減少傾向にある。特に大容量の酒類の販売量が大きく減少している。その反面、小容量の商材の販売量が大きく伸びており、客単価の低下を招いている。
