Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,＊,＊,＊
,,○,商店街（代表者）,お客様の様子,・例年４月は気温の影響が大きく、売上が安定しない時期だが、今年は春物のトレンドがはっきりとしているため、客の反応が良い。また気温が低ければ低いで、春物のコートなど単価の高いものを求める客がいることから、売上は良い方向に進んでいる。
,,○,百貨店（売場主任）,お客様の様子,・例年に比べて、５月の母の日やゴールデンウイークのトラベルグッズ等の販売量が多い。直前ではなく、少し前に買うという余裕を持った買い方が非常に目立つ。
,,○,百貨店（販売促進担当）,販売量の動き,・４月は平年を下回る寒い日が続いたため、主力アイテムであるジャケットが伸び悩んだ。その一方で、絶対額こそ小さいものの、婦人コートの売上が大幅に増加するなど、前年を上回るアイテムも複数出てきている。客のファッションに費やす支出はわずかではあるが増加傾向にある。またスーパーブランドなど高額品は恒常的に前年並みの売上を確保している。
,,○,スーパー（店長）,来客数の動き,・北海道全店での売上は前年比で3.6％の増加となっており、前月との比較でも2.1％の増加となっている。部門別では、衣料品が前年比112.6％、住居用品が前年比110.6％、食品が前年比102.4％、専門店が前年比97.0％となっており、専門店を除き順調に推移している。衣料品では紳士衣料、婦人衣料、服飾雑貨が、住居用品では家電、日用雑貨が、食品では畜産、水産が好調に推移している。
,,○,スーパー（店長）,販売量の動き,・創業祭がらみの大きな売出しと入進学需要に支えられ、販売量は３か月前と比較して128％の伸びとなっている。
,,○,高級レストラン（スタッフ）,来客数の動き,・ゴールデンウイーク前の時期だが、ランチが好調であり、前月に引き続き売上が前年を大きく上回った。滞在型の観光客が何度か来店し、顔見知りとなることもあった。
,,○,観光型ホテル（経営者）,来客数の動き,・例年４月はオフシーズンの中でも最低の月だが、今年は本州からの団体旅行がまずまずで、道内の個人客もそれなりに入ってきている。ここ数年にはなかった地元客の動きもみえてきている。ただ、宿泊費やその他の消費の伸びは今一つである。
,,○,観光型ホテル（スタッフ）,来客数の動き,・大手企業のセミナーや大手企業が営業成績の優秀な代理店等を招待する褒賞旅行など、本州方面からの団体の宿泊が増えてきた。
,,○,旅行代理店（従業員）,来客数の動き,・来店客が増えている。
,,○,通信会社（企画担当）,お客様の様子,・通信を利用したいろいろなアイデアが欲しいという客からの要望が、以前にも増して多くなっている。
,,○,観光名所（役員）,来客数の動き,・ロープウェイ輸送人員が前年を上回って推移している。
,,○,美容室（経営者）,来客数の動き,・客の来店頻度が高くなってきており、その結果、半年単位でみた客１人当たりの単価が平均５％程度上昇している。
,,○,設計事務所（所長）,競争相手の様子,・遅い春とともにようやく物件が動き出している。ただし、順調に忙しいところと全く仕事が無いところにはっきり分かれている。今までのように業界全体が良い、悪いという傾向はない。
,,□,商店街（代表者）,お客様の様子,・天候が安定しなかったことに加えて、後半は他地域の大型店がリニューアルしたことから、商店街の集客が鈍化し、衣料品関係が伸び悩んだ。大型店では季節的需要である入学・卒業、就職などのギフトの売上が鈍化した。
,,□,商店街（代表者）,単価の動き,・商店街の化粧品店では客が低単価商品を支持する傾向が強く、単価上昇は期待できない。
,,□,商店街（代表者）,お客様の様子,・少しずつ暖かくなってきて季節商材に動きが出ている。しかし全般的に客の様子はまだまだ慎重である。
,,□,商店街（代表者）,単価の動き,・転勤や入学等で年度初めはお金が掛かる月だが、買物に対する客の様子はかたくななままである。
,,□,商店街（代表者）,お客様の様子,・気温が不安定であるため、客足の良い時と悪い時の差が非常に大きくなっている。
,,□,百貨店（売場主任）,販売量の動き,・上旬はかなり寒い日が続き、雪も３度ほど降っており、その影響で春物の動きが厳しかった。
,,□,スーパー（企画担当）,単価の動き,・気温の低い日が続いており、春物商材や行楽商材の動きが鈍い。生鮮食品、加工食品ともに価格低下が続いており、既存店の売上がなかなか上がらない。
,,□,コンビニ（エリア担当）,単価の動き,・特売品の販売数の増加により、消費者が安い商品のみを購入する傾向が強くなっている。
,,□,衣料品専門店（店長）,来客数の動き,・今年の４月は大変寒く、天候に恵まれなかったので、来客数がとても悪かった。
,,□,家電量販店（店員）,単価の動き,・前年と比べて買上客数が減っているが、平均単価が上昇している。
,,□,家電量販店（地区統括部長）,単価の動き,・６月から始まる地上デジタル放送の前倒し需要が４月から急上昇すると予想していたが、思ったほど売上が伸びていない。
,,□,その他専門店［医薬品］（経営者）,来客数の動き,・大型スーパーが軒並み開店しており、買上客数の確保がますます厳しくなっている。
,,□,高級レストラン（スタッフ）,お客様の様子,・３月の景気回復傾向もつかの間で、今月はまた前年並みに戻ってしまった。ランチは天候不順の影響でビジネスマンの外出が減り、前年並みであった。ディナーは大型連休前であるため、前年売上の83％と激減しており、特に個人の来客数が前年比53％と大きく減少した。個室は学校関係者の利用が堅調で前年を上回った。観光客は全体で前年をやや下回っているが、特に道内客が減少しており、実感として前年から３～４割減少していると感じている。
,,□,一般レストラン（スタッフ）,販売量の動き,・前月に引き続きランチタイムの来客数が落ち込んでいるが、デイナータイムの来客数が増えており、トータルの売上は前年並みであった。
,,□,スナック（経営者）,来客数の動き,・４月に入ってからも景気が上向きになることもなく、来客数が増えることもなかった。旭川は観光が良くなっているが、この時期はまだ厳しい。
,,□,観光型ホテル（経営者）,来客数の動き,・宿泊客数は前年と比べて数パーセントの減少となっているが、戦略的な要素も多少影響していることから、やや弱含みでの推移という感じである。
,,□,観光型ホテル（スタッフ）,販売量の動き,・宿泊人数、総消費単価とも前年並みで推移している。
,,□,旅行代理店（従業員）,販売量の動き,・ゴールデンウイークの受注が前年の80％と低調である。旅行会社を利用しないレジャーや客の直接手配が増えている。
,,□,タクシー運転手,お客様の様子,・景気回復の兆しを報じられているが、タクシー利用客の増加にはつながっていない。
,,□,その他レジャー施設（職員）,来客数の動き,"・地元球団の客員動員数が平日で13,000～14,000人と安定してきている。"
,,□,設計事務所（職員）,それ以外,・大手建設業界の不祥事に基づく営業停止や指名停止が続出している。また独占禁止法改正の影響で低価格での受注も多くなり、下請を含めた建設関係者の景気低迷に拍車が掛かっている。
,,□,住宅販売会社（従業員）,販売量の動き,・建築面で少額物件の動きは上昇傾向にあるようだが、住宅販売については相変わらず低迷が続いている。
,,▲,一般小売店［酒］（経営者）,販売量の動き,・今月は天候不順で非常に寒い日が続いたこともあり、飲食店への客の入込が良くなく、当店の売上にも悪い影響を与えている。
,,▲,スーパー（店長）,来客数の動き,・今までになく買上客数が落ち込んでいる。自社、競合各社ともチラシの回数が以前にも増して強化されており、流動客の分散が見受けられる。また気温も上がらず春物、初夏物の動きが活発化してこない。
,,▲,コンビニ（エリア担当）,来客数の動き,・客単価も低下傾向にあるが、買上客数の減少による影響が大きくなってきている。
,,▲,コンビニ（エリア担当）,来客数の動き,・低温による農業の遅れや、ガソリンの高騰で消費が低迷している。特に週末の売上が悪く、パンや飲料水など、春に販売数が増加する商品の動きが悪い。
,,▲,家電量販店（経営者）,お客様の様子,・客の買い控え傾向が強く、業種に関係なく前年の売上を下回っているところが多い。
,,▲,乗用車販売店（従業員）,販売量の動き,・乗換えが進まず、高額の修理をするようになった人が多くなった。公務員の給料の削減が響いている。
,,▲,スナック（経営者）,単価の動き,・飲み放題の客が多く、客１人当たりの売上単価が下がってきている。
,,▲,旅行代理店（従業員）,来客数の動き,・ゴールデンウイークの日並びの影響もあるが、４月の道内旅行件数、旅行人員はともに前年比70％台で大不振である。５月はその分をカバーしているが、６月の申込状況も悪い。
,,▲,タクシー運転手,来客数の動き,・今年は天候不順の影響もあり、前年に比べて利用客が大きく減少している。また４月は年度始めの入社・入学シーズンでもあり、歓迎会などが行われる時期でもあるが、最近はそのような機会が減っているせいか、夜のタクシー利用が極端に減少している。
