Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,＊,＊,＊
,,○,スーパー（店長）,販売量の動き,・販売量は前年並みではあるが、１月以降、右肩上がりに販売量が伸びている。
,,○,コンビニ（エリア担当）,来客数の動き,・人口減少、工事減少と依然として環境が悪化しているなか、競合店の出店が相次いでおり、業界全体が厳しい状況にある。しかし、当社においては単価が減少している一方で、来客数が前年を上回るなど回復傾向にあり、流れは悪くない。
,,○,コンビニ（エリア担当）,来客数の動き,・気温の上昇が売上をけん引している。また、食品の値上げが相次ぐなかで、客が今まで以上に安い商品を買い求める傾向が強くなっている。メーカー品よりも安いプライベートブランド商品を購入する習慣が客に根付いてきた。
,,○,旅行代理店（従業員）,販売量の動き,・４～５月にかけての海外旅行の受注が順調である。また国内旅行においても沖縄が好調である。
,,○,観光名所（職員）,来客数の動き,・３か月前に比べて、施設利用人数が32％増加している。前年と比べても24％増加している。
,,○,美容室（経営者）,来客数の動き,・冬季には灯油高騰の影響で出費を控える意識が強かったが、暖かくなってきたことで家計の支出が減少したことと、ガソリンが安くなったことの相乗効果で客の気分が楽になっており、購買意欲が高まっている。
,,□,商店街（代表者）,販売量の動き,・気温の上昇に伴い、来客数が増えており、若干ではあるが販売量が増加している。
,,□,一般小売店［酒］（経営者）,単価の動き,・最近の傾向としては、主力商品である酒類が伸び悩んでおり、その代わりに飲料水が堅調に動いている。単価の低い商品が売れ、単価の高い商品が落ち込んでいるため、客単価が非常に低下している。
,,□,百貨店（売場主任）,お客様の様子,・来客数をみると前年比85％と大幅に減っている。来客数の減少がそのまま売上にも反映されており、今月の売上は前年比86％にとどまった。また、今月はハウスカード顧客向けの売出しがあったが、過去に記憶がないほどの落ち込みようだった。平日も同様に来客数の減少が目立っている。
,,□,スーパー（役員）,単価の動き,・スーパーマーケットは全体的に４月の売上が良いとの話を聞いている。当社においても売上高が前年比107％と好調であるが、１人当たりの平均買上点数は若干低下傾向にある。生鮮食品における野菜や精肉の相場高や、大手メーカーによる一般食品の値上げ等により、客の消費金額は伸びているが、価格に対する先行き不安からの仮需要のようにも感じられる。
,,□,コンビニ（エリア担当）,単価の動き,・来客数は維持しているものの、単価が前年を大きく下回っているなど、厳しさは継続している。
,,□,衣料品専門店（店長）,販売量の動き,・様々な商品の値上がり、年金問題の影響などで、高齢者が非常に困っている様子がうかがえる。
,,□,家電量販店（店員）,単価の動き,・前年と比べて客単価が低下している。駐車場に止まっている車の台数も減っている。
,,□,乗用車販売店（従業員）,販売量の動き,・暫定税率の取りやめの影響で自動車取得税が軽減されたことから、自動車業界全体としては上向きとなったが、今月限りの影響である。
,,□,その他専門店［医薬品］（経営者）,お客様の様子,・個人店にとっては、顧客の取り込みが最後のとりでだが、家計も緊縮財政となっているのか、上位客へ出すダイレクトメールの効果が薄れている。
,,□,高級レストラン（スタッフ）,お客様の様子,・ゴールデンウィークを控えて全体的に動きが悪く、例年と比べて週末の活気が足りない。
,,□,スナック（経営者）,来客数の動き,・総会が行われる時期で、総会後に懇親会が行われる流れもあったことから、売上は前年より良くなっているが、必ずしも景気が良くなってきているわけではない。
,,□,タクシー運転手,競争相手の様子,・今年に入ってから、当社の売上は前年を上回っているが、同業他社の売上は全て、前年を大きく下回っている。
,,□,タクシー運転手,お客様の様子,・約４か月前に運賃改定があり、その後しばらくは値上げの恩恵があったように思われたが、降雪期が終わり、４月に入ってからは非常に厳しい状況が続いている。特に夜間の出足が鈍く、繁華街での利用者が減少している。
,,□,タクシー運転手,販売量の動き,・道路特定財源の問題に絡んで、国土交通省職員によるタクシーチケットの多額使用の問題が報道されたことで、公務員全体がタクシーの利用を自粛しており、利用者が減少している。
,,□,通信会社（企画担当）,来客数の動き,・春商戦を終えたが、来客数や売上をみると、悪かった前年とあまり変わらない状況にある。
,,□,観光名所（役員）,来客数の動き,・４月に入ってから、外国人観光客が若干増加しているものの、国内客の動きが鈍く、全体としては前年並みで推移している。
,,□,設計事務所（職員）,競争相手の様子,・新年度早々の公共工事設計業務の入札で、各社が低価格での応札をしており、落札価格が予定価格の50％以下となる事態が生じている。官民共に建設事業投資が低調であり、建設業界の不調ぶりと先の見えない状況が暗示されている。
,,□,住宅販売会社（経営者）,来客数の動き,・モデルハウス等への来場者が少ない。
,,▲,商店街（代表者）,来客数の動き,・医療費問題、年金問題、福祉問題や値上げ商品の拡大など、様々な要因が高齢者の家計を直撃しており、生活不安を招いている。結果として商店街への来街頻度も落ちており、こうした傾向は今後も続く。
,,▲,商店街（代表者）,お客様の様子,・天候の良い日が続いているが、客からは年金問題や食品の値上げ等で先行きを心配する声が挙がっている。客は、本当に必要な物しか買わない状況にある。
,,▲,商店街（代表者）,単価の動き,・天候の不安定さ、気温の上昇により、春物等のコートの動きが急に止まってしまい、平均単価が落ちている。また、諸々の物価上昇により、客の買物購買欲が落ちており、買い控えが起きていることも単価に影響している。
,,▲,一般小売店［土産］（経営者）,来客数の動き,・生活必需品の値上がりで、外出や旅行気分が薄れている。また、観光客が旭川に流れており、市内での滞在期間が極端に短くなっている。
,,▲,百貨店（売場主任）,お客様の様子,・催事の動きに変化がみられる。中国関係の催事に関しては来客数が激減している。一方、スイーツ関係の催事に関しては、非常に良い日と悪い日の差が大きくなっている。また、高温続きで天候に恵まれたものの、春物の一部で売上の減少がみられる。
,,▲,百貨店（販売促進担当）,販売量の動き,・消費者心理がまた冷えてきた。購買時の価格チェックも厳しく、簡単に買おうという気にはなかなかならない。また３月の気候が温暖で春物需要を先食いしたことも、購買モチベーションを下げる要因として働いている。
,,▲,スーパー（企画担当）,販売量の動き,・３月下旬の売上動向は好調であったが、多くの商品の値上げが公表されていた４月上旬になると、買上点数の落ち込みがみられるなど、低調に推移している。価格値上げ前の仮需要が発生していたとみられる。
,,▲,スーパー（役員）,単価の動き,・単価が上昇している一方で、買上点数が減少している。
,,▲,衣料品専門店（店員）,お客様の様子,・物価が上がっているのに、給与は変わらないとの声が多い。
,,▲,家電量販店（地区統括部長）,お客様の様子,・成約率が２割ほど落ち込んでいる。また、競合店の価格と見比べて値引きを要求されるケースが以前よりも増えてきている。
,,▲,その他専門店［ガソリンスタンド］（経営者）,お客様の様子,・石油製品価格の高騰及び各種商品の値上げにより、消費が抑えられている。
,,▲,高級レストラン（スタッフ）,来客数の動き,・ゴールデンウィーク前のこの時期はいつも苦戦しているため、イベントや割引フェアを実施したところ、来客数は前年比146％と伸びたが、売上は前年比97％と、前年を下回った。市内ホテルを含めて、飲食業界は厳しい状況にある。
,,▲,観光型ホテル（経営者）,来客数の動き,・道外ツアー客の入込が良くない。外国人観光客の入込も良くない。個人客と企業・団体等の企画旅行客は好調だが、ツアー客の減少を穴埋めするまでには至っていない。インターネット利用客がじわじわと伸びてきている。
,,▲,観光型ホテル（スタッフ）,単価の動き,・宿泊客全般の動きとして、３か月ほど前から来客数、消費単価が伸び悩んでいる。原油高やガソリン税等の問題から、消費者の購買意欲が鈍化しており、様々な企画を作っても客が飛びついてこない。
,,▲,旅行代理店（従業員）,お客様の様子,・例年、北海道の旅行需要は10月以降の下期に集中する傾向があるが、それにしても今年度の申込件数は少ない。前年度と比較しても需要がやや少ない状況である。
,,▲,旅行代理店（従業員）,販売量の動き,・旅行申込状況をみると、ゴールデンウィークの行楽客の動きがあまり思わしくない。桜前線の動きが旅行商品設定時期と大きくずれ込んだことにより、販売面、旅行催行面に悪影響を与えている。ガソリンは安くなったものの、徐々に値上がりしており、自家用車を使って近郊に宿泊するような気軽な旅行をしにくくしている。旅行業界にとっては、好ましい材料が全くみられない。
