Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,その他専門店［医薬品］（経営者）,お客様の様子,・客の購買意欲が戻ってきた。客への啓もう活動が実を結んできたのか、はっきりとした目的を持って来店する客が増えている。
,,○,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・原油価格の急落により石油製品価格が下落している。
,,○,スナック（経営者）,来客数の動き,・12月は総選挙があり、前半があまり良くない状況であったため、月を通して良くない状況で推移するとみられたが、総選挙の結果、自民党が大勝してからは元の状況に戻っており、大変忙しい日が続いている。
,,○,観光型ホテル（スタッフ）,来客数の動き,・中国上海からのＬＣＣ直行便が週４便就航したことにより、近隣アジアからの観光目的の客が好調に推移している。
,,○,旅行代理店（従業員）,お客様の様子,・クリスマスから年末にかけての消費動向が活発になっている。忘年会なども例年どおりに行われているようだ。
,,○,タクシー運転手,販売量の動き,・12月は雪の降る寒い日が多かったうえ、クリスマス関連のイベントもあったため、客の乗車回数がやや増えており、３か月前と比較すると売上は約９％の増加であった。前年実績と比べても約２％の伸びとなり、やや良くなっている。
,,○,観光名所（従業員）,来客数の動き,・12月24日までの利用客数は前年比で約94％となっているが、24日間のうち４日間で暴風雪などの天候不良による運休があったことが影響している。前年の運休はゼロだったため、単純にこの４日間に前年の数字を入れると、前年比は109.2％となることから、景気はやや良い状態にある。日々の様子をみても例年よりもにぎわいが感じられる。
,,□,商店街（代表者）,販売量の動き,・クリスマスプレゼントの販売量が前年と比べて減っている。また、自己購入をしている客の単価、販売量とも前年を下回っている。
,,□,商店街（代表者）,お客様の様子,・12月ということもあり、もう少し客の反応が良くなるとみていたが、意外に鈍かった。総選挙で良い結果が出ているが、それにしても客の反応が鈍い。
,,□,商店街（代表者）,来客数の動き,・12月上旬から中旬にかけて、商店街を訪れる客は昼夜ともに少なかった。特に、年末大売出しの抽選会場への来場者は、前年と比べて初日及び２日目がかなりの落ち込みであった。消費税増税が延期されたものの、電気料金の値上げと総選挙の影響が大きかったとみられる。下旬になると、冬休みに入った学生や孫を連れた祖父母世代の来街者が増加したが、月全体での来街者は前年を下回った。
,,□,商店街（代表者）,単価の動き,・今年は総選挙があった影響で、12月半ばまでの人出は最低な状況であった。その後、人出は増えてきたが、月全体としては前年よりも２割以上減るとみられる。
,,□,商店街（代表者）,販売量の動き,・総選挙の影響が大きく、12月前半はほぼ全ての業種でマイナスになった。総選挙後は持ち直したが、大雪の影響もあり、前半のマイナス分をカバーできず、前年比もマイナスとなることが確実である。ただ、北海道を訪れる外国人観光客は絶好調であり、関連業種は軒並みプラスとなっている。
,,□,一般小売店［酒］（経営者）,販売量の動き,・12月半ばまでは大変良いペースで売上が推移していたが、後半になり、大雪の日など、例年にない大荒れの天候が続いたことから、外出が手控えられ、消費に結び付いてこなかった。１か月を通じて、前年を上回る売上は確保できているが、まだまだ予断を許さない状況にある。
,,□,百貨店（役員）,お客様の様子,・12月は雪の影響もあり、ホームセンター部門は好調であった。一方、百貨店は相変わらず耐久消費財が苦戦している。輸入ブランドはクリスマス需要がみられたことから、前年並みで推移した。ギフトについては、総選挙の影響もあり、伸びがみられなかった。
,,□,スーパー（店長）,来客数の動き,・来客数の前年割れが続いており、変化がみられない。
,,□,スーパー（企画担当）,お客様の様子,・来客数の減少や客の来店頻度の低下が続いている。消費税増税による負担感が強いためか、消費に力強さが感じられない。ただ、以前とは異なり、相応の自己負担は仕方がないという自覚が消費者に根付いているため、安心する未来像とそれを実現するための具体的な政策の提示があれば、消費は自然に上向く雰囲気がある。
,,□,コンビニ（エリア担当）,来客数の動き,・クリスマスケーキやおせちは好調だが、日々の売上と来客数は前年比で５％前後の減少が続いている。客の節約志向が続いており、変化はみられない。
,,□,コンビニ（エリア担当）,販売量の動き,・来客数の動きに回復傾向がみられない。特に市部の店舗で状況が悪くなっている。
,,□,衣料品専門店（店長）,販売量の動き,・まとめ買いをする客が少ない。
,,□,衣料品専門店（店員）,お客様の様子,・ギフトシーズンになり、男性客の来店が多くみられるものの、客単価が低い。
,,□,家電量販店（地区統括）,販売量の動き,・消費税増税後、一部の商品では回復傾向もみられるものの、家電全体としては、低迷が続いており、ここ数か月横ばい状態で推移している。
,,□,乗用車販売店（従業員）,販売量の動き,・消費税増税後の販売量の回復がみえてこない。
,,□,乗用車販売店（従業員）,販売量の動き,・前年比でみても、販売台数や利益が上向いていると感じられる状態ではない。
,,□,自動車備品販売店（店長）,来客数の動き,・東日本大震災後、初めての車検時期を迎える乗用車が多いこともあり、車検の売上は伸びてはいるが、カー用品全体は４月以降、前年の90％前後で推移している。
,,□,高級レストラン（経営者）,お客様の様子,・歳末商戦にもかかわらず、景気が上向いているような実感がない。買物客も少ない。
,,□,観光型ホテル（役員）,来客数の動き,・国内客の減少を海外客の増加でカバーする構造が続いているなど、来客数自体は堅調に推移している。
,,□,旅行代理店（従業員）,販売量の動き,・前年と比べても、特に販売量が増えていない。
,,□,タクシー運転手,来客数の動き,・12月は１年間で最もタクシーの売上が良い月である。今年は、前半こそ総選挙の影響で夜の人出があまり多くなかったが、後半は天候の悪い日が多かったこともあり、タクシー１台当たりの売上が前年を５％ほど上回っている。
,,□,タクシー運転手,来客数の動き,・11～12月の実績が前年並みで推移しており、良くも悪くもない状態が続いている。
,,□,美容室（経営者）,来客数の動き,・客の来店周期が固定化してきており、良くもならないが悪くもならないという状況が続いている。
,,□,住宅販売会社（経営者）,販売量の動き,・日常の消費は徐々に回復しつつあるが、住宅市場については引き続き消費税増税後の反動減で需要が生じてこない状況にある。
,,□,住宅販売会社（従業員）,お客様の様子,・変わるような要因が見当たらない。
,,□,住宅販売会社（役員）,お客様の様子,・分譲マンションのモデルルームへの来客数はあまり変わっていない。しかしながら、訪れる客が購入に対して慎重になっており、判断に少し時間がかかるようになっている。
,,▲,商店街（代表者）,販売量の動き,・飲食関連業者では、異口同音に総選挙の影響が結果に表れたと話すなど、売上が低迷した。
,,▲,一般小売店［土産］（経営者）,来客数の動き,・数年に１度の大雪による大荒れの天候で交通の乱れがあったことと、総選挙の影響で売上は前年比96％と前年よりも減少した。また、円安や電気料金値上げの影響で仕入値が上がり、収益は前年を８％下回った。
,,▲,一般小売店［土産］（経営者）,お客様の様子,・国内からの旅行客やビジネス客が横ばいで推移しており、やや悪い状況が継続している。ただし、外国人観光客が大幅に増えており、消費税免税店制度における対象品目拡大の効果もあり、外国人への販売量は増加している。
,,▲,百貨店（売場主任）,お客様の様子,・年間最大の繁忙期にもかかわらず、来客数が前年比94％と減少傾向にある。お歳暮の売上は前年比100％をキープしたが、クリスマスケーキやおせちの予約は前年比98％と前年を下回った。クリスマスギフトも直前まで下見客の多い状況が続くなど、慎重な購入姿勢が更に増している。売上が最盛期となる週も悪天候が重なったことで来客数が減少するなど、苦戦した。
,,▲,百貨店（販売促進担当）,販売量の動き,・来客数、買上客数とも、クリスマスを迎えても減少傾向から脱却できていない。また、クリスマス商戦のメイン商材が、アクセサリーなどの装飾品からハンドバッグや財布などの実用品に移っているため、客単価も低下している。
,,▲,百貨店（販売促進担当）,お客様の様子,・年末のため、購買率は平月より高いものの、前年からの落ち込みが大きい。特に、宝飾品やブランドバッグなどの高額商材の動きが悪く、株高による恩恵の少ない状況がうかがえる。ただし、外国人観光客による購買は、全体に占める割合が小さいものの、高い伸びが続いている。
,,▲,スーパー（店長）,販売量の動き,・12月であるため、３か月前と比較すると当然売上も販売量も伸びているが、平月と比べると10％強程度の伸びにとどまっている。
