I．景気の現状に対する判断理由等,,,,,,,
,,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,,
,,,,,,,
,,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(北海道)",,◎,－,－,－,,
,,○,商店街（代表者）,販売量の動き,・11月も一般消費が微増ながら前年を上回っている様子がみられる。また、今年は早めの降雪があったことで冬物商材も順調に動いている。プレミアム付商品券も順調に使用されているが、カード決済が前年を下回っており、プレミアム付商品券の効果の反動とみられる。,,
,,○,スーパー（店長）,来客数の動き,・来客数が徐々に増加している。特に食品部門でそうした動きが目立っている。,,
,,○,スーパー（役員）,お客様の様子,・北海道新幹線の開業を控えて様々なイベントが増えており、人や物の動きが活発になってきた。,,
,,○,コンビニ（店長）,来客数の動き,・11月の売上は前年比104％であった。商品の単品管理をきちんと行っているような店舗が売上を伸ばしてきている。,,
,,○,その他専門店［医薬品］（経営者）,お客様の様子,・悪天候の日が多かった割に来客数は悪くなかった。ただ、客の購買動向はシビアである。客自身が納得できて、コストパフォーマンスが良いと感じた商材であれば購入する傾向がみられる。,,
,,○,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・原油及び石油製品の価格下落に伴い、販売量が前年を上回っている。,,
,,○,旅行代理店（従業員）,販売量の動き,・第３四半期に入り、微増ではあるが、売上が前年を上回る状況が継続している。,,
,,○,観光名所（従業員）,販売量の動き,・11月の利用乗降客数は運休を伴う工事や悪天候による運休があったため、単純に前年実績と比較できないが、売店とレストランの11月の売上を前年実績と比べると、25日時点で売店が前年比約120％、レストランが前年比130％と伸びており、８月以降、前年を上回る状況が続いている。,,
,,○,美容室（経営者）,お客様の様子,・灯油やガソリンの価格が予想以上に安くなっているため、客がいつもよりも少しランクの高い商材を買い求める傾向がみられる。,,
,,○,住宅販売会社（役員）,来客数の動き,・11月に入ってから、分譲マンションのモデルルームへの来客数が増加している。2017年に予定されている消費税増税を控えて少しずつ客が動き始めたようだ。,,
,,□,商店街（代表者）,お客様の様子,・商店街に閉塞感があることで来街者が減少している。,,
,,□,商店街（代表者）,お客様の様子,・客の様子は従来と変わりがないため、景気がそれほど上向いているようにみえない。,,
,,□,一般小売店［土産］（経営者）,来客数の動き,・11月も外国人観光客の来客数が前年比150％と大きく伸びており、３か月前と比べて状況は大きく変わっていない。,,
,,□,一般小売店［酒］（経営者）,販売量の動き,・当店の売上は観光関連によるものが大きな割合を占めているが、11月はこれまで売上をけん引していたホテルの売上が特に悪かった。例年、ホテル関連の厳しい時期ではあるが、今年は急にブレーキがかかったようであり、落ち込みが目立った。,,
,,□,百貨店（売場主任）,来客数の動き,・ほぼ前年並みで推移していた来客数の動きが鈍化した。また、外国人観光客による売上は前年比115％と２けたの増加を維持しているものの、減少傾向にある。また、新たに提案を始めた商材は即効性が弱く、関連部門への顧客動員も減少気味である。,,
,,□,百貨店（担当者）,来客数の動き,・客単価は変わらないものの、来客数が減少したままである。,,
,,□,コンビニ（エリア担当）,販売量の動き,・生鮮品の売上は維持できているが、たばこやアルコールなどの免許品の売上の減少が継続している。企業の残業抑制が影響しているのか、客単価の高い遅い時間帯の来客数が減少している。,,
,,□,コンビニ（エリア担当）,来客数の動き,・店舗の来客数が回復してこない。,,
,,□,コンビニ（オーナー）,来客数の動き,・外国人観光客は安定しているが、景気自体はあまり良くない。,,
,,□,衣料品専門店（店長）,販売量の動き,・販売量、来客数ともに直近３か月で減少している。客１人当たりの買上点数も減少しており、特に衣料に関しては必要以上に購入していない様子がうかがえる。,,
,,□,衣料品専門店（店員）,単価の動き,・単価の高い商材の動きが悪い。,,
,,□,家電量販店（店員）,来客数の動き,・11月後半から、来客数、売上とも減少しており、12月の売出しまで買うのを待とうとしている様子がうかがえる。,,
,,□,乗用車販売店（従業員）,販売量の動き,・一部の車種が新型になったことで販売量が上向いているが、決して市況がそれほど良くなっているわけではない。,,
,,□,乗用車販売店（従業員）,販売量の動き,・個人的には景気に左右されることもなく、販売台数も伸びているが、周りをみると、正直言って厳しい状況であり、業界を取り巻く景気としては変わらない、又は下向き気味にある。,,
,,□,乗用車販売店（従業員）,販売量の動き,・新型車が発表されたこともあり、新車の販売量は上向いているが、中古車の販売量が予算未達で終わっている。,,
,,□,乗用車販売店（役員）,販売量の動き,・新車、中古車ともに販売量が一向に上向いてこない。市況も他地区と比べて悪く、改善される様子がみられない。,,
,,□,自動車備品販売店（店長）,競争相手の様子,・11月末まで雪が降らなかったため、冬タイヤの販売量が前年の70％台になってしまった。また、冬物用品の販売量も落ち込んでおり、買換えを先延ばししている傾向がうかがえる。,,
,,□,高級レストラン（スタッフ）,販売量の動き,・穏やかな天候に恵まれたこともあり、昼の売上は比較的良かったが、月後半に連休があったためか、夜の売上が悪く、全体としては前年並みであった。知り合いの店では、調理スタッフを募集しているが、高給にもかかわらず、長期間応募がなく、業務に支障が出ている。10月末のハロウィーンの人出は飲食店にも恩恵があり、歓迎しているが、一方で過剰な仮装した客や酔い客が来店することで迷惑している店も増えているようだ。,,
,,□,観光型ホテル（スタッフ）,来客数の動き,・外国人観光客については、ＡＳＥＡＮ諸国からの観光目的の来客が堅調であった。また、イベントやスポーツ大会関連での宿泊需要もプラスに作用した。その一方で、国内からの個人旅行客向けの商材が低調であった。,,
,,□,タクシー運転手,来客数の動き,・10月は天候が悪かったため、タクシーの利用が多く、売上も前年を上回ったが、11月は月末に雪が降るまで、前年を大きく下回って推移した。ただ、月末の天候が悪かったこともあり、月全体ではほぼ前年並みの売上となった。,,
,,□,タクシー運転手,来客数の動き,・売上は前年比で若干のプラスだったが、２～３か月前と比べて目立って良い状況になってきたとまでは言えない。,,
,,□,通信会社（社員）,お客様の様子,・イベント開催時の来客数が少なく、売上や成約数も減少傾向であった。今年１年を振り返ってみても景気が上向いていると実感することが少ない状況にある。,,
,,□,美容室（経営者）,単価の動き,・季節的な要因で売上は減少しているが、客単価はそれほど変わっていない。,,
,,□,美容室（経営者）,来客数の動き,・売上が伸びた商材もあったが、下がった商材もあったため、全体でみるとあまり変化がみられない。,,
,,□,住宅販売会社（経営者）,お客様の様子,・住宅建築は前年の消費税増税後の回復の動きがみられないまま推移しており、全体的にあまり景気の良くない状況にある。,,
,,▲,商店街（代表者）,単価の動き,・４月以降、客単価が前年よりも上がってきていたが、９月以降は前年よりも５％ほど下がっており、11月も同様の状況が続いている。,,
,,▲,商店街（代表者）,来客数の動き,・11月中旬までは悪いながらも、来街者はほぼ例年並みで推移していたが、23～25日にかけての大雪の影響により、11月下旬の来街者が大きく減少した。また、月末に実施した当商店街と地元百貨店との共同主催によるクリスマスイベントも大雪の影響からか、例年の半分程度の参加者にとどまった。例年であれば、月末にかけて売上を伸ばす時期であるが、物販の売上は予想外に落ち込んだ。,,
,,▲,商店街（代表者）,来客数の動き,・例年、11月は来客数が少なくなるため、３か月前と比べるとやや悪くなっている。ただ、今年は予想を上回るような来客数がみられたほか、激安ツアーの利用客も少なかったため、比較的高価な商材が売れた。,,
,,▲,一般小売店［土産］（経営者）,お客様の様子,・11月の売上は前年比で105.2％、前々年比で102.2％とまずまずの数字であったが、外国人観光客に助けられた部分が大きい。一方、納入業者の値上げ攻勢に加えて、若い女性の短期離職に伴う人件費の増大と期待にこたえられる社員の確保ができなかったことなどが経営を苦しくしている。,,
,,▲,百貨店（販売促進担当）,お客様の様子,・来客数の微減が続いている。また、客単価は上がっているものの、買上率の低下が続いており、売上全体が下がってきている。電気料金の値上がりに伴う冬の暖房費高騰に備えて、客の買い控えが続いている。,,
