Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,商店街（代表者）,来客数の動き,・例年よりも気温が高いことから、10月としては客の動きが非常に良い。
,,◎,観光名所（職員）,来客数の動き,・北海道観光の繁忙期であったこと、イベント企画を行ったこと、天候に恵まれたことなどの好材料が重なったことから、来客数は３か月前と比べて186％の増加となっている。また、ガソリンや物価の高騰の影響で、遠距離への旅行を避け、近距離で楽しむ傾向がうかがえる。
,,○,スーパー（店長）,販売量の動き,・ポイントカードの販促効果が大きく、前月に引き続き販売量が前年比106％と大きく伸びている。
,,○,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品価格の下落により、販売量が前年並みの水準に戻りつつある。
,,○,旅行代理店（従業員）,販売量の動き,・道内旅行が低迷している一方で、国内旅行は堅調に推移している。海外旅行については、９月及び11月の申込件数が前年比60％台にとどまっている一方で、今月の申込件数は前年比208％となっている。ただ、団体旅行については、弱含みで推移している。
,,○,旅行代理店（従業員）,お客様の様子,・円高傾向になってきたことで、海外旅行の問い合わせが増えてきた。
,,○,通信会社（企画担当）,販売量の動き,・通信サービスの契約数が純増傾向に回復しており、それに伴い自社の通信サービスの契約数も回復傾向となってきている。
,,○,美容室（経営者）,お客様の様子,・以前と比べて、売上が下げ止まってきており、客も新商品に対して興味を示すようになってきた。ガソリン、灯油が値下げされてきているため、客の気持ちに少し余裕が出てきている。
,,□,スーパー（役員）,単価の動き,・買上点数が前年より１ポイントほど低下し、商品単価が前年より２ポイントほど上昇している状況が続いている。業態別にみると、週末型ショッピングセンターで買上点数の落ち込みが大きいことから、客の買い方が、これまでの買いだめ型から、必要な物だけを購入する節約型に変わってきていることがうかがえる。
,,□,コンビニ（エリア担当）,販売量の動き,・タスポ効果が継続しており、来客数の増加している状況が続いていることから、売上の良い状態を維持している。
,,□,コンビニ（エリア担当）,単価の動き,・タスポ効果が継続しており、来客数については、前年から５％以上の増加を維持しているものの、徐々に客単価が落ち込み始めている。同種商品でもより単価の低い商品に移行している傾向にあり、売上の伸び率が来客数の伸び率より低くなってきている。
,,□,観光型ホテル（経営者）,来客数の動き,・多彩な食事メニュー、イベントなどを盛り込んだ宿泊プランを打ち出しているが、国内ツアー客の募集がままならず、減少の一途をたどっている。落ち込み幅はまだ小さいが、月を追うにしたがって、ボディブローのように効いてきている。
,,□,住宅販売会社（経営者）,来客数の動き,・モデルハウスへの来場者数が見込みを大きく下回っている。
,,▲,商店街（代表者）,お客様の様子,・地域の商店街への集客力が低下したままの状態が続いていることに加えて、例年にないほどの暖かい気候に恵まれたことから、秋冬衣料の落ち込みが目立っている。
,,▲,一般小売店［酒］（経営者）,販売量の動き,・株価の下落が大きく影響しているのか、得意先のなかでも富裕層を相手にしている寿司屋等が非常に苦戦している。
,,▲,百貨店（売場主任）,来客数の動き,・高額品の動きが鈍いこともあり、店頭での買上金額が減少している。
,,▲,百貨店（販売促進担当）,お客様の様子,・気温が高く推移したこともあり、ジャケットやコートなどの秋冬物の重衣料が伸び悩んでいる。節約志向がより一層強まっており、タンス在庫の活用などもみられる。美術品や宝飾品、海外スーパーブランドの衣料雑貨など、比較的堅調に推移してきた高額品にも陰りがみえてきた。高額所得者などの優良顧客が、今すぐ必要なもの以外の購買を先送り、見送りなどをするようになってきた。一方、外食を控えるためか弁当箱が前年の２倍のペースで伸びているが、低単価のため売上への貢献度は低い。
,,▲,スーパー（企画担当）,来客数の動き,・既存店の売上は前年並みで推移しているが、来客数は前年をやや下回っている。商品単価が上昇していることで、何とか前年並みの売上を確保している状況にある。
,,▲,スーパー（企画担当）,販売量の動き,・全般的な商品価格上昇の影響で、１品当たりの販売単価が上昇する一方で、客１人当たりの買上点数が減少する傾向が続いている。個別商品の動きとしては、単価の高い牛肉よりも豚肉や鶏肉の売行きが好調であったり、値上がり傾向にあるハム、ソーセージなどの加工肉より生肉の動きが良いことなどが具体例として挙げられる。
,,▲,スーパー（役員）,来客数の動き,・客の来店頻度が低下しており、10月28日時点の来客数は前年比96％となっている。客単価も前年比96％と前年を下回っている。
,,▲,衣料品専門店（店長）,お客様の様子,・例年であれば10月は秋冬物に動きが出てくるが、今年は例年よりも暖かいことから、ほとんど動きがみられず、非常に悪い状況にある。
,,▲,家電量販店（店員）,販売量の動き,・客は必要なもの以外、買わないようであり、買い控えの傾向がみられる。
,,▲,家電量販店（地区統括部長）,販売量の動き,・前年と比べて、薄型テレビやＤＶＤレコーダー、冷蔵庫、洗濯機といった大物家電の販売が減少している。また、例年と比べて暖かい秋であることや灯油高騰の影響もあり、ファンヒーター等の大型石油暖房機器の需要が予想以上に不調である。
,,▲,高級レストラン（スタッフ）,来客数の動き,・観光客主体の店のため、特に観光客の来店が多い週末の来客数が減少しており、全体の来客数は前年を６％下回っている。客単価は前年を４％上回っているものの、売上は前年を２％下回っている。
,,▲,高級レストラン（スタッフ）,お客様の様子,・昼夜共に全体的にやや悪い。特に夕食は天候に左右されやすいため、午後から雨が降った日は客足が遠のいている。地方都市の飲食店の景気は想像以上に悪い。なかには繁盛している店もあるが、手間や材料費がかかっていて、それほど利益につながっていない。
,,▲,一般レストラン（スタッフ）,来客数の動き,・特に夕方から夜にかけての時間帯の来客数が減少している。
,,▲,観光型ホテル（経営者）,来客数の動き,・１か月以上先の宿泊予約数に変化はないものの、直近の観光入込客数が減少傾向にあるため、例年と比べて来客数に伸びがみられない。
,,▲,観光型ホテル（スタッフ）,お客様の様子,・宿泊客の買物の様子をみると、海産物の高額商品の売上が減少している。チェックインしてすぐに売店に行く客の姿も少なくなっている。
,,▲,旅行代理店（従業員）,販売量の動き,・国内旅行、海外旅行共に受注状況が振るわない。特に、国内旅行は、海外旅行からのシフトにより、これまで前年並みの数値を維持してきたが、ついに前年を下回った。
,,▲,タクシー運転手,お客様の様子,・夏場が過ぎ観光客が減少していることに加えて、景気後退感などからタクシーの乗り控えが起きている。特に夜の繁華街などは人影も少ない。
,,▲,タクシー運転手,来客数の動き,・電話での注文数が減少している。
,,▲,美容室（経営者）,来客数の動き,・ここ３か月、来客数が減少し続けている。
,,×,商店街（代表者）,来客数の動き,・来街者が10月になって極端に減っている。各商店の様子をみても、前年から20％以上も売上が減っている店が多い。株価の下落により予定していた商品、特に高額品の買い控えが増えている。
,,×,商店街（代表者）,お客様の様子,・今までの不況感は話の上でのものに過ぎなかったが、最近になり、買い控えが深刻になってきている。欲しいけど今回は我慢するといった言葉がよく聞かれるようになってきた。
,,×,商店街（代表者）,お客様の様子,・世界的な経済状況の悪さが客の購買動向に確実に影響を与えている。気温が下がっても客の購買意欲が一向に上がらず、かなり節約している状況がうかがえる。
,,×,商店街（代表者）,お客様の様子,・土日の来街者数は前月とほとんど変わらないが、ウィンドウショッピングのみで買い控えしている客が多く、販売にはつながっていない。
,,×,百貨店（売場主任）,販売量の動き,・気温が低くなり、コート等の実需期を迎えているが、依然として客の買い控えが続いている。
,,×,百貨店（役員）,お客様の様子,・株価の暴落、景気の先行き不透明感が一般市民にも影響を及ぼし始めている。
,,×,スーパー（店長）,単価の動き,・高額商品の販売動向が非常に悪くなっている。生活必需品は買うが、それ以外の商品の購入については、極めて慎重になっている。
,,×,スーパー（店長）,それ以外,・来客数の減少、客単価の前年割れ、商品単価の低下、買上点数の前年割れなど、数値からみても非常に悪い状況が続いている。さらに、株価の下落、円高と悪い要素が重なってきている。
,,×,乗用車販売店（従業員）,販売量の動き,・米国発の金融不安により新車の購入を見送るユーザーが増えてきている。
,,×,乗用車販売店（営業担当）,販売量の動き,・来客数が減少しており、販売量が前年実績を上回らなくなっている。
