Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,家電量販店（経営者）,販売量の動き,・エコポイントの効果により、省エネ家電、特に液晶テレビの販売量が顕著に伸びている。
,,○,スーパー（店長）,来客数の動き,・食品を中心に買上客数が回復傾向にあり、前年比105％と前年を上回っている。商品単価は前年比95％程度と低下しているが、買上点数の伸びと買上客数の伸びで売上は好調に推移している。
,,○,観光型ホテル（経営者）,来客数の動き,・道内、特に札幌圏からの利用客が増えている。
,,○,通信会社（企画担当）,販売量の動き,・今冬発売の新商品に対する客の注目度が高く、以前と比べて、機器交換や新規購入に関する問い合わせや予約が好調に推移している。
,,□,商店街（代表者）,お客様の様子,・イルミネーション点灯イベントの効果などから、９～10月よりも来街者数が増加したが、買物ではなく、他の用事で訪れた人が多いのか、商店の袋を持ち歩く人が少なく、販売量そのものは増加していない。
,,□,百貨店（売場主任）,単価の動き,・売上は引き続き前年比92％前後で推移している。食品は好調なものの、衣料品や呉服、宝飾品の不振が続いており、客単価は前年比95％程度で推移している。
,,□,スーパー（店長）,単価の動き,・客単価は前年の95％を下回っており、ここ半年は同じような動きで推移している。商品単価も同じく前年の92％前後にとどまっており、消費者の生活防衛意識に変化はみられない。
,,□,スーパー（企画担当）,お客様の様子,・政権交代後の景気対策がまだ実行されていないことや来年度予算の引締め、見直しの動きなどがみられることから、客が様子見をしており、全体的に停滞感が漂っている。
,,□,スーパー（役員）,単価の動き,・この数か月、単価の動きに変化はみられない。11月は、商品単価は前年比97.2％、客１人当たりの買上点数が前年比103.2％となっており、客単価は前年比100.4％と前年実績を維持している。既存店では、来客数が前年を３ポイントほど上回っていることから、売上は順調に推移しているが、競合店との価格競争が激しくなっているため、利益率は低下している。
,,□,コンビニ（エリア担当）,来客数の動き,・引き続き来客数が前年を上回っている。ここ数か月、客単価の低下により、売上は低迷していたが、今月はボジョレーヌーヴォーが好調に売れており、客単価を押し上げている。
,,□,コンビニ（オーナー）,販売量の動き,・プライベートブランドの低単価商品に販売が集中している。また、買上点数も減少している。
,,□,衣料品専門店（店長）,お客様の様子,・客の買い方が非常にシビアになっており、安い物や目新しい物でなければ、買わなくなっている。
,,□,家電量販店（店長）,販売量の動き,・薄型テレビの販売量が倍増している。エコポイント制度など、政府の経済対策が功を奏している。
,,□,家電量販店（店員）,来客数の動き,・引き続き、エコポイント制度の効果で薄型テレビや冷蔵庫がよく動いている。客単価も上昇しており、来客数も前年並みの数字となった。
,,□,乗用車販売店（従業員）,販売量の動き,・販売台数が前年よりも増えている。前年が悪すぎるため、参考にならない面もあるが、最悪の状況は脱している。
,,□,高級レストラン（スタッフ）,来客数の動き,・売上の65％を占めるランチはほぼ前年並みの状況であるが、ディナーは前年を15％上回るなど、客の入込が良い。全体では客単価、売上共、前年を５％ほど上回っている。
,,□,高級レストラン（スタッフ）,来客数の動き,・レストランでのランチ利用客の数が前年比61.9％となっており、相変わらず落ち込んだままである。
,,□,旅行代理店（従業員）,販売量の動き,・その時期によって販売の好調な旅行先が出てくるが、海外旅行が良い時は国内旅行が伸び悩み、国内旅行がやや持ち直した時は海外旅行が低調となるなど、全体的なかさ上げにつながらない。
,,□,タクシー運転手,販売量の動き,・今月は天候が良かったため、タクシーを利用する客が大変少なくなっている。また、景気が回復基調にないという話を客がよく話しており、そういった雰囲気が街中に浸透している。
,,□,タクシー運転手,来客数の動き,・相変わらず電話での注文が減少しており、客の数も減少している。
,,□,通信会社（社員）,販売量の動き,・地上デジタル放送への完全移行まで２年を切っているなか、エコポイント制度が来年度も継続されるかまだ決まっていない状況であるため、テレビの購入を真剣に検討する人が増えているが、多チャンネル視聴のために支出を更に増やそうという人は、それほど増加傾向とはなっていない。し好品のために費用を増やす余裕のない人が多くなっている。
,,□,観光名所（役員）,来客数の動き,・海外旅行は、韓国が若干の増加を見せるなど、全体として下げ止まり感があるものの、国内旅行は依然として、団体客を中心に低迷している。ただ、11月は月後半の３連休で個人客を確保できたことから、全体では３か月前と同様の状態であった。
,,□,美容室（経営者）,来客数の動き,・相変わらず来客数が減少している。この６か月間の来客数は前年を５～10％下回って推移している。
,,□,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・閑散期に入ったが、相変わらず利用客が前年を下回ったままである。
,,□,設計事務所（所長）,お客様の様子,・相変わらず住宅の動きが鈍い。
,,▲,商店街（代表者）,来客数の動き,・前年の同時期に比べて、商店街の人通りが20％程度減っている。顧客の来店も減っているが、特にフリー客の来店がかなり落ち込んでいる。
,,▲,商店街（代表者）,来客数の動き,・オープン間もない大型ディスカウント店がにぎわうなど、消費動向のデフレ化が進んでいる。それに伴い、商店街への来街者が減少している。
,,▲,商店街（代表者）,単価の動き,・先行き不安から客の買い控えが一層進んでいる。本当に必要な物しか購入しなくなり、また安くないと買わないため、客単価、商品単価共、低下傾向にある。
,,▲,商店街（代表者）,お客様の様子,・防寒衣料に関して、今月前半は気温が高めで推移ししたため、動かなかったとみていたが、後半に入り、気温が下がっても客の買い控えがみられた。バーゲン待ちの様子が見受けられ、特に単価の高い商品の動きが非常に鈍くなっている。
,,▲,商店街（代表者）,お客様の様子,・バーゲンや特売などに対して、客が非常に敏感に反応するようになっている。
,,▲,百貨店（売場主任）,単価の動き,・秋冬物のジャケット、コートの販売量は前年を１割程度上回っているが、単価が前年の８割程度まで低下しているため、全体の売上が減少している。
,,▲,百貨店（役員）,単価の動き,・最近のニュースで報道されているように、景気の２番底に対する心配が客の買い控えにつながっている。客単価の低下も目立っている。
,,▲,スーパー（店長）,販売量の動き,・夏ごろから、自社競合も含めて価格競争が激化している。目玉商品のみを買う客もずい分と増えてきている。
,,▲,コンビニ（エリア担当）,単価の動き,・引き続き、単価の低下傾向が続いている。ただ、買上点数が増加していることから、売上はそれほど減少していない。
,,▲,家電量販店（地区統括部長）,販売量の動き,・新型ＯＳの売行きが予想をかなり下回っている。また、薄型テレビ以外の商品の売上の落ち込みも激しい。
,,▲,その他専門店［医薬品］（経営者）,お客様の様子,・医薬品の支払まで、クレジットカードで計画的に支払う傾向が出てきた。なかには、処方せんの支払までカードを使う客もみられる。
,,▲,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・タイヤなどの高額商品の売行きが低調である。
,,▲,高級レストラン（スタッフ）,販売量の動き,・全体的にやや悪い。割引した特別メニューを売り出すと、そればかりが売れ、売上に貢献しない。来客数を減らさないようにすることが精一杯の状況である。地方の繁盛店も閑散としている。
,,▲,旅行代理店（従業員）,単価の動き,・個人客、法人客を問わず、付加価値の高い高額商品よりも、安い商品を求める傾向がますます強くなっており、客単価の低下に歯止めがかからない。さらに、オフ期を迎えたことで、宿泊施設のインターネット直販の単価も低下しており、消費者の低価格化が進んでいる。
,,▲,タクシー運転手,来客数の動き,・11月は上旬に初雪が降ったが、その後は暖かい日が続き、雪も降らなかったため、例年と比べて、タクシーの利用客が少ない。売上も前年を10％以上下回っている。
,,▲,タクシー運転手,販売量の動き,・11月は、１年で最も暇な月だが、特に今年の売上は厳しい。売上は、３か月前と比較して約12％下回っており、前年と比較しても約５％下回っている。特に夜間の落ち込みが大きい。
,,▲,観光名所（職員）,来客数の動き,・円高、新型インフルエンザ、不況の影響を受けて、国内客、海外客共、利用者が減少しており、前年の89.5％にとどまっている。
,,▲,住宅販売会社（従業員）,来客数の動き,・例年、11月ごろから来客数が減少する傾向があるが、今年は例年以上に来客数が少ない。
,,×,一般小売店［土産］（経営者）,販売量の動き,・メディアが景気の悪さばかりを強調した報道をしているため、市民のムードが極端に落ち込んでいる。人が出歩かなくなっており、物も買わなくなってきた。
