Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,その他レジャー施設（職員）,来客数の動き,・８月はサッカー、プロ野球など、集客が多いイベントが数多く開催され、それに伴い関連グッズの販売も好調であった。また、観光シーズンでもあるため、イベントの無い日も観光客が多く訪れ、菓子を中心とした売上も大きかった。
,,○,商店街（代表者）,来客数の動き,・冷夏の影響により、酒屋のビールの売上が１～２割減となったほか、専門店の秋物展開が早くなり、最終処分に若干の影響が出たものの、総体的にはＪＲ駅の新装オープン、祭り等のイベント、観光客の増加などによる来街者が増え、各店のプラス要因となっている。
,,○,商店街（代表者）,販売量の動き,・中心部でイベントが数多く開催されていることで、人出が多くなり、売上が伸びている。
,,○,一般小売店［土産］（店員）,来客数の動き,・ＳＡＲＳの影響も大分落ち着き、３か月前に比べると空港の乗降客が増えてきているように思える。国内旅行の部分でも団体客はそれほど多くないが、夏のツアーが堅調であるという情報もあり、全体的に乗降客は増えている。
,,○,家電量販店（地区統括部）,販売量の動き,・冷夏の影響により、季節商材は前年比で50％弱と非常に厳しいものがあるが、ＯＡ機器の売上が前月に引き続き復調している。来客数も前年を上回り、全般的に回復基調にある。
,,○,旅行代理店（従業員）,販売量の動き,・前月に引き続き、国内旅行の先行受注人員、販売額ともに前年比を上回って推移している。来客もコンスタントにあり、９月以降の旅行商品の説明会に参加する客も多い。
,,○,観光名所（役員）,販売量の動き,・ロープウェイの搭乗客、レストラン利用客とも、少しずつではあるが前年より増加傾向にある。
,,□,商店街（代表者）,お客様の様子,・浴衣の売上が前年に比べて大変良かったが、浴衣以外の夏物商材は冷夏を反映してか、あまり良くなかった。
,,□,商店街（代表者）,お客様の様子,・盛夏物の時期には低温であったものの、最近になって逆に気温が高くなっていることで、客はまだ夏物の最終プライスの商品にしか興味を示していなく、秋物に興味を示す客が見られない。
,,□,衣料品専門店（店員）,販売量の動き,・秋物商材の時期になり、夏場よりも単価は上がっているが、その分購入点数が少なくなっている状況である。単価の高いものに関しては一点のみの買上で、セットで買上てもらうケースは少なくなっている。
,,□,家電量販店（経営者）,販売量の動き,・依然として客の購買意欲がなかなか出てこない。
,,□,乗用車販売店（従業員）,来客数の動き,・季節的要因もあるが、一般的に客の動きが鈍く、また高額商品が売れていない。
,,□,乗用車販売店（従業員）,販売量の動き,・年収の減少のためか、お金があっても車の購入に踏み切る客が少なくなっている。お金を貯める傾向にあるようだ。
,,□,住関連専門店（経営者）,来客数の動き,・来客数が依然として回復しない。客単価も低く、販売量も減少している。
,,□,住関連専門店（営業担当）,お客様の様子,・８月に入っても気候は夏の気配が無く、季節商材は全くの不振となっている。売上を稼ぐようにと、特売などのチラシ内容を強化していが、客の反応は鈍い。
,,□,その他専門店［医薬品］（経営者）,お客様の様子,・ポイントカードを導入して４か月経つが、思ったほど会員にできていない。あちこちの店舗で集客・顧客化にやっきになり、ポイントカードを出しているので、客はやや過食気味のようだ。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・セルフスタンドの出店により販売単価が低下したものの、販売数量は比較的堅調であり、全体としては変わらない。
,,□,高級レストラン（スタッフ）,単価の動き,・メニューの見直しから低価格の商品が出たため、単価は下がったものの、来客数が増えた。
,,□,一般レストラン（スタッフ）,来客数の動き,・前年と比べて夏休みの来客数が減少した。
,,□,観光型ホテル（経営者）,来客数の動き,・来客数の動きがホテル業の大きな指標の一つだが、これが前年と全く変わらなく、変化が見られない。
,,□,旅行代理店（従業員）,販売量の動き,・依然として海外旅行が低迷しており、受注量が少ない。アジア地域がもう少し増加すれば他地域も同時に進捗すると思うが、回復にはまだ時間がかかりそうだ。
,,□,旅行代理店（従業員）,販売量の動き,・依然として海外旅行に回復の兆しが見られない。
,,□,タクシー運転手,お客様の様子,・依然として客の動きが鈍く、アフターファイブの需要が伸び悩んでいるようだ。
,,□,美容室（経営者）,販売量の動き,・客の絶対数が増えない。また、客の消費単価も上がらない。
,,▲,一般小売店［酒］（経営,販売量の動き,・冷夏の影響かビールの売上がかなり厳しく、全体の足を引っ張っている。
,,▲,スーパー（店長）,お客様の様子,・冷夏の影響で、夏物の季節商材の需要が伸びない状況にあるほか、単価の低下が継続している。
,,▲,スーパー（店長）,販売量の動き,・主力の食品については、売上が前月をやや上回ったものの、相変わらず前年比を下回っている。また、衣料品は冷夏に影響を受けたが、月初めの企画が奏効して、前年と同程度の売上となるなど健闘している。専門店は雑貨関連が堅調に推移するものの、ファッション関連では正価の衣料品と同様に苦戦の状況が続いている。
,,▲,スーパー（企画担当）,販売量の動き,・冷夏でドリンク、アイスクリーム、ビール等の売れ行きが不振なことに加えて、野菜を除いた全般的な販売単価の下落が引き続いているのに対して、客の買上点数が伸び悩んでおり、売上状況は相当厳しい状況が続いている。
,,▲,衣料品専門店（店長）,来客数の動き,・展示会、展示即売会をよく行うが、近頃はずいぶんと客の出足が悪くなって、来客数が減少している。
,,▲,高級レストラン（スタッフ）,単価の動き,・この10年で稀に見るほどの客単価の低下が現れた。なかでも旅行代理店を通しての予約は、質の販売から量の販売への転換なのかあるいはＳＡＲＳ後遺症による客層の変化なのか現状では把握が難しいが、極端な低単価商品に対しての集客ばかりとなっている。
,,▲,高級レストラン（スタッフ）,お客様の様子,・観光客及び、個室・ディナー予約の客が減少している。特にディナーの売上は前年の60％ほどとなった。また、冷夏のせいかビールの売上が激減しており、飲物の売上は前年より40％ほどダウンした。
,,▲,観光型ホテル（経営者）,販売量の動き,・人数的には、道外客を中心にまずまずの入込であるが、冷夏による南国指向で減少気味である。単価も団体の小規模化のためか付帯収入の落ち込みが大きく、景気後退基調をいまだに感じる。
,,▲,タクシー運転手,来客数の動き,・冷夏のせいなのかタクシー利用客が例年の８月より大幅に減っている。また、雨も少なかったこともタクシーの利用が減っている要因と思われる。
,,▲,タクシー運転手,来客数の動き,・観光客の入込というのは例年と変わらず、ホテルなども例年どおりの状況となっているが、駅や空港からのレンタカーの利用が今年は異常に多く、観光客のタクシー利用の減少が続いている。
,,▲,設計事務所（所長）,お客様の様子,・客の決断までにかかる時間が長くなった。色々な選択肢のなかで比べている。
,,▲,住宅販売会社（従業員）,来客数の動き,・住宅産業の場合、一通り行き渡っているという部分もあり、来客数は著しく減ってきている。景気が回復しないという心理的な要因も重なっている。
,,▲,住宅販売会社（従業員）,販売量の動き,・とにかく販売量が落ちているということで、単価の見直しを行っているのが現状となっている。
,,×,百貨店（販売促進担当）,販売量の動き,・冷夏の影響を受け、夏物商材の動きが鈍い。また、お盆を過ぎ、秋物が店頭を埋めるなかで、気温が上昇しており、秋物商材の動きへの影響が懸念される。
,,×,コンビニ（エリア担当）,来客数の動き,・一番の稼ぎ時である夏場であるが、天候の不順により利益が見込めていない。
,,×,コンビニ（エリア担当）,お客様の様子,・冷夏ということもあり、８月前半は特に人の動きはなかったが、お盆以降天候が回復しても、行楽地を中心に人の動きは弱かった。
,,×,スナック（経営者）,単価の動き,・お盆期間中も営業したが、お盆休みの週、その前後の週と来客数が落ち込んだ。
"企業
動向
関連

(北海道)",,◎,－,－,－
,,○,金属製品製造業（統括）,受注量や販売量の動き,・住宅着工棟数が前年並みに戻ってきている。また、そのことにより、販売量にも動きが出てきたようだ。
,,○,通信業（営業担当）,取引先の様子,・３か月前より取引先に営業や販路の拡大の動きが見られるようになってきた。
,,○,その他企業［コンベンション担当］（従業員）,受注量や販売量の動き,"・宴会関係では定例的に行われるものが予定通り実施されている。
・ホテル全体としては道外からの観光客の動きが良い。"
,,□,食料品製造業（経営者）,受注量や販売量の動き,・冷夏の影響で、お盆需要がある製品の動きが悪かった。
