Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,＊,＊,＊
,,○,一般小売店［土産］（経営者）,来客数の動き,・中国語系の観光客が増えている。福島県など東北地方の人も「メソメソしていてもどうしようもない」と観光に来てくれているようだ。ここ３か月の売上の前年比は115％程度となっている。
,,○,スーパー（店長）,販売量の動き,・７月の販売量は６月よりも2.5％ほど伸びており、前年比でも101.7％と微増だが伸びている。
,,○,衣料品専門店（店員）,販売量の動き,・気温の上昇とともに祭りの夏物浴衣関係が企業や一般消費者に売れている。
,,○,高級レストラン（経営者）,来客数の動き,・観光客が少しずつ増えている。
,,○,高級レストラン（スタッフ）,来客数の動き,・７月に入り、宿泊客が増加している。飛行機による釧路への入込も前年比で10％アップしている。
,,○,観光型ホテル（経営者）,来客数の動き,・本州方面からの個人客や外国人客が堅調に推移しており、宿泊客数は増加傾向にある。一方で国内団体客は回復していない。
,,○,観光型ホテル（スタッフ）,来客数の動き,・需要を喚起するような大型の学会や大会、コンサートが開催された。
,,○,旅行代理店（従業員）,販売量の動き,・管内への旅客数は航空機の座席供給量が増加したため、前年から20％ほど増えているとみられる。
,,○,タクシー運転手,販売量の動き,・今月は各種イベントなどがあり、観光客の増加がみられたことから、３か月前と比較して、11.9％の売上増であった。前年比でも８％の伸びであることから、景気はやや良くなっている。
,,○,通信会社（企画担当）,販売量の動き,・夏商戦の新商品に対する客の引き合いが良く、乗換えも以前よりも増えてきている。
,,□,商店街（代表者）,お客様の様子,・寒くなったり、暑くなったりと季節感がはっきりしない。夏は夏らしくということがなく、服装においても、季節の行事にしても中途半端になり、夏物の売行きが悪いなど消費行動にも影響している。
,,□,商店街（代表者）,お客様の様子,・暑い夏になり、季節商材の売上が少しずつ上向き傾向にある。夏はイベントが盛んで来客数も多く、客も街に出るのが楽しみになり、活気づいている。
,,□,商店街（代表者）,お客様の様子,・バーゲン月とあって売上増を期待していたが、スタートがバラバラだったこともあり、客の買物の様子が盛り上がっていない。買上単価も低く、２～３か月前の通常営業とほとんど変わらない。
,,□,商店街（代表者）,お客様の様子,・客の反応が前と変わらない。
,,□,商店街（代表者）,来客数の動き,・高速道路及び空港利用客の増加にともない、道内客及び外国人観光客がわずかながら増加傾向にあるが、地元客の来街者が前月に続き低迷している。夜型の飲食店を含めて、観光客相手の一部の業種のみ売上がアップしている。
,,□,商店街（代表者）,来客数の動き,・観光土産店を経営しているが、北海道への入込が厳しい。東京のスカイツリーや九州新幹線に客が取られている様子がうかがえる。海外客も減少している。豪華客船が入港したが、予定人員が1000人以上のところ、600人ほどしか乗っていない。全体的に来客数が減っている。
,,□,百貨店（販売促進担当）,来客数の動き,・東日本大震災及び近隣競合店の開店から一巡したものの、来客数減少の傾向が変わらない。依然として客単価の上昇は維持しているものの、来客数の減少を補えない構造が続いている。
,,□,スーパー（店長）,販売量の動き,・計画停電の話題もあって、再び節約志向になってきている。
,,□,スーパー（役員）,来客数の動き,・ディスカウント競争などにより、ますますデフレ化が進んでいるため、来客数が分散傾向になっており、前年比で１～２％減少している状況が続いている。前年の東日本大震災の影響で、たばこがまだ前年比20％強の伸びを示している。また、北海道米の人気が高くなっていることで相場が上がっており、前年比で15％以上の伸びがみられる。一方、その他の商品については非常に良くない状況にある。商品単価が前年比99.5％、客１人当たりの平均買上点数が前年比99.8％となっており、客単価の前年比は101.2％となっている。
,,□,衣料品専門店（店長）,お客様の様子,・景気が上向いてこない。本州はどうかわからないが北海道は一歩遅れており、現在でも景気が悪い。
,,□,家電量販店（経営者）,販売量の動き,・年明け以降、前年比で５割近い売上のダウンがみられる。過去５年の平均と比較しても３割近いダウンが続いている。
,,□,家電量販店（店員）,お客様の様子,・７月後半は天候に恵まれ、冷蔵庫やエアコンがよく動いた。薄型テレビは相変わらず低迷している。
,,□,乗用車販売店（従業員）,単価の動き,・エコカー補助金の終了で､需要は落ち込むとみられることから､収益不足分を補えるか先行きが不安である。
,,□,乗用車販売店（従業員）,販売量の動き,・エコカー補助金の締切りが迫っている割に、販売量が伸びてこない。
,,□,高級レストラン（スタッフ）,来客数の動き,・夏休みに入り観光客の子供達が目立ってきた。また、日によっては団体客の外国人が半数以上を占める時もある。来客数は前年比で横ばいであるが、売上は前年比でマイナスとなっている。
,,□,高級レストラン（スタッフ）,販売量の動き,・売上は前年並みとなった。夏向きのメニュー構成とキャンペーンが功を奏して来客数が増えたが、低価格メニューばかりとなった。外国人観光客が増えているようで、観光地や特定の業種では繁盛しているようだが、高級店に影響はほとんどない。
,,□,スナック（経営者）,来客数の動き,・当地も観光シーズンに入り、多くの客が来ているようだが、飲食店街への観光客の入込は前年の東日本大震災があった時とあまり変わっていない。
,,□,旅行代理店（従業員）,販売量の動き,・販売量の年間見込が前年比で107％と動きが早いため、やや良く感じられるが、前年は東日本大震災の影響があった数値のため、実態としては変わらない。
,,□,タクシー運転手,来客数の動き,・７月は暑かったが雨の日が少なかったため、タクシーの売上は前年よりも若干マイナスである。前年は東日本大震災と放射能問題の影響で、前々年と比べて大きくマイナスであったが、今年は前々年と比べて更に大きな減収となった。
,,□,タクシー運転手,販売量の動き,・過去３か月の状況からみると、当初は持ち直しの兆しを感じたが、今月に入ってからは受注量、販売量の動きが停滞している。特に夜間の乗客数が伸び悩み、若干の下降線をたどっている。
,,□,タクシー運転手,来客数の動き,・注文数がほぼ前年並みとなっている。観光客が減り、イベント関係の客が増えている。
,,□,観光名所（職員）,来客数の動き,・来場者は震災前の水準に戻りつつあるが、東南アジアを始めとした海外客の利用者が増加していない。ただし、３か月前に比べると、利用者は約３倍になっている。
,,□,美容室（経営者）,お客様の様子,・旅行や外出の機会が増加しているようで、お出かけ前のおしゃれをするために来店する傾向が出てきている。しかしながら、３か月前と比べて格段に売上が増加する状況にはなっていない。
,,□,住宅販売会社（従業員）,それ以外,・市場全体としては相変わらず高い契約率で推移している。これはマンション業者が供給を絞っていることが原因である。しかしながら、客の数が増えているわけではなく、事業会社が供給戸数を増やせる状況でもない。このような状態がずっと続いている。
,,▲,一般小売店［酒］（経営者）,販売量の動き,・３か月前と比べると、売上自体は悪くない。ただし、当店の７月の売上は、年間のなかで12月と並ぶくらいの売上になるため、それを考慮すると、大変良くない状況である。客単価もやや落ちている。加えて、販売量はかなり落ち込んでいる。
,,▲,百貨店（売場主任）,来客数の動き,・前年と異なり、７月１日と13日の２段階に分かれて夏物のバーゲンがスタートしたが、開始時期のずれの関係もあり、前半で需要を取れなかった商材がその後も尾を引いており、厳しい状態である。お中元の動きも前年比97％と厳しい状況である。
,,▲,百貨店（売場主任）,単価の動き,・２月以降、買上客数の前年割れが続いている。客単価はほぼ前年並みか前年を上回って推移していたが、今月はセールの後ろ倒しの影響もあり、客単価も前年比97.4％と前年割れとなっている。
,,▲,百貨店（販売促進担当）,販売量の動き,・来客数は増加しているものの、買上客数はマイナス傾向にあり、客の財布のひもが確実に固くなっている印象を受ける。
,,▲,百貨店（役員）,来客数の動き,・７月下旬まで気温が上がらず、夏物が非常に厳しい。店舗への来客数そのものが減少している。前年は地上デジタル放送関連の最終駆け込みによる来客数の増加もあったとみられる。７月末に急激に暑くなった影響で多少の動きはあるものの、夏物は我慢する傾向にある。
,,▲,スーパー（役員）,販売量の動き,・７月中旬までの低温続きにより、ジュース類、ビール類、乾麺、夏物の売上が軒並み前年の90％程度となっている。これから気温が上昇しても前年の売上までは戻らない。
,,▲,コンビニ（エリア担当）,単価の動き,・前年、前々年と、たばこの増税や東日本大震災によるたばこの欠品で仮需が発生していたが、全ての要素が一巡したことで、たばこの売上の減少が続いており、客単価が低下している。
