Ⅰ．景気の現状に対する判断理由等,,,,,,,
,,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,,
,,,,,,,
,,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(北海道)",,◎,＊,＊,＊,,
,,○,スーパー（店長）,販売量の動き,・10月の売上と販売量はそれぞれ前年から４％のダウンとなったが、３か月前との比較では９月に引き続いて上向き傾向になっている。,,
,,○,家電量販店（店員）,販売量の動き,・10月後半になり暖房機がよく売れてきている。暖房機能のあるエアコンもよく売れている。,,
,,○,乗用車販売店（従業員）,販売量の動き,・前年よりも新車の受注が増えている。,,
,,○,観光型ホテル（スタッフ）,来客数の動き,・これまで不振が続いていた、韓国、台湾、中国などの外国人観光客の利用が低価格ながらも回復基調にある。また、プロ野球のクライマックスシリーズと日本シリーズによる特需を要因にＷｅｂ販売を中心とした国内の個人旅行客もプラスとなっている。,,
,,○,タクシー運転手,販売量の動き,・利用客数、売上ともに前年を上回っており、前月と比べると良い動きになってきている。,,
,,○,通信会社（社員）,販売量の動き,・新商材の供給が安定してきており、販売量も増加している。ただ、今後も販売量が増加し続けることはないため、一過性のものとも考えられる。,,
,,○,観光名所（従業員）,来客数の動き,・３か月連続して、利用客数が前年を10％以上上回る状態が継続している。,,
,,□,商店街（代表者）,お客様の様子,・現状、客の反応はこれまでと変わらない状態で推移している。,,
,,□,商店街（代表者）,販売量の動き,・プロ野球の日本シリーズの視聴率が良いことから、家庭でテレビ観戦をしている客が多く、消費動向に影響が生じている。,,
,,□,一般小売店［土産］（経営者）,来客数の動き,・道央及び道東の台風被害の影響がみられる。また、海水温の変化が影響しているのか、魚などが獲れなくなってきていることも影響している。特に、スルメイカなどは落ち込みが大きく、毎年、秋に当地に遊びに来ていた漁業者から、今年は行くことができないと連絡があったほどである。,,
,,□,百貨店（売場主任）,単価の動き,・来客数が前年比96％と前月に続き、前年割れが続いている。特に外国人観光客は前年比80％台後半まで落ち込んでいる。地元客は回復傾向が感じられるものの、客単価の低下傾向は変わっていない。急激な気温の低下により冬物の動きは強まったが、ラグジュアリーと比べてボリュームゾーンの動きが弱いままである。,,
,,□,百貨店（担当者）,来客数の動き,・来客数が前年から微減で推移し続けている。,,
,,□,百貨店（販売促進担当）,販売量の動き,・来客数の減少傾向には歯止めがかかってきたが、依然として買上客数、買上単価は横ばい又は若干の減少傾向にあり、前年並みの売上をキープするのがやっとの状況にある。,,
,,□,百貨店（営業販促担当）,来客数の動き,・来客数の減少が続いている。衣料品が若干持ち直してきたが、家庭用品、身の回り品、催事場の売上が苦戦傾向にある。,,
,,□,スーパー（店長）,単価の動き,・来客数は順調に前年を上回って推移しているが、客単価の伸びが鈍化している。,,
,,□,スーパー（役員）,販売量の動き,・客１人当たりの平均買上点数が９～10月とやや減少傾向にある。特に生鮮食品などは地元及び本州での台風の影響などで相場がかなり上昇していることもあり、買上点数の減少が目立っている。なかには相場高に伴い売上が増加しているカテゴリーもあるが、総体的には買い控えの影響が大きい。,,
,,□,衣料品専門店（経営者）,お客様の様子,・道内では台風による被害が各分野に悪影響を及ぼしている。水産物や農作物への影響に加えて、鉄道や国道の復旧にまだ時間がかかることから、物流コストの上昇、ガソリン価格の高騰などもみられる。また、温泉ホテルなどでは予約のキャンセルにより観光客が減少している。これらのことから街中が景気減退ムードに包まれている。,,
,,□,衣料品専門店（店長）,来客数の動き,・来客数が前年を下回って推移している。,,
,,□,家電量販店（経営者）,販売量の動き,・消費の低迷が続いている。特にテレビの販売量が落ち込んでいる。売れ筋のＬＥＤ照明は単価がダウンしていることで売上の増加につながらない。,,
,,□,乗用車販売店（経営者）,販売量の動き,・新車、中古車とも、受注量が低調に推移している状況は変わらない。新車販売は受注残に助けられたことで前年をクリアしたが、中古車の不調は依然として深刻である。サービス部門は車検対象台数が回復するにつれ、堅調な動きとなってきている。全体的には、景況感に大きな変化はみられない。,,
,,□,乗用車販売店（従業員）,販売量の動き,・10～12月は新型車の導入効果が期待できる。,,
,,□,自動車備品販売店（店長）,競争相手の様子,・当店も近隣競合店も冬タイヤ、カーナビなどの高額商材の客単価が低下している。９～10月の累計でみても、売上は前年割れとなる見込みである。,,
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品については価格が安定しており、販売量も堅調に推移している。,,
,,□,高級レストラン（スタッフ）,販売量の動き,・業界の人手不足が顕著である。当店も人手不足のため、スタッフのできる範囲で客の入込をコントロールしているが、待ち時間の長さから帰ってしまう客もみられる。売上は前年を２％下回った。,,
,,□,タクシー運転手,来客数の動き,・10月の売上はタクシー１台当たりでは５％ほど前年を上回っているものの、乗務員不足でタクシーの稼働率が落ちていることから、会社の売上は前年を若干下回った。,,
,,□,タクシー運転手,来客数の動き,・イベント関係や法人関係での来客用のタクシー手配が順調だったが、観光での利用がやや減少した。,,
,,□,通信会社（企画担当）,販売量の動き,・固定インターネット回線への引き合いは札幌圏の大都市を中心に順調であるが、無線インターネット系の契約の他社への流出が予想以上に多くみられている。,,
,,□,美容室（経営者）,お客様の様子,・来店周期並びに客の支払金額がともに固定化しており、大きな変動のみられない状況が続いている。,,
,,□,美容室（経営者）,販売量の動き,・極端に売上が良い又は悪いということがあまり感じられなかったため、全体としては変わらない。,,
,,□,住宅販売会社（経営者）,お客様の様子,・当地は北海道新幹線の効果で引き続きたくさんの観光客が訪れているため、ホテル、旅館、飲食店などの景気は良いが、個人消費の方にはまだお金が回ってこない状況にある。,,
,,□,住宅販売会社（経営者）,お客様の様子,・分譲マンションのモデルルームに来訪する客の人数に大きな変化はみられない。また、それらの客の様子をみても、良くもなければ悪くもないという状況であり、景気の方向性がみえてこない。,,
,,▲,商店街（代表者）,来客数の動き,・例年になく早い初雪で外出を控えたかのように来客数が減少している。客単価についても、高額品の売上が落ち込んでいるなど、一段とデフレの様相になっている。,,
,,▲,商店街（代表者）,来客数の動き,・８月の台風の影響が依然として残っている。毎年10月は客が出控えする時期に当たり、地域住民及び周辺町村からの買物客が減少する傾向にあるが、今年は例年以上に商店街を訪れる客が少ない。周辺の駐車場に駐車している車も例年の７～８割程度であり、買物袋を提げて歩いている人の数も減少している。,,
,,▲,商店街（代表者）,それ以外,・いかや野菜の価格高騰により、当地の景気動向は停滞している。,,
,,▲,一般小売店［酒］（経営者）,来客数の動き,・来客数が少なくなっているうえ、買上単価も良くない状況にあり、厳しい売上となっている。,,
,,▲,スーパー（店長）,お客様の様子,・野菜の高騰などにより、客の節約志向が高まっており、購入点数が減っている。,,
,,▲,スーパー（役員）,販売量の動き,・水産物、農産物の値上がりがひどく、客が欲しくても手が出ない状況となっている。,,
,,▲,コンビニ（エリア担当）,単価の動き,・来客数はある程度維持できているが、客単価が低下傾向にあり、売上が十分に取れていない。特にアルコールの減少が顕著であり、大容量商品の販売量も減少傾向にある。,,
,,▲,コンビニ（エリア担当）,販売量の動き,・たばこやビールなどのし好品の売上が減少している。,,
,,▲,コンビニ（オーナー）,来客数の動き,・10月の売上は前年比94％であった。ただし、地元球団の優勝セールの週の売上は前年比99％まで回復した。,,
,,▲,衣料品専門店（店長）,お客様の様子,・例年であれば、気温が下がってくるとコートなどの高単価アイテムの稼働が上向いてくるが、今年に限ってはなかなか購入には至っておらず、客の買い控えがみられる。,,
