Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,＊,＊,＊
,,○,商店街（代表者）,お客様の様子,・最近は天候に恵まれ、気温も高いので、全体的に人の動きが良く、客数も増えている。
,,○,百貨店（売場主任）,お客様の様子,・前年と同様に暑さが続き、夏物商材を扱う部署が軒並み好成績を上げている。ただし気候的な要因が大きく、全体的にはまだまだ慎重な様子がうかがえる。また今年のお盆の期間中は集客が全くなく、ここにも消費動向の変化が感じられる。
,,○,スーパー（店長）,販売量の動き,・北海道全体の売上は前年比97％と全国平均値の99％と比較すると２％の遅れを取っているものの、新規競合店が発生した地区を除いた札幌市内の店舗の売上は前年比99％と回復基調にある。旧盆までは盛り上がりに欠けたが、旧盆商戦及び直近の売上は前年を超過する勢いとなっている。衣料品が前年比102％と善戦しているほか、住居用品が前年比97％、食品が前年比97％となっている。テナント入居している専門店は前年比94％と前月の80％台から上昇基調となる。
,,○,スーパー（企画担当）,単価の動き,・前年までは単価が前年比を５％程度下回っていたが、最近は２～３％程度の低下に収まっている。
,,○,コンビニ（エリア担当）,単価の動き,・天候が良かったこともあり、お盆期間中の売上が増加した。この時期になって公共工事が動き始めている地区もあり、工事需要も以前と比べると増加傾向にある。
,,○,一般レストラン（スタッフ）,単価の動き,・今月は近くに競合店がオープンしたため、来客数、売上ともに若干減少したが、客単価が順調に回復しており、前年同月の103％となった。
,,○,観光型ホテル（スタッフ）,販売量の動き,・外国人客が相変わらず好調で個人客、ツアー客の減少を十分に補っている。ただし宿泊単価は若干低めとならざるを得ず、売上高は微増にとどまっている。
,,○,旅行代理店（従業員）,販売量の動き,・８月上旬は宿泊申込が停滞したが、中旬以降は前年よりも大幅に伸びており、道内旅行者数が回復している。海外旅行も10月以降の申込が好調であり、前年を上回るようになってきた。
,,○,美容室（経営者）,お客様の様子,・客の会話の内容をみると、以前よりも外食や旅行の話が多くなってきており、活気が感じられる。
,,□,商店街（代表者）,お客様の様子,・総体的にみると、３か月前との変化はない。例年にないほど夏日が続き、居酒屋ではビールが急伸したが客単価、来店数は変わらなかった。若者向けの軽衣料を扱っている店では、暑いために客が海などのアウトドアで行動したことから、来店頻度が落ちており、前年と変わらない状態であった。
,,□,商店街（代表者）,単価の動き,・中心部で夏祭りイベントが数多く開催され、人出が多かったものの、期待したほど客数が増えなかった。また客単価も低く、相変わらず低価格志向が続いている。
,,□,商店街（代表者）,お客様の様子,・好天の日が続き、季節商材の売上は前年より上昇したが、依然として必要な商品のみ購入する慎重な態度が続いている。
,,□,商店街（代表者）,来客数の動き,・例年８月は閑散期なのだが、高温が続いたため、客足が中旬まで途絶えず夏物商材の販売量が増えた。逆に下旬は、来客数自体は増えているが、秋物商材の動きがまだみられず、１か月を通してみるとプラスマイナスゼロであった。ただ前年と比べると客数がかなり増えていた。
,,□,商店街（代表者）,販売量の動き,・３か月前と比べて販売量の変化はそれほどみられない。
,,□,一般小売店［酒］（経営者）,単価の動き,・販売量についてはまずまずの動きをしているが、商品単価が下落傾向にあるので、なかなか売上増加に結びつかない。
,,□,百貨店（売場主任）,販売量の動き,・夏物商材の売り尽くしということで、最終プライスでのセールを展開しているが、販売量、買上金額とも前年を下回っている。
,,□,百貨店（役員）,お客様の様子,・中旬を過ぎても夏日が続いているものの、夏物商材の見切り品が売れず、秋物商材の立ち上がりも遅れている。客の季節商材に対する反応が無くなってきている。
,,□,スーパー（店長）,単価の動き,・今月は特に客数が前年比107％と大きく伸びているが、客単価はここ数年落ち続けている。猛暑の影響で衣料品を中心に売上は伸びているが、食料品の単価ダウンが顕著に現れている。
,,□,スーパー（店長）,販売量の動き,・販売量をみると、８月は前年比98％と久しぶりに前年を下回った。特にお盆を過ぎてから消費が鈍くなってきている。
,,□,コンビニ（エリア担当）,単価の動き,・買上点数は大きく変化していないものの、一品当たりの単価が下がっている。客が価格に対して非常に敏感になっている傾向が現在も続いている。
,,□,コンビニ（エリア担当）,単価の動き,・前年の猛暑の反動も影響しているのだろうが、買上単価が回復してこない。
,,□,コンビニ（店長）,お客様の様子,・先日、20代半ばの男性会社員の２人組が、弁当コーナーを30秒程度見た後、店員に安売り弁当チェーン店の場所を聞いていた。どこでも価格帯が変わらない場合はコンビニで買うが、少しでも安い商品があれば、激安店や100円ショップなどを利用して、30円でも50円でも節約して買おうという動きがみられる。
,,□,衣料品専門店（店長）,来客数の動き,・最近は客数が減り、客単価の低下も目立ってきている。
,,□,家電量販店（地区統括部長）,単価の動き,・北海道全体での平均客単価は、ここ３か月、１万２千円前後で変わらないままである。
,,□,その他専門店［医薬品］（経営者）,お客様の様子,・相変わらずイベント日以外は、来客数が激減している。来店者に粗品を贈るような場合に、そのプレゼントに反応して集まってくる傾向が強くなっている。
,,□,高級レストラン（スタッフ）,来客数の動き,・知床の世界自然遺産への登録を受け、観光客の動きを多少期待したが、前年並みがやっとという感じであった。また９月の衆議院選挙の影響もあってか地元客の足も鈍った。
,,□,高級レストラン（スタッフ）,単価の動き,・観光シーズンのピーク時期の中で、今年は客が特定の週に集中しないでばらけている。極端な一時間以上の待ち時間もない。その影響もあってか、客単価は前年比で10％減少しており、客数とともに厳しい状況である。
,,□,高級レストラン（スタッフ）,お客様の様子,・ランチでは暑かった上旬にカレーライスが売れ、下旬にビジネスマンが減少したものの、前年の売上を超えた。ただし高校野球の準決勝以降が行われた週末はがらがらだった。夕食では上旬に本州からの観光客のコース料理が多く出たが、中旬からは衆議院選挙の影響なのか道内客、道外客とも減少して売上は前年並みとなった。夕食は個人客が多く、道内企業の会食などは減る一方である。
,,□,スナック（経営者）,来客数の動き,・来客数は昨年や一昨年とほとんど変わらず、景気が良いのか悪いのか見当がつかない。
,,□,スナック（経営者）,来客数の動き,・８月はお盆休みなどの長期休暇があったが、地元業者には単身者が多いことから、お盆期間中は帰省などで暇な日が続いた。
,,□,旅行代理店（従業員）,来客数の動き,・秋以降の申込の状況や来客数の増加でやや良くなっているようにも思えるが、販売額で考えると決して上向きではない。
,,□,旅行代理店（従業員）,来客数の動き,・愛知万博や知床の世界自然遺産への登録など、イベント的なものはあるが、限定的な需要にとどまっているように感じている。ビジネスマンの出張数も変わらず、ますます単価ダウンの傾向が強まっている。
,,□,タクシー運転手,お客様の様子,・やむを得ない場合を除いて、依然としてタクシーの乗控えが感じられる。
,,□,タクシー運転手,お客様の様子,・タクシー利用時の客単価が上がっていない。特に長距離や観光での使用が減っている。
,,□,美容室（経営者）,単価の動き,・相変わらず客の動きが全くなく、客単価も変わらない。
,,□,住宅販売会社（従業員）,来客数の動き,・モデルハウス等の来場者が相変わらず少ないまま推移している。
,,▲,スーパー（店長）,単価の動き,・客の買上点数は変わらないが、他店との競争が厳しいことから、商品単価が５％ほど低下している。
,,▲,スーパー（企画担当）,単価の動き,・野菜の相場安、米の単価下落、第三のビールの消費者への浸透などから、販売価格の低下が一層進行している。販売点数が伸び悩む中、売上の推移も厳しい状況が続いている。
,,▲,衣料品専門店（店長）,販売量の動き,・販売量が落ち込んでいる。商品単価や客数は前年、３か月前と比べてもあまり変わりはない状況であるが、気温がなかなか下がらないこともあり、客の買上点数が低下している。
,,▲,家電量販店（店員）,販売量の動き,・エアコンの売行きが思ったほどでもなかった。ＤＶＤレコーダーの販売台数も伸びない。
,,▲,乗用車販売店（営業担当）,販売量の動き,・販売実績が大幅に減少している。
,,▲,その他専門店［ガソリンスタンド］（経営者）,単価の動き,・原油価格の高騰による石油製品価格の上昇が続いており、家計及び会社の経費を圧迫している。量を調整して購買する傾向が強くなっている。
