Ⅰ．景気の現状に対する判断理由等,,,,,,,
,,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,,
,,,,,,,
,,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(北海道)",,◎,住宅販売会社（経営者）,お客様の様子,・米国の次期大統領選の結果を受けて、円安が進むとともに株価が上がってきたことで、客のムードが非常に良くなってきている。,,
,,○,スーパー（店長）,販売量の動き,・11月も前年割れではあるが、10月と比べると販売量が幾分上向いている。営業日数が１日少ないことを踏まえるとやや動きが良くなってきている。,,
,,○,乗用車販売店（従業員）,来客数の動き,・新型車発表の効果もあり、来客数が前年よりも増えている。,,
,,○,その他専門店［医薬品］（経営者）,販売量の動き,・年金の支給月でもないのに販売量が持ち直している。また、珍しく天候の影響もみられなかった。推奨品がよく売れていることも特記すべき点である。,,
,,○,観光型ホテル（スタッフ）,来客数の動き,・プロ野球のクライマックスシリーズと日本シリーズの効果で想定外の高稼働がみられた。フィギュアスケートの国際大会、市内で開催されたコンサートなどもプラスに作用した。,,
,,○,タクシー運転手,販売量の動き,・天候の影響もあるが、前年を大きく上回る販売量を維持している。,,
,,○,通信会社（企画担当）,販売量の動き,・自社製品を値上げしたにもかかわらず、札幌圏の都市部を始めとして法人部門を中心に引き合いが多くみられた。,,
,,○,観光名所（従業員）,来客数の動き,・11月24日現在の利用乗降客数が前年比約120％となっており、過去４か月連続で前年を上回っている。ただ、免税店の売上をみると、外国人観光客の消費が減少しており、全体としてはやや良くなっているという感覚である。,,
,,○,美容室（経営者）,来客数の動き,・12月に向けて客の動きがやや早めに生じてきている。,,
,,□,商店街（代表者）,お客様の様子,・客の反応は前月と変わらない。,,
,,□,商店街（代表者）,来客数の動き,・周辺住民による来街は例年とほとんど変わらないが、自家用車やバスを利用して中心市街地に訪れる客が減少している。当商店街エリアの月極めを除いた駐車場の一部では、日中の利用の少ない時間帯に３～４割程度の入庫しか確認できず、８月下旬よりも悪い状態にある。,,
,,□,商店街（代表者）,販売量の動き,・プロ野球の日本シリーズ期間中は客が家庭でテレビに熱中したため、飲食店を中心に大きな減少がみられた。一方、観光面では国内からの社員旅行が前年よりもやや多くみられたことから、景気回復の前兆がうかがえる。,,
,,□,一般小売店［土産］（経営者）,来客数の動き,・この季節は、雨やみぞれ、雪などが降ることもあり、観光客の最も少ない時期だが、近隣市で人気アイドルのコンサートが３日間開催されたことに助けられた。ただ、国内観光客の行動や話から、景気が良くなっているという実感はない。,,
,,□,一般小売店［酒］（経営者）,お客様の様子,・今年は９月がとても暑かったが、10月に入り急に寒くなるなど、秋がなく、突然冬が訪れたような気候であったため、客も冬の準備に追われており、当店の主力商材であるアルコール類にまでなかなか手が回らない状況となっている。,,
,,□,百貨店（売場主任）,販売量の動き,・売場、催事場ともに堅調な動きをみせ始めている。数十年ぶりの早い冬の訪れで定価品の冬物商材の動きも良い。また、野球やサッカーなどの地元球団の好成績が地域全体の活性化につながっている。,,
,,□,百貨店（担当者）,来客数の動き,・客単価は若干上向きの兆しがあるものの、来客数が依然としてマイナス基調のままである。,,
,,□,百貨店（販売促進担当）,来客数の動き,・来客数は依然として前年並みで推移している。外国人観光客の数は増えているが、道内や道外からの客は減少傾向にある。,,
,,□,百貨店（営業販促担当）,来客数の動き,・食品については来客数、売上が回復基調となっているが、そのほかのカテゴリー、特に衣料品については来客数が低迷している。,,
,,□,スーパー（店長）,来客数の動き,・10～11月にかけて地元球団の優勝セールと例年より早い降雪の影響で来客数の増加につながったが、一時的な動きとみられる。依然として農水産物の価格高騰が続いているため、客は必要な商材しか購買していない。,,
,,□,コンビニ（エリア担当）,来客数の動き,・来客数が一向に回復してこない。,,
,,□,衣料品専門店（経営者）,販売量の動き,・今年の秋は台風の影響で水産物や農作物、交通機関、観光などに多大な被害が生じ、大変な状況であったが、ようやく回復し始めている。一般消費者の購買単価もアップしている。,,
,,□,衣料品専門店（店長）,来客数の動き,・来客数が前年を下回っている。,,
,,□,衣料品専門店（店長）,販売量の動き,・防寒物の売れる時期になったことで巻き返しが図れるとみていたが、客の反応が薄く、厳しい状況にある。,,
,,□,家電量販店（店員）,来客数の動き,・11月後半の気温低下により、暖房機全般の動きが良かった。,,
,,□,乗用車販売店（経営者）,販売量の動き,・受注量に大きな変化がみられない。新型車の効果も思ったほど受注につながっていない。この後も新型車の発売が控えているため、客の消費マインドが上向くことを期待している。,,
,,□,乗用車販売店（従業員）,販売量の動き,・新型車が発売されたものの、前年と比べると客の出足が悪い。,,
,,□,自動車備品販売店（店長）,来客数の動き,・来客数が前年並みであり、販売量、売上共に前年比100％となっているなど、状況はこれまでと変わらない。,,
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品価格が安定しており、変化がみられない。,,
,,□,高級レストラン（スタッフ）,来客数の動き,・観光客の予約団体人数は前年比194％と好調である。事前準備ができ、客単価も高いため、経営面での効率も良い。一方、フリー客は前年比90％と苦戦している。全体の来客数は前年比120％であった。,,
,,□,高級レストラン（スタッフ）,販売量の動き,"・例年、売上の下がる時期であるが、今年は秋の宣伝が功を奏し、売上が前年を超えるなど、意外と悪くなかった。また、降雪の早さから、冬物商戦が例年よりも早いスタートとなったためか、人出も多かった。ただ、野菜の価格が高騰しており、レタス１玉が1,200円となるなど、料理１人分の材料費を計算するのがばからしくなるほどであった。",,
,,□,旅行代理店（従業員）,来客数の動き,・今年はそもそもの客の動きが鈍かったところに台風被害があったことから、３か月が経過した現在もその余波が続いており、客の来店状況が悪い。,,
,,□,タクシー運転手,来客数の動き,・当地では11月初旬に雪が多く降ったため、タクシー利用が多かった。タクシー１台当たりの売上も前年と比べて10％程度の増収になった。乗務員不足によりタクシーの稼働率が落ちているものの、会社の売上も前年と比べて４％程度の増収となった。,,
,,□,タクシー運転手,来客数の動き,・イベント関係や法人による売上は前年並みであった。一方、観光関連は国内旅行客の利用が減少しているものの、外国人観光客の利用が好調であった。,,
,,□,通信会社（社員）,販売量の動き,・当初、来春に消費税増税が予定されていたことで、増税を見越して予定していた分の消費活動が進んでいるが、消費税増税が再延期になったことにあわせて、プラスで何かを追加しようというアクションまではみられない。消費の堅実基調は変わらない。,,
,,□,通信会社（社員）,販売量の動き,・新商材の発売などで一時的に販売量や来客数が伸びたりもしたが、やはり一時的な影響であり、現状は元の状態に戻ってしまった。,,
,,□,パチンコ店（役員）,来客数の動き,・地元球団の優勝などの明るいニュースはあるが、広島ほどの経済効果はみられない。,,
,,□,美容室（経営者）,競争相手の様子,・ここ数か月、売上、来客数とも同じような状況で推移している。気がかりな点は、最近、新聞チラシやポスティングにおいて同業店の値引きが多くなってきていることである。,,
,,□,住宅販売会社（経営者）,お客様の様子,・ここのところ経済情勢が落ち着いているためか、モデルルーム来場客の分譲マンションの購入姿勢に大きな変化はみられない。,,
,,▲,商店街（代表者）,来客数の動き,・例年にない早い降雪のためなのか来客数が減っている。特に悪天候の日は激減するなど、今までにない傾向がみられている。,,
,,▲,商店街（代表者）,それ以外,・野菜や水産物の価格高騰の影響が出ている。,,
,,▲,百貨店（役員）,販売量の動き,・来客数に加えて、買上客数も減っている。,,
,,▲,スーパー（店長）,来客数の動き,・来客数が減少傾向にある。食品部門は売上を維持しているが、衣料部門、住宅余暇部門は減少傾向にある。,,
,,▲,スーパー（企画担当）,来客数の動き,・当地は農業が主たる産業であるが、夏から秋にかけての台風被害により、被害を受けていない農家まで消費意欲が減退している。お金を少しでも使わないようにという雰囲気が強く感じられる。,,
