Ⅰ．景気の現状に対する判断理由等,,,,,,,
,,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,,
,,,,,,,
,,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(北海道)",,◎,－,－,－,,
,,○,一般小売店［土産］（経営者）,来客数の動き,・前月から円安が続いている関係で、国際線の店舗では外国人観光客の来客数、購入量、購入金額が増えており、前年比115％ほどの売上となっている。ただ、国内線の店舗では前年と比べて横ばい又は若干少なめで推移している。,,
,,○,百貨店（販売促進担当）,来客数の動き,・来客数の動きをみると、悪天候で前年を下回る日もあるものの、全体としては前年を上回って推移している。市内からの来店に加えて、外国人観光客の増加が目立っている。,,
,,○,百貨店（営業販促担当）,単価の動き,・来客数が前年並みに戻ってきていることに加えて、雑貨、衣料品の客単価が婦人物、紳士物ともに上がってきている。定価品の動きはまだ回復していないが、値引きした商材の動きが全体の売上をけん引している。また、初売りの福袋も伸びたほか、アクセサリー、バッグなどの高額商材が例年にないほど売れている。,,
,,○,スーパー（店長）,お客様の様子,・春物を中心に衣料品の動向が上向いてきた。,,
,,○,乗用車販売店（経営者）,来客数の動き,・新型車の発表が相次いであり、前評判も良いことから、来客数が増え、受注につながってきた。他社の新型車発表もあり、相乗効果で景気が良くなってきている。,,
,,○,乗用車販売店（従業員）,販売量の動き,・北海道の場合、冬を迎えると買い控えが始まり、暖かくなる３～４月に納車できるような今くらいの時期から販売量が上向いてくる傾向がある。今年も例年と同様の動きがみられており、３か月前と比べると景気はやや良くなっている。,,
,,○,その他専門店［医薬品］（経営者）,お客様の様子,・１月の北海道の景気は天候などの自然環境にも左右される傾向があるが、今年は安定して推移しているため、景気はやや良くなっている。,,
,,○,観光型ホテル（スタッフ）,来客数の動き,・スポーツイベントやコンサートによる需要もあり、宿泊客数、売上は前年を上回って推移した。個人客、団体客とも、観光目的の客が堅調であった。,,
,,○,旅行代理店（従業員）,来客数の動き,・１月も荒天の日が多く、航空便の欠航がみられているため、月全体の入込客数が前年を下回る可能性もあるが、流氷の接岸が例年よりも早いと見込まれていること、周辺観光地での新イベントが行われることなどの効果から、月末にかけて観光客の増加が期待できる。,,
,,○,旅行代理店（従業員）,来客数の動き,・微増ではあるが、年明け以降、来客数が増えている。主催旅行の販売状況も悪くない。,,
,,○,タクシー運転手,販売量の動き,・今年は降雪量が多いこともあり、販売量、利用客数とも順調に推移している。,,
,,○,通信会社（企画担当）,お客様の様子,・法人の大口での通信サービスへの加入が想定よりも増えており、道内の中規模企業の景気回復が進んでいることを実感している。,,
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・例年と比較して欠航回数が少ないため、輸送量が若干ではあるが増加している。,,
,,□,商店街（代表者）,単価の動き,・高額商材の動きが良くなく、全体の客単価を押し下げている。,,
,,□,商店街（代表者）,お客様の様子,・様子見をしている客が多い。,,
,,□,商店街（代表者）,来客数の動き,・正月という時期的な要因を除けば、引き続きやや悪い状態で推移している。地域住民については、ビニール袋や持参の袋を持ち歩いている人の様子から、最寄品などの日々の買物の動向にはあまり変わりがないとみられるが、紙袋で買回り品を持ち歩いているような人はほとんどみられなかった。道外観光客及び外国人観光客については、当商店街で目立つほど土産品などを買う姿がみられなかった。,,
,,□,商店街（代表者）,販売量の動き,・今シーズンの北海道は12月の年末商戦時期に50年ぶりの大雪に見舞われ、交通機関がまひしたため、クリスマスなどの特需を含めて商売に大打撃を受けた。１月に入っても売上の大きな時期の落ち込みを取り返すこともできず、混迷が続いている。,,
,,□,一般小売店［土産］（経営者）,来客数の動き,・例年、今の時期に天候不順の日がみられることも影響しているのか、日本人観光客の利用が依然として増えてこない。一方で、外国人観光客の利用が好調である。特に中国からの観光客は、以前のような爆買いはあまりみられなくなったものの、いまだに客単価が高く、とても助けられている。,,
,,□,一般小売店［酒］（経営者）,単価の動き,・得意先での売れ筋の商材をみると、飲料水が大きく伸びている一方で、アルコール類が依然として苦境を呈しており、できるだけ仕入れを押さえようという動きが顕著に表れている。,,
,,□,百貨店（売場主任）,お客様の様子,・初売りが１月３日となり、１月の営業日数が１日減ったものの、リモデル効果もあり、売上は前年を４％上回った。セールの売上も好調に推移している。ただ、外国人観光客による売上が40％の増加となったのに対して、地元客による売上は微増にとどまっているため、状況が大きく好転しているとまでは感じられない。また、来客数は前年割れとなっており、売上の増加は客単価のアップによるものとなっている。,,
,,□,百貨店（担当者）,来客数の動き,・セール開催を心待ちにする顧客は年々減少しており、欲しいものを欲しい時に購入することが増えている。こうした最近の傾向が来客数減少の一端となっている。,,
,,□,スーパー（店長）,来客数の動き,・12月の大雪の影響もあり、初売りの来客数は前年を下回った。１月下旬に入っても来客数の前年割れが継続している。,,
,,□,スーパー（役員）,販売量の動き,・生鮮食品の相場高、一般ナショナルブランドの値上げが前年から続いており、商品単価が上昇していることが影響しているのか、販売量が減少している部門、カテゴリーが多い。現状は単価調整をしていることもあり、客１人当たりの買上点数の落ち込みがそれほどみられず、前年並みの売上を維持できているが、あまり良い状況ではない。,,
,,□,コンビニ（エリア担当）,来客数の動き,・前月までと比較して、来客数が若干回復傾向にある。当地及び近郊の積雪が多く、気温が低いことから、近場で買物を済ませている客が多いのか、青果や生鮮品の販売量が増加している。,,
,,□,コンビニ（エリア担当）,販売量の動き,・売上、来客数ともに前年割れが継続している。12月のセール時期はやや持ち直しの動きがみられたが、セールが終了し、１月に入るとまた以前の状態に戻ってきている。競合店では閉鎖する店舗も出てきており、地区全体の景況感が落ち込んでいる。,,
,,□,衣料品専門店（店長）,来客数の動き,・前年と比べて来客数が増えてこない。,,
,,□,家電量販店（店員）,お客様の様子,・初売りセールでは、前年ほどのにぎわいがみられなかった。来客数も前年を下回った。,,
,,□,乗用車販売店（従業員）,販売量の動き,・新型車が出た割に思ったほどの伸びがみられていない。,,
,,□,乗用車販売店（従業員）,お客様の様子,・年明けからの来客数が思っていたほど増えていない。前年並みにとどまっている。,,
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・原油価格が安定しているため、変化があまりみられない。,,
,,□,高級レストラン（経営者）,お客様の様子,・米国の新大統領就任後、米国がＴＰＰから離脱することが決まるなど、日本と米国の関係がどう変わっていくのか見通しが立たなくなっているため、経済的に好転していくかが不透明な状況となっている。,,
,,□,高級レストラン（スタッフ）,販売量の動き,・12月までの年間売上は目標を達成できなかったが、１月はどうにか前年並みの売上を確保できた。予約客の中には新規客も少なからずみられた。ただ、全体的に客単価が上がってきておらず、テレビなどで野菜が高いと報道されると、客入りに影響しそうで不安が募る。,,
,,□,タクシー運転手,来客数の動き,・１月は例年よりも雪が多く、除雪が行き届いていないため、道路が渋滞し、タクシーの運行に支障をきたしている。タクシー１台当たりの売上は前年並みであるが、乗務員不足で稼働が落ち込んでいるため、会社の売上は引き続き前年を大きく下回った。,,
,,□,タクシー運転手,来客数の動き,・外国人観光客がわずかに減少傾向にあるが、イベント関係での利用やスキー場利用客がやや増加しており、全体としてはあまり変わらない。,,
,,□,タクシー運転手,販売量の動き,・各種指標がほぼ例年どおりの数値で推移しており、あまり景気の良さを感じられない。,,
,,□,タクシー運転手,来客数の動き,・３か月前と比べると、売上が10～15％落ち込んでいる。例年、この時期は落ち込みがみられるが、今年に限っては落ち込み幅が大きく、懸念している。,,
,,□,通信会社（社員）,販売量の動き,・販売量、来客数とも大きな伸びはみられない。総務省などからの法律遵守指導もあり、業界的にあまり活発な動きがみられない。,,
,,□,観光名所（従業員）,来客数の動き,・2016年は利用乗降客数がほぼ全ての月で前年を上回ったが、今年１月の利用乗降客数は25日時点で前年比96.6％にとどまっている。,,
