Ⅰ．景気の現状に対する判断理由等,,,,,,
,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,
,,,,,,
,,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（経営者）,来客数の動き,・１月前半は穏やかな天候だったが、後半は天候の悪い日が多く、交通機関も大幅に乱れることが多かった。ただ、１月の売上そのものは決して悪くなかった。,
,,◎,観光名所（従業員）,来客数の動き,・1月26日時点の利用客数は前年比約110％と大きく伸びている。例年１月は年間で最も利用客の少ない月だが、このままでいけば開業以来最高の入込数となる見込みである。北海道ふっこう割の効果でシルバー層を中心とした団体ツアー客が好調である。,
,,○,商店街（代表者）,販売量の動き,・今年は初雪が遅かったこともあり、冬物の販売が良くない。年明けからの断続的な大雪や寒さにより、外出が減っていることもあり、一般店は苦戦を強いられている。北海道胆振東部地震後の防災関連商材への支出増の影響からか、消費マインドも低下している。また、販売不振に加えて、飲食業界の落ち込みもひどく、景気の回復が見込めない。,
,,○,一般小売店［酒］（経営者）,販売量の動き,・例年１月は年末商戦の反動もあり、売上が芳しくないが、今年は堅調に推移している。新規の取引先が大分増えてきていることも寄与している。,
,,○,コンビニ（エリア担当）,販売量の動き,・北海道胆振東部地震後の落ち込みが解消し、震災前の水準以上に売上が回復している。たばこの値上げによる上乗せ分に加えて、生活関連商材の売上も回復している。,
,,○,コンビニ（店長）,単価の動き,・客単価の動きが好調であり、買上点数も増えている。来客数の減少分をカバーできている状況にある。,
,,○,乗用車販売店（経営者）,販売量の動き,・新型車の投入を控えている中、年が変わってから、新車の受注量がやや上向きになってきている。ただ、需給バランスが悪く、登録台数に反映されていないことが悩みである。,
,,○,乗用車販売店（従業員）,販売量の動き,・販売台数をみると、目標台数までは届かないにしても平均して８割程度まで達している。春先需要の時期ということに加えて施策効果もあり、軽自動車を中心に売れており、新車種も売れている。,
,,○,自動車備品販売店（店長）,来客数の動き,・タイヤや工賃の値上げをしたにもかかわらず、来客数が前年比110％と伸びている。,
,,○,一般レストラン（スタッフ）,お客様の様子,・中国、韓国からの観光客に加え、オーストラリアからの観光客も戻ってきており、来客数、客単価共にアップしている。,
,,○,観光型ホテル（スタッフ）,来客数の動き,・国内の旅行商品で北海道ふっこう割を活用した商品が堅調に推移している。韓国以外の外国人観光客も回復基調にある。,
,,○,旅行代理店（従業員）,来客数の動き,・北海道胆振東部地震及びブラックアウト後の１～２か月こそ観光需要が減少したが、今は回復してきている。また、ビジネス需要は観光需要よりも早く９月末から徐々に回復に向かっている。その結果、航空路線利用者数は前年を上回る傾向に戻ってきている。,
,,○,旅行代理店（従業員）,お客様の様子,・北海道ふっこう割により観光客の入込が増加している。また、当地の農業収穫高が前年に次ぐ過去２番目の水準となったこともプラスである。,
,,○,タクシー運転手,販売量の動き,・観光入込客が回復してきており、営業車の稼働率が前年を上回って推移している。,
,,□,商店街（代表者）,お客様の様子,・年明けということもあり、客の動きとしてはまずまず落ち着いている。,
,,□,商店街（代表者）,来客数の動き,・１月初旬及び中旬にかけて客の出控えが目立っていたが、25日以降、セールやイベントを行う店舗が出てきたことで、当地区の来街者数は持ち直しており、全体では例年並みとなった。地域外からの観光客も一部みられるが、買物などを行っている様子はみられなかった。,
,,□,商店街（代表者）,販売量の動き,・青果物が例年どおりの出荷状況で推移していることもあり、好調に推移している。,
,,□,一般小売店［土産］（経営者）,お客様の様子,・外国人観光客の消費が旺盛で、中国人を中心に売上が大きく増えている。ただ、韓国人については前年並みにとどまっている。一方、国内客については、まだ北海道胆振東部地震の影響があるのか、前年比で10％ないしは５％のマイナスとなっている。外国人観光客と国内客で明暗が分かれている。,
,,□,百貨店（営業販促担当）,販売量の動き,・婦人服などの衣料品や家庭用品の買上客数が依然として大幅に減少している。例年と比べて気温が高めに推移したこともあり、特にコートは期間を通して苦戦した。,
,,□,スーパー（店長）,お客様の様子,・新年を迎えても節約志向が依然としてみられ、必需品以外は若干の低価格でも購入を控えている客が目立つ。,
,,□,スーパー（店長）,来客数の動き,・近くの競合店が閉店したものの、売上、来客数共に伸びている傾向がみられない。売上的には横ばい又は下がっている状況にある。,
,,□,スーパー（企画担当）,来客数の動き,・足元の売上状況をみると、買上点数や客単価は前年と比べてもまずまずの水準を確保しているが、来客数の減少傾向に歯止めが掛かっておらず、売上が伸び悩んでいる。,
,,□,スーパー（役員）,来客数の動き,・例年と比べて降雪量が若干少ないこともあり、１月の来客数はここ数か月と比べてやや増加しているが、相変わらず前年を下回って推移している。当地は毎年人口が0.8～1.0％減少しており、その中で集客競争となっていることが要因とみられる。売上的には、客単価の落ち込みがみられないことが救いである。,
,,□,スーパー（役員）,お客様の様子,・野菜が安いため、魚、肉などの品数を増やして買う客が多く、売上が好調である。,
,,□,コンビニ（エリア担当）,来客数の動き,・来客数は前年並みだが、前年は大雪の影響があったことを踏まえると、実質的な景気は３か月前と変わっていない。,
,,□,家電量販店（店員）,来客数の動き,・初売りは前年並みであったが、月後半に入り来客数が減少している。ただ、寒さが厳しいため、暖房機器は前年並みに売れている。,
,,□,乗用車販売店（従業員）,販売量の動き,・新型車効果がなかなか出てこない。これからの新型車に期待している。,
,,□,乗用車販売店（従業員）,販売量の動き,・販売台数が前年と同水準で推移していることから、景気に変化がみられない。,
,,□,住関連専門店（経営者）,販売量の動き,・依然として、外国人観光客関連業種の景気が良いようだ。,
,,□,高級レストラン（経営者）,お客様の様子,・当店は大きなショッピングセンターの中に入っているが、客が余り買物をしていない様子がうかがえる。当店を訪れる客についてもそれほど大きな買物をしている様子がみられない。,
,,□,高級レストラン（スタッフ）,来客数の動き,・子供連れの家族客、外国人客、そして団体客と観光客が増えている。観光客は目的の場所への行き方や交通機関を尋ねることが多いため、その都度、周辺マップと時刻表を渡して、客の要望に応えている。また、外国人客に対しては翻訳機を活用することで丁寧なサービスを心掛けており、満足してもらえている。閑散期であるが、利用客数は前年比で23％の増加となっている。,
,,□,高級レストラン（スタッフ）,販売量の動き,・土日祝日の売上は良かったが、それ以外の平日、特に月後半は昼夜共に減少傾向にあり、ぎりぎり前年並みの売上に落ち着いた。地元客は、正月以外に連休があると、ほかの日の外食費を切り詰めるようだ。外国人観光客は増え続けているようで、当地のホテルは活況を呈している。,
,,□,観光型ホテル（経営者）,来客数の動き,・外国人観光客は僅かながらに回復傾向にあるが、国内客の動きが鈍化している。,
,,□,タクシー運転手,来客数の動き,・１月は雪の日が多かったため、タクシー１台当たりの売上も前年比で５％ほどのプラスとなったが、乗務員不足でタクシーの稼働率が落ちていることもあり、会社の売上は前年比マイナス５％であった。,
,,□,タクシー運転手,来客数の動き,・スキー場への送迎のオーダーは順調だったものの、観光客のオーダーが減少したため、全体的には変化がなかった。,
,,□,美容室（経営者）,来客数の動き,・客の来店間隔、支払単価共に大きな変化がなく、同じような動きで推移している。,
,,□,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・１月は１年で最も輸送量の減少する時期であり、前年と比較してほぼ変わらない輸送量となっていることから、景気は変わらない。,
,,▲,商店街（代表者）,来客数の動き,・初売りは前年とほぼ変わりなく推移したが、月全体をみると、大雪などの天候不順の影響で客足が大きく減少した。,
,,▲,百貨店（売場主任）,単価の動き,・特選ブランドや時計、宝飾品など、前月まで好調に推移していた高額品の動きが悪くなっている。,
,,▲,百貨店（担当者）,お客様の様子,・駅前地区の百貨店が閉店セールを開催していることで、顧客の関心が駅前地区へと向いている。,
,,▲,百貨店（販売促進担当）,販売量の動き,・正月明けの初売りから、曜日並びの影響で苦戦を強いられている。中旬以降も雪の影響などでプラスに転じられないまま月末を迎えている。外国人観光客の好調さから免税品の売上は大きく伸びているものの、それ以外の一般消費が厳しい状況となっており、全体としてマイナス基調から脱却できていない。,
