Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（店員）,来客数の動き,・ＳＡＲＳの影響で関西方面の旅行客が北海道に流れてきていると思われ、来客数がかなり増えてきている。
,,○,一般小売店［酒］（経営者）,販売量の動き,・得意先の客の入りが３か月前に比べて相当好転している。
,,○,家電量販店（地区統括部）,来客数の動き,・単価は全般的にダウン傾向にあるが、季節商材の動きが出てきて来客数は回復基調にある。
,,○,観光型ホテル（経営者）,来客数の動き,・ＳＡＲＳの影響で海外旅行を取りやめた人が国内旅行に転向しているため、観光客の動きがやや良くなっている。
,,○,旅行代理店（従業員）,販売量の動き,・海外旅行は底を突いており、ここにきて国内旅行が上昇傾向にある。
,,○,旅行代理店（従業員）,来客数の動き,・20日以降、来客数が増加しており、特に日曜日の若いカップル連れが多くなってきた。ヨーロッパのパンフレットを眺める人も多くなり、道内のバス旅行のパンフレットも減り具合が目立つ。
,,○,観光名所（役員）,販売量の動き,・ロープウェイの利用客が前年比で増加している。また、レストランなどの附帯事業についても増加している。
,,○,美容室（経営者）,来客数の動き,・客の来店周期が短くなってきている。
,,□,商店街（代表者）,お客様の様子,・季節商材の動きはまあまあであるが、ボーナスシーズンに入っているにもかかわらず、依然として購買傾向は慎重である。
,,□,商店街（代表者）,単価の動き,・本格的な着物商戦であるが、購買が単品物に集中しており、客単価の低下がみられる。また、ジャケットなど、上に羽織る商品の動きも悪く、全体的に客単価が低下している。
,,□,百貨店（売場主任）,お客様の様子,・冬物売り尽くしの際と同様に、値下げ待ちの客が非常に多く見受けられる。こうした客の動きは継続して変わりがない。
,,□,百貨店（販売促進担当）,販売量の動き,・百貨店でのバーゲン価格、ディスカウント価格といったものでは、以前と比較して、集客の効果がみられなくなってきている。安いものよりも、本当に欲しいものを求めるといった傾向は以前からみられていたが、その傾向が更に深まっていることが実感できる。このため、客単価は上向き傾向であるが、来客数の落ち込み幅が大きく、消費価格はまだ上がらない状況である。
,,□,スーパー（店長）,販売量の動き,・今月も低温気象の影響で、夏物の不振が続いており、特に紳士衣料品の買い渋りが目立つ。また、たばこの値上げで一時的に駆け込み需要があるが、来月との２か月トータルでみると変わらないと思われる。
,,□,コンビニ（エリア担当）,単価の動き,・前年と比べて天候も良く、売上・来客数とも良い状態であるが、客単価においては変化していない。
,,□,衣料品専門店（店員）,お客様の様子,・ボーナス時期にもかかわらず、あまり状況の変化がなく、厳しい状況である。必要以外の商品の買い渋りが目出つ。
,,□,家電量販店（経営者）,販売量の動き,・前月に引き続き今月も来客数が少なく、単価もあまり高く推移しない状況である。
,,□,乗用車販売店（従業員）,販売量の動き,・新型車が好調な売行きを示したが、それ以外が売れず、あまり変わらない。
,,□,住関連専門店（経営者）,来客数の動き,・依然として来客数の回復がなく、20％強の落ち込みが続いている。
,,□,住関連専門店（営業担当）,来客数の動き,・気温も比較的安定し、状況が良くなっているように思えるが、ボーナス時期でありながら、保険料率のアップ等のマイナス材料もあり、今一つ人の動きが買物につながらない。
,,□,高級レストラン（スタッフ）,来客数の動き,・地元客、観光客とも来客数が増えている。特に昼が顕著であり、夜は微増といった状況である。ただし、客単価は前月に引き続き下がっており、全体としては変わらない。
,,□,一般レストラン（スタッフ）,来客数の動き,・土曜、日曜、祝日の来客数は前年比でみると、ほぼ横ばいだが、平日の来客数が減っている状況である。
,,□,スナック（経営者）,来客数の動き,・前月に引き続きほとんど観光客が入ってこなかったので、全体的な動向については変化がない。夏を迎えて、観光客も地元客も来店するかと思ったが、ほとんど横ばいで変わらなかった。
,,□,観光型ホテル（経営者）,単価の動き,・来道客数に大きな振れを感じなくなり、総消費単価も下げ止まった気がするなど、底に限りなく近づいている感じがする。ＳＡＲＳ問題の戻しでもなさそうであるし、天候が良いという要因によるものでもなさそうである。
,,□,タクシー運転手,来客数の動き,・６月はＹＯＳＡＫＯＩソーラン祭り・札幌まつりなどのイベントが続き、プロ野球の試合も開催されたが、タクシーの利用客数、売上とも前年より減っており、厳しいまま変わらない。
,,□,タクシー運転手,お客様の様子,・６月に入りイベントも多くなって、一見、人の動きが活発にみえるが、夜の繁華街への人出はイマイチの感がある。
,,□,タクシー運転手,来客数の動き,・一般の観光客が少し減っているようだが、ＳＡＲＳのせいか修学旅行生がかなり増えているので、全体としては変わらない。旅館は週末は満杯になっている現状である。
,,□,設計事務所（所長）,お客様の様子,・物件については動きが出てきてはいるが、予算がますます厳しくなっている。以前と違う点は、本当に予算がないわけではなく、先々の不安から予算を抑えている点である。それでも請け負う業者があるということが悪循環を断ち切れない要因である。
,,□,住宅販売会社（従業員）,来客数の動き,・住宅業界においては、土地・資材等の単価の低下は収まったが、需要がない状況なので、取引数が相変わらず少ない。
,,□,住宅販売会社（従業員）,お客様の様子,・客の購買意識の低下と単価の低下を非常に感じる状況であり、全体としては変わらない。
,,▲,商店街（代表者）,単価の動き,・価格の二極分化が進んでいる。良いものがあれば価格が高くても売れるが、どうしても単価の低い商品の方が売れることが多く、売上も全体的に低くなる。
,,▲,商店街（代表者）,お客様の様子,・大手百貨店の閉店に伴うセールが今月末より開催されるため、買い控え現象が起きている。また、ＳＡＲＳの影響で台湾、韓国からの観光客が減少しており、国内旅行者についても景気を良くするほどの効果はない。
,,▲,商店街（代表者）,お客様の様子,・客は必要品のみを購入している状況であり、また、低価格志向が強い。
,,▲,スーパー（店長）,単価の動き,・商品の単価が引き続き低下している。
,,▲,スーパー（企画担当）,来客数の動き,・最近の店頭での状況として、来客数の減少、とりわけ来店頻度の低下が目につく。競合店も似たような状況であり、客の消費行動は更に慎重になっている。
,,▲,衣料品専門店（店長）,来客数の動き,・展示会の来客数が大変少なくなり、買い方も小さくなっている。
,,▲,家電量販店（店長）,販売量の動き,・北海道においてはエアコンの需要も西日本ほどなく、売上をけん引する商品に乏しい。今月は低迷しているとしか言わざるを得ない。
,,▲,家電量販店（店員）,来客数の動き,・今月は来客数が落ち込んだほか、テレビの販売台数が減っており、売上が減少した。
,,▲,乗用車販売店（役員）,単価の動き,・各業種とも良いという話もなく、受注量も前年比で１割強の減少で推移している。
,,▲,住関連専門店（従業員）,単価の動き,・客単価が伸びない。
,,▲,その他専門店［医薬品］（経営者）,お客様の様子,・医薬品を扱う店舗に来る客はほとんどが目的を持って来店するが、最近は明らかに値段の偵察が目的である客が増えてきたのが実感できる。客は２、３か所の店舗を回って１円でも安い店を探しているようである。
,,▲,高級レストラン（スタッフ）,販売量の動き,・ディナーと個室の売上が前年のほぼ半分になった。特に、乗用車を利用する地元客はワインやビールを飲まなくなっている。ゴルフ場や郊外型レストラン等に勤める知人からは、ビールはもとより飲食自体が減少しているとも聞いている。札幌の各ホテルを調査すると、昼食前や夕食前はスーパーやコンビニの袋に食品を入れてロビーを歩く観光客をかなり見受ける。
,,▲,スナック（経営者）,お客様の様子,・地元では観光客や学生の全道大会などの催し物があり、ホテルなどは満室と聞いているが、繁華街は閑散としている。
,,▲,旅行代理店（従業員）,販売量の動き,・来客数が少なく、前年より２割程度減少している。そのため販売量にも響いている。
,,▲,旅行代理店（従業員）,来客数の動き,・海外旅行に回復の兆しは感じられない。
,,▲,通信会社（企画担当）,販売量の動き,・携帯電話の価格に一層敏感になってきている。これまでも端末の値段は安ければ安いほど良いという傾向がみられたが、最近はランニングコストを詳細に研究し、いかに総コストを落とすかということに注目した動きがみられる。
,,×,コンビニ（エリア担当）,お客様の様子,・客は大量に商品を買うことが少なくなり、一度の買物の数がどんどん少なくなっている気がする。
