Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,商店街（代表者）,販売量の動き,・例年にないほど寒く、雪も多かったことから、防寒靴や手袋・マフラーなどの軽衣料などが良く売れたほか、観光客には靴のすべり止めなども売れた。また外出頻度が落ちたこともあり、灯油の取扱量も10％程度増加した。全体的に、寒さに対応するための必需品の販売量が伸びており、前年を10～15％上回っている。
,,○,百貨店（販売促進担当）,来客数の動き,・年末から来客数が微増で推移している。
,,○,スーパー（店長）,販売量の動き,・３か月前と比較して販売量は減っているが、日曜が１日多かったこともあり、前年比は104.7％とやや良くなっている。
,,○,旅行代理店（従業員）,来客数の動き,・１月半ばから来客数が増えてきている。ただ、低価格志向は相変わらずであり、売上が一気に好転するところまでは至っていない。
,,○,住宅販売会社（従業員）,来客数の動き,・例年１～３月期は前年10～12月期よりも客が活発に住宅を探す時期であり、来客数が多少増加することになる。今月も、３か月前と比べて客の動きが良くなっている。ただ、2008年以前と比べると、来客数は半分以下に減少している。
,,□,商店街（代表者）,来客数の動き,・依然として来客数の動きに回復傾向がみられない。前年を10％下回る状況が続いている。
,,□,商店街（代表者）,単価の動き,・依然として客の買い控えがみられる。冬物のバーゲン時期ではあるが、客は更に値段が下がるのを待っている様子であり、単価の低い物しか売れない。
,,□,商店街（代表者）,お客様の様子,・客の様子をみると、安い物を必要な量だけ買うという傾向がますます強くなってきている。
,,□,一般小売店［土産］（経営者）,来客数の動き,・最近の政権与党を巡る報道の影響で、これまでの期待感が薄らいできており、それに伴い客の消費行動も自己防衛に向かっている。
,,□,一般小売店［酒］（経営者）,販売量の動き,・３か月前と比べると、販売量は横ばいか心持ち上回っているが、一進一退の状況が続いていることから、まだ良くなっているとは言い難い。
,,□,百貨店（売場主任）,単価の動き,・買上客数は前年比98％前後であり、11～12月と同じような数字で推移している。客単価も前年比95％前後で変わらない。食品は健闘するものの、呉服・宝飾・衣料品が苦戦している。
,,□,百貨店（役員）,販売量の動き,・買上客数が増加しており、客単価は低いものの購買につながってきている。今まではやや悪い状況にあったが、今月に入り多少の回復傾向を感じる。
,,□,スーパー（店長）,単価の動き,・客単価が前年より５％近く低下している。来客数や買上点数は伸びているが、客単価の低下分まではカバーできていない状況にある。客の生活防衛意識に変化はなく、割引セールに客が集中する傾向が強まっている。
,,□,スーパー（企画担当）,来客数の動き,・年末年始商戦はまずまずの客入りであったが、正月までの買い疲れからか、松の内明け前後からの落ち込みが大きく、足元の状況としては、例月と同様の厳しい状況に戻っている。
,,□,家電量販店（店長）,販売量の動き,・エコポイント制度の効果による特需が引き続きみられる。
,,□,家電量販店（店員）,単価の動き,・今月もエコポイント制度の効果で薄型テレビがよく売れている。しかしながら、白物家電に伸びがみられないことから、全体で前年を上回ることはなかった。
,,□,家電量販店（地区統括部長）,単価の動き,・相変わらず薄型テレビは好調であるが、その他の大物家電は不調が続いている。全体としては、ほぼ横ばいの状況である。
,,□,乗用車販売店（従業員）,販売量の動き,・環境対応車の補助金制度の延長により、様子見の客が多く、売上が増えてこない。
,,□,その他専門店［ガソリンスタンド］（経営者）,単価の動き,・相変わらず車関連の高額商品が売れない。
,,□,高級レストラン（スタッフ）,販売量の動き,・例年、この時期は年末の反動から厳しい時期であるが、低価格のイベントを４回行ったところ、思った以上の来客がみられた。デフレ傾向と言われるが、それなりのメニューは価格を少し下げるだけで客の反応も良く、客単価は３％低下したものの、全体の売上は前年を20％上回った。
,,□,スナック（経営者）,来客数の動き,・新年会の様子をみると、今月前半は動きが鈍く、客の入りも悪かったが、後半になると動きが出てくるようになり、少しは活気を取り戻した。
,,□,観光型ホテル（経営者）,お客様の様子,・客の入込状況を地域別にみると、相変わらず道外、関東圏が冷え込んでいる。一方、海外客については増加傾向にある。中国が依然として伸びているほか、韓国も復調している。しかしながら、売店などの売上や消費単価の動きをみると、客の消費マインドはいまだ冷え込んでいる。
,,□,観光型ホテル（スタッフ）,単価の動き,・宿泊商品全般で価格が下げ止まりつつあるが、インターネット販売の商品はいまだに低価格傾向にある。
,,□,旅行代理店（従業員）,販売量の動き,・関東のテーマパークが堅調に推移しているが、海外旅行が低迷している。また、法人需要も伸び悩んでいる。
,,□,旅行代理店（従業員）,販売量の動き,・１月は国内旅行が前年比77％、海外旅行が前年比90％となっており、前年５月以降、前年割れの状態が続いている。関東のテーマパークはキャンペーン期間が２倍に伸びたにもかかわらず、売上が前年の半分となっている。特に冬休みのファミリー層の動きが極めて鈍くなっている。
,,□,タクシー運転手,販売量の動き,・今月は雪が多く、寒かったこともあり、３か月前に比べると売上が10％以上増加している。しかしながら、好調だった売上も月末になると落ち込んでおり、全体としては変わらない。
,,□,タクシー運転手,来客数の動き,・相変わらず電話注文数、来客数とも減少している。
,,□,通信会社（社員）,お客様の様子,・景気以前の問題かもしれないが、テレビ・インターネット・電話などにおいて、現在の支出額を減らすことのできるサービスを提案しても、とりあえず現状維持を選択する傾向に変化はみられない。
,,□,通信会社（企画担当）,販売量の動き,・冬商戦における新商品の売行きが期待ほどではなかったが、旧商品の売上が伸びたことから、全体としては変わらない。
,,□,観光名所（役員）,来客数の動き,・観光入込の動きをみると、国内客は団体を中心に依然として低迷しているが、台湾や韓国からの海外客がここにきて健闘しており、全体としては底を打った感がある。
,,□,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・観光閑散期であり、全体的な状況に変化はみられない。
,,▲,商店街（代表者）,来客数の動き,・客の出控えもあり、商店街を訪れる来街者は３か月前と比べて減少している。時期的な要因もあるかもしれないが、特に駅から商店街へと流れてくる買物客の減少が著しく、近郊の街から訪れる客が少なくなっていることがうかがえる。
,,▲,スーパー（店長）,単価の動き,・年末年始の来客数は、衣料品売場、食品売場、住居余暇品売場とも前年を上回ったものの、客単価の低下により、売上が前年実績に届かない状況にある。特に食品は買上点数が何か１点減らされており、節約している様子がうかがえる。寿司、刺身などの単価の高い商品も極めて動きが悪い。
,,▲,スーパー（役員）,単価の動き,・全社ベースでの既存店の売上は、どうにか前年比100％を維持できているが、前年並みを維持することが難しくなってきている店舗が増加している。商品単価が前年から低下している一方で、客１人当たりの買上点数が前年を上回っていることから、客単価は前年を1.1ポイント上回っているものの、来客数は前年を1.1ポイント下回っている。
,,▲,コンビニ（エリア担当）,単価の動き,・前月に引き続き、客単価の低下がみられることに加えて、今月に入り、買上点数の減少もみられるようになってきた。
,,▲,コンビニ（エリア担当）,単価の動き,・年末から客単価が前年を３％下回っている。１月に入り、たばこやビールの販売量も減少している。
,,▲,衣料品専門店（店長）,お客様の様子,・冬物衣料の動きが鈍い。客との会話からは、更に落ち込むような雰囲気もうかがえる。
,,▲,衣料品専門店（店長）,来客数の動き,・商品単価が低下していることで、客１人当たりの買上点数が増加している傾向があるものの、来客数が減少しているため、売上としては苦戦している。
,,▲,家電量販店（経営者）,販売量の動き,・年末需要が落ち着いたこともあり、例年通り３か月前に比べると売上は減少している。前年比もほぼ前年並みの水準で推移している。
,,▲,その他専門店［医薬品］（経営者）,販売量の動き,・十分なアドバイスができていないせいか、客からの問い合わせが減少しており、販売量も減少している。
,,▲,高級レストラン（スタッフ）,販売量の動き,・平日の客の入込が悪かったものの、週末が前年以上の来客数となったことから、全体では前年並みとなった。また、年金を受給している客からは、お金があるので外食したいが、仲間の財布のひもが固くなっており、集まりにくいとの話を聞いている。
,,▲,高級レストラン（スタッフ）,来客数の動き,・インターハイと国体の効果で宿泊客が増え、それに伴い朝食と夕食でのレストラン利用が増えたが、昼食での利用が前年の86.5％と極端に落ち込んでいる。
