Ⅰ．景気の現状に対する判断理由等,,,,,,
,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,
,,,,,,
,,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(北海道)",,◎,＊,＊,＊,
,,○,衣料品専門店（店長）,来客数の動き,・３か月前と比べると客数が増えている。３か月前の前年比は80％程度であったが、今月は、今のところ前年比105％で推移しており、客足が戻ってきている様子がうかがえる。,
,,○,その他専門店［医薬品］（経営者）,販売量の動き,・冬場は感冒の流行で医療機関の景気は変わるが、今月は風邪の流行でにわかに活気づいている。ただし、あくまで水物の景気である。,
,,○,観光型ホテル（スタッフ）,販売量の動き,・雪まつり期間中に３連休があり、外人客を中心に宿泊数が増加しており、前年比は久しぶりに２けたの増加となった。,
,,○,旅行代理店（従業員）,お客様の様子,・国内旅行、海外旅行ともに旅行申込者数は前年比を上回ったほか、４～５月と先行の申込みも増加している。,・国内旅行、海外旅行ともに旅行申込者数は前年比を上回ったほか、４～５月と先行の申込も増加している。
,,○,観光名所（役員）,販売量の動き,・ロープウェイの搭乗者数が、前年比で１割増加している。,
,,○,その他レジャー施設（職員）,お客様の様子,・プロ野球オープン戦の開催が近づき、チケットに関する問合せが増えてきている。,・プロ野球オープン戦の開催が近づき、チケットに関する問い合わせが増えてきている。
,,○,設計事務所（所長）,競争相手の様子,・公共工事は減少しているが、民間に若干活気が見え始めている。今まで官庁中心だったところは厳しいが、民間中心だったところは忙しそうであり、明暗がはっきりしてきている。,
,,○,設計事務所（職員）,お客様の様子,・中心市街地でのビル新築や食品関連工場の増築の引き合いが続いている。,
,,□,商店街（代表者）,お客様の様子,・今年は記録的な大雪となっているほか、消費者の先行き不安感が依然として根強いこともあり、消費者は購買意欲が低く、バーゲンでも慎重な態度を崩していない。,
,,□,商店街（代表者）,お客様の様子,・前半は気温の低い日が続いたので、冬物の動きはそこそこあったが、春物に関しては後半になって動きが出てきた程度であり、客が購買する気持ちにはまだなっていない。,
,,□,百貨店（売場主任）,お客様の様子,・売場のリニューアル、新ブランドの投入などで、新製品の販売を積極的に行っているが、春物の商品同様に動きが鈍く、客の買上動向に変化はみられない。,
,,□,百貨店（役員）,お客様の様子,・下旬に大型の店外催事を開催したが、来場者数、単価とも前年並みで推移した。特に高額品に対する反応が良く、久しぶりのにぎわいを感じた。ただし、店頭では相変わらず入店客数が前年を下回っている。,
,,□,スーパー（店長）,販売量の動き,・営業時間の拡大等により客数が前年を５％程上回っているが、依然として衣料品や雑貨関連の売上不振と単価の落ち込みが続いている。,・営業時間の拡大等により客数が前年を５％ほど上回っているが、依然として衣料品や雑貨関連の売上不振と単価の落ち込みが続いている。
,,□,スーパー（店長）,販売量の動き,・１日当たりの販売数量は３か月前と比べて、99％とほぼ変わらない。決して良くはないが、悪くもない状態である。,
,,□,スーパー（企画担当）,販売量の動き,・青果物では相場の変動による販売点数の増減はあるが、そのほかの商品部門では総じて販売点数の漸減傾向がこれまでと変わらず続いている。,
,,□,衣料品専門店（店員）,競争相手の様子,・自店の売上実績もそうだが、競合店の売上も前年比を上回る所が少ない。,
,,□,乗用車販売店（営業担当）,販売量の動き,・今年に入ってから、前年実績をクリアできていない。,
,,□,高級レストラン（スタッフ）,単価の動き,・年一度の謝恩を兼ねて、２日間のレストラン半額フェアを企画したが、客が利用するのは単価が低いコースばかりであり、客単価は大幅減となる。,
,,□,高級レストラン（スタッフ）,お客様の様子,・降雪量が多い日は昼夜ともにフリー客が激減した。ランチは大雪で減少した売上の分だけ前年比でマイナスとなった。夕食は中小グループでの予約があったことから前年の売上を超えた。個室は企業などの団体客が落ち込み、前年の半分の売上となった。,
,,□,一般レストラン（スタッフ）,単価の動き,・３か月連続して、単価が前年を下回って推移している。,
,,□,観光型ホテル（経営者）,単価の動き,・道外客、海外客の人数はまずまずだが、地元客、道内客の動きが鈍く、減少傾向にある。道内客の減少を海外客で補っている状態である。一方、客の総消費単価については、売店等の付帯収入をはじめ、じり貧状態にある。,・道外客、海外客の人数はまずまずだが、地元客、道内客の動きが鈍く、減少傾向にある。道内客の減少を海外客で補っている状態である。一方、客の総消費単価については、売店等の付帯収入を始め、じり貧状態にある。
,,□,旅行代理店（従業員）,単価の動き,・購買の客単価が下降気味である。購買価格の高い層と低い層にはっきりと分かれており、中間層が減りつつある。,
,,□,タクシー運転手,お客様の様子,・北海道のこの時期はタクシー業界にとっては需要期であるにも関わらず、３か月前と比べて変わっているところがみられない。,・北海道のこの時期はタクシー業界にとっては需要期であるにもかかわらず、３か月前と比べて変わっているところがみられない。
,,□,タクシー運転手,販売量の動き,・道東地方は今年は大変雪が少なく、例年と比べ暖かい日が続いているので、タクシーを利用する人が少ない。冬祭りのイベントも開催されているが、夜の繁華街を含め人が少なく景気の悪さを感じている。,
,,□,美容室（経営者）,お客様の様子,・客の商品の選定が、要るものと要らないものではっきりとしてきている。,
,,▲,商店街（代表者）,来客数の動き,・例年にない雪の多さで、中高年層の来街が多い中心市街地は極端に客足が落ちた。夜の飲食店にも同様の傾向がみられる。,
,,▲,商店街（代表者）,来客数の動き,・雪が多く、天候が荒れているので客足が非常に遅い。自宅待機が多いので人の動きが悪くなっている。,
,,▲,一般小売店［酒］（経営者）,販売量の動き,・昨年12月から酒の安売店を併営しているが、安売店の売上は良いところで推移してるものの、本来の業態での売上が良くない。客数は140～150％程増えているが、販売数量がおおむね２割減で推移しており、厳しい状態である。,・前年12月から酒の安売店を併営しているが、安売店の売上は良いところで推移してるものの、本来の業態での売上が良くない。客数は140～150％ほど増えているが、販売数量がおおむね２割減で推移しており、厳しい状態である。
,,▲,百貨店（売場主任）,お客様の様子,・３か月前は降雪が全くなく、冬物が動かず大幅に前年を割った月であったが、今月は逆に大雪の影響で春物が各部署で前年割れを起こしている。また、今月は大きな物産展があり、それ自体は健闘したが、百貨店全体での売上に対する効果は全くみえず、最低限の必需品に限った目的買いの傾向の強さが目に付いた。ここ何か月か同じ状況から脱していない。,
,,▲,コンビニ（エリア担当）,単価の動き,・客は安い商品へのシフトを強めており、客数があっても売上が追いつかない状況である。,
,,▲,コンビニ（エリア担当）,単価の動き,・客は価格に敏感であり、競合店よりも若干価格が高いときは販売量が下がる傾向にある。,
,,▲,コンビニ（店長）,単価の動き,・雪まつりは年間で大きなイベントの一つだが、近年、デジタルカメラやカメラ付き携帯電話の普及によりインスタントカメラやフィルムが全く売れなくなった。４～５年前であれば、こうした商品を観光客がたくさん購入するため、特に深夜帯の客単価が非常に良い状態で推移していたが、近年は全く売れず、来客数の減少とともに客単価も落ち込んでいる状態である。,
,,▲,家電量販店（店員）,来客数の動き,・今月の来客数は、最近３か月間の平均の80％程度であり、最近では最も悪い月となっている。前年比でみても90％程度の来客数となっている。,
,,▲,家電量販店（地区統括部長）,単価の動き,・好調であったデジタル家電が、ここにきて大幅に単価がダウンしている。,
,,▲,乗用車販売店（従業員）,来客数の動き,・来客が異常に少なくなってきている。,
,,▲,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・原油価格の高騰により石油製品の買控え、販売店の選別が行われている。,・原油価格の高騰により石油製品の買い控え、販売店の選別が行われている。
,,▲,観光型ホテル（経営者）,来客数の動き,・当社は現在リニューアル中なので、入り込み客は前年に比べて少なくなっているが、近隣のホテルの来客数についても昨年より悪くなっている。,・当社は現在リニューアル中なので、入込客は前年に比べて少なくなっているが、近隣のホテルの来客数についても前年より悪くなっている。
,,▲,タクシー運転手,来客数の動き,・２月は例年よりも降雪が多く、除雪体制も悪くなっているせいか、幹線道路では渋滞がひどく、幹線以外の道路も雪で道幅が狭くなっており、タクシーの輸送効率が極端に悪くなっている。また、雪まつり期間中のタクシーの利用客も例年より減っている。,
