Ⅰ．景気の現状に対する判断理由,,,,,,
,,,,,,
　景気の現状に対する判断の理由について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,
,,,,,,
,,,,,,
　１．北海道,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,景気の現状に対する判断理由,,
"家計
動向
関連

(北海道)",,◎,－,－,,
,,○,商店街（代表者）,,・夏日が続き、夏物衣料の売上が伸びている。,
,,○,百貨店（売場主任）,,"・生活必需品関連の売上、来客数の伸び率が高くなっている。特に、婦人服等の服飾を中心としたファッション関連の動きが良い。
・有珠山噴火の影響が和らぎ、交通網も復旧しており、観光客も増加してきている。",
,,○,コンビニ（エリア担当）,,・天候が良くなり、少しずつ売上が伸びている。,
,,○,コンビニ（エリア担当）,,・今月は天候に恵まれたせいで、売上が増加している。,
,,○,家電量販店（店員）,,・パソコン、エアコンがよく売れている。ただし、全体的にみると、売上はあまり伸びていない。,
,,○,乗用車販売店（従業員）,,・来客数が増加してきている。,
,,○,乗用車販売店（従業員）,,・当社の実績は良くないが、地域内での自動車販売台数が前年並みに回復してきている。,
,,○,高級レストラン（スタッフ）,,・これまで減少してきた来客数が増加してきている。,
,,○,一般レストラン（スタッフ）,,・来客数、売上の伸び率が少しずつ上がってきている。,
,,○,旅行代理店（従業員）,,・有珠山噴火、航空運賃改変、総選挙のトリプルパンチを懸念した今月だが、個人需要は堅調であった。一方で、法人需要は相変わらず低調である。,
,,○,美容室（経営者）,,・客の会話の中で、レジャー支出が増えているような会話が多くなっている。,
,,□,商店街（代表者）,,・衣料関係では毎月いろいろなイベントをやっている。イベントのときは客は金を持っているのに、普段は使わない傾向にある。,
,,□,百貨店（売場主任）,,・イベント、セールなどの客の入りが悪く、店全体の来客数が前年同月より減少し、売上も紳士、子供、食品などで苦戦している。,
,,□,スーパー（企画担当）,,・客単価が上昇せず、１品単価の低下傾向が続いている。,
,,□,スーパー（店長）,,・前月同様、客数は前年同月並みだが、１人当たり購入金額の低下が続いている。,
,,□,コンビニ（エリア担当）,,・客は必要以上の商品や量を買わず、買いだめしない傾向がみられる。客の財布のひもが固く、安いものや必要なものだけを買う傾向が続いている。,
,,□,家電量販店（店長）,,・依然として必需品しか売れていない。客に余裕がないように感じる。,
,,□,家電量販店（店長）,,・６月は小学校の運動会があるため、カメラが売れたのが目立ったが、相変わらず大型商品が動いていない。,
,,□,その他飲食［酒卸］（店長）,,・３か月前と比べて、天候が良くなっているので、人は出ているが、売上に変化がみられない。,
,,□,旅行代理店（従業員）,,・地元空港の発着人員が横ばいである。,
,,□,タクシー運転手,,・６月も引き続き、タクシーの実車率、利用客数が前年と比べ減少傾向が続いている。,
,,□,タクシー運転手,,・自分は例年並みに仕事が入るが、他のタクシー運転手などに話を聞くと、売上が低下して大変だということである。,
,,□,美容室（経営者）,,・天候が良かったので、若干の客数の伸びはあったが、あまり売上増加につながっていない。客単価も上がっていない。,
,,▲,商店街（代表者）,,・６月に入ってから、更に売上の落ち込みが続いている。今月の後半は少し持ち直したが、全体としては厳しい状況が続いている。,
,,▲,百貨店（売場主任）,,・夏のボーナスが非常に低下しているためか、紳士物の動きが悪い。単品買いになっているし、単価も低い。,
,,▲,スーパー（企画担当）,,・買上点数、一点単価ともに減少している。３か月前と比較すると、客の購買態度はいっそう厳しくなっている。特に紳士、婦人服が厳しい。,
,,▲,スーパー（店長）,,・客の消費動向が、必要な物しか買わない、安い物しか買わない、という傾向が強まっている。,
,,▲,衣料品専門店（店長）,,・今月は選挙があり、衣料品の売上が非常に悪い。,
,,▲,自動車備品販売店（店長）,,・高額商品であるオーディオ、ナビゲーションの動きが相当鈍くなっている。来客状況も良くない。,
,,▲,高級レストラン（スタッフ）,,・有珠山の影響で、本州からのツアーは催行中止、また、選挙期間中であったため、地元接待客も大きく減少している。,
,,▲,スナック（経営者）,,・選挙があり、来客数がとても少ない。,
,,▲,タクシー運転手,,・日中の乗客の乗り控えとともに、総選挙の影響も大きく出ている。,
,,▲,住宅販売会社（従業員）,,・住宅産業では、受注が前年を少し下回っている。,
,,×,商店街（代表者）,,・地下街の売上も厳しいし、流通業界全体の売上をみていて、非常に悪くなっている。,
,,×,高級レストラン（経営者）,,・有珠山噴火で、観光客が激減している。選挙中で、消費が非常に鈍っている。,
,,×,スナック（経営者）,,・今月に入り、衆議院解散から総選挙にかけて、ぱったりと客足が途絶えて、悪い状態が続いている。,
,,×,スナック（経営者）,,・国家公務員倫理法の制定や総選挙によって、人が街に出てこない。宴会がかなり減っている。,
,,×,観光型ホテル（役員）,,・洞爺湖は有珠山噴火のため休業しているが、登別はようやく風評被害から脱して上向いている。定山渓は依然として好調である。,
"企業
動向
関連

(北海道)",,◎,－,－,,
,,○,非製造業［建設機械リース］（営業担当）,,・期待したほどではないが、全体的には良い方向に向かっている。,
,,○,輸送業（総務担当）,,・荷動きが良くなっている。また、設備投資の動きもあるので、景気がやや良くなっている。,
,,○,司法書士,,・不動産の売買件数が増加してきている。,
,,□,非製造会社［建設機械リース］（従業員）,,・３か月前と比較して客の購買意欲はほとんど変わっていない。,
,,□,広告代理店（従業員）,,・よさこい、北海道神宮祭り、総選挙と、イベントが目白押しで、広告業は好調である。,
,,□,司法書士,,・不動産取引に関連する不動産投資意欲が依然として低調である。,
,,▲,食料品製造業（団体役員）,,"・業界企業の廃業、倒産が増加しており、製造出荷量が減少している。
・低価格輸入品により国内企業は大きな影響を受けており、対抗できない。",
,,▲,非製造業［建設機械レンタル］（総務担当）,,・機械関連の動きが止まっている。入札談合問題や、選挙が要因である。,
,,▲,輸送業（支店長）,,・当月に入り、業界全体をみて、引き合いや商談に停滞感が出てきている。,
,,×,非製造業［建設機械リース］（支店長）,,・手形の書換えが発生している。来客状況は良いが、客単価が下がっている。,
"雇用
関連

(北海道)",,◎,－,－,,
