Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（経営者）,来客数の動き,・国内客が増加しており、外国人観光客も減っていないことから、売上は前年比107％、一昨年比135％と好調である。外国人観光客による売上の占める割合は前月の約45％から20～30％とやや低下している。現政権の経済対策の効果が表れてきていることが実感できるようになってきた。
,,◎,一般小売店［土産］（経営者）,来客数の動き,・５月は外国人観光客の減る時期であるが、ＬＣＣの就航が増加していることで例年と比べて来客数が伸びており、売上も増えている。国内客についても大きな学会が開催されたことで週末を中心に来客数が上向いており、堅調に推移している。
,,○,商店街（代表者）,来客数の動き,・地域住民及び郊外からの買物客が微増している。また、商店街における道内外からの小グループの観光客が例年よりも多く、装飾品、衣料品などの業種を除けば売上が伸びている。特に飲食関連の業種では昼夜を問わず売上を伸ばしている店舗が多かった。
,,○,百貨店（売場主任）,単価の動き,・前月から継続した傾向だが、高額時計や特選ブランドなどの商材の動きが良く、客単価も上昇傾向となっている。高額商材の購買者も、かつてのような高齢者ばかりでなく、30代の若年層もみられるようになってきた。
,,○,百貨店（販売促進担当）,来客数の動き,・ゴールデンウィーク期間中の天候が余り良くなかったことで行楽需要が落ち込んだためか、月初から来客数がプラスで推移している。それに伴って販売量も堅調に伸びている。月後半になっても来客数の増加が続いており、しばらくの間はこの状況が続く。
,,○,家電量販店（店員）,販売量の動き,・５月初めからエアコンがよく売れている。また、見積りの引き合いも例年以上にある。
,,○,乗用車販売店（従業員）,販売量の動き,・売上が前年よりも僅かだが伸びている。
,,○,旅行代理店（従業員）,来客数の動き,・寒い日が散見されたが、おおむね天候が安定していたため、芝桜やチューリップなどの花観光が順調なスタートを切った。また、出張や視察旅行など、ビジネス客の動きも活発になっている。
,,□,商店街（代表者）,お客様の様子,・腕時計などの動きをみると、低価格帯から中価格帯のニーズの高い商材はネットショッピングで買われ、ベルトのサイズ直しに店に来るという客が目立っている。
,,□,商店街（代表者）,お客様の様子,・北朝鮮問題の動向が景気に影響している。
,,□,商店街（代表者）,販売量の動き,・今年の北海道は寒暖の差が激しく、衣料品が苦戦を強いられている。ただ、極端に景気が悪いわけでもなく、落ち着いた雰囲気がみられる。
,,□,商店街（代表者）,販売量の動き,・青果物の動きが活発化し始めた。
,,□,一般小売店［酒］（経営者）,販売量の動き,・５月の売上はとても良かった。ただ、高額商材であるウイスキーなどのキャンペーン効果による面が大きく、全体的に景気が上向いているという雰囲気はない。
,,□,百貨店（担当者）,販売量の動き,・店舗内でショップがオープンしたことで、当該ショップを含めた一部では販売量が伸びているものの、全体的には気温が低かったことの影響もあり、販売量が伸び切れておらず、トレンドは大きく変わっていない。
,,□,百貨店（役員）,お客様の様子,・社会情勢として景気が上向いているとの報道がみられるが、身の回りの景気はそう変わっておらず、ギャップがある。
,,□,百貨店（営業販促担当）,販売量の動き,・天候にも恵まれ、来客数はプラスで推移しているが、買上客数が前年割れとなっている。食品以外の商材は全体的にマイナス基調で推移している。
,,□,スーパー（店長）,お客様の様子,・５月はゴールデンウィーク、子供の日、母の日など、生活催事マーケットのある月だが、依然として客の節約志向が強い。高単価商材の動向が悪く、ついで買いも少なかった。
,,□,スーパー（店長）,来客数の動き,・５月はゴールデンウィーク明けから、売上が急激に減少している。客にとってお金に余裕のない状況が続いている。
,,□,スーパー（企画担当）,来客数の動き,・ここ数か月、来客数の減少が続いており、食品スーパーを取り巻く消費環境は必ずしも良くない状況にある。
,,□,スーパー（役員）,お客様の様子,・ゴールデンウィーク後半の悪天候により、観光、花見の動きが盛り上がらず、その後も悪い流れが続いている。
,,□,コンビニ（エリア担当）,来客数の動き,・来客数の前年比は３か月前より悪化しているが、ゴールデンウィーク時の悪天候による影響が大きく、その影響を除くと横ばいで推移している。
,,□,コンビニ（店長）,来客数の動き,・相変わらず来客数が前年を下回っている。
,,□,衣料品専門店（店長）,来客数の動き,・来客数に伸びがみられない。前年を下回って推移している。
,,□,乗用車販売店（経営者）,競争相手の様子,・各社共、週末のイベントでの客の入込が上向く様子がみられない。サービス部門のタイヤ交換での来店を除くと、ショールームでの商談も盛り上がりがみられない。
,,□,乗用車販売店（従業員）,販売量の動き,・景気が上向くことを期待しているが、良いとも悪いともいえない足踏み状態が続いている。
,,□,乗用車販売店（従業員）,販売量の動き,・新型車の効果に期待しているが、今のところ、景気は変わらない。
,,□,乗用車販売店（従業員）,販売量の動き,・新型車効果もあり、全拠点で目標販売台数を達成するなど、販売の動きが活発になっており、良い状態が続いている。
,,□,自動車備品販売店（店長）,競争相手の様子,・前年は国内タイヤメーカーの値上げを前にした駆け込み需要があり、タイヤを中心に売上が伸びたが、今年の売上は前年比90％前後と苦戦している。
,,□,その他専門店［医薬品］（経営者）,単価の動き,・タイムリーな情報発信を行う健康セミナーなど、顧客優遇策の効果もあり、顧客の動きがやや回復してきている。
,,□,高級レストラン（経営者）,お客様の様子,・当店は大きなショッピングセンターに入っているが、客の様子をみても買物しているような雰囲気がみられない。店内を歩いて買物している人も余り見掛けないことから、景気はそれほど上向きではない。ただ、観光客が段々と増えてきていることはプラスである。
,,□,高級レストラン（スタッフ）,来客数の動き,・４月下旬に桜が満開となったこともあり、５月に入ってからの客の勢いは前年並みとまではいかなかった。週末はランチ、ディナー共満席になるが、平日はランチのみがほぼ満席になる状況であり、売上は前年を10％下回る厳しい結果であった。
,,□,高級レストラン（スタッフ）,販売量の動き,・ゴールデンウィーク後に客単価が低下したが、売上はどうにか前年並みに収まった。野菜の価格高騰がようやく落ち着いてきて、安心して生野菜を使えるようになったこともプラスであった。ただ、この時期は、天候によって客の選ぶメニューが変わりやすく、雨だと来店せずに社内で弁当、曇ると温かいメニュー、晴れて気温が上がると冷たいメニュー又は辛いメニューを選ぶ傾向が強まる。月後半は、市内中心部で食のイベントが始まったことで、周辺の店舗では特に好天の日のランチに影響があったようだ。また、特に今年は25日の給料日以降、１万円札の使用が多く、両替が大変だったようだ。
,,□,観光型ホテル（スタッフ）,来客数の動き,・今年は前年に開催された大型国際学会に代わる案件がなく、落ち込み分をＷｅｂでの予約客でばん回している状況である。
,,□,旅行代理店（従業員）,お客様の様子,・前月と同様に、取引先企業での販売額が微増傾向で推移している。
,,□,旅行代理店（従業員）,競争相手の様子,・取扱実績が前年を下回っており、業界として需要が縮小傾向にある。
,,□,旅行代理店（従業員）,お客様の様子,・海外旅行の需要が回復してこない。
,,□,タクシー運転手,来客数の動き,・５月はゴールデンウィークなどで休日が多い月であるため、タクシーの利用がいつもより少なくなる。今年はゴールデンウィーク明けのタクシー利用も前年を下回っており、乗務員不足でタクシーの稼働率も悪いことから、売上は前年を大きく下回った。
,,□,タクシー運転手,来客数の動き,・業種的に夜間の人の流れに左右される面があるが、人の流れに特段の変化はみられない。販売量の落ち込みは、労務者不足による面が大きく、抜本的な解決の道が見えない状況にある。
,,□,タクシー運転手,来客数の動き,・５月も厳しい景気状況に変わりがない。以前はこの時期になれば、観光客、地元客にそれなりの動きがみられ、まずまずの売上があったが、今年は観光客、地元客共、動きがみられず、前年実績を下回っている。
,,□,通信会社（社員）,来客数の動き,・ゴールデンウィーク明けから来客の動きが鈍化している。
,,□,通信会社（企画担当）,販売量の動き,・客が格安の競合会社に流出する動きが３か月前と変わらずにみられる。
,,□,美容室（経営者）,販売量の動き,・ゴールデンウィーク明けの来客数がかなり減少していたが、後半になってばん回してきたことで、結果的には例年並みの売上となった。
,,□,美容室（経営者）,販売量の動き,・技術売上、店販売上共、ここ３か月、ほぼ変わらないで推移している。
