Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,住宅販売会社（経営者）,お客様の様子,・円安や株高の影響で消費が上向いてきており、消費税が上がる前の駆け込み需要も徐々に出てきている。
,,○,商店街（代表者）,お客様の様子,・天候に左右される日が続いているが、気温のかなり低い日が続いたため、今月前半から半ばにかけて冬物がかなり消化でき、特に単価の高いコートが売れ続けた。また、春物を探している客が多く、春物の動きも比較的早い。
,,○,一般小売店［土産］（経営者）,お客様の様子,・大雪による交通の寸断が多い中でも、前年売上をクリアしている。台湾、香港からの観光客に加えて、シンガポールやタイからも観光客が訪れるようになった。また、市内では大雪の影響で除雪の回数が増えており、建設業者の笑い声が聞こえるほどである。
,,○,コンビニ（エリア担当）,来客数の動き,・工事現場従業員の来店が増加している。
,,○,家電量販店（地区統括部長）,販売量の動き,・前年は、地上デジタル放送への完全移行後にテレビの不振が継続していたが、ここへきて回復傾向にある。
,,○,乗用車販売店（従業員）,販売量の動き,・来客数が増加しており、自社の販売は順調である。他業種でも受注量の増加がみられることから、やや良くなっている。
,,○,乗用車販売店（従業員）,販売量の動き,・周りの競合店も販売台数が増えてきており、暖かくなるにつれて、全体的に景気が上向いてきている。
,,○,乗用車販売店（営業担当）,販売量の動き,・受注量が増加している。新年になってからも、前年末の予測を10％程度上回る状況が続いており、メーカーが今年の計画を上方修正する動きもみられる。
,,○,自動車備品販売店（店長）,来客数の動き,・クッションやマット、芳香剤等の車内用品の動きが前年よりも良い。客の車も新しい車両が目に付くことが多く、買換えよりも新規購入が増えている。
,,○,スナック（経営者）,来客数の動き,・前年や前々年と比べると客が増えており、やや良くなってきている。
,,○,観光型ホテル（経営者）,来客数の動き,・冬のイベントと中華圏の春節が重なったことから、今月の来客数は改善した。しかし、前月の反動で増えている部分もあり、３か月前に比べて本当に景気が良くなっているか判断に難しい面がある。
,,○,観光型ホテル（スタッフ）,来客数の動き,・大型イベントやスポーツ団体の宿泊客を効率良く取り込むことができた。
,,○,旅行代理店（従業員）,お客様の様子,・３～４月の旅行商品に駆け込みでの依頼が目立つ。
,,○,旅行代理店（従業員）,来客数の動き,・１月半ばに流氷が接岸し、東京～女満別線の供給座席数が増えたこともあり、２月の流氷観光が好調である。また、前年に続き、春の甲子園に当地区の高校が出場することで、地域に明るい話題を提供している。
,,○,タクシー運転手,来客数の動き,・２月は例年より雪が多く、寒い日も多かった。天候の影響もあるが、雪まつりなどのイベントに前年よりも多くの人が訪れているため、タクシー１台当たりの売上も前年より５％程度増えている。
,,○,美容室（経営者）,販売量の動き,・前年12月から前年比５％増の売上が持続しており、今月も同じような勢いが続いている。客の来店周期も若干短くなっている。
,,○,住宅販売会社（従業員）,販売量の動き,・分譲マンションのモデルルームを訪れる客の数が増加傾向にあるなど、客が活発に動いている。このような状況の中、分譲マンションの販売戸数も順調に伸びている。
,,□,商店街（代表者）,来客数の動き,・来客数が減っている。例年にない寒さと雪が要因となっている。
,,□,商店街（代表者）,お客様の様子,・今月は例年にない豪雪の影響で、高齢者が多く来街する商店街にとっては来街者が少なくなっている。また、観光客も減少している。
,,□,商店街（代表者）,お客様の様子,・客の中でも景気が上向いているとも下がっているとも判断が付かない状況にある。
,,□,商店街（代表者）,来客数の動き,・スケート等の大会及び合宿が組まれていないため、当地への来街者はビジネスを除きほぼゼロの状態である。そのため、交通、宿泊、土産等の売上は伸びていない。また、円安及び株高の影響で景気が上向くとの希望も聞かれるが、農産物等の輸出時期にはまだ早い一方で、寒冷地である当地の実生活は原油価格等の高騰により厳しくなっており、地域住民の足も商店街から遠のいている。
,,□,商店街（代表者）,来客数の動き,・中国人客は相変わらず減っている。その代わり、流氷が早く来たことで日本人の来客数は若干増加している。売上は前年の80％程度である。
,,□,商店街（代表者）,お客様の様子,・景気の高揚感があるが、円安が進み、資材関係が値上がりしたため、納入単価や資材の値上げ要請があり、難しい状況にある。特に北海道は大雪の影響で客が家から出ようとしないため、消費への影響は多大である。
,,□,一般小売店［酒］（経営者）,単価の動き,・ここ数か月、販売量がより不振の傾向にあるが、前月からは客単価も非常に低下してきており、より安い商品にシフトする傾向が顕著に表れている。
,,□,百貨店（売場主任）,お客様の様子,・冬物のコート、ジャケット、ニット、パンツといった商材の販売量が前年実績を10％以上上回っている。例年であれば、２月下旬から春物の動きも出てくるが、今年は特に寒いこともあり、冬物バーゲンの動きが好調である。
,,□,百貨店（売場主任）,来客数の動き,・前年の悪天候によるマイナス分を今年のプラス要因として見込んでいたが、２月24日現在の売上は前年並みとなっている。前年よりも営業日数が１日減るため、２月の売上予測は前年比95％の見通しとなっている。買上客数も２月24日現在で前年比98.7％と前年割れが続いている。
,,□,百貨店（販売促進担当）,単価の動き,・記録的な大雪と低温の影響で、来客数に大きな影響が出ている。また、客単価も低下傾向にあり、雪害の影響が収まるまで、しばらくこの傾向が続く。
,,□,百貨店（販売促進担当）,それ以外,・プレタブランドの値上げ直前の駆け込み需要が全体を押し上げているものの、特需的な要因を除いた全体的な基調に変化はない。円安にともない灯油やガソリンが値上がりしている影響で、客が余計なものを買い控えている。
,,□,百貨店（役員）,単価の動き,・全体としての景気が良くなっているとは感じないが、先日行われたホテル催事においてクレジット客の客単価が前年比130％を超えた。宝飾品や時計の高額品が売れていた。
,,□,スーパー（店長）,販売量の動き,・前月に引き続き販売量が前年比91％となっており、３か月前と比較しても数値は右肩下がりで足踏み状態にある。
,,□,スーパー（店長）,販売量の動き,・世間で言われているような株高や円安の動きは、まだ現場まで波及してきていない。販売量の動きは相変わらずあまり良くない。
,,□,スーパー（企画担当）,単価の動き,・販促チラシを出す頻度が相変わらず高く、特売価格の強度にあまり変化のない中で、一部食料品の値上げが発表されている。ガソリン代、電気料金の値上げ等もあり、足元の動きは景気対策の効果よりも家計の圧迫要因の影響が大きい。
,,□,スーパー（役員）,来客数の動き,・２月に入り、過去数か月と異なり、来客数が前年比で１％前後上回っているが、商品単価や買上率が前年より低下しており、客単価が前年比で1.5％程度低下している。結果として、既存店ベースの２月の売上は前年比で１％前後のマイナスで終える見込みであり、厳しい状況に変わりはない。
,,□,コンビニ（エリア担当）,来客数の動き,・今年は大雪と低温の影響により、早朝と夜間の来客数が前年よりも２％減少している。
,,□,衣料品専門店（店長）,お客様の様子,・客の話を聞いていても、客の様子を見ていても、あまり景気の回復は感じられず、停滞したままである。
,,□,衣料品専門店（店員）,お客様の様子,・円安傾向にともなう暖房や灯油、ガソリン等の値上げが消費者の家計を圧迫している。売上も前年から減少している。
,,□,家電量販店（店員）,販売量の動き,・２月は来客数、売上ともに前年を上回ることができなかった。客単価も前年から横ばいである。必要以外の商品には手を出さない傾向がある。
,,□,乗用車販売店（従業員）,販売量の動き,・時期的に人の動きは良くなってきているが、前年比較でみると３か月前と変わらない傾向で推移している。
,,□,その他専門店［医薬品］（経営者）,単価の動き,・２月は営業日数も少なく、大雪等の天候の影響による来客数の減少は甚大であった。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品価格が高水準にあるため、客の節約志向が強い。
,,□,高級レストラン（経営者）,来客数の動き,・今年の雪の多さが大きな影響を及ぼしている。
,,□,高級レストラン（スタッフ）,販売量の動き,・２月上旬は外国人観光客の入込も良く順調であった。大雪の影響で交通機関が運休したことで苦戦した日もあったが、全体では売上が前年比でプラス10％とまずまずであった。
