Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,商店街（代表者）,来客数の動き,・例年どおり、ゴールデンウィークの来街者は少なかったが、極端な落ち込みはなかった。一方、中旬以降は徐々に来街者が増え始めた。また、外国人観光客も時折見られるようになり、エステ及び化粧品関連の販売量がわずかではあるが増加した。
,,○,一般小売店［土産］（経営者）,販売量の動き,・ゴールデンウィークの天候は良いとは言えなかったが、中国人観光客が増加しており、全体の販売量の約３分の１を占めている。これまで、当店の主力商品である昆布を買う中国人はあまりいなかったが、中国語の看板を揚げたことで、ゴールデンウィークを含む10日間の販売量は前年比108％となった。
,,○,百貨店（売場主任）,販売量の動き,・商品単価は低下しているものの、販売量についてはやや上向きとなっている。
,,○,百貨店（販売促進担当）,販売量の動き,・買上客数が前年を上回ってきている。来客数が前年から伸びつつあり、特に食品の買上客数が伸びている。
,,○,百貨店（販売促進担当）,来客数の動き,・来客数が増加傾向にあり、それに伴って売上も堅調に推移している。ゴールデンウィークも同様の傾向がみられたことから、消費者の購買意欲は高まっている。
,,○,スーパー（店長）,販売量の動き,・気温が高くなり、夏物商材が好調に推移している。今までは安い商品だけが目立った動きを見せていたが、今月はその偏りがなくなってきている。品質が良く、値ごろ感のある商品を求める傾向が強くなってきている。
,,○,スーパー（役員）,単価の動き,・１～２月と比較して、商品の平均単価が前年比で３～４ポイント上昇している。客単価もほぼ前年並みとなり、客単価が下げ止まっている。また、価格の安いディスカウント商品から価格帯が少し上の商品に移行している動きもみられる。
,,○,観光型ホテル（スタッフ）,販売量の動き,・販売量がやや増加している。ただ、取引先との会話では、相変わらず景況感が悪いとの認識が多く、売上には結び付いていないのが現状である。
,,○,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・この時期としては予想以上に観光客が多く、販売量が増加している。
,,○,設計事務所（所長）,お客様の様子,・５月に入ってから、問い合わせ件数が急に増えている。
,,□,商店街（代表者）,販売量の動き,・天候不順の影響でゴールデンウィークの観光客が伸び悩んだことから、飲食関連が前年を下回っている。
,,□,商店街（代表者）,お客様の様子,・天候不順のせいもあるが、季節商材の出足はまだまだの感がある。セールの状況をみても、先が見えない社会情勢に合わせて客の活力を感じられない。ただ、少しずつ動きが出てきているようにも感じられる。
,,□,商店街（代表者）,単価の動き,・来客数はさほど変わりがないものの、単価の低い商品を中心に購買がみられる。ただ、３か月前と売上を比較すると、数字的にはそう変わらない。
,,□,商店街（代表者）,来客数の動き,・観光客が減少していることから、来客数が減少している。
,,□,商店街（代表者）,お客様の様子,・客の様子をみても、動きがつかめないことから、まだ様子を見ている状況にある。
,,□,一般小売店［酒］（経営者）,販売量の動き,・５月はゴールデンウィークの観光客の入込に期待していたが、気温が上がらなかったことから、人出が今一つであった。得意先の飲食店も来客数を減らしているうえ、客の財布のひもが固く、なかなかお金を使ってくれない。ゴールデンウィーク後は減速感が更に強まっており、売上の悪い状況が続いている。
,,□,百貨店（売場主任）,単価の動き,・売上が前年比103％、来客数が前年比102％、客単価が前年比101％と久々に前年を上回った。ただ、婦人服については、微減ではあるものの、前年を下回る状況が続いている。
,,□,百貨店（役員）,販売量の動き,・相変わらず客単価の低下がみられるが、一部の商品では質の良い物を求める傾向が出てきている。
,,□,スーパー（店長）,販売量の動き,・今月は食品や住まいの商品と比べて、衣料品の動きが特に悪い。母の日のギフトも前年と比べて、客単価が約１割低下している。天候不順の影響により、客単価と販売量がともに悪い状況であった。
,,□,スーパー（企画担当）,単価の動き,・商品単価の低下は続いているが、下げ幅が小さくなっており、そろそろ底が見えてきている。
,,□,スーパー（企画担当）,販売量の動き,・従来は商品単価の低下を買上点数の増加でカバーして、客単価を維持していたが、ここにきて買上点数の伸びがやや鈍ってきている。来客数の前年割れが続いているため、客単価の増加幅の縮小に伴って、売上も厳しさを増している。
,,□,コンビニ（エリア担当）,来客数の動き,・気温の低下が続いていることから、農家や観光面への影響がみられ、店舗の来客数にも影響が生じている。
,,□,衣料品専門店（店長）,お客様の様子,・少し暖かくなってきたので、多少は景気が良くなるかと期待していたが、客の出方をみると、割と街に出てきてはいても、それが売上に全く結び付いていない。
,,□,家電量販店（店長）,単価の動き,・前年度のエコポイント制度の終了に伴い、４月以降は主力の薄型テレビにおいて、反動が強く出ている。前年比でみると、販売量は大幅に増加しているが、客単価が前年比70％を下回るなど、単価が大きく低下している。２台目需要として小型テレビが伸びていることも要因の１つである。
,,□,乗用車販売店（従業員）,販売量の動き,・環境対応車への補助金制度が延長されたことから、前年比での好調さは持続している。一方で中古車の動きが鈍っており、総じて大きな変化は感じられない。
,,□,乗用車販売店（営業担当）,お客様の様子,・前年の新商品発売に伴って、先取り需要があったことから、今年に入って受注はほぼ横ばいで推移している。今年は新商品が出ないことも影響している。
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・車用燃料の販売量が前年に比べて10％落ち込んでいる。
,,□,高級レストラン（スタッフ）,販売量の動き,・ゴールデンウィークの売上は前年並みであったが、その後の各週末は前年を上回り、全体では前年比101％となった。月後半の天候が悪く心配したが、まずまずであった。
,,□,高級レストラン（スタッフ）,販売量の動き,・ゴールデンウィークは例年並みであったが、ゴールデンウィーク後に落ち込んだことから、月全体ではやや悪い状況であった。長めの連休だったためか、月末の給料日後も前年を下回ったままであった。売上が伸びないなか、他店では、アルバイト従業員の出勤時間を制限する例もみられる。
,,□,高級レストラン（スタッフ）,来客数の動き,・例年、ゴールデンウィーク後の来客数は減少傾向となるが、今年はその傾向が強く、前年を約10％下回って推移している。特にランチ客の利用が少ない。
,,□,観光型ホテル（経営者）,単価の動き,・前年のような新型インフルエンザの影響もないことから、来客数は持ち直しの動きがみられるが、旅行会社商品、インターネット商品ともに単価の低い状況が続いている。
,,□,観光型ホテル（経営者）,それ以外,・従来の個人客の主流であったビジネス客に加えて、主要エージェントの第１ブランドがほとんど壊滅的である。本来、高単価であるべき首都圏からは、低単価のものしか動かない。ただ、ゴールデンウィーク期間に一部動きがみられたほか、セールスの効果なのか会議等の団体利用、いわゆるＭＩＣＥへの反応がみられた。
,,□,旅行代理店（従業員）,販売量の動き,・個人旅行については、国内が足踏み状態であるものの、海外が前年比108％と好調である。一方、法人需要については、依然として伸び悩んでいる。
,,□,旅行代理店（従業員）,販売量の動き,・今月はゴールデンウィークがあったにもかかわらず、海外旅行が少なく、国内、海外ともにツアーが小ぶりになっている。
,,□,旅行代理店（従業員）,販売量の動き,・前月は少し良くなっているように感じたが、今月はあまり変わっていない。
,,□,タクシー運転手,販売量の動き,・３か月前と比べると、タクシーの売上が約５％落ち込んでいる。落ち込み幅は前年も同じような状態であったが、体感的にはかなり落ち込んでいるような印象がある。
,,□,タクシー運転手,来客数の動き,・電話注文数が減少しており、前年比で数％の減少となっている。また、来客数も減少している。
,,□,観光名所（役員）,来客数の動き,・ゴールデンウィークは天候が良かったものの、桜の開花が遅れたこともあり、個人客を中心に動きが今一つであった。ただ、台湾・韓国等の観光入込が順調なことから、前年並みの来客数は確保できそうである。
,,□,観光名所（職員）,来客数の動き,・北海道観光も繁忙期に入り、来客数は３か月前と比較して133％の増加となった。国内では修学旅行での利用がみられたほか、海外ではシンガポールやマレーシアからの利用者が増加となった。一方、国内の個人旅行客や台湾・韓国からの利用者は減少した。
,,□,パチンコ店（役員）,お客様の様子,・来客数は若干ではあるが底を越えた感がある。一時期に比べて、今の環境下での消費に対する考え方に慣れたのか、落ち着きを見せているようである。
