Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,自動車備品販売店（店長）,販売量の動き,・東日本大震災後、遅れていた新車の納車が戻ってきており、車の納車に合わせて、タイヤ、カーナビなどの需要が大きく伸びている。
,,○,商店街（代表者）,お客様の様子,・天候の変化に多少左右されるものの、２度の３連休で客の入込がみられた。また、今月に入り、秋物の購買意欲が上向いてきており、客の買上が増加傾向にある。
,,○,百貨店（販売促進担当）,来客数の動き,・台風の影響で客足が鈍った時期もあったが、３連休が２回あったことがプラスに働き、月全体の来客数が伸びている。
,,○,その他専門店［医薬品］（経営者）,単価の動き,・客の購買意欲がやっと回復してきた。
,,○,旅行代理店（従業員）,販売量の動き,・８～９月にかけて北海道発着航空機の搭乗率が上がってきていることから、ビジネス、観光ともに東日本大震災の影響を脱して、人の動きが活発になってきている。また、団体型から個人型の旅行にシフトする傾向がみられるのに伴い、航空券単価が前年よりも上昇している。
,,○,タクシー運転手,販売量の動き,・３か月前と比較すると、売上は約18％の増加となり、前年の約15％の伸びを上回った。東日本大震災の影響も徐々になくなり、観光客も大分戻ってきている。売上も前年実績並みとなったことから、景気はやや上向いている。
,,○,通信会社（社員）,お客様の様子,・客の消費への意識が、今はがまんの時から必要なものであれば購入しように変わってきている。ただし、購入する際は慎重に内容を吟味しており、必要最低限の物を低価格でという選択になっている。ぜいたくや付加価値を求めるまでの消費意識の向上まではまだ達していない。
,,○,観光名所（従業員）,来客数の動き,・３か月前の６月の来客数は前年比70％だったが、９月は26日現在で前年比84％と回復傾向にある。
,,○,美容室（経営者）,お客様の様子,・３か月前と比較すると、確実に消費に活気が出ている。客の来店頻度も上向いてきている。
,,○,住宅販売会社（従業員）,販売量の動き,・今月発売した新規分譲マンションの販売動向が良い。条件の悪い物件は若干売れ残るとみられるが、即月完売の勢いである。完成在庫の販売も順調に推移しており、現在の新築分譲マンション市場における需給関係は良好である。
,,□,商店街（代表者）,お客様の様子,・セールなどに対する客の関心は以前より良い方向に向かっており、少しずつではあるが購買につながってきている。また、東南アジア等からの旅行客も徐々に増えてきている。
,,□,商店街（代表者）,お客様の様子,・季節的に旅行客が増加しているが、全体的には何ともいえない状況である。
,,□,商店街（代表者）,お客様の様子,・来客数も販売状況も変化がみられない状況である。
,,□,商店街（代表者）,来客数の動き,・８月のイベント終了後から、来客数が減少し続けている。住民の出控えに加えて、観光客が期待以下で推移していることが要因とみられる。また、歩行者天国が25日で終了したことから、月末において街中に勤務している人以外の買物客が激減した。
,,□,一般小売店［土産］（経営者）,販売量の動き,・８月は涼しい北海道を訪れようという旅行客が多くみられたが、９月は７月並みに来客数が減少している。客単価も20％程度落ち込んでいる。
,,□,一般小売店［酒］（経営者）,販売量の動き,・来客数は３か月前と比べてほとんど変わっていないが、販売量がなかなか増えてこない。底をはっているような雰囲気がある。
,,□,百貨店（売場主任）,単価の動き,・９月25日現在、全店での売上が前年比93％と前月を下回っている。来客数も前年比92.5％、客単価も前年比99.9％と前月より低下している。
,,□,百貨店（販売促進担当）,来客数の動き,・新規商業施設の開店やイベント開催等の外的要因により、瞬間的に来客数が増加したものの、これらの特殊要因を除いた部分での来客数減少の傾向は変わらない。
,,□,百貨店（役員）,お客様の様子,・前年のエコポイント制度の反動で家電、特にテレビの売上が大幅に減少している。衣料品やブランドバックは、前年並みか前年を上回る来客数があるものの、客単価の下落が顕著である。その一方で、大型テレビなどの高級品が一部で売れており、顧客の動向がつかみづらい。
,,□,コンビニ（エリア担当）,来客数の動き,・雨の日が多かったことや平均気温が前年より低かったことが影響し、気温に連動する商品群で伸び悩みがあった。
,,□,乗用車販売店（従業員）,販売量の動き,・前年と比較すると受注は40％以上伸びているが、前年はエコカー補助金終了後の落ち込みが大きかったため、比較にはならない。全体的には３か月前並みの状態が続いている。
,,□,乗用車販売店（従業員）,来客数の動き,・販売台数は回復してきているが、ハイブリッド車や小型車が中心のため、売上的に厳しい状況にあることに変わりがない。
,,□,乗用車販売店（営業担当）,来客数の動き,・大型イベントへの来場者が減ってきている。その結果、受注量も目標未達の状態となっている。
,,□,高級レストラン（経営者）,来客数の動き,・夏は観光客の入込が例年どおりだったが、９月に入って観光客の入込が減っている。地元客もあまり消費行動を行っていない。
,,□,高級レストラン（スタッフ）,単価の動き,・来客数は前年を２％下回ったが、客単価が５％上回ったことで、売上は前年を上回った。客の年齢層が高いことが客単価上昇の要因とみられる。
,,□,スナック（経営者）,来客数の動き,・相変わらず人出のない状況が続いている。
,,□,観光型ホテル（経営者）,単価の動き,・需給バランスが崩れており、オンシーズンでも料金を下げざるを得ず、収入の減少となっている。さらに、法人団体が極端に減少したことで館内の物販単価も低下しており、来客数の増加ではまかないきれない状況にある。
,,□,観光型ホテル（スタッフ）,単価の動き,・近隣アジアからの観光客が前年比20％前後となっている。その部分を国内の募集型旅行商品でカバーする形となっており、全体の宿泊人員はほぼ前年並みとなったものの、客単価は前年比95％にとどまった。
,,□,タクシー運転手,来客数の動き,・９月は雨の日が多かったこと、台風などで天候の悪い日が多かったことから、タクシーの利用が多く、売上が前年をやや上回った。
,,□,観光名所（職員）,来客数の動き,・東日本大震災及び福島第一原子力発電所の事故の影響も落ち着き、国内の利用客が増加傾向にある。東南アジアを始めとした海外の利用客は少しずつ戻りつつあるが、回復力は弱い。
,,□,パチンコ店（役員）,お客様の様子,・サービス業、飲食業への客足は３か月前とさほど変わっていない。レジャー業に関しては、来客数が増えているようであるが、東日本大震災後の自粛により延期されたものが、現在になってみられるようになっているだけである。
,,▲,百貨店（売場主任）,来客数の動き,・９月上旬に台風の影響で雨が続き、中旬にも同じく台風の影響で雨が続いたことで、秋物の動きが少しみられつつあったが、その後、フェーン現象の影響で気温が30度を超える日が２日みられるなど、暑い日が続いたことで、秋物の動きが厳しくなっており、ジャケット、スカートの売上が前年比90％台となっている。ただし、ニットについては前年並みと好調である。
,,▲,スーパー（店長）,販売量の動き,・新規店舗が２店出店したこと、他社の業態変換により２店が新規オープンしたことに加えて、４月からの自社店舗のオープンの影響により、競争環境が厳しくなっており、今月の販売量は前年比で12％の減少となっている。
,,▲,スーパー（店長）,来客数の動き,・商圏が広域であるため、高速道路の無料化社会実験終了後の来客数が減少している。週末でのまとめ買いが減少しており、売上に影響がある。また、集客要素での催事や売り出しが減少した影響もみられる。客の様子をみると、遊びの要素ではあまり支出をせず、セールスに対しても敏感である。
,,▲,スーパー（店長）,販売量の動き,・７～８月と比較的堅調に推移したが、９月に入ってから、家電が低迷している。前年との比較では、たばこ増税前の駆け込み需要に伴う上乗せ分がマイナスとなっており、販売量が低下傾向となっている。
,,▲,スーパー（役員）,単価の動き,・前年はたばこの値上げの影響で９月に駆け込み需要があり、来客数も増加した。判断が難しいが、今年９月のたばこを除く客単価は前年並みとなっている。前月との比較では、客単価が前年比で１％低下しており、東日本大震災後、消費者が小売価格に対して、ますますシビアになってきている。また、来客数の減少から、買物回数が減ってきている傾向がうかがえる。
,,▲,スーパー（役員）,お客様の様子,・前年はたばこ値上げ前の駆け込み需要があったため、前年比較では売上が悪いように見えるが、食品の販売動向は堅調に推移している。
,,▲,コンビニ（エリア担当）,販売量の動き,・前年のたばこ増税に伴う特需の反動はあるが、連休中の来客数と販売量の減少が顕著である。東日本大震災以降の行楽の動きが依然として鈍いことが要因とみられる。
,,▲,家電量販店（店員）,それ以外,・今月もテレビの需要減少が続いている。
,,▲,高級レストラン（スタッフ）,来客数の動き,・売上は例年並みであるが、やや落ちてきた感がある。８月に開催した割引メニューは好評であったが、９月は行わなかったため、前月より来客数が減少している。
