Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,商店街（代表者）,単価の動き,・客数的にはさほど変わらないが、防寒衣料中心ということで、確実に商品単価が上がっている。
,,○,スーパー（店長）,販売量の動き,・前月より２％ほど販売数量が落ちているが、去年よりも日曜日が一回少ないことを考えれば、実質的には落ちていない。
,,○,美容室（経営者）,販売量の動き,・低価格の商品ではあるが、商品の説明をすると買い求める客が多くなってきている。
,,○,設計事務所（所長）,競争相手の様子,・相対的に仕事量が増え、活気付いてきている感がある。工事中の物件でも、材料や職人の手が足りないという言葉も聞こえている。バブル期以来、久しぶりに聞くフレーズだ。
,,○,設計事務所（職員）,それ以外,・直近１か月の間に、規模は小さいが工場増設や本社ビル建設の設計依頼が来ている。相変わらず不況が続き、閉塞感が漂っているが、社員の意識を高揚し社業の発展を目指したいということが依頼主の考えで共通している。新規公共事業がほとんどない状況であるが、若干景気が上向きとなっている材料としてとらえたい。
,,□,商店街（代表者）,お客様の様子,・冬物の本格的なシーズンに入ってきたが、客は本当に必要な物のみ購入することが多くなってきており、特売等にはなかなか厳しい反応となっている。
,,□,一般小売店［酒］（経営者）,販売量の動き,・依然として客の反応は良くない。３か月前と比べて改善の様子はみられない。
,,□,百貨店（販売促進担当）,販売量の動き,・主力のコート、ブーツ等の動きが悪い。試着をするなど、購入を考えている客はみられるが、他店との比較したうえでの検討に加え、もう少し寒くなってから購入するといった声もあり、暖冬の影響も大きい。
,,□,百貨店（役員）,お客様の様子,・気温が高く、初雪も遅れているため、季節商材としての防寒衣料、特に重衣料、防寒靴等の購入が少なく、極端に売上が不振である。前年比75％から85％で推移している。また、ボーナス支給時期も近くなっているのに話題にもならない。
,,□,スーパー（店長）,来客数の動き,・11月前半の悪天候もあり、客数が日々前年を割り込んでいる。また、気温も下がらず、重衣料の売行きも例年になく不振が続いている。
,,□,コンビニ（エリア担当）,来客数の動き,・客数については前年との変化はなく、横ばいの状況が続いている。買上点数についても、同じ傾向が続いており、景気が上向きになっているとは判断しにくい状況である。
,,□,コンビニ（エリア担当）,単価の動き,・特売品など価格の安い物については、実売数が上がるが、通常商品の実売数が上がらない。
,,□,コンビニ（店長）,販売量の動き,・来客数、客単価ともにこれ以上下がらないところまできているので、その面での変化は特にみられない。買物点数がもう少し増えればと思うが、飲物・食料品についてはコンビニで買い、その他の雑貨品については多少離れていても大型激安店、ドラックストア、100円ショップ等まで買いに行くという傾向が見受けられる。
,,□,衣料品専門店（店長）,お客様の様子,・今年の秋はわりと暖冬で、冬物の衣料や靴などがあまり売れてない。また、客の話では、石油の値上げを心配しており、これから大変だという声が非常に多くなっている。
,,□,家電量販店（経営者）,お客様の様子,・客は製品が故障しても、すぐに買換えをする傾向になく、修理が可能な場合は修理になってしまう。
,,□,乗用車販売店（従業員）,競争相手の様子,・新型車両が出た会社は、それなりの数字が上がっているが、そうでない会社については前年を下回っている。
,,□,その他専門店［医薬品］（経営者）,来客数の動き,・１日当たりの客数が、前年より20名程度ダウンしている。１か月で600名も客数減となるなど異常な状況である。
,,□,高級レストラン（スタッフ）,来客数の動き,・観光客のシェアはおおむね７割であるが、団体旅行の減少が顕著であり、観光客の入込数は10％減となっている。
,,□,高級レストラン（スタッフ）,販売量の動き,・前半の売上はひどかったが後半から盛り返し、レストランは昼、夜とも前年を超えた。昼は雑誌の企画が好評となり、夜はボジョレーヌーボーに合わせたディナーの売行きが良かった。会社の観楓会の代わりで高単価での個室利用もあり、個室の売上も前年を超えた。接待も含めて、昼食時に会社員のグループが増えてきたようだ。
,,□,観光型ホテル（経営者）,来客数の動き,・来客数の動きは前年と比べてほとんど変化がない。
,,□,観光型ホテル（スタッフ）,販売量の動き,・ツアー客が不振であり、これを個人、団体、外人客の層でカバーできない状態が続いている。
,,□,タクシー運転手,お客様の様子,・降雪期にもかかわらず好天が続いており、客の需要は今一つである。また、今冬の北海道は、原油の値上がりから灯油の価格が上昇していて、一段と節約ムードが高まっている感がする。
,,▲,商店街（代表者）,販売量の動き,・暖冬傾向は今月も続いており、衣料品関係が前年を割っている。航空便の減少の影響もあり、観光客は減少しており、飲食店は良くて前年並み、ほとんどが前年割れとなっている。
,,▲,商店街（代表者）,来客数の動き,・月間を通じて来客数が低調である。
,,▲,商店街（代表者）,来客数の動き,・年末を控えて、お金のかかるケースが色々とあるためか、全体的に客数が少なくなっており、買うものが偏っている。
,,▲,百貨店（売場主任）,お客様の様子,・３か月前との比較で来店客数は、過去に記憶がないほどの落ち込みようである。また、１人当たりの平均購買額をみると、各カテゴリーでのバラツキはあるが、総じて減少している。当店の顧客を招待する企画でも、過去最低の落ち込みを記録した。お金を使う人が減り、使う金額までも減少しているということは、お金が出回っていないことであり、景気が悪い時の見本のような構図になっている。
,,▲,百貨店（売場主任）,来客数の動き,・今年は暖冬の影響で、コート、ジャケット、毛皮等の動きがまだ鈍い。
,,▲,百貨店（売場主任）,お客様の様子,・旭川の場合、冬がかなり厳しいので、例年であれば、雪が降らなくても冬に備えた商品の販売ができるのだが、今年に限っては、コート類、特にカシミヤ等のベターコート類は低迷が続いている。
,,▲,スーパー（店長）,来客数の動き,・プロ野球チームの優勝セールの反動に加えて、気温の高い日が続いていることから、11月の売上は前年比90％と低迷している。特に衣料品の売上は前年比80％と苦戦状況にある。客数も前年比90％と低調である。
,,▲,コンビニ（エリア担当）,来客数の動き,・来客数が増えない。給料日後における買物も節約傾向が出ている。
,,▲,コンビニ（エリア担当）,来客数の動き,・前年より雨の日が多く、特に週末の雨が多くなっている状況であるため、フリーの客が良く買う飲料水、たばこ、ビールの売上が減少している。
,,▲,衣料品専門店（店員）,販売量の動き,・２週目以降の売上が前年と比較しても特に悪く、ここ３か月でも最低の結果であった。
,,▲,乗用車販売店（従業員）,来客数の動き,・新規来場者が前年より少なくなっており、新規の販売台数が思ったより伸びない。
,,▲,旅行代理店（従業員）,来客数の動き,・10月下旬より11月にかけて、来店客数や問い合わせの電話の本数が激減している。
,,▲,旅行代理店（従業員）,販売量の動き,・１月の重点商品である関東圏のテーマパークの出足が大変不調で、近場での温泉旅行に切り替わっている。また、海外旅行も第４四半期の中心であるハワイの申込が前年よりも伸びていない。北海道の数字は東京に比べて前年比で30ポイントぐらい悪くなっている。
,,▲,タクシー運転手,来客数の動き,・11月は天候が良く、暖かい日が多かったので、前年に比べてタクシー利用客が減っている。
,,▲,住宅販売会社（従業員）,来客数の動き,・相変わらずマイホームセンターとモデルハウスの来客数が良くない。
,,×,乗用車販売店（役員）,販売量の動き,・前年の販売台数がキープできない。
,,×,一般レストラン（スタッフ）,来客数の動き,・前月まで順調に推移していた来店客数が今月に入ってから大幅に落ち込んだ。新潟中越地震や台風のほか、保険料率アップ、原油価格の高騰など、逆風となる要素が多かった。
,,×,スナック（経営者）,来客数の動き,・飲食店街の客離れがひどくなっている。前年度、前々年度より客の来店数が少なく、景気回復から離れているのではないかと思う。
,,×,観光型ホテル（経営者）,来客数の動き,・宿泊客数が激減している。特に道外からのツアー客は、少ないのではなく、確実にない状況である。色々な商品をエージェント等と企画し募集しているが食い付きが悪い。道内客も、企業向けに営業しているが話がまとまらず、湯治客の問い合わせも少ない。総消費単価は微増しているが、客数減を到底カバーできない状況である。
,,×,住宅販売会社（従業員）,販売量の動き,・市場が落ち込み、販売量が非常に低下していることに加えて、一点当たりの単価がかなり落ち込んでいる状況である。
"企業
動向
関連

(北海道)",,◎,－,－,－
,,○,家具製造業（経営者）,受注量や販売量の動き,・企業業績の好転に伴い法人需要も回復しつつある。
