Ⅰ．景気の現状に対する判断理由等,,,,,,
,,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,,
,,,,,,
,,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(北海道)",,◎,＊,＊,＊,
,,○,商店街（代表者）,単価の動き,・中心部でイベントが集中して行われたため、観光客や家族連れが多く訪れ、単価も上向きであった。,
,,○,百貨店（売場主任）,お客様の様子,・今月は観光客や帰省客が例年より多く感じられるが、前年との比較では横ばいでの推移となっている。一方で、単価はやや高めで推移しており、全体としてはやや良くなっている。,
,,○,スーパー（店長）,販売量の動き,・相変わらず売上不振が続いているが、７月、８月と販売量は少しずつ増えている。３か月前と比較すると、８月の売上は６％ほど増えており、前年比でも101％とやや上向いている。,
,,○,スーパー（企画担当）,単価の動き,・半年以上にわたり、既存店の売上が前年実績を上回っている。ただし、そのような状況であるにもかかわらず、景況感に乏しいという実感もある。,
,,○,衣料品専門店（店長）,単価の動き,・客の買上点数はやや減っているものの、客単価が上昇しており、全体としてはやや良くなっている。,
,,○,家電量販店（経営者）,販売量の動き,・地上デジタル放送の開始間近でテレビ、ＤＶＤレコーダーなどのデジタル商品が好調である。,
,,○,家電量販店（店員）,それ以外,・８月後半の猛暑の影響で、エアコンや冷蔵庫などの動きが良かった。,
,,○,住関連専門店（従業員）,販売量の動き,・夏物商材が一気に動き出した。,
,,○,高級レストラン（スタッフ）,販売量の動き,・夏のオンシーズンでもあり、利用客が増加した。宿泊客は地域内のホテル増加の影響で減少したものの、地元客による利用が増加した。,
,,○,旅行代理店（従業員）,販売量の動き,・個人旅行の動きが良い。特に９月の海外旅行の受注量は前年比120％で推移している。,
,,○,その他サービスの動向を把握できる者,来客数の動き,・利用客数が４か月ぶりに前年実績を上回った。,
,,□,商店街（代表者）,お客様の様子,・例年にないほど、真夏日の続いた月であったが、衣料品では夏物の商機が過ぎており、暑さによる売上の伸びはみられなかった。また、飲食店では暑さのために逆に来客数が少なかった。業種や店により多少のばらつきはあるものの、全体的に大きな変化はみられなかった。,
,,□,商店街（代表者）,お客様の様子,・暑さが続いたことで、夏物の最終バーゲンは順調な動きをみせているが、消費が上向き傾向にあるとはまだまだ言い難い。,
,,□,商店街（代表者）,単価の動き,・高温が続いたため、夏物の勢いが衰えず、ある程度の売上は確保できたが、本来は中旬以降に動き出す秋物の出足が鈍く、結果的に単価が低下した。,
,,□,商店街（代表者）,お客様の様子,・暑さが続いているので、消費が落ち込むかと思ったが、意外と落ち込まず、これまで同様の傾向が続いている。,
,,□,百貨店（売場主任）,お客様の様子,・８月の上旬から中旬にかけて真夏日が続き、夏物の処分セールがスムーズに進んだため、状況としては良かったが、下旬に入っても暑い日が続いたことで、秋物の動きが良くない。,
,,□,百貨店（売場主任）,お客様の様子,・客の買上状況や人の流れをみても、状況は３か月前とほとんど変わらない。,
,,□,百貨店（販売促進担当）,お客様の様子,・道内では猛暑が続いた影響で、客の購買行動にも特徴が出た。暑さ対策の商品を含め、盛夏物には動きがみられるものの、衣料品は既に最終処分価格の段階であり、販売量が大きく増加しないと売上押上効果は低い。一方で、中旬以降は秋物の立ち上がりで続々と商品が入荷しているが、暑いため、早目に季節商材を購入する上得意客以外はまだ様子見の段階である。,
,,□,スーパー（役員）,単価の動き,・既存店ベースの売上では前年比104％台をキープしている。６月の定率減税廃止に伴う購買意識の変化から、一時期は客単価の落ち込みがみられたが、８月に入ってからは単価が前年を上回ってきており、現状を維持している。,
,,□,衣料品専門店（店長）,販売量の動き,・展示会への来客数が減っており、売上も減少している。,
,,□,家電量販店（地区統括部長）,販売量の動き,・例年よりも暑かったことの影響で、７月に極端に落ち込んだエアコン、扇風機といった夏物商材の需要が、予想以上に回復したが、競合激化の影響で、薄型テレビや冷蔵庫等の大物家電の販売量が前年を下回っている。トータルするとほぼ横ばいである。,
,,□,乗用車販売店（従業員）,販売量の動き,・前年と比べて売上が１割ほど少ない。,
,,□,乗用車販売店（営業担当）,販売量の動き,・販売量が前年実績を確保できない。,
,,□,その他専門店［ガソリンスタンド］（経営者）,販売量の動き,・石油製品の高騰により、１回当たりの購入量が少なくなっている。,
,,□,高級レストラン（スタッフ）,来客数の動き,・ランチの来客数は前年並みであり、待ち時間があるため、帰ってしまう客も多い。ディナーは客単価が前年比115％と上昇しており、売上も前年比107％と好調である。全体では前年並みであった。,
,,□,高級レストラン（スタッフ）,お客様の様子,・毎年、８月は不調であるが、今年は好天に恵まれたことで、ビヤガーデンに客が流れ、来客数は前年比で10％の減少となった。ディナーの売上は前年並みであったものの、ランチは主婦層を中心に来客数が減少しており、売上は前年を15％下回った。前年まで特需で沸いていた道東のある地区では、一部の高級料理を出す店で前年並みの来客数を確保できたようであるが、全体としては来客数が30％ほど減少しているようである。,
,,□,スナック（経営者）,来客数の動き,・旭山動物園効果があり、色々なイベントも行われていることから、観光客の入込が順調であり、飲食店への来客数も前年並みを維持している。,
,,□,観光型ホテル（スタッフ）,単価の動き,・原油高の影響による来客数の減少を補うために、価格政策にシフトしたことにより、販売量は確保できたものの、繁忙期の単価が低下した。消費動向を注視しながら料金設定を行っており、あまり期待の持てない状況となっている。,
,,□,旅行代理店（従業員）,販売量の動き,・秋の旅行シーズンに向けた販売も思うような動きがなく、先行き不透明感が一杯である。,
,,□,旅行代理店（従業員）,販売量の動き,・先行受注状況をみると、目立って好転も悪化もしていないが、どちらかというと低調なまま推移している。,
,,□,タクシー運転手,来客数の動き,・８月は例年より暑い日が多く、雨も少なかったので、タクシーの利用が前年よりも減っている。特にお盆の時期は、昼も夜もタクシーの利用が極端に少なくなり、売上が大きく減っている。,
,,□,タクシー運転手,販売量の動き,・８月は祭などの催し物がある時期であり、人出はそれなりにあるが、相変わらずタクシーを利用する客は少なく、低空飛行を続けている状態である。,
,,□,観光名所（役員）,来客数の動き,・前年と比べて気候が良いことから、観光客の入込が増加するとみていたが、実際には前年並みの来客数を確保するのがやっとの状況である。,
,,□,その他レジャー施設（職員）,お客様の様子,・リピーターの利用は堅調に推移しているものの、新規利用者は短期間の利用で終了することが多く、なかなかリピータとならない。,
,,□,設計事務所（職員）,お客様の様子,・北海道の建設業界を支える民間分譲マンションの建設価格が法令改正や建設資材の値上がりで高騰しており、着工が保留されるケースが増えている。,
,,□,住宅販売会社（従業員）,販売量の動き,・ここ２年くらい、販売量がずっと低迷している状況が続いている。かなりのじり貧状態にあり、とても良い状態とは言えない。,
,,▲,スーパー（店長）,販売量の動き,・既存店の売上が前月から3.8％増加している。部門別の売上をみると、衣料品が前年比92.2％、住居用品が前年比97.4％、食品が前年比98.0％、専門店が前年比99.0％となっている。特に、衣料品は気温の高さが逆風となり、秋物商戦の妨げとなっている。,
,,▲,スーパー（企画担当）,お客様の様子,・最近、店内のＡＴＭでの客待ち数が、以前よりも減ってきており、定率減税の廃止や住民税のアップなどが家計のマイナス要因として影響を与えているのではないかと感じられる。,
,,▲,コンビニ（エリア担当）,単価の動き,・来客数が前年並みにもかかわらず、客単価が前年を下回っている。単価の低下はたばこのカートン販売や飲食品等のケース販売の減少によるものであり、消費を抑制しようとする傾向を感じる。,
,,▲,コンビニ（エリア担当）,来客数の動き,・月前半は気温が前年を大きく下回って推移したため、夏物商材を中心に低迷した。お盆の時期に前年並みの気温となったが、来客数、客単価とも回復しておらず、前半のマイナスが大きく影響している。,
,,▲,コンビニ（エリア担当）,来客数の動き,・お盆以降、天候は良いものの、来客数が伸びず売上が低迷している。原油価格の高騰により、漁業関係者も経費を削減しているとの話も聞いており、景況感の悪さに拍車が掛かっている。,
