Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,商店街（代表者）,来客数の動き,・例年どおりであれば、２月は良くない月であるが、来月初旬に当地で開催される世界ジュニアスケート大会参加のため、外国人選手等が中心市街地で宿泊している。そのため、ホテルを始め、飲食及び若者向けの衣料品等で売上が増加している。また、高校１～２年生を中心とする若年者の来店が映画館を始めとした遊戯施設で増加しており、飲食等における若年層の比率も増加している。
,,○,衣料品専門店（店員）,販売量の動き,・寒さや吹雪などの天候要因により、防寒衣料や寝具などの冬物商材の売上が伸びた。また、着物の展示会では染織作家の作品などの高額商品が売れた。
,,○,乗用車販売店（従業員）,販売量の動き,・エコカー減税やエコカー補助金の効果により、新型ハイブリット車の売行きが好調である。
,,○,乗用車販売店（従業員）,販売量の動き,・エコカー補助金の効果により、例年と比べて売上が大きく伸びている。
,,○,乗用車販売店（営業担当）,販売量の動き,・新型車の発売に加えて、エコカー減税の延長とエコカー補助金の復活により、販売量に弾みが出てきている。
,,○,旅行代理店（従業員）,来客数の動き,・今冬の道東への観光客の入込は流氷の接岸とともに増加傾向にある。外国人観光客も台湾を中心に目立ってきている。ただし、北海道全体の観光客数は、さっぽろ雪まつりと春節が重なった前年に比べると減少している。
,,○,タクシー運転手,販売量の動き,・例年であれば、２月は３か月前と比較して売上が落ち込むが、今年は雪が非常に多く、寒かったせいか、３か月前と比較して、売上は98.8％と落ち込みが少ない。前年との比較でも、前年比103.3％と売上が増加している。
,,○,通信会社（企画担当）,販売量の動き,・店舗での通信端末の販売価格の低下にともない、客の購入が更に積極的になってきている。
,,○,美容室（経営者）,来客数の動き,・東日本大震災から１年近くが過ぎ、客の生活が以前の状況に戻ってきているため、来店周期、売上とも、回復してきている。
,,○,住宅販売会社（経営者）,お客様の様子,・１～２月と株式市場が活気を呈してきているのにつれて、客の購買意欲が相当上向いてきている。
,,○,住宅販売会社（従業員）,お客様の様子,・マンション購入の意思決定に要する時間がかなり短くなっている。以前であれば平均で１か月程度必要であったが、今では１週間程度になってきている。
,,□,商店街（代表者）,お客様の様子,・東日本大震災から１年が経過して、消費は少しずつ安定してきている。しかし、依然として客の買い方は慎重である。デフレの悪循環にはまって、セールを実施してもなかなか客が反応しないのが現状である。
,,□,商店街（代表者）,お客様の様子,・まだ気温が低いため、２月の閑散期の割には、客が冬物衣料を購買する傾向がみられる。ただし、冬物衣料を置いている店と春物衣料に切替えている店との間で差が出ているため、一概に良いとは言えない。
,,□,商店街（代表者）,お客様の様子,・客の様子は以前と変わらない。春を控えて、気持ちの上では少し前向きさもみられるが、買物の様子は３か月前と比べて大して変わっていない。
,,□,百貨店（売場主任）,来客数の動き,・今月は非常に寒い日が続いたため、来客数の動きが鈍い。春物衣料も、紳士服、婦人服ともまだ動きがみられない。ただ、バレンタインやひな人形などの販売量は前年と比べて10％増加している。
,,□,百貨店（売場主任）,来客数の動き,・10月、12月、１月と当店の売上は前年を上回ったが、買上客数が前年を上回ったのは12月のみである。２月は天候要因もあるが、現時点の売上は前年比94％、買上客数は前年比95％と苦戦している。
,,□,百貨店（販売促進担当）,来客数の動き,・２月に入り、来客数の伸びが鈍ってきている。さらに、販売量や客単価の動きも低下傾向にある。月後半になり、少し持ち直してきているが、景気が上向きになるほどの勢いは感じられない。
,,□,百貨店（販売促進担当）,単価の動き,・天候要因による来客数の減少が売上に影響しているものの、客単価は前年並みを維持しており、全体的な基調は変わっていない。ただし、天候の影響があまりなかったような日でも来客数の前年維持が困難になってきている。
,,□,スーパー（店長）,販売量の動き,・依然として販売量も売上も前年の９割を下回っており、低水準で足踏みしている状態にある。
,,□,スーパー（店長）,来客数の動き,・今月も気温が低く推移しているため、春物衣料の動きの悪い状況が続いている。来客数の動きも悪く、前年の93～95％で推移している。
,,□,スーパー（役員）,それ以外,・過去にない大雪の影響で、宅配事業の受注が好調であり、前年から10％以上の伸びとなっている。新規加入者も毎週増加している。ただし、売上規模がまだ小さいため、全体の売上を押し上げるまでの効果は出ていない。
,,□,コンビニ（エリア担当）,来客数の動き,・前年の２倍の積雪量があったことで、近くの小売店での買物にシフトした傾向がみられ、売上にプラスの効果がみられた。ただし、売上は回復傾向にあるが、来客数は前年並み程度にとどまっている。
,,□,コンビニ（エリア担当）,販売量の動き,・今月は気温の低下、積雪の多さにより来客数が減少している。しかし、販売量の増加や単価の上昇により、売上は前年を上回っている。
,,□,衣料品専門店（店長）,お客様の様子,・商店街全体からみて、あまり大きな変化がみられない。
,,□,高級レストラン（経営者）,来客数の動き,・売上が伸びておらず、来客数も横ばいで推移している。
,,□,高級レストラン（スタッフ）,販売量の動き,・１月に続き２月も悪天候の連続である。例年にない積雪の影響で、外食するような雰囲気ではなくなっている。例年、閑散期にはイベントを実施しているが、今月はイベントの効果もみられない。特に、ディナーは厳しい状況が続いており、売上は前年比で２けたのマイナスである。
,,□,観光型ホテル（経営者）,単価の動き,・来客数は徐々に回復傾向にあるが、東日本大震災をきっかけに本州方面からの団体客が落ち込んだままであり、外国人客や地元客の増加で補っている状況である。以前と客層が大きく変わっているため、単価の低い外国人客、地元客では収支が合わない。被災地ばかりがクローズアップされているが、北海道を含めた東日本の観光地が疲弊してきている。
,,□,観光型ホテル（スタッフ）,来客数の動き,・さっぽろ雪まつりという大型イベントがあったにもかかわらず、来客数で前年比6.4％、単価で前年比6.5％の落ち込みがみられた。依然として、価格訴求型の商品から売れていく傾向が強い。
,,□,旅行代理店（従業員）,お客様の様子,・次年度の受注状況が前年比で６％程度下回っている。先の見える案件が少なく、法人需要の動きも鈍い。
,,□,タクシー運転手,来客数の動き,・寒い日が多かったため、２月のタクシーの売上は前年をやや上回った。
,,□,タクシー運転手,来客数の動き,・今年は寒さが厳しく、降雪量も前年より多かったため、若干ではあるが、タクシーの利用客が増えている。ただし、全体的には非常に悪い状態が続いている。
,,□,観光名所（職員）,来客数の動き,・冬のイベントの多い時期であるため、国内外からの来場者が前年比120％と増加しているが、売上にはそれほど結びついていない。
,,▲,商店街（代表者）,来客数の動き,・例年にない大雪と寒さで来客数が10～20％ほど落ち込んでいる。特に、商店街全体としては、公共交通機関を利用する高齢者を中心に土日の来街者が減っている。
,,▲,一般小売店［土産］（経営者）,お客様の様子,・今月は雪の影響により、来客数も客単価も落ち込んでいるが、基本的な景況感は３か月前と変わっていない。当地でも小さな倒産が続いており、客との会話でも復興景気を望む声だけが大きい。
,,▲,一般小売店［酒］（経営者）,販売量の動き,・今月は特に得意先の買上量が少なくなっている。バラ買いの増加や買物の頻度の低下が大変顕著に表れた月であった。
,,▲,百貨店（売場主任）,お客様の様子,・気温の低い日が続いていて、客の関心が春物衣料に向かない状況が続いている。
,,▲,百貨店（役員）,お客様の様子,・百貨店にとって今年の豪雪は大打撃である。年配の主婦は家から出ることを控えている。
,,▲,スーパー（店長）,それ以外,・卒業、入学関連の動きが例年よりも遅い。また、着回しが増えているせいか、サイズやカラーなどを組み合わせることのできるセットアップ商品の動きが強い。前年より気温が低く、降雪量、積雪量も多いため、春物衣料の動きが鈍い。食品は依然として堅調であるが、高額な支出については消費を押さえる面が多少出ている。
,,▲,スーパー（役員）,来客数の動き,・商品単価、買上点数とも伸びており、客単価が前年比で３％強上昇しているが、来客数は前年比で４％前後落ち込んで推移している。今年は雪が例年より多いため、車での移動が面倒とみられる日も多く、各企画での来客数も増加していない。
,,▲,衣料品専門店（店長）,来客数の動き,・客単価が伸びているが、来客数の落ち込みが続いており、販売量が減少している。
,,▲,家電量販店（店員）,販売量の動き,・薄型テレビが売れていない分、前年と比較して販売量が落ち込んでいる。
