Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：（株）北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,一般小売店［土産］（店員）,それ以外,・状況は３か月前とそう変わらないが、下げ止まった印象が強い。底を打った形で前年よりは上向いている印象を受ける。
,,○,商店街（代表者）,来客数の動き,・今年は天候に恵まれ、温暖で晴天が続いているので、人の動きが前年より良い状況にある。
,,○,スーパー（店長）,販売量の動き,・販売量については前月比で105％と伸びている。５月以降の半年間、わずかながらではあるが上昇トレンドを示している。
,,○,スーパー（企画担当）,来客数の動き,・足元の周年セールが好調だったこともあり、買上客数が前年実績を上回る状況が続いている。
,,○,コンビニ（エリア担当）,来客数の動き,・前年と比較して農家の収穫量が増加しているので、農家の金銭使用の度合いも前年ほど低くない。
,,○,衣料品専門店（店員）,お客様の様子,・売上こそ前年並みではあるが、他店舗からの買い周りをする客が増えてきている。それに伴い、客数自体も前シーズンと比較して増えてきている。
,,○,その他専門店［造花］（店長）,来客数の動き,・季節商材の動きが好調であり、客数も前年を上回っている。
,,○,高級レストラン（スタッフ）,来客数の動き,・夏場に減少した宿泊客数が若干回復する傾向にあり、地元客の利用も少し伸びてきている。
,,○,観光型ホテル（スタッフ）,販売量の動き,・総消費単価は単価の安いツアーを減らしたことにより、若干上向きとなっている。ただし、宿泊客数の減少分については、団体客・個人客でカバーしているものの、若干マイナスとなっている。
,,○,美容室（経営者）,お客様の様子,・客の会話の中で、旅行や食事の話が以前より多くなってきている。
,,□,商店街（代表者）,単価の動き,・相変わらず低価格商品を志向する客が半数以上を占めている。商店街の甘栗店では、500円や1000円といった価格帯の商品が主体であり、3000円以上の箱買いをする客があまりいない。
,,□,商店街（代表者）,お客様の様子,・秋物のシーズンに入り、少しは動きが良くなってきたようだが、依然として単価が低く、まだまだ実感として好況感はない。
,,□,商店街（代表者）,お客様の様子,・防寒物などの厚手素材の商品が出ているが、夏物にかなりの勢いがあった３か月前と比べても、客の購買意欲が同じ程度みられる。
,,□,商店街（代表者）,単価の動き,・台風や地震があったことに加えて、台風の影響から野菜の高騰もあり、決して良い状態とは言えない。商店街にとっても景気が良くなる要素がうかがえない。
,,□,百貨店（売場主任）,お客様の様子,・来客数をみると、比較的、目的買いとしての要素の高い食品では伸びているものの、衣料品や宝飾、雑貨関係では大幅に落ち込んでいる。また、平均単価もなだらかに減少している。今月は年金支給月だが、いつもは中旬から出てくる高齢者の波が来ない。客の慎重さがうかがえる。
,,□,百貨店（役員）,来客数の動き,・期待をかけた大型の催事が、悪天候のため、来客数が前年比96％と振るわず、単価も前年に引き続き前年割れとなったため、売上高は前年比96％前後と相変わらず不振である。
,,□,スーパー（店長）,お客様の様子,・毎年、この時期に大きなセールを実施しているが、今年は客の反応も鈍く、買上点数の伸びにつながらない。また、価格を引き下げた分だけ、単価の落ち込みにつながっている。
,,□,スーパー（店長）,販売量の動き,・来客数はそれなりにあるが、無駄なものを買わないという動きが相変わらずあり、買上点数に結びつかない。
,,□,衣料品専門店（店長）,単価の動き,・商品のプライス幅を広く設定しているが、安い商品を選ぶ客が多く、前年よりも単価が低下したまま変わらない。
,,□,その他専門店［医薬品］（経営者）,お客様の様子,・イベント訴求で、どうにか最低ベースを確保しているが、客は依然として消極的な購買をしている。価格だけを聞かれるケースも増えている。
,,□,高級レストラン（スタッフ）,来客数の動き,・ランチの時間帯は、一時的に満席となるなど、ほぼ前年並みに推移しているが、ディナーが極端に不振である。トータルでは前年割れとなっている。
,,□,一般レストラン（スタッフ）,単価の動き,・前月に引き続き、来客数は順調に増えているが、客単価が下がっているため、売上は若干ではあるが減少傾向にある。
,,□,設計事務所（職員）,お客様の様子,・前月は、土地や設計依頼情報が増加していたが、今月に入って小康状態となっている。逆に、現在関係している公共工事が計画延期や見直しとなっている状況である。
,,□,住宅販売会社（従業員）,販売量の動き,・販売量の動きが悪いこともさることながら、来客数の低迷が続いている。単価の低下も非常に際立っている。
,,▲,商店街（代表者）,来客数の動き,・観光客向け飲食店では、食事だけの客が多い。客単価も低く、総体的に不振である。
,,▲,一般小売店［酒］（経営,販売量の動き,・得意先である飲食店への販売量が減っており、一店当たりの売上が10％程度減っている。
,,▲,百貨店（売場主任）,お客様の様子,・暖かい日が続いている影響で、秋物の動きが非常に厳しい状況となっている。
,,▲,百貨店（売場主任）,お客様の様子,・冬への衣替えの季節で、売上の拡販が目標の月であるが、客の動きが鈍く、本当に必要な物も値下げになってからの買上が目立つ。
,,▲,コンビニ（エリア担当）,販売量の動き,・今月は第２週の気温の低下とともに、急激に買上点数が減少している。
,,▲,コンビニ（エリア担当）,単価の動き,・生活基礎商材のような必需品は売れているが、遊び心をくすぐる物や興味を引くだけの物といったし好品の売上が落ちている。
,,▲,衣料品専門店（店長）,お客様の様子,・近頃、ガソリンや灯油が非常に高くなっているため、これからの寒い時期を控えて心配している人が多い。
,,▲,家電量販店（地区統括部長）,販売量の動き,・ＡＶ商品は好調であるものの、ＯＡ商品の落ち込みが影響している。
,,▲,乗用車販売店（従業員）,販売量の動き,・新型車を発表したが、価格の高いタイプのせいか、いつものような来場が全くなかった。売上も厳しい状況にある。
,,▲,住関連専門店（従業員）,販売量の動き,・寒いにもかかわらず、冬物商材の伸びが悪い。
,,▲,高級レストラン（スタッフ）,販売量の動き,・個室は観楓会代わりに利用してくれた企業・団体があり、前年並みとなったほか、ランチも前年並みで、やや高単価の限定メニューにも比較的飛びつきが良かった。しかし、雨の日は夕方からのフリー客が激減したことから、夕食の売上が前年比75％と落ち込み、全体の売上では前年から15％のダウンとなった。
,,▲,一般レストラン（スタッフ）,競争相手の様子,・近くに居酒屋ができ、半額キャンペーンを２週間ほど行っていたため、客足に影響が出ている。
,,▲,観光型ホテル（経営者）,販売量の動き,・オンシーズンからオフに到るショルダーシーズンとして動きのある時期だが、宿泊人数、宿泊単価とも短期間に下降をたどっている。例年よりも２～３週間速いテンポである。台風等の自然現象に加えて、肉・葉物野菜の高騰、原油価格の高騰等の社会的不安が上昇機運を妨げているとしか言いようがない。
,,▲,タクシー運転手,お客様の様子,・降雪期を迎え、原油の値上げ等がマスコミで取り上げられているせいか、客は極力、電車・バス等の公共交通機関を利用し、交通費の節約をしている。
,,▲,タクシー運転手,来客数の動き,・市内全般でいえば、観光客数が少し伸び悩んでおり、日中はともかく、夜、特に深夜はほとんど人もいなくて閑散としている。
,,▲,その他レジャー施設（職員）,来客数の動き,・プロ野球の試合用に会場を空けていたが、それが不要になったため、集客が減り、グッズ販売の機会もなくなった。時間がなく、その穴を埋めるイベントも入らない。
,,▲,住宅販売会社（従業員）,来客数の動き,・モデルハウス展示場等への来場者が極端に少ないままである。
,,×,スナック（経営者）,来客数の動き,・来客数が少なくなっていることは確かであり、街全体が暇な感じを受けている。
,,×,スナック（経営者）,来客数の動き,・９月までは色々なイベントもあり、人が街に出ていたが、10月はイベントもなく、街に人の動きが少なくなっている。
,,×,スナック（経営者）,来客数の動き,・客の飲みに来る回数が減っている。会社関係での利用が中心であるため、企業の経費削減が影響しており、単価も低下している。
,,×,タクシー運転手,来客数の動き,・10月は暖かい日が多かったせいもあるが、タクシーの売上が前年より10％ほど減少している。特に夜の利用が減っている。
"企業
動向
関連

(北海道)",,◎,－,－,－
,,○,家具製造業（経営者）,受注量や販売量の動き,・大都市圏に限らず、一部地方都市にも景気の明るさが見え始めた。その結果、受注が増加している。
,,□,金属製品製造業（統括）,受注量や販売量の動き,・住宅建設業界全体では少し良いようだが、当社の客先は苦戦しており、その影響を受けている。
