Ⅰ．景気の現状に対する判断理由等,,,,,
,,,,,
　景気の現状に対する判断の理由及びそれに対する追加説明等について、その主だったもの及び特徴的と考えられるものを取りまとめると以下のとおりであった。,,,,,
,,,,,
,,,,,
　１．北海道（地域別調査機関：株式会社北海道二十一世紀総合研究所）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(北海道)",,◎,－,－,－
,,○,一般小売店［土産］（経営者）,お客様の様子,・台風18号の上陸があったにもかかわらず、外国人観光客、国内観光客共増えており、今までになかった雰囲気の良さがある。
,,○,百貨店（売場主任）,単価の動き,・来客数は前年比97％台で推移している一方で、売上は前年比105％台に増加した。高額ブランドや宝飾品の売上が伸びているなど、特に高額商材の動きが好調であり、客の買上単価アップにつながっている。
,,○,スーパー（店長）,単価の動き,・来客数は全体的に伸び悩んでいるが、商品単価の上昇により客単価が伸びている。
,,○,コンビニ（エリア担当）,販売量の動き,・たばこなどのし好品の売上が回復してきている。また、生活になくても構わないような商材の売上も回復してきている。
,,○,衣料品専門店（店長）,単価の動き,・高額のオーダースーツが前年比120％と好調に推移している。
,,○,乗用車販売店（従業員）,販売量の動き,・需要の落ち込む冬を前にしたタイミングということもあるが、９月の決算期を迎えて、複数の車種の新型車効果が重なってきており、３か月前に比べて景気が良くなってきている。
,,○,乗用車販売店（従業員）,販売量の動き,・わずかではあるが、新車販売台数が前年を上回って推移している。
,,○,自動車備品販売店（店長）,販売量の動き,・冬タイヤと一緒に冬用ワイパーなどの冬季商材が売れている。また、バッテリーやオイルなどの消耗品の販売量も前年比120％と伸びている。
,,○,住関連専門店（経営者）,販売量の動き,・商店街においてインバウンド効果が続いている。
,,○,一般レストラン（スタッフ）,単価の動き,・６～８月に引き続き、９月も客単価、来客数共に前年を上回っている。
,,□,商店街（代表者）,単価の動き,・天候不順であった割に、イベントなどへの人出はまずまずであったが、売上にはなかなか結び付いてこない。
,,□,商店街（代表者）,お客様の様子,・客の様子をみても、日々淡々と過ごしている。北朝鮮の弾道ミサイルが発射された際も、あまり脅威を感じているような反応はみられなかった。また、それにより経済活動が停滞するということもなかった。
,,□,商店街（代表者）,来客数の動き,・商店街で運用を開始したフリーＷｉ－Ｆｉの影響などもあり、９月初旬から中旬にかけては若年層を中心に来街者が増加したが、下旬は雨模様の天候が続いたことから、地元客の来街が減少した。ただ、中旬以降は少数グループの外国人観光客が比較的多くみられたことで、地元客の落ち込みをカバーしており、全体的には大きな落ち込みにならなかった。
,,□,商店街（代表者）,販売量の動き,・天候不順の影響で９月の一般消費は落ち込んでいる。観光客の入込は、外国人観光客は変わりないが、国内観光客が減少している。
,,□,商店街（代表者）,お客様の様子,・夏が過ぎると同時に客足が落ちてきている。
,,□,百貨店（担当者）,単価の動き,・周辺の商業施設との相乗効果もあり、当店の来客数は相変わらず増加傾向で推移しているが、買上客数及び客単価の動きにそれほど変化がみられないことから、景気は変わらない。
,,□,百貨店（販売促進担当）,来客数の動き,・９月中旬以降、来客数、買上率がマイナス傾向、客単価がプラス傾向で推移している。これは日常の買物をするような地元客が減少している一方で、外国人客が増加していることで、客単価を押し上げているためである。結果的に売上は前年を上回って推移しているが、全体的に客の購買意欲は決して高くない状況にある。
,,□,百貨店（役員）,来客数の動き,・テナントの一部変更の影響もあり、景気は３か月前と変わらない。
,,□,スーパー（店長）,来客数の動き,・来客数の前年割れが続いている。新規スーパー出店の影響もあるが、近隣スーパー各社がディスカウント合戦となっており、厳しい状況にある。客の節約志向も変わっておらず、景気は３か月前と変わっていない。
,,□,スーパー（店長）,単価の動き,・ここ数か月、来客数が10％以上減少する月が続いている。売上も前年から９～10％程度のマイナスとなっている。
,,□,スーパー（役員）,来客数の動き,・人口減少が続くなか、競合店との客の奪い合いで各店の来客数が減少している。客単価や客１人当たりの平均買上点数は前年から１～２％上昇しているものの、来客数が前年から２％低下しており、決して良い状況とはいえない。
,,□,コンビニ（エリア担当）,来客数の動き,・８月に引き続き天候に恵まれなかったことで、飲料水や冷菓などの動きが悪い。また、３連休についても台風の影響で売上、来客数共に減少した。
,,□,コンビニ（店長）,来客数の動き,・９月は天候不順や台風上陸の影響が大きく、来客数は前年を大きく下回った。また、それに伴い飲料や主食系商材の販売量が落ち込み、売上も前年割れとなった。
,,□,高級レストラン（経営者）,来客数の動き,・景気が良いといわれるのは東京だけであり、地方は段々と疲弊してきている。また、原材料の値上がりが進んでいるため、全体的に単価を引き上げることを予定している。
,,□,高級レストラン（スタッフ）,来客数の動き,・昼はこれまでと同様に午後２時頃まで満席の続く日が多かったが、２度の連休が悪天候となった影響もあり、大幅に前年を下回った。夜は大学生や年配の夫婦、シーズン外れの観光客が多くみられた。全体売上は前年を９％下回ったが、地元観光施設の入込数が前年を25％下回っている状況を考慮すると健闘している。
,,□,高級レストラン（スタッフ）,来客数の動き,・売上は前年並みであった。例年９月は祝日が２回あり、消費がレジャーに向けられることで売上がやや落ちるが、今年はそれほど影響がみられなかった。また、連休前後のランチは売上の良くない日が多いが、25日だけは給料日ということもあり、混雑した。
,,□,観光型ホテル（スタッフ）,来客数の動き,・中国、台湾、韓国などの外国人客の動員が堅調である。その反面、国内からの募集企画商品の動員が不振であった。
,,□,タクシー運転手,来客数の動き,・前月までと同様、乗務員不足の影響でタクシーの稼働率が低下している。タクシー１台当たりの売上は前年から約４％増加しているものの、会社としての売上は前年から約２％減少している。
,,□,タクシー運転手,来客数の動き,・観光客の利用が若干少なかったが、イベント関係者からのオーダーが順調であり、全体的にあまり変化のない月であった。
,,□,タクシー運転手,販売量の動き,・離職者があったため、事業維持に注力する必要が生じている。販売量が人員数に比例する当業界としては大変苦しい状況にある。
,,□,通信会社（社員）,販売量の動き,・定期発売商材のリリースが２段階となったことで、見込んでいたほど販売に結び付かなかった。
,,□,美容室（経営者）,来客数の動き,・人の動きの活発な夏を過ぎても、夏とほぼ同じような来店率で推移しており、売上を維持できている。堅調に推移している。
,,□,美容室（経営者）,来客数の動き,・新規客の数は増えていないものの、既存客の単価が上がってきている。
,,□,住宅販売会社（経営者）,お客様の様子,・客が分譲マンションの購入を判断するために、以前よりも長い時間をかけるようになってきており、商談にかかる時間が長期化してきている。
,,▲,百貨店（営業販促担当）,来客数の動き,・前年は８月後半の台風被害の影響で苦戦が続いたため、今年９月以降は来客数、売上が回復することを期待していたが、９月の来客数は前年を下回っている。売上もほぼ横ばいと回復からはほど遠い状況にある。特にこれまで好調に推移していた食品が来客数減少の影響でマイナスとなっている。
,,▲,スーパー（企画担当）,競争相手の様子,・大手小売業を始め、競合各社による価格引下げの動きが激しくなってきている。当社を含めた各社の店頭売価はデフレに逆戻りしたかのようである。
,,▲,スーパー（役員）,お客様の様子,・総菜店でのＯ157による食中毒の報道を受けて、今まで好調だった総菜類の売上が悪化している。
,,▲,衣料品専門店（店長）,来客数の動き,・来客数が前年を下回って推移している。
,,▲,家電量販店（店員）,来客数の動き,・７月の猛暑で冷房機などがよく売れたことの反動で、９月も来客数が少なかった。
,,▲,乗用車販売店（経営者）,お客様の様子,・新型車など、話題の少なさが影響している面もあるが、地場の基幹産業が奮わないことが売上に大きく響いている。
,,▲,乗用車販売店（従業員）,販売量の動き,・年初、年央と新型車が３車種ほど導入されているが、すでに新型車効果が薄れており、販売量がダウンしている。
,,▲,高級レストラン（スタッフ）,来客数の動き,・これまで来客数がそれなりに増加してきていたが、現在は落ち込みがみられ始めている。９月の来客数は前年を上回っているが、前年は大型台風の被害で来客数が大幅に減少しており、その影響を考慮すると例年よりも減少傾向にある。
,,▲,旅行代理店（従業員）,来客数の動き,・夏場の観光シーズンが終わり、観光客が減少している。また、スポーツ合宿もピークが過ぎており、全体的に集客が落ち込んでいる。
,,▲,タクシー運転手,販売量の動き,・当市の人口が少しずつ減っていることもあり、同業他社も含めた市内全体での売上も減少している。
